date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,1,483,0,204,1,26,4,250,
2020-11-13 00:00:00,3,521,2,32,0,31,0,454,
2021-09-18 00:00:00,4238,337350,0,0,165,13191,0,1356,
2020-04-20 00:00:00,0,67,0,5,0,0,2,61,
2020-08-30 00:00:00,0,485,0,156,0,28,18,297,
2021-06-20 00:00:00,138,3019,159,1768,0,34,0,975,
2020-12-29 00:00:00,2,574,2,14,0,31,1,525,
2020-05-17 00:00:00,0,68,0,3,0,0,0,65,
2022-03-01 00:00:00,22182,880569,0,0,16,20501,0,0,
2021-05-05 00:00:00,3,783,4,84,0,31,0,662,
2022-02-25 00:00:00,16179,773172,0,0,16,20442,0,0,
2021-07-25 00:00:00,4571,61479,5458,55012,0,267,0,1356,
2021-09-30 00:00:00,4374,391622,0,0,106,14954,0,1356,
2021-09-02 00:00:00,6012,237928,5811,113256,201,9795,0,1356,
2020-05-15 00:00:00,0,68,0,3,0,0,0,65,
2022-03-15 00:00:00,34908,1290848,0,0,7,20689,0,0,
2022-04-28 00:00:00,1521,1846785,0,0,0,20866,0,0,
2021-09-24 00:00:00,3790,368848,0,0,141,14221,0,1356,
2022-01-28 00:00:00,2415,607366,0,0,10,20112,0,0,
2022-03-03 00:00:00,22451,934584,0,0,18,20533,0,0,
2020-10-21 00:00:00,0,490,0,5,0,31,0,449,
2021-01-09 00:00:00,0,580,0,11,0,31,2,534,
2022-02-21 00:00:00,8947,720069,0,0,12,20382,0,0,
2021-12-22 00:00:00,1860,523073,0,0,39,19353,0,0,
2020-12-22 00:00:00,0,570,0,20,0,31,6,514,
2020-07-02 00:00:00,0,74,0,2,0,0,0,71,
2020-07-22 00:00:00,0,74,0,0,0,0,0,73,
2020-07-24 00:00:00,0,74,0,0,0,0,0,73,
2020-10-17 00:00:00,1,488,1,3,0,31,0,449,
2021-08-17 00:00:00,3697,159032,221,76642,285,5246,0,1356,
2020-10-16 00:00:00,0,487,0,2,0,31,0,449,
2021-10-03 00:00:00,2462,400480,0,0,79,15252,0,1356,
2021-05-20 00:00:00,9,975,5,219,0,31,1,709,
2021-04-05 00:00:00,3,674,2,20,0,31,2,618,
2022-04-16 00:00:00,4119,1818962,0,0,1,20863,0,0,
2021-03-04 00:00:00,0,654,0,11,0,31,2,608,
2021-07-28 00:00:00,4507,78392,59,64374,91,487,0,1356,
