date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,1,483,0,204,1,26,4,250,
2020-11-13 00:00:00,3,521,2,32,0,31,0,454,
2021-09-18 00:00:00,4238,337608,0,0,165,13191,0,1361,
2020-04-20 00:00:00,0,67,0,5,0,0,2,61,
2020-08-30 00:00:00,0,485,0,156,0,28,18,297,
2021-06-20 00:00:00,138,3025,159,1769,0,34,0,980,
2020-12-29 00:00:00,2,574,2,14,0,31,1,525,
2020-05-17 00:00:00,0,68,0,3,0,0,0,65,
2022-03-01 00:00:00,27387,935730,0,0,16,20507,0,0,
2021-05-05 00:00:00,3,788,4,89,0,31,0,662,
2022-02-25 00:00:00,19965,810434,0,0,16,20448,0,0,
2021-07-25 00:00:00,4571,61487,5458,55014,0,267,0,1361,
2021-09-30 00:00:00,4374,391881,0,0,106,14954,0,1361,
2021-09-02 00:00:00,6012,238145,5811,113438,201,9795,0,1361,
2020-05-15 00:00:00,0,68,0,3,0,0,0,65,
2022-03-15 00:00:00,42562,1438599,0,0,7,20698,0,0,
2022-04-28 00:00:00,1907,2140806,0,0,0,20879,0,0,
2021-09-24 00:00:00,3790,369107,0,0,141,14221,0,1361,
2022-01-28 00:00:00,2660,613941,0,0,11,20113,0,0,
2022-03-03 00:00:00,28560,1001819,0,0,18,20539,0,0,
2020-10-21 00:00:00,0,490,0,5,0,31,0,449,
2021-01-09 00:00:00,0,580,0,11,0,31,2,534,
2022-02-21 00:00:00,11087,744679,0,0,12,20388,0,0,
2021-12-22 00:00:00,1872,524200,0,0,39,19353,0,0,
2020-12-22 00:00:00,0,570,0,20,0,31,6,514,
2020-07-02 00:00:00,0,74,0,2,0,0,0,71,
2020-07-22 00:00:00,0,74,0,0,0,0,0,73,
2020-07-24 00:00:00,0,74,0,0,0,0,0,73,
2020-10-17 00:00:00,1,488,1,3,0,31,0,449,
2021-08-17 00:00:00,3697,159126,221,76728,285,5246,0,1361,
2020-10-16 00:00:00,0,487,0,2,0,31,0,449,
2021-10-03 00:00:00,2462,400739,0,0,79,15252,0,1361,
2021-05-20 00:00:00,9,981,5,223,0,31,1,711,
2021-04-05 00:00:00,3,674,2,20,0,31,2,618,
2022-04-16 00:00:00,5192,2105509,0,0,1,20876,0,0,
2021-03-04 00:00:00,0,654,0,11,0,31,2,608,
2021-07-28 00:00:00,4507,78400,59,64376,91,487,0,1361,
