date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,1,484,0,204,1,26,4,250,
2020-11-13 00:00:00,3,524,2,32,0,31,0,457,
2021-09-18 00:00:00,4238,337648,0,0,165,13191,0,1366,
2020-04-20 00:00:00,0,68,0,5,0,0,2,61,
2020-08-30 00:00:00,0,486,0,156,0,28,18,297,
2021-06-20 00:00:00,138,3033,159,1771,0,34,0,983,
2020-12-29 00:00:00,2,577,2,14,0,31,1,528,
2020-05-17 00:00:00,0,69,0,3,0,0,0,65,
2022-03-01 00:00:00,30353,1000094,0,0,16,20542,0,0,
2021-05-05 00:00:00,3,791,4,89,0,31,0,665,
2022-02-25 00:00:00,22661,848845,0,0,19,20474,0,0,
2021-07-25 00:00:00,4571,61496,5458,55015,0,267,0,1366,
2021-09-30 00:00:00,4388,391936,0,0,106,14954,0,1366,
2021-09-02 00:00:00,6012,238183,5811,113444,201,9795,0,1366,
2020-05-15 00:00:00,0,69,0,3,0,0,0,65,
2022-03-15 00:00:00,51624,1630773,0,0,7,20760,0,0,
2022-04-28 00:00:00,2382,2456729,0,0,0,20976,0,0,
2021-09-24 00:00:00,3790,369147,0,0,141,14221,0,1366,
2022-01-28 00:00:00,3114,621576,0,0,11,20122,0,0,
2022-03-03 00:00:00,31728,1072344,0,0,20,20576,0,0,
2020-10-21 00:00:00,0,493,0,5,0,31,0,452,
2021-01-09 00:00:00,0,583,0,11,0,31,2,537,
2022-02-21 00:00:00,12995,773215,0,0,13,20409,0,0,
2021-12-22 00:00:00,1911,526780,0,0,39,19355,0,0,
2020-12-22 00:00:00,0,573,0,20,0,31,6,517,
2020-07-02 00:00:00,0,75,0,2,0,0,0,71,
2020-07-22 00:00:00,0,75,0,0,0,0,0,73,
2020-07-24 00:00:00,0,75,0,0,0,0,0,73,
2020-10-17 00:00:00,1,491,1,3,0,31,0,452,
2021-08-17 00:00:00,3697,159144,221,76738,285,5246,0,1366,
2020-10-16 00:00:00,0,490,0,2,0,31,0,452,
2021-10-03 00:00:00,2463,400802,0,0,79,15252,0,1366,
2021-05-20 00:00:00,9,988,5,227,0,31,1,714,
2021-04-05 00:00:00,3,677,2,20,0,31,2,621,
2022-04-16 00:00:00,6262,2413189,0,0,2,20969,0,0,
2021-03-04 00:00:00,0,657,0,11,0,31,2,611,
2021-07-28 00:00:00,4507,78409,59,64377,91,487,0,1366,
2021-01-04 00:00:00,2,582,2,14,0,31,0,533,
2020-03-28 00:00:00,1,55,0,0,0,0,0,6,
2022-03-07 00:00:00,32848,1249744,0,0,13,20648,0,0,
2020-08-04 00:00:00,23,240,21,158,2,6,0,73,
2020-06-11 00:00:00,0,73,0,3,0,0,0,68,
2020-09-28 00:00:00,2,489,2,2,0,31,0,450,
2021-03-11 00:00:00,0,662,0,13,0,31,0,614,
2021-12-06 00:00:00,1657,498318,0,0,86,18491,0,0,
2022-01-08 00:00:00,2363,563270,0,0,13,19847,0,0,
2022-01-12 00:00:00,2753,573997,0,0,19,19917,0,0,
2022-02-04 00:00:00,3034,639360,0,0,10,20197,0,0,
2020-11-21 00:00:00,0,531,0,38,0,31,0,458,
2021-08-11 00:00:00,3492,135521,3230,79356,262,3626,0,1366,
2021-11-12 00:00:00,1549,452565,0,0,43,17206,0,0,
2021-05-19 00:00:00,5,979,1,222,0,31,0,713,
2021-10-18 00:00:00,1033,422357,0,0,52,16346,0,1366,
2020-08-08 00:00:00,15,331,15,248,0,8,0,73,
2021-03-14 00:00:00,1,663,1,13,0,31,0,615,
2022-02-02 00:00:00,2028,635129,0,0,0,20162,0,0,
2021-10-23 00:00:00,840,428209,0,0,42,16552,0,1366,
2022-03-16 00:00:00,47150,1677924,0,0,11,20771,0,0,
2020-09-16 00:00:00,0,487,0,17,0,31,3,428,
2022-01-22 00:00:00,3115,602458,0,0,11,20053,0,0,
2020-09-06 00:00:00,0,487,0,79,0,31,10,372,
2020-10-18 00:00:00,0,491,0,3,0,31,0,452,
2021-07-15 00:00:00,625,15603,5136,23806,72,137,2,1343,
2021-02-14 00:00:00,0,654,0,61,0,31,0,558,
2022-03-31 00:00:00,25388,2203194,0,0,6,20904,0,0,
2021-06-08 00:00:00,0,1551,44,661,0,34,0,854,
2021-01-23 00:00:00,0,598,2,21,0,31,0,544,
2021-09-29 00:00:00,4701,387548,0,0,113,14848,0,1366,
2021-08-22 00:00:00,4622,180136,3803,84075,599,6720,0,1366,
2022-03-21 00:00:00,39293,1892999,0,0,9,20832,0,0,
2021-08-03 00:00:00,4251,104339,1335,71889,334,1715,0,1366,
2021-05-21 00:00:00,3,991,1,217,1,32,0,714,
2021-12-25 00:00:00,1854,531382,0,0,35,19463,0,0,
2021-05-10 00:00:00,20,857,0,127,0,31,10,691,
2021-11-09 00:00:00,1471,448026,0,0,38,17082,0,1366,
2021-03-18 00:00:00,0,663,0,11,0,31,0,617,
2022-03-11 00:00:00,41384,1413602,0,0,9,20711,0,0,
2022-04-27 00:00:00,2866,2453820,0,0,0,20976,0,0,
2021-11-23 00:00:00,1432,468988,0,0,62,17683,0,0,
2022-03-06 00:00:00,37341,1216894,0,0,18,20635,0,0,
2020-09-19 00:00:00,0,487,0,12,0,31,1,433,
2020-06-03 00:00:00,0,72,0,5,0,0,0,65,
2020-10-27 00:00:00,0,493,0,4,0,31,0,453,
2021-08-16 00:00:00,3446,155447,3131,76517,315,4961,0,1366,
2022-03-18 00:00:00,45795,1772160,0,0,13,20798,0,0,
2020-12-18 00:00:00,0,572,0,27,0,31,1,509,
2022-03-17 00:00:00,53227,1731152,0,0,14,20785,0,0,
2021-11-14 00:00:00,1150,455118,0,0,23,17267,0,0,
2022-03-19 00:00:00,42475,1814637,0,0,16,20814,0,0,
2021-09-19 00:00:00,5498,343146,0,0,182,13373,0,1366,
2021-01-19 00:00:00,1,593,1,15,0,31,0,543,
2021-07-10 00:00:00,1230,9611,799,10891,0,55,0,1272,
2020-10-13 00:00:00,0,490,0,2,0,31,0,452,
2021-02-15 00:00:00,0,654,0,57,0,31,6,564,
2021-12-20 00:00:00,1147,523366,0,0,51,19270,0,0,
2021-01-21 00:00:00,0,597,0,18,0,31,1,544,
2020-12-20 00:00:00,1,573,1,26,0,31,0,511,
2021-06-19 00:00:00,106,3033,139,1612,0,34,7,983,
2021-11-20 00:00:00,1288,464243,0,0,42,17512,0,0,
2022-02-22 00:00:00,15726,788855,0,0,6,20415,0,0,
2020-05-25 00:00:00,1,72,1,5,0,0,0,65,
2020-12-12 00:00:00,1,570,1,38,0,31,0,496,
2021-11-18 00:00:00,1955,461434,0,0,42,17415,0,0,
2021-03-01 00:00:00,0,657,0,14,0,31,3,609,
2020-11-25 00:00:00,4,538,4,40,0,31,0,463,
2022-02-15 00:00:00,8333,700634,0,0,12,20313,0,0,
2021-07-14 00:00:00,901,14978,2161,18670,10,65,41,1341,
2020-04-13 00:00:00,1,67,19,19,0,0,0,47,
2020-07-17 00:00:00,0,75,0,0,0,0,0,73,
2021-07-07 00:00:00,1082,8381,198,7683,0,49,0,1272,
2022-01-25 00:00:00,3180,612076,0,0,13,20087,0,0,
2022-04-20 00:00:00,4317,2432107,0,0,1,20971,0,0,
2020-09-29 00:00:00,0,489,0,2,0,31,0,450,
2020-04-15 00:00:00,0,67,0,11,0,0,1,54,
2022-02-06 00:00:00,2936,644757,0,0,11,20219,0,0,
2022-03-29 00:00:00,27649,2151011,0,0,6,20892,0,0,
2021-07-06 00:00:00,0,7299,748,7485,2,49,0,1272,
2020-05-16 00:00:00,0,69,0,3,0,0,0,65,
2021-01-16 00:00:00,0,591,0,16,0,31,0,541,
2021-04-04 00:00:00,0,674,0,19,0,31,0,619,
2021-08-26 00:00:00,4094,198934,3767,95613,242,7866,0,1366,
2020-05-01 00:00:00,0,68,0,6,0,0,0,64,
2021-03-23 00:00:00,0,665,0,12,0,31,1,618,
2022-01-14 00:00:00,2630,579452,0,0,15,19950,0,0,
2021-10-14 00:00:00,919,418262,0,0,61,16137,0,1366,
2022-04-30 00:00:00,1751,2460633,0,0,0,20977,0,0,
2021-11-27 00:00:00,2192,477142,0,0,59,17906,0,0,
2020-10-14 00:00:00,0,490,0,2,0,31,0,452,
2020-06-22 00:00:00,0,74,0,2,0,0,1,70,
2021-05-24 00:00:00,13,1009,17,232,0,32,5,729,
2021-05-29 00:00:00,62,1127,43,318,0,32,0,749,
2020-03-27 00:00:00,4,54,0,0,0,0,3,6,
2021-08-15 00:00:00,4617,152001,101,73386,282,4646,0,1366,
2020-08-29 00:00:00,1,486,0,174,2,28,6,279,
2020-11-26 00:00:00,10,548,10,50,0,31,0,463,
2022-04-05 00:00:00,18871,2296617,0,0,8,20930,0,0,
2021-10-13 00:00:00,1319,417343,0,0,73,16076,0,1366,
2021-08-09 00:00:00,4055,127984,4053,71891,269,3055,0,1366,
2021-10-24 00:00:00,1082,429291,0,0,30,16582,0,1366,
2020-12-13 00:00:00,2,572,0,38,0,31,2,498,
2020-07-14 00:00:00,0,75,0,0,0,0,0,73,
2020-12-15 00:00:00,0,572,0,33,0,31,0,503,
2021-10-26 00:00:00,855,431179,0,0,27,16649,0,1366,
2020-05-12 00:00:00,0,69,0,3,0,0,3,65,
2020-12-02 00:00:00,1,558,1,45,0,31,4,477,
2021-11-06 00:00:00,1255,443781,0,0,32,16978,0,1366,
2020-06-18 00:00:00,0,74,0,4,0,0,0,68,
2020-04-18 00:00:00,0,68,0,7,0,0,3,59,
2020-07-23 00:00:00,0,75,0,0,0,0,0,73,
2021-03-30 00:00:00,0,670,0,15,0,31,1,619,
2020-11-18 00:00:00,6,531,6,39,0,31,0,457,
2021-08-25 00:00:00,5463,194840,2982,91846,269,7624,0,1366,
2021-02-06 00:00:00,1,613,1,28,0,31,0,550,
2020-11-06 00:00:00,0,494,0,6,0,31,0,453,
