date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,1,503,0,204,1,26,4,269,
2020-11-13 00:00:00,3,543,2,32,0,31,0,476,
2021-09-18 00:00:00,4238,337903,0,0,165,13194,0,1416,
2020-04-20 00:00:00,0,87,0,10,0,0,2,75,
2020-08-30 00:00:00,0,505,0,156,0,28,18,316,
2021-06-20 00:00:00,138,3146,159,1836,0,34,0,1029,
2020-12-29 00:00:00,2,596,2,14,0,31,1,547,
2020-05-17 00:00:00,0,88,0,3,0,0,0,84,
2022-03-01 00:00:00,33266,1084872,0,0,16,20561,0,0,
2021-05-05 00:00:00,3,826,4,105,0,31,0,684,
2022-02-25 00:00:00,25028,922222,0,0,19,20488,0,0,
2021-07-25 00:00:00,4582,61689,5469,55095,0,267,0,1416,
2021-09-30 00:00:00,4388,392192,0,0,106,14957,0,1416,
2021-09-02 00:00:00,6012,238438,5811,113482,201,9798,0,1416,
2020-05-15 00:00:00,0,88,0,3,0,0,0,84,
2022-03-15 00:00:00,54617,1821187,0,0,7,20779,0,0,
2022-04-28 00:00:00,2800,2821229,0,0,0,20995,0,0,
2021-09-24 00:00:00,3790,369402,0,0,141,14224,0,1416,
2022-01-28 00:00:00,3483,631492,0,0,11,20130,0,0,
2022-03-03 00:00:00,34563,1162891,0,0,20,20595,0,0,
2020-10-21 00:00:00,0,512,0,5,0,31,0,471,
2021-01-09 00:00:00,0,602,0,11,0,31,2,556,
2022-02-21 00:00:00,14729,816513,0,0,13,20423,0,0,
2021-12-22 00:00:00,1973,528988,0,0,39,19361,0,0,
2020-12-22 00:00:00,0,592,0,20,0,31,6,536,
2020-07-02 00:00:00,0,94,0,2,0,0,0,90,
2020-07-22 00:00:00,0,94,0,0,0,0,0,92,
2020-07-24 00:00:00,0,94,0,0,0,0,0,92,
2020-10-17 00:00:00,1,510,1,3,0,31,0,471,
2021-08-17 00:00:00,3697,159398,221,76877,285,5247,0,1416,
2020-10-16 00:00:00,0,509,0,2,0,31,0,471,
2021-10-03 00:00:00,2463,401058,0,0,79,15255,0,1416,
2021-05-20 00:00:00,10,1095,6,318,0,31,1,733,
2021-04-05 00:00:00,3,696,2,20,0,31,2,640,
2022-04-16 00:00:00,6934,2772666,0,0,2,20988,0,0,
2021-03-04 00:00:00,0,676,0,11,0,31,2,630,
2021-07-28 00:00:00,4519,78635,71,64490,91,487,0,1416,
2021-01-04 00:00:00,2,601,2,14,0,31,0,552,
2020-03-28 00:00:00,1,66,0,0,0,0,0,17,
2022-03-07 00:00:00,35631,1351487,0,0,13,20667,0,0,
2020-08-04 00:00:00,23,259,21,158,2,6,0,92,
2020-06-11 00:00:00,0,92,0,3,0,0,0,87,
2020-09-28 00:00:00,2,508,2,2,0,31,0,469,
2021-03-11 00:00:00,0,681,0,13,0,31,0,633,
2021-12-06 00:00:00,1691,499725,0,0,86,18494,0,0,
2022-01-08 00:00:00,2560,567436,0,0,13,19853,0,0,
2022-01-12 00:00:00,2951,578888,0,0,20,19925,0,0,
2022-02-04 00:00:00,3409,650953,0,0,10,20205,0,0,
2020-11-21 00:00:00,0,550,0,38,0,31,0,477,
2021-08-11 00:00:00,3492,135775,3230,79495,262,3627,0,1416,
2021-11-12 00:00:00,1552,452918,0,0,43,17209,0,0,
2021-05-19 00:00:00,6,1085,2,312,0,31,0,732,
2021-10-18 00:00:00,1033,422624,0,0,52,16349,0,1416,
2020-08-08 00:00:00,15,350,15,248,0,8,0,92,
2021-03-14 00:00:00,1,682,1,13,0,31,0,634,
2022-02-02 00:00:00,2198,646290,0,0,0,20170,0,0,
2021-10-23 00:00:00,840,428479,0,0,42,16555,0,1416,
2022-03-16 00:00:00,56025,1877213,0,0,11,20790,0,0,
2020-09-16 00:00:00,0,506,0,17,0,31,3,447,
2022-01-22 00:00:00,3430,610120,0,0,11,20061,0,0,
2020-09-06 00:00:00,0,506,0,79,0,31,10,391,
2020-10-18 00:00:00,0,510,0,3,0,31,0,471,
2021-07-15 00:00:00,625,15724,5137,23817,72,137,2,1393,
2021-02-14 00:00:00,0,673,0,61,0,31,0,577,
2022-03-31 00:00:00,27427,2529086,0,0,6,20923,0,0,
2021-06-08 00:00:00,0,1664,44,731,0,34,0,897,
2021-01-23 00:00:00,0,617,2,21,0,31,0,563,
2021-09-29 00:00:00,4701,387804,0,0,113,14851,0,1416,
2021-08-22 00:00:00,4622,180391,3803,84215,599,6721,0,1416,
2022-03-21 00:00:00,42979,2157022,0,0,9,20851,0,0,
2021-08-03 00:00:00,4253,104589,1337,72025,334,1716,0,1416,
2021-05-21 00:00:00,3,1098,1,306,1,32,0,733,
2021-12-25 00:00:00,1945,533831,0,0,35,19469,0,0,
2021-05-10 00:00:00,38,929,1,182,0,31,10,710,
2021-11-09 00:00:00,1486,448367,0,0,38,17085,0,1416,
2021-03-18 00:00:00,0,682,0,11,0,31,0,636,
2022-03-11 00:00:00,44246,1567126,0,0,9,20730,0,0,
2022-04-27 00:00:00,3165,2817902,0,0,0,20995,0,0,
2021-11-23 00:00:00,1502,469727,0,0,62,17686,0,0,
2022-03-06 00:00:00,40135,1315854,0,0,18,20654,0,0,
2020-09-19 00:00:00,0,506,0,12,0,31,1,452,
2020-06-03 00:00:00,0,91,0,5,0,0,0,84,
2020-10-27 00:00:00,0,512,0,4,0,31,0,472,
2021-08-16 00:00:00,3446,155701,3131,76656,315,4962,0,1416,
2022-03-18 00:00:00,49790,1999289,0,0,13,20817,0,0,
2020-12-18 00:00:00,0,591,0,27,0,31,1,528,
2022-03-17 00:00:00,57097,1954286,0,0,14,20804,0,0,
2021-11-14 00:00:00,1150,455476,0,0,23,17270,0,0,
2022-03-19 00:00:00,46465,2045756,0,0,16,20833,0,0,
2021-09-19 00:00:00,5498,343401,0,0,182,13376,0,1416,
2021-01-19 00:00:00,1,612,1,15,0,31,0,562,
2021-07-10 00:00:00,1232,9726,800,10899,0,55,0,1322,
2020-10-13 00:00:00,0,509,0,2,0,31,0,471,
2021-02-15 00:00:00,0,673,0,57,0,31,6,583,
2021-12-20 00:00:00,1191,525431,0,0,51,19276,0,0,
2021-01-21 00:00:00,0,616,0,18,0,31,1,563,
2020-12-20 00:00:00,1,592,1,26,0,31,0,530,
2021-06-19 00:00:00,108,3146,139,1677,0,34,7,1029,
2021-11-20 00:00:00,1341,464772,0,0,42,17515,0,0,
2022-02-22 00:00:00,17537,833964,0,0,6,20429,0,0,
2020-05-25 00:00:00,1,91,1,5,0,0,0,84,
2020-12-12 00:00:00,1,589,1,38,0,31,0,515,
2021-11-18 00:00:00,2011,461878,0,0,42,17418,0,0,
2021-03-01 00:00:00,0,676,0,14,0,31,3,628,
2020-11-25 00:00:00,4,557,4,40,0,31,0,482,
2022-02-15 00:00:00,9468,721468,0,0,12,20327,0,0,
2021-07-14 00:00:00,901,15099,2162,18680,10,65,41,1391,
2020-04-13 00:00:00,9,86,27,27,0,0,0,58,
2020-07-17 00:00:00,0,94,0,0,0,0,0,92,
2021-07-07 00:00:00,1082,8494,200,7688,0,49,0,1322,
2022-01-25 00:00:00,3565,620696,0,0,13,20095,0,0,
2022-04-20 00:00:00,4835,2793713,0,0,1,20990,0,0,
2020-09-29 00:00:00,0,508,0,2,0,31,0,469,
2020-04-15 00:00:00,0,86,0,17,0,0,1,67,
2022-02-06 00:00:00,3486,657395,0,0,11,20227,0,0,
2022-03-29 00:00:00,30359,2472538,0,0,6,20911,0,0,
2021-07-06 00:00:00,0,7412,748,7488,2,49,0,1322,
2020-05-16 00:00:00,0,88,0,3,0,0,0,84,
2021-01-16 00:00:00,0,610,0,16,0,31,0,560,
2021-04-04 00:00:00,0,693,0,19,0,31,0,638,
2021-08-26 00:00:00,4094,199189,3767,95753,242,7867,0,1416,
2020-05-01 00:00:00,0,87,0,11,0,0,0,78,
