date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,1,514,0,204,1,26,4,280,
2020-11-13 00:00:00,3,560,2,37,0,31,0,489,
2021-09-18 00:00:00,4238,338027,0,0,165,13194,0,1504,
2020-04-20 00:00:00,0,94,0,10,0,0,2,82,
2020-08-30 00:00:00,0,516,0,156,0,28,18,327,
2021-06-20 00:00:00,138,3236,159,1838,0,34,0,1117,
2020-12-29 00:00:00,2,616,2,14,0,31,1,567,
2020-05-17 00:00:00,0,96,0,6,0,0,0,91,
2022-03-01 00:00:00,37277,1173661,0,0,18,20587,0,0,
2021-05-05 00:00:00,3,914,4,109,0,31,0,762,
2022-02-25 00:00:00,29643,961243,0,0,20,20504,0,0,
2021-07-25 00:00:00,4582,61793,5469,55109,0,267,0,1504,
2021-09-30 00:00:00,4388,392320,0,0,106,14957,0,1504,
2021-09-02 00:00:00,6012,238559,5811,113486,201,9798,0,1504,
2020-05-15 00:00:00,1,96,1,6,0,0,0,91,
2022-03-15 00:00:00,57609,2029994,0,0,15,20859,0,0,
2022-04-28 00:00:00,3052,3162046,0,0,0,21132,0,0,
2021-09-24 00:00:00,3790,369526,0,0,141,14224,0,1504,
2022-01-28 00:00:00,3826,643697,0,0,11,20137,0,0,
2022-03-03 00:00:00,38519,1259628,0,0,23,20628,0,0,
2020-10-21 00:00:00,0,528,0,10,0,31,0,482,
2021-01-09 00:00:00,0,624,0,13,0,31,2,576,
2022-02-21 00:00:00,16627,846963,0,0,13,20436,0,0,
2021-12-22 00:00:00,2107,531064,0,0,39,19362,0,0,
2020-12-22 00:00:00,0,612,0,20,0,31,6,556,
2020-07-02 00:00:00,0,103,0,2,0,0,0,99,
2020-07-22 00:00:00,0,104,0,1,0,0,0,101,
2020-07-24 00:00:00,1,105,1,2,0,0,0,101,
2020-10-17 00:00:00,1,521,1,3,0,31,0,482,
2021-08-17 00:00:00,3697,159502,221,76891,285,5247,0,1504,
2020-10-16 00:00:00,0,520,0,2,0,31,0,482,
2021-10-03 00:00:00,2463,401188,0,0,79,15255,0,1504,
2021-05-20 00:00:00,10,1185,6,323,0,31,1,811,
2021-04-05 00:00:00,3,781,2,34,0,31,2,711,
2022-04-16 00:00:00,7758,3104204,0,0,2,21122,0,0,
2021-03-04 00:00:00,0,759,0,39,0,31,2,685,
2021-07-28 00:00:00,4519,78739,71,64504,91,487,0,1504,
2021-01-04 00:00:00,2,623,2,16,0,31,0,572,
2020-03-28 00:00:00,1,73,0,0,0,0,0,17,
2022-03-07 00:00:00,38546,1479985,0,0,13,20710,0,0,
2020-08-04 00:00:00,23,270,21,158,2,6,0,103,
2020-06-11 00:00:00,0,100,0,3,0,0,0,95,
2020-09-28 00:00:00,2,519,2,2,0,31,0,480,
2021-03-11 00:00:00,0,764,0,36,0,31,5,693,
2021-12-06 00:00:00,1753,500714,0,0,86,18495,0,0,
2022-01-08 00:00:00,2903,573073,0,0,15,19856,0,0,
2022-01-12 00:00:00,3270,585698,0,0,20,19929,0,0,
2022-02-04 00:00:00,3525,664177,0,0,10,20213,0,0,
2020-11-21 00:00:00,1,570,1,42,0,31,0,493,
2021-08-11 00:00:00,3492,135879,3230,79509,262,3627,0,1504,
2021-11-12 00:00:00,1575,453221,0,0,43,17209,0,0,
2021-05-19 00:00:00,6,1175,2,317,0,31,0,810,
2021-10-18 00:00:00,1033,422754,0,0,52,16349,0,1504,
2020-08-08 00:00:00,15,361,15,248,0,8,0,103,
2021-03-14 00:00:00,1,766,1,36,0,31,0,695,
2022-02-02 00:00:00,2298,659308,0,0,0,20178,0,0,
2021-10-23 00:00:00,841,428613,0,0,42,16555,0,1504,
2022-03-16 00:00:00,59024,2089019,0,0,14,20873,0,0,
2020-09-16 00:00:00,0,517,0,17,0,31,3,458,
2022-01-22 00:00:00,3768,620247,0,0,11,20067,0,0,
2020-09-06 00:00:00,0,517,0,79,0,31,10,402,
2020-10-18 00:00:00,5,526,5,8,0,31,0,482,
2021-07-15 00:00:00,625,15823,5137,23826,72,137,2,1481,
2021-02-14 00:00:00,0,754,0,120,0,31,0,599,
2022-03-31 00:00:00,29936,2822494,0,0,8,21046,0,0,
2021-06-08 00:00:00,0,1754,44,733,0,34,0,985,
2021-01-23 00:00:00,0,639,2,23,0,31,0,583,
2021-09-29 00:00:00,4701,387932,0,0,113,14851,0,1504,
