date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,1,524,0,209,1,26,4,285,
2020-11-13 00:00:00,3,581,2,46,0,31,0,500,
2021-09-18 00:00:00,4238,343987,0,0,165,13207,0,5096,
2020-04-20 00:00:00,0,98,0,10,0,0,2,86,
2020-08-30 00:00:00,0,526,0,161,0,28,18,332,
2021-06-20 00:00:00,406,8772,183,5993,0,37,0,2553,
2020-12-29 00:00:00,2,637,2,14,0,31,1,587,
2020-05-17 00:00:00,0,100,0,6,0,0,0,95,
2022-03-01 00:00:00,39486,1224904,0,0,18,20623,0,0,
2021-05-05 00:00:00,3,941,4,111,0,31,0,787,
2022-02-25 00:00:00,33206,1004294,0,0,20,20531,0,0,
2021-07-25 00:00:00,4582,67753,5469,55408,0,279,0,5096,
2021-09-30 00:00:00,4388,398280,0,0,106,14970,0,5096,
2021-09-02 00:00:00,6015,244519,5811,113716,201,9811,0,5096,
2020-05-15 00:00:00,1,100,1,6,0,0,0,95,
2022-03-15 00:00:00,60606,2232031,0,0,19,20932,0,0,
2022-04-28 00:00:00,3122,3547178,0,0,0,21223,0,0,
2021-09-24 00:00:00,3790,375486,0,0,141,14237,0,5096,
2022-01-28 00:00:00,4183,658127,0,0,11,20154,0,0,
2022-03-03 00:00:00,41192,1328781,0,0,23,20669,0,0,
2020-10-21 00:00:00,2,540,2,12,0,31,0,492,
2021-01-09 00:00:00,0,645,0,13,0,31,2,596,
2022-02-21 00:00:00,18249,876782,0,0,13,20460,0,0,
2021-12-22 00:00:00,2137,538502,0,0,39,19376,0,0,
2020-12-22 00:00:00,0,633,0,20,0,31,6,576,
2020-07-02 00:00:00,0,107,0,2,0,0,0,103,
2020-07-22 00:00:00,0,108,0,1,0,0,0,105,
2020-07-24 00:00:00,1,109,1,2,0,0,0,105,
2020-10-17 00:00:00,1,531,1,3,0,31,0,492,
2021-08-17 00:00:00,3697,165462,221,77198,285,5259,0,5096,
2020-10-16 00:00:00,0,530,0,2,0,31,0,492,
2021-10-03 00:00:00,2464,407148,0,0,79,15268,0,5096,
2021-05-20 00:00:00,153,1882,71,1006,0,31,1,838,
2021-04-05 00:00:00,4,807,3,38,0,31,2,733,
2022-04-16 00:00:00,8632,3484050,0,0,2,21213,0,0,
2021-03-04 00:00:00,0,781,0,39,0,31,3,707,
2021-07-28 00:00:00,4519,84699,71,64803,91,499,0,5096,
2021-01-04 00:00:00,2,644,2,16,0,31,0,592,
2020-03-28 00:00:00,1,76,0,0,0,0,0,17,
