date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,1,525,0,209,1,26,4,286,
2020-11-13 00:00:00,3,589,2,52,0,31,0,502,
2021-09-18 00:00:00,4238,345887,0,0,165,13222,0,6138,
2020-04-20 00:00:00,0,99,0,10,0,0,2,87,
2020-08-30 00:00:00,0,527,0,161,0,28,18,333,
2021-06-20 00:00:00,430,10331,183,6902,0,43,0,3235,
2020-12-29 00:00:00,2,645,2,14,0,31,1,595,
2020-05-17 00:00:00,0,101,0,6,0,0,0,96,
2022-03-01 00:00:00,43419,1307573,0,0,20,20735,0,0,
2021-05-05 00:00:00,3,969,4,120,0,31,0,806,
2022-02-25 00:00:00,35345,1075376,0,0,20,20638,0,0,
2021-07-25 00:00:00,4588,69507,5474,55545,0,291,0,6138,
2021-09-30 00:00:00,4388,400182,0,0,106,14985,0,6138,
2021-09-02 00:00:00,6018,246389,5814,113967,201,9826,0,6138,
2020-05-15 00:00:00,1,101,1,6,0,0,0,96,
2022-03-15 00:00:00,65613,2468731,0,0,19,21060,0,0,
2022-04-28 00:00:00,3269,3886080,0,0,0,21358,0,0,
2021-09-24 00:00:00,3790,377388,0,0,141,14252,0,6138,
2022-01-28 00:00:00,5196,682061,0,0,11,20201,0,0,
2022-03-03 00:00:00,46840,1421796,0,0,23,20782,0,0,
2020-10-21 00:00:00,2,541,3,13,0,31,0,493,
2021-01-09 00:00:00,0,653,0,13,0,31,2,604,
2022-02-21 00:00:00,20831,938003,0,0,13,20564,0,0,
2021-12-22 00:00:00,2383,547382,0,0,39,19393,0,0,
2020-12-22 00:00:00,0,641,0,20,0,31,6,584,
2020-07-02 00:00:00,0,108,0,2,0,0,0,104,
2020-07-22 00:00:00,0,109,0,1,0,0,0,106,
2020-07-24 00:00:00,1,110,1,2,0,0,0,106,
2020-10-17 00:00:00,1,532,1,3,0,31,0,493,
2021-08-17 00:00:00,3719,167276,241,77392,285,5274,0,6138,
2020-10-16 00:00:00,0,531,0,2,0,31,0,493,
2021-10-03 00:00:00,2464,409050,0,0,79,15283,0,6138,
2021-05-20 00:00:00,198,2292,88,1382,0,33,1,865,
2021-04-05 00:00:00,4,828,3,44,0,31,2,748,
2022-04-16 00:00:00,8930,3820832,0,0,2,21348,0,0,
2021-03-04 00:00:00,0,794,0,41,0,31,3,718,
2021-07-28 00:00:00,4519,86453,71,64940,91,512,0,6138,
2021-01-04 00:00:00,2,652,2,16,0,31,0,600,
2020-03-28 00:00:00,1,77,0,0,0,0,0,17,
2022-03-07 00:00:00,49212,1737692,0,0,13,20872,0,0,
2020-08-04 00:00:00,23,275,21,158,2,6,0,108,
2020-06-11 00:00:00,0,105,0,3,0,0,0,100,
2020-09-28 00:00:00,2,530,2,3,0,31,0,490,
2021-03-11 00:00:00,0,801,0,40,0,31,5,726,
2021-12-06 00:00:00,1878,513144,0,0,86,18525,0,0,
2022-01-08 00:00:00,3467,596678,0,0,15,19888,0,0,
2022-01-12 00:00:00,3808,611384,0,0,23,19965,0,0,
2022-02-04 00:00:00,3961,719821,0,0,13,20301,0,0,
2020-11-21 00:00:00,1,599,1,47,0,31,0,516,
2021-08-11 00:00:00,3492,143598,3230,79957,262,3653,0,6138,
2021-11-12 00:00:00,1666,462395,0,0,43,17237,0,0,
2021-05-19 00:00:00,53,2094,142,1294,0,33,0,864,
2021-10-18 00:00:00,1037,430650,0,0,52,16377,0,6138,
2020-08-08 00:00:00,17,371,17,253,0,8,0,108,
2021-03-14 00:00:00,1,803,1,40,0,31,0,728,
2022-02-02 00:00:00,2613,714236,0,0,0,20249,0,0,
2021-10-23 00:00:00,848,436543,0,0,42,16583,0,6138,
2022-03-16 00:00:00,67753,2536485,0,0,16,21076,0,0,
2020-09-16 00:00:00,0,528,0,21,0,31,3,465,
2022-01-22 00:00:00,4440,652562,0,0,13,20116,0,0,
2020-09-06 00:00:00,0,528,0,83,0,31,10,409,
2020-10-18 00:00:00,5,537,5,8,0,31,0,493,
2021-07-15 00:00:00,650,23429,5137,23970,73,156,67,6076,
2021-02-14 00:00:00,0,789,0,127,0,31,0,627,
2022-03-31 00:00:00,34277,3462358,0,0,8,21266,0,0,
2021-06-08 00:00:00,0,6288,158,4769,0,40,0,1487,
2021-01-23 00:00:00,0,668,2,23,0,31,0,611,
2021-09-29 00:00:00,4701,395794,0,0,113,14879,0,6138,
2021-08-22 00:00:00,4639,188307,3820,84673,599,6749,0,6138,
2022-03-21 00:00:00,53820,2938977,0,0,11,21159,0,0,
2021-08-03 00:00:00,4255,112408,1339,72478,334,1742,0,6138,
2021-05-21 00:00:00,117,2409,112,1481,1,34,0,865,
2021-12-25 00:00:00,2441,553555,0,0,35,19501,0,0,
2021-05-10 00:00:00,82,1206,9,324,0,31,11,838,
2021-11-09 00:00:00,1570,457553,0,0,38,17113,0,6138,
