date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,1,704,0,238,1,26,4,436,
2020-11-13 00:00:00,3,781,2,54,0,31,0,692,
2021-09-18 00:00:00,4257,351238,0,0,166,13272,0,7460,
2020-04-20 00:00:00,0,219,0,48,0,0,2,163,
2020-08-30 00:00:00,0,707,0,191,0,28,18,483,
2021-06-20 00:00:00,430,11885,183,7188,0,59,0,4490,
2020-12-29 00:00:00,2,865,2,30,0,31,1,799,
2020-05-17 00:00:00,0,222,0,11,0,0,0,205,
2022-03-01 00:00:00,59097,1650028,0,0,45,21779,0,0,
2021-05-05 00:00:00,20,2012,29,166,0,31,0,1800,
2022-02-25 00:00:00,47622,1359890,0,0,42,21591,0,0,
2021-07-25 00:00:00,4603,71534,5489,56023,0,311,0,7460,
2021-09-30 00:00:00,4389,405610,0,0,106,15037,0,7460,
2021-09-02 00:00:00,6068,251266,5861,115724,202,9869,0,7460,
2020-05-15 00:00:00,1,221,1,10,0,0,0,205,
2022-03-15 00:00:00,97785,3470340,0,0,29,22314,0,0,
2022-04-28 00:00:00,4443,5832824,0,0,0,22692,0,0,
2021-09-24 00:00:00,3795,382797,0,0,141,14304,0,7460,
2022-01-28 00:00:00,8422,816711,0,0,35,20651,0,0,
2022-03-03 00:00:00,67861,1832070,0,0,50,21871,0,0,
2020-10-21 00:00:00,2,731,3,16,0,31,0,680,
2021-01-09 00:00:00,1,888,1,37,0,31,4,814,
2022-02-21 00:00:00,28123,1178706,0,0,51,21435,0,0,
2021-12-22 00:00:00,4096,579370,0,0,44,19474,0,0,
2020-12-22 00:00:00,3,851,2,29,0,31,8,786,
2020-07-02 00:00:00,0,233,0,4,0,0,2,227,
2020-07-22 00:00:00,1,235,1,2,0,0,0,231,
2020-07-24 00:00:00,1,236,1,3,0,0,0,231,
2020-10-17 00:00:00,1,722,1,6,0,31,0,680,
2021-08-17 00:00:00,3780,171057,302,79591,285,5307,0,7460,
2020-10-16 00:00:00,0,721,0,5,0,31,0,680,
2021-10-03 00:00:00,2468,414505,0,0,79,15319,0,7460,
2021-05-20 00:00:00,211,3608,94,1674,2,35,1,1873,
2021-04-05 00:00:00,4,1832,3,93,0,31,31,1702,
2022-04-16 00:00:00,10728,5711336,0,0,2,22679,0,0,
2021-03-04 00:00:00,6,1765,4,469,0,31,11,1259,
2021-07-28 00:00:00,4599,88664,82,65603,91,532,0,7460,
2021-01-04 00:00:00,2,879,2,37,0,31,0,805,
2020-03-28 00:00:00,1,78,0,0,0,0,0,17,
2022-03-07 00:00:00,85328,2267937,0,0,32,22027,0,0,
2020-08-04 00:00:00,24,424,22,181,2,6,0,234,
2020-06-11 00:00:00,0,228,0,4,0,0,0,217,
2020-09-28 00:00:00,3,718,3,7,0,31,0,673,
2021-03-11 00:00:00,1,1788,1,372,0,31,39,1380,
2021-12-06 00:00:00,2553,528895,0,0,86,18573,0,0,
2022-01-08 00:00:00,6439,667308,0,0,28,20073,0,0,
2022-01-12 00:00:00,7001,694276,0,0,36,20188,0,0,
2022-02-04 00:00:00,7034,876068,0,0,14,20881,0,0,
2020-11-21 00:00:00,1,795,1,54,0,31,0,706,
2021-08-11 00:00:00,3536,147000,3275,81790,262,3683,0,7460,
2021-11-12 00:00:00,1872,469770,0,0,43,17278,0,0,
