date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,1,709,0,238,1,26,4,441,
2020-11-13 00:00:00,3,800,2,66,0,31,0,699,
2021-09-18 00:00:00,4257,351601,0,0,166,13273,0,7528,
2020-04-20 00:00:00,0,220,0,48,0,0,2,164,
2020-08-30 00:00:00,0,712,0,191,0,28,18,488,
2021-06-20 00:00:00,430,11962,183,7200,0,59,0,4553,
2020-12-29 00:00:00,2,893,2,36,0,31,1,821,
2020-05-17 00:00:00,0,223,0,11,0,0,0,206,
2022-03-01 00:00:00,62490,1697701,0,0,45,21781,0,0,
2021-05-05 00:00:00,20,2053,29,172,0,31,0,1836,
2022-02-25 00:00:00,50025,1394674,0,0,42,21593,0,0,
2021-07-25 00:00:00,4603,71826,5490,56240,0,311,0,7528,
2021-09-30 00:00:00,4389,405973,0,0,106,15038,0,7528,
2021-09-02 00:00:00,6068,251602,5861,115856,202,9870,0,7528,
2020-05-15 00:00:00,1,222,1,10,0,0,0,206,
2022-03-15 00:00:00,102691,3609676,0,0,29,22319,0,0,
2022-04-28 00:00:00,4608,6071340,0,0,0,22697,0,0,
2021-09-24 00:00:00,3795,383160,0,0,141,14305,0,7528,
2022-01-28 00:00:00,8796,833878,0,0,35,20653,0,0,
2022-03-03 00:00:00,71358,1886698,0,0,50,21873,0,0,
2020-10-21 00:00:00,2,739,3,18,0,31,0,686,
2021-01-09 00:00:00,1,919,1,42,0,31,4,840,
2022-02-21 00:00:00,28922,1206163,0,0,51,21437,0,0,
2021-12-22 00:00:00,4357,582377,0,0,44,19476,0,0,
2020-12-22 00:00:00,5,876,4,32,0,31,8,808,
2020-07-02 00:00:00,0,238,0,4,0,0,4,232,
2020-07-22 00:00:00,1,240,1,2,0,0,0,236,
2020-07-24 00:00:00,1,241,1,3,0,0,0,236,
2020-10-17 00:00:00,1,730,1,8,0,31,0,686,
2021-08-17 00:00:00,3780,171383,302,79819,285,5308,0,7528,
2020-10-16 00:00:00,0,729,0,7,0,31,0,686,
2021-10-03 00:00:00,2468,414870,0,0,79,15320,0,7528,
2021-05-20 00:00:00,211,3676,94,1706,2,35,1,1910,
2021-04-05 00:00:00,4,1866,3,93,0,31,31,1736,
2022-04-16 00:00:00,11015,5947342,0,0,2,22684,0,0,
2021-03-04 00:00:00,6,1799,4,469,0,31,14,1293,
2021-07-28 00:00:00,4599,88957,82,65820,91,532,0,7528,
2021-01-04 00:00:00,2,910,2,45,0,31,0,828,
2020-03-28 00:00:00,1,78,0,0,0,0,0,17,
2022-03-07 00:00:00,89306,2337967,0,0,32,22029,0,0,
2020-08-04 00:00:00,24,429,22,181,2,6,0,239,
2020-06-11 00:00:00,0,229,0,4,0,0,0,218,
2020-09-28 00:00:00,3,724,3,8,0,31,0,678,
2021-03-11 00:00:00,1,1822,1,372,0,31,39,1414,
2021-12-06 00:00:00,2613,530022,0,0,86,18575,0,0,
2022-01-08 00:00:00,6823,674992,0,0,28,20075,0,0,
2022-01-12 00:00:00,7271,703366,0,0,36,20190,0,0,
2022-02-04 00:00:00,7298,895287,0,0,14,20883,0,0,
2020-11-21 00:00:00,1,818,1,63,0,31,0,720,
2021-08-11 00:00:00,3536,147302,3275,82016,262,3683,0,7528,
2021-11-12 00:00:00,1890,470323,0,0,43,17280,0,0,
2021-05-19 00:00:00,65,3465,157,1612,0,33,0,1909,
2021-10-18 00:00:00,1043,436595,0,0,52,16416,0,7528,
2020-08-08 00:00:00,18,529,18,280,0,8,0,239,
2021-03-14 00:00:00,1,1830,1,341,0,31,0,1452,
2022-02-02 00:00:00,5707,883115,0,0,0,20773,0,0,
2021-10-23 00:00:00,855,442543,0,0,42,16623,0,7528,
2022-03-16 00:00:00,103478,3713155,0,0,21,22340,0,0,
2020-09-16 00:00:00,0,718,0,32,0,31,3,644,
2022-01-22 00:00:00,8402,781716,0,0,29,20454,0,0,
2020-09-06 00:00:00,0,718,0,108,0,31,10,574,
2020-10-18 00:00:00,5,735,5,13,0,31,0,686,
2021-07-15 00:00:00,672,25268,5149,24241,73,175,71,7466,
2021-02-14 00:00:00,33,1555,33,573,0,31,3,947,
2022-03-31 00:00:00,46979,5508373,0,0,8,22581,0,0,
2021-06-08 00:00:00,0,7892,158,5147,0,51,0,2697,
2021-01-23 00:00:00,0,937,2,39,0,31,0,864,
2021-09-29 00:00:00,4706,401584,0,0,113,14932,0,7528,
2021-08-22 00:00:00,4650,192682,3829,87358,601,6787,0,7528,
2022-03-21 00:00:00,78264,4606468,0,0,14,22446,0,0,
2021-08-03 00:00:00,4357,115526,1437,73967,336,1765,0,7528,
2021-05-21 00:00:00,124,3800,120,1813,2,37,0,1910,
2021-12-25 00:00:00,4700,595085,0,0,40,19599,0,0,
2021-05-10 00:00:00,120,2441,39,512,0,31,11,1874,
2021-11-09 00:00:00,1859,464942,0,0,39,17156,0,7528,
2021-03-18 00:00:00,2,1838,2,258,0,31,0,1542,
2022-03-11 00:00:00,96766,2849820,0,0,31,22180,0,0,
2022-04-27 00:00:00,5181,6066205,0,0,0,22697,0,0,
2021-11-23 00:00:00,1964,491658,0,0,62,17761,0,0,
2022-03-06 00:00:00,90991,2248659,0,0,36,21997,0,0,
2020-09-19 00:00:00,0,720,0,29,0,31,1,649,
2020-06-03 00:00:00,0,228,0,9,0,0,0,212,
2020-10-27 00:00:00,0,750,0,25,0,31,0,689,
2021-08-16 00:00:00,3508,167603,3191,79517,318,5023,0,7528,
2022-03-18 00:00:00,93724,4114374,0,0,24,22394,0,0,
2020-12-18 00:00:00,0,869,0,36,0,31,2,797,
2022-03-17 00:00:00,102125,3991134,0,0,30,22370,0,0,
2021-11-14 00:00:00,1348,473343,0,0,24,17342,0,0,
2022-03-19 00:00:00,85262,4424889,0,0,21,22415,0,0,
2021-09-19 00:00:00,5519,357120,0,0,182,13455,0,7528,
2021-01-19 00:00:00,1,932,1,36,0,31,0,860,
2021-07-10 00:00:00,1267,19028,818,12181,0,91,0,6940,
2020-10-13 00:00:00,0,727,0,6,0,31,1,685,
2021-02-15 00:00:00,41,1596,16,585,0,31,12,959,
2021-12-20 00:00:00,3479,574111,0,0,51,19378,0,0,
2021-01-21 00:00:00,0,936,0,36,0,31,3,864,
2020-12-20 00:00:00,1,871,1,35,0,31,0,800,
2021-06-19 00:00:00,169,11962,139,7028,2,59,314,4553,
2021-11-20 00:00:00,1745,485254,0,0,43,17589,0,0,
2022-02-22 00:00:00,35623,1241700,0,0,23,21460,0,0,
2020-05-25 00:00:00,1,227,1,11,0,0,1,209,
2020-12-12 00:00:00,1,867,1,55,0,31,0,776,
2021-11-18 00:00:00,2397,481495,0,0,42,17491,0,0,
2021-03-01 00:00:00,9,1777,0,460,0,31,15,1279,
2020-11-25 00:00:00,4,829,4,67,0,31,0,727,
2022-02-15 00:00:00,18985,1038776,0,0,27,21237,0,0,
2021-07-14 00:00:00,969,24596,2189,19742,11,102,201,7395,
2020-04-13 00:00:00,9,217,92,92,0,0,2,118,
2020-07-17 00:00:00,0,238,0,0,0,0,1,236,
2021-07-07 00:00:00,1121,17761,208,8928,0,84,0,6940,
2022-01-25 00:00:00,8868,807428,0,0,33,20529,0,0,
2022-04-20 00:00:00,7868,5980466,0,0,1,22690,0,0,
2020-09-29 00:00:00,0,724,0,7,0,31,1,679,
2020-04-15 00:00:00,1,217,1,70,0,0,1,140,
2022-02-06 00:00:00,8044,910457,0,0,17,20957,0,0,
2022-03-29 00:00:00,51208,5400677,0,0,12,22567,0,0,
2021-07-06 00:00:00,0,16640,754,8900,3,84,0,6940,
2020-05-16 00:00:00,1,223,1,11,0,0,0,206,
2021-01-16 00:00:00,0,929,0,45,0,31,0,848,
2021-04-04 00:00:00,3,1862,0,119,0,31,0,1705,
2021-08-26 00:00:00,4151,211745,3819,99167,243,7935,0,7528,
2020-05-01 00:00:00,0,220,0,43,0,0,0,177,
2021-03-23 00:00:00,1,1841,0,227,0,31,12,1578,
2022-01-14 00:00:00,7352,718098,0,0,15,20239,0,0,
2021-10-14 00:00:00,925,432442,0,0,61,16207,0,7528,
2022-04-30 00:00:00,3428,6078535,0,0,0,22698,0,0,
2021-11-27 00:00:00,2828,502231,0,0,60,17985,0,0,
2020-10-14 00:00:00,0,727,0,6,0,31,0,685,
2020-06-22 00:00:00,0,233,0,10,0,0,1,221,
2021-05-24 00:00:00,185,4254,210,2242,2,40,56,1983,
2021-05-29 00:00:00,443,5671,212,3522,0,43,0,2067,
2020-03-27 00:00:00,7,77,0,0,0,0,3,17,
2021-08-15 00:00:00,4684,164095,168,76327,282,4705,0,7528,
2020-08-29 00:00:00,1,712,0,209,2,28,6,470,
2020-11-26 00:00:00,10,839,10,69,0,31,8,735,
2022-04-05 00:00:00,33600,5707413,0,0,10,22631,0,0,
2021-10-13 00:00:00,1355,431517,0,0,73,16146,0,7528,
2021-08-09 00:00:00,4146,139652,4136,74548,270,3109,0,7528,
2021-10-24 00:00:00,1109,443649,0,0,30,16653,0,7528,
2020-12-13 00:00:00,2,869,0,54,0,31,3,779,
2020-07-14 00:00:00,0,238,0,1,0,0,0,235,
