date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,1,715,0,240,1,26,4,445,
2020-11-13 00:00:00,3,816,2,76,0,31,0,705,
2021-09-18 00:00:00,4257,351646,0,0,166,13273,0,7561,
2020-04-20 00:00:00,0,220,0,48,0,0,2,164,
2020-08-30 00:00:00,0,718,0,193,0,28,18,492,
2021-06-20 00:00:00,430,12000,183,7207,0,59,0,4584,
2020-12-29 00:00:00,2,912,2,36,0,31,1,840,
2020-05-17 00:00:00,0,223,0,11,0,0,0,206,
2022-03-01 00:00:00,65064,1744213,0,0,48,21848,0,0,
2021-05-05 00:00:00,20,2079,29,174,0,31,0,1860,
2022-02-25 00:00:00,52410,1430768,0,0,45,21650,0,0,
2021-07-25 00:00:00,4603,71868,5490,56249,0,311,0,7561,
2021-09-30 00:00:00,4389,406018,0,0,106,15038,0,7561,
2021-09-02 00:00:00,6068,251647,5861,115859,202,9870,0,7561,
2020-05-15 00:00:00,1,222,1,10,0,0,0,206,
2022-03-15 00:00:00,107537,3741642,0,0,29,22411,0,0,
2022-04-28 00:00:00,4688,6306560,0,0,0,22799,0,0,
2021-09-24 00:00:00,3795,383205,0,0,141,14305,0,7561,
2022-01-28 00:00:00,9223,841494,0,0,40,20676,0,0,
2022-03-03 00:00:00,73968,1938419,0,0,51,21944,0,0,
2020-10-21 00:00:00,2,745,3,18,0,31,0,692,
2021-01-09 00:00:00,1,940,1,44,0,31,4,859,
2022-02-21 00:00:00,30704,1232798,0,0,51,21482,0,0,
2021-12-22 00:00:00,4389,583412,0,0,44,19479,0,0,
2020-12-22 00:00:00,5,895,4,32,0,31,8,827,
2020-07-02 00:00:00,0,238,0,4,0,0,4,232,
2020-07-22 00:00:00,5,244,5,6,0,0,0,236,
2020-07-24 00:00:00,1,245,1,7,0,0,0,236,
2020-10-17 00:00:00,1,736,1,8,0,31,0,692,
2021-08-17 00:00:00,3780,171428,302,79830,285,5308,0,7561,
2020-10-16 00:00:00,0,735,0,7,0,31,0,692,
2021-10-03 00:00:00,2468,414915,0,0,79,15320,0,7561,
2021-05-20 00:00:00,211,3709,94,1713,2,35,1,1935,
2021-04-05 00:00:00,4,1889,3,93,0,31,31,1759,
2022-04-16 00:00:00,11259,6180951,0,0,2,22786,0,0,
2021-03-04 00:00:00,6,1822,4,469,0,31,14,1316,
2021-07-28 00:00:00,4599,89000,82,65829,91,532,0,7561,
2021-01-04 00:00:00,2,931,2,47,0,31,0,847,
2020-03-28 00:00:00,1,78,0,0,0,0,0,17,
2022-03-07 00:00:00,93172,2435518,0,0,35,22109,0,0,
2020-08-04 00:00:00,24,435,22,183,2,6,4,243,
2020-06-11 00:00:00,0,229,0,4,0,0,0,218,
2020-09-28 00:00:00,3,730,3,8,0,31,0,684,
2021-03-11 00:00:00,1,1845,1,372,0,31,39,1437,
2021-12-06 00:00:00,2636,530606,0,0,86,18576,0,0,
2022-01-08 00:00:00,6986,677537,0,0,28,20079,0,0,
2022-01-12 00:00:00,7442,706530,0,0,36,20194,0,0,
2022-02-04 00:00:00,7556,904682,0,0,17,20911,0,0,
2020-11-21 00:00:00,1,837,1,71,0,31,0,731,
2021-08-11 00:00:00,3536,147347,3275,82027,262,3683,0,7561,
2021-11-12 00:00:00,1892,470380,0,0,43,17280,0,0,
2021-05-19 00:00:00,65,3498,157,1619,0,33,0,1934,
2021-10-18 00:00:00,1043,436640,0,0,52,16416,0,7561,
2020-08-08 00:00:00,18,535,18,282,0,8,0,243,
2021-03-14 00:00:00,1,1853,1,341,0,31,0,1475,
2022-02-02 00:00:00,5837,892040,0,0,0,20796,0,0,
2021-10-23 00:00:00,855,442589,0,0,42,16623,0,7561,
2022-03-16 00:00:00,107462,3849105,0,0,21,22432,0,0,
2020-09-16 00:00:00,0,724,0,32,0,31,3,650,
2022-01-22 00:00:00,8667,787117,0,0,29,20468,0,0,
2020-09-06 00:00:00,0,724,0,108,0,31,10,580,
2020-10-18 00:00:00,5,741,5,13,0,31,0,692,
2021-07-15 00:00:00,672,25308,5149,24248,73,175,71,7499,
2021-02-14 00:00:00,33,1578,33,575,0,31,3,968,
2022-03-31 00:00:00,48139,5703715,0,0,8,22681,0,0,
2021-06-08 00:00:00,0,7925,158,5152,0,51,0,2725,
2021-01-23 00:00:00,0,958,2,40,0,31,0,884,
2021-09-29 00:00:00,4706,401629,0,0,113,14932,0,7561,
2021-08-22 00:00:00,4650,192727,3829,87369,601,6787,0,7561,
2022-03-21 00:00:00,81057,4760646,0,0,16,22545,0,0,
2021-08-03 00:00:00,4357,115571,1437,73978,336,1765,0,7561,
2021-05-21 00:00:00,124,3833,120,1820,2,37,0,1935,
2021-12-25 00:00:00,4737,596239,0,0,40,19602,0,0,
2021-05-10 00:00:00,123,2472,40,518,0,31,11,1899,
2021-11-09 00:00:00,1862,464995,0,0,39,17156,0,7561,
2021-03-18 00:00:00,2,1861,2,258,0,31,0,1565,
2022-03-11 00:00:00,101047,2963649,0,0,33,22271,0,0,
2022-04-27 00:00:00,5264,6301345,0,0,0,22799,0,0,
2021-11-23 00:00:00,1999,491783,0,0,62,17761,0,0,
2022-03-06 00:00:00,93868,2342344,0,0,37,22074,0,0,
2020-09-19 00:00:00,0,726,0,29,0,31,1,655,
2020-06-03 00:00:00,0,228,0,9,0,0,0,212,
2020-10-27 00:00:00,0,756,0,25,0,31,0,695,
2021-08-16 00:00:00,3508,167648,3191,79528,318,5023,0,7561,
2022-03-18 00:00:00,97684,4258128,0,0,24,22489,0,0,
2020-12-18 00:00:00,0,888,0,36,0,31,2,816,
2022-03-17 00:00:00,105969,4130928,0,0,33,22465,0,0,
2021-11-14 00:00:00,1348,473400,0,0,24,17342,0,0,
2022-03-19 00:00:00,89248,4572630,0,0,21,22510,0,0,
2021-09-19 00:00:00,5519,357165,0,0,182,13455,0,7561,
2021-01-19 00:00:00,1,953,1,37,0,31,0,880,
2021-07-10 00:00:00,1267,19067,818,12187,0,91,0,6973,
2020-10-13 00:00:00,0,733,0,6,0,31,1,691,
2021-02-15 00:00:00,41,1619,16,585,0,31,14,982,
2021-12-20 00:00:00,3538,575082,0,0,51,19381,0,0,
2021-01-21 00:00:00,0,957,0,37,0,31,3,884,
2020-12-20 00:00:00,1,890,1,35,0,31,0,819,
2021-06-19 00:00:00,171,12000,139,7035,2,59,314,4584,
2021-11-20 00:00:00,1748,485329,0,0,43,17589,0,0,
2022-02-22 00:00:00,37710,1270422,0,0,26,21508,0,0,
2020-05-25 00:00:00,1,227,1,11,0,0,1,209,
2020-12-12 00:00:00,1,886,1,55,0,31,0,795,
2021-11-18 00:00:00,2399,481563,0,0,42,17491,0,0,
2021-03-01 00:00:00,9,1800,0,460,0,31,15,1302,
2020-11-25 00:00:00,4,848,4,73,0,31,0,740,
2022-02-15 00:00:00,19883,1056162,0,0,27,21274,0,0,
2021-07-14 00:00:00,969,24636,2189,19749,11,102,201,7428,
2020-04-13 00:00:00,9,217,92,92,0,0,2,118,
2020-07-17 00:00:00,0,238,0,0,0,0,1,236,
2021-07-07 00:00:00,1121,17800,208,8934,0,84,0,6973,
2022-01-25 00:00:00,9254,813778,0,0,36,20547,0,0,
2022-04-20 00:00:00,8048,6214731,0,0,1,22792,0,0,
2020-09-29 00:00:00,0,730,0,7,0,31,1,685,
2020-04-15 00:00:00,1,217,1,70,0,0,1,140,
