date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,1,720,0,241,1,26,4,449,
2020-11-13 00:00:00,3,821,2,76,0,31,0,710,
2021-09-18 00:00:00,4257,351735,0,0,166,13273,0,7611,
2020-04-20 00:00:00,0,224,0,48,0,0,2,168,
2020-08-30 00:00:00,0,723,0,194,0,28,18,496,
2021-06-20 00:00:00,430,12056,183,7238,0,59,0,4609,
2020-12-29 00:00:00,2,919,2,36,0,31,1,847,
2020-05-17 00:00:00,0,227,0,12,0,0,0,210,
2022-03-01 00:00:00,66159,1759849,0,0,51,21871,0,0,
2021-05-05 00:00:00,20,2101,29,188,0,31,0,1868,
2022-02-25 00:00:00,53029,1442861,0,0,46,21666,0,0,
2021-07-25 00:00:00,4604,71936,5491,56263,0,311,0,7611,
2021-09-30 00:00:00,4434,406413,0,0,106,15038,0,7611,
2021-09-02 00:00:00,6068,251730,5861,115881,202,9870,0,7611,
2020-05-15 00:00:00,1,226,1,11,0,0,0,210,
2022-03-15 00:00:00,109928,3787948,0,0,29,22461,0,0,
2022-04-28 00:00:00,4789,6390049,0,0,0,22862,0,0,
2021-09-24 00:00:00,3810,383358,0,0,141,14305,0,7611,
2022-01-28 00:00:00,9382,846802,0,0,40,20678,0,0,
2022-03-03 00:00:00,75613,1957045,0,0,53,21971,0,0,
2020-10-21 00:00:00,2,750,3,18,0,31,0,697,
2021-01-09 00:00:00,1,947,1,44,0,31,4,866,
2022-02-21 00:00:00,31033,1242914,0,0,53,21495,0,0,
2021-12-22 00:00:00,4413,585162,0,0,44,19479,0,0,
2020-12-22 00:00:00,5,902,4,32,0,31,8,834,
2020-07-02 00:00:00,0,242,0,4,0,0,4,236,
2020-07-22 00:00:00,5,248,5,6,0,0,0,240,
2020-07-24 00:00:00,1,249,1,7,0,0,0,240,
2020-10-17 00:00:00,1,741,1,8,0,31,0,697,
2021-08-17 00:00:00,3780,171503,302,79851,285,5308,0,7611,
2020-10-16 00:00:00,0,740,0,7,0,31,0,697,
2021-10-03 00:00:00,2507,415441,0,0,79,15320,0,7611,
2021-05-20 00:00:00,211,3751,94,1747,2,35,1,1943,
2021-04-05 00:00:00,4,1897,3,93,0,31,31,1767,
2022-04-16 00:00:00,11457,6263088,0,0,2,22848,0,0,
2021-03-04 00:00:00,6,1830,4,469,0,31,14,1324,
2021-07-28 00:00:00,4599,89068,82,65843,91,532,0,7611,
2021-01-04 00:00:00,2,938,2,47,0,31,0,854,
2020-03-28 00:00:00,1,78,0,0,0,0,0,17,
2022-03-07 00:00:00,95563,2462973,0,0,40,22143,0,0,
2020-08-04 00:00:00,24,440,22,184,2,6,4,247,
2020-06-11 00:00:00,0,233,0,4,0,0,0,222,
2020-09-28 00:00:00,3,735,3,8,0,31,0,689,
2021-03-11 00:00:00,1,1853,1,372,0,31,39,1445,
2021-12-06 00:00:00,2641,532124,0,0,86,18576,0,0,
2022-01-08 00:00:00,7081,680699,0,0,28,20079,0,0,
2022-01-12 00:00:00,7527,710065,0,0,36,20194,0,0,
2022-02-04 00:00:00,7668,911024,0,0,17,20914,0,0,
2020-11-21 00:00:00,1,844,1,73,0,31,0,736,
2021-08-11 00:00:00,3536,147421,3275,82047,262,3683,0,7611,
2021-11-12 00:00:00,1903,471575,0,0,43,17280,0,0,
2021-05-19 00:00:00,65,3540,157,1653,0,33,0,1942,
2021-10-18 00:00:00,1063,437486,0,0,52,16416,0,7611,
2020-08-08 00:00:00,18,540,18,283,0,8,0,247,
2021-03-14 00:00:00,1,1861,1,341,0,31,0,1483,
2022-02-02 00:00:00,5984,898133,0,0,0,20799,0,0,
2021-10-23 00:00:00,860,443511,0,0,42,16623,0,7611,
2022-03-16 00:00:00,109703,3897652,0,0,21,22482,0,0,
2020-09-16 00:00:00,0,729,0,32,0,31,3,655,
2022-01-22 00:00:00,8787,791599,0,0,29,20468,0,0,
2020-09-06 00:00:00,0,729,0,108,0,31,10,585,
