date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,1,728,0,244,1,26,4,454,
2020-11-13 00:00:00,3,833,2,82,0,31,0,720,
2021-09-18 00:00:00,4257,351808,0,0,166,13274,0,7631,
2020-04-20 00:00:00,0,224,0,48,0,0,2,168,
2020-08-30 00:00:00,0,731,0,197,0,28,18,501,
2021-06-20 00:00:00,431,12082,183,7244,0,59,0,4629,
2020-12-29 00:00:00,2,934,2,36,0,31,1,862,
2020-05-17 00:00:00,0,227,0,12,0,0,0,210,
2022-03-01 00:00:00,69231,1815029,0,0,52,21944,0,0,
2021-05-05 00:00:00,20,2120,29,192,0,31,0,1883,
2022-02-25 00:00:00,55610,1486630,0,0,46,21722,0,0,
2021-07-25 00:00:00,4604,71967,5491,56267,0,311,0,7631,
2021-09-30 00:00:00,4434,406486,0,0,106,15039,0,7631,
2021-09-02 00:00:00,6070,251800,5863,115903,202,9871,0,7631,
2020-05-15 00:00:00,1,226,1,11,0,0,0,210,
2022-03-15 00:00:00,112733,3948446,0,0,31,22589,0,0,
2022-04-28 00:00:00,4953,6684173,0,0,0,23011,0,0,
2021-09-24 00:00:00,3810,383431,0,0,141,14306,0,7631,
2022-01-28 00:00:00,9900,856403,0,0,41,20689,0,0,
2022-03-03 00:00:00,79414,2040068,0,0,53,22051,0,0,
2020-10-21 00:00:00,2,762,3,22,0,31,0,705,
2021-01-09 00:00:00,1,962,1,44,0,31,4,881,
2022-02-21 00:00:00,32748,1277364,0,0,56,21543,0,0,
2021-12-22 00:00:00,4467,587683,0,0,44,19481,0,0,
2020-12-22 00:00:00,5,917,4,32,0,31,8,849,
2020-07-02 00:00:00,0,242,0,4,0,0,4,236,
2020-07-22 00:00:00,5,252,5,10,0,0,0,240,
2020-07-24 00:00:00,1,256,1,14,0,0,0,240,
2020-10-17 00:00:00,1,749,1,8,0,31,0,705,
2021-08-17 00:00:00,3780,171555,302,79878,285,5308,0,7631,
2020-10-16 00:00:00,0,748,0,7,0,31,1,705,
2021-10-03 00:00:00,2507,415519,0,0,79,15320,0,7631,
2021-05-20 00:00:00,211,3776,94,1753,2,35,1,1961,
2021-04-05 00:00:00,4,1912,3,93,0,31,31,1782,
