date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,1,759,0,244,1,26,4,485,
2020-11-13 00:00:00,3,867,2,82,0,31,0,754,
2021-09-18 00:00:00,4257,351934,0,0,166,13274,0,7687,
2020-04-20 00:00:00,0,224,0,48,0,0,2,168,
2020-08-30 00:00:00,0,762,0,197,0,28,18,532,
2021-06-20 00:00:00,433,12147,185,7263,0,59,0,4676,
2020-12-29 00:00:00,2,972,2,37,0,31,1,899,
2020-05-17 00:00:00,2,256,2,40,0,0,0,211,
2022-03-01 00:00:00,71191,1847001,0,0,52,21958,0,0,
2021-05-05 00:00:00,20,2163,29,197,0,31,0,1921,
2022-02-25 00:00:00,57195,1511394,0,0,48,21735,0,0,
2021-07-25 00:00:00,4604,72046,5491,56283,0,311,0,7687,
2021-09-30 00:00:00,4434,406612,0,0,106,15039,0,7687,
2021-09-02 00:00:00,6071,251922,5864,115941,202,9871,0,7687,
2020-05-15 00:00:00,24,251,24,35,0,0,0,211,
2022-03-15 00:00:00,115727,4073655,0,0,31,22606,0,0,
2022-04-28 00:00:00,5177,6974489,0,0,0,23034,0,0,
2021-09-24 00:00:00,3810,383557,0,0,141,14306,0,7687,
2022-01-28 00:00:00,10069,863123,0,0,41,20689,0,0,
2022-03-03 00:00:00,81545,2104229,0,0,53,22066,0,0,
2020-10-21 00:00:00,2,793,3,22,0,31,0,736,
2021-01-09 00:00:00,1,1000,1,44,0,31,4,919,
2022-02-21 00:00:00,33851,1296420,0,0,56,21551,0,0,
2021-12-22 00:00:00,4539,589886,0,0,44,19481,0,0,
2020-12-22 00:00:00,5,955,4,34,0,31,8,885,
2020-07-02 00:00:00,0,272,0,4,0,0,4,266,
2020-07-22 00:00:00,5,282,5,10,0,0,0,270,
2020-07-24 00:00:00,1,286,1,14,0,0,0,270,
2020-10-17 00:00:00,1,780,1,8,0,31,0,736,
2021-08-17 00:00:00,3781,171671,303,79931,285,5308,0,7687,
2020-10-16 00:00:00,0,779,0,7,0,31,1,736,
2021-10-03 00:00:00,2507,415645,0,0,79,15320,0,7687,
2021-05-20 00:00:00,211,3835,94,1770,2,35,1,2000,
2021-04-05 00:00:00,4,1950,3,93,0,31,31,1820,
2022-04-16 00:00:00,12327,6841931,0,0,2,23020,0,0,
