date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,1,782,0,245,1,26,4,507,
2020-11-13 00:00:00,3,896,2,85,0,31,0,780,
2021-09-18 00:00:00,4257,352106,0,0,166,13274,0,7724,
2020-04-20 00:00:00,0,238,0,50,0,0,10,179,
2020-08-30 00:00:00,0,785,0,197,0,28,18,555,
2021-06-20 00:00:00,441,12195,185,7275,0,59,0,4712,
2020-12-29 00:00:00,2,1004,2,39,0,31,1,929,
2020-05-17 00:00:00,2,270,2,40,0,0,0,224,
2022-03-01 00:00:00,73365,1881191,0,0,57,22016,0,0,
2021-05-05 00:00:00,20,2199,29,200,0,31,0,1954,
2022-02-25 00:00:00,59166,1537120,0,0,50,21781,0,0,
2021-07-25 00:00:00,4604,72100,5491,56290,0,311,0,7724,
2021-09-30 00:00:00,4434,406784,0,0,106,15039,0,7724,
2021-09-02 00:00:00,6071,252083,5864,116012,202,9871,0,7724,
2020-05-15 00:00:00,24,265,24,35,0,0,0,224,
2022-03-15 00:00:00,118043,4142274,0,0,32,22687,0,0,
2022-04-28 00:00:00,5265,7072908,0,0,0,23125,0,0,
2021-09-24 00:00:00,3810,383729,0,0,141,14306,0,7724,
2022-01-28 00:00:00,10161,866748,0,0,42,20703,0,0,
2022-03-03 00:00:00,83909,2143076,0,0,55,22128,0,0,
2020-10-21 00:00:00,3,818,4,24,0,31,0,759,
2021-01-09 00:00:00,1,1032,1,44,0,31,4,951,
2022-02-21 00:00:00,35535,1314972,0,0,58,21591,0,0,
2021-12-22 00:00:00,4539,590411,0,0,44,19481,0,0,
2020-12-22 00:00:00,5,987,4,38,0,31,8,913,
2020-07-02 00:00:00,0,286,0,4,0,0,4,279,
2020-07-22 00:00:00,5,303,5,18,0,0,0,283,
2020-07-24 00:00:00,1,307,1,22,0,0,0,283,
2020-10-17 00:00:00,1,803,1,8,0,31,0,759,
2021-08-17 00:00:00,3781,171777,303,79990,285,5308,0,7724,
2020-10-16 00:00:00,0,802,0,7,0,31,1,759,
2021-10-03 00:00:00,2507,415818,0,0,79,15320,0,7724,
2021-05-20 00:00:00,213,3873,94,1772,2,35,1,2034,
2021-04-05 00:00:00,4,1982,3,93,0,31,31,1852,
2022-04-16 00:00:00,12561,6938617,0,0,2,23111,0,0,
2021-03-04 00:00:00,6,1915,4,469,0,31,14,1409,
2021-07-28 00:00:00,4603,89236,86,65874,91,532,0,7724,
2021-01-04 00:00:00,2,1023,2,47,0,31,0,938,
2020-03-28 00:00:00,5,83,0,0,0,0,0,18,
2022-03-07 00:00:00,104052,2682397,0,0,42,22325,0,0,
2020-08-04 00:00:00,24,501,22,202,2,6,4,290,
2020-06-11 00:00:00,0,277,0,8,0,0,1,261,
2020-09-28 00:00:00,3,797,3,9,0,31,0,750,
2021-03-11 00:00:00,1,1938,1,372,0,31,39,1530,
2021-12-06 00:00:00,2721,535730,0,0,86,18577,0,0,
2022-01-08 00:00:00,7576,690182,0,0,28,20083,0,0,
2022-01-12 00:00:00,7971,721100,0,0,36,20198,0,0,
2022-02-04 00:00:00,8695,936314,0,0,17,20952,0,0,
2020-11-21 00:00:00,1,922,1,78,0,31,0,809,
2021-08-11 00:00:00,3539,147662,3277,82153,262,3683,0,7724,
2021-11-12 00:00:00,1984,472713,0,0,43,17280,0,0,
2021-05-19 00:00:00,66,3660,160,1678,0,33,0,2033,
2021-10-18 00:00:00,1089,437926,0,0,52,16416,0,7724,
2020-08-08 00:00:00,18,601,18,295,0,8,0,296,
2021-03-14 00:00:00,1,1946,1,341,0,31,0,1568,
2022-02-02 00:00:00,6438,921983,0,0,0,20833,0,0,
2021-10-23 00:00:00,871,444011,0,0,42,16623,0,7724,
2022-03-16 00:00:00,117656,4259931,0,0,23,22710,0,0,
2020-09-16 00:00:00,0,791,0,33,0,31,3,716,
2022-01-22 00:00:00,9384,807382,0,0,31,20480,0,0,
2020-09-06 00:00:00,0,791,0,109,0,31,10,646,
2020-10-18 00:00:00,5,808,5,13,0,31,0,759,
2021-07-15 00:00:00,673,25523,5149,24277,73,175,71,7662,
2021-02-14 00:00:00,33,1671,33,575,0,31,3,1061,
2022-03-31 00:00:00,53081,6382982,0,0,9,23000,0,0,
2021-06-08 00:00:00,0,8110,158,5216,0,51,0,2846,
2021-01-23 00:00:00,0,1051,2,41,0,31,0,976,
2021-09-29 00:00:00,4742,402350,0,0,113,14933,0,7724,
2021-08-22 00:00:00,4651,193092,3830,87492,601,6788,0,7724,
2022-03-21 00:00:00,88429,5262797,0,0,18,22847,0,0,
2021-08-03 00:00:00,4364,115835,1444,74053,336,1765,0,7724,
2021-05-21 00:00:00,124,3997,121,1880,2,37,0,2034,
2021-12-25 00:00:00,4965,603860,0,0,40,19604,0,0,
2021-05-10 00:00:00,123,2602,40,550,0,31,11,1997,
2021-11-09 00:00:00,1895,467130,0,0,39,17156,0,7724,
2021-03-18 00:00:00,2,1954,2,258,0,31,0,1658,
2022-03-11 00:00:00,112166,3255758,0,0,41,22523,0,0,
2022-04-27 00:00:00,5850,7066899,0,0,0,23125,0,0,
2021-11-23 00:00:00,2117,495755,0,0,62,17761,0,0,
2022-03-06 00:00:00,104453,2578343,0,0,41,22283,0,0,
2020-09-19 00:00:00,0,793,0,30,0,31,1,721,
2020-06-03 00:00:00,0,276,0,26,0,0,4,242,
2020-10-27 00:00:00,0,836,0,38,0,31,0,762,
2021-08-16 00:00:00,3518,167996,3201,79687,318,5023,0,7724,
2022-03-18 00:00:00,106582,4687695,0,0,27,22778,0,0,
2020-12-18 00:00:00,0,980,0,42,0,31,2,902,
2022-03-17 00:00:00,115811,4551597,0,0,41,22751,0,0,
2021-11-14 00:00:00,1548,476052,0,0,24,17342,0,0,
2022-03-19 00:00:00,97650,5059460,0,0,29,22807,0,0,
2021-09-19 00:00:00,5519,357625,0,0,182,13456,0,7724,
2021-01-19 00:00:00,1,1046,1,38,0,31,0,972,
2021-07-10 00:00:00,1268,19279,820,12219,0,91,0,7129,
2020-10-13 00:00:00,0,800,0,7,0,31,1,757,
2021-02-15 00:00:00,41,1712,16,585,0,31,14,1075,
2021-12-20 00:00:00,3689,581782,0,0,51,19383,0,0,
2021-01-21 00:00:00,0,1050,0,38,0,31,3,976,
2020-12-20 00:00:00,1,982,1,41,0,31,0,905,
2021-06-19 00:00:00,171,12195,149,7101,2,59,314,4712,
2021-11-20 00:00:00,1892,488912,0,0,43,17589,0,0,
2022-02-22 00:00:00,42980,1357866,0,0,30,21621,0,0,
2020-05-25 00:00:00,1,274,1,38,0,0,1,228,
2020-12-12 00:00:00,1,975,1,62,0,31,0,877,
2021-11-18 00:00:00,2543,484831,0,0,42,17491,0,0,
2021-03-01 00:00:00,9,1893,0,460,0,31,15,1395,
2020-11-25 00:00:00,4,933,4,79,0,31,0,819,
