date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,1,800,0,246,1,26,4,524,
2020-11-13 00:00:00,3,914,2,85,0,31,0,798,
2021-09-18 00:00:00,4261,352580,0,0,167,13277,0,7750,
2020-04-20 00:00:00,0,241,0,51,0,0,10,181,
2020-08-30 00:00:00,0,803,0,198,0,28,18,572,
2021-06-20 00:00:00,441,12224,185,7279,0,59,0,4738,
2020-12-29 00:00:00,2,1025,2,39,0,31,1,950,
2020-05-17 00:00:00,2,273,2,40,0,0,0,227,
2022-03-01 00:00:00,73858,1924268,0,0,59,22086,0,0,
2021-05-05 00:00:00,20,2223,29,200,0,31,0,1978,
2022-02-25 00:00:00,60051,1577182,0,0,53,21839,0,0,
2021-07-25 00:00:00,4605,72178,5492,56339,0,311,0,7750,
2021-09-30 00:00:00,4435,407276,0,0,106,15043,0,7750,
2021-09-02 00:00:00,6121,252450,5914,116205,202,9872,0,7750,
2020-05-15 00:00:00,24,268,24,35,0,0,0,227,
2022-03-15 00:00:00,119107,4231850,0,0,33,22784,0,0,
2022-04-28 00:00:00,5319,7239801,0,0,0,23232,0,0,
2021-09-24 00:00:00,3811,384215,0,0,142,14310,0,7750,
2022-01-28 00:00:00,10743,885837,0,0,45,20720,0,0,
2022-03-03 00:00:00,84965,2188598,0,0,61,22204,0,0,
2020-10-21 00:00:00,3,836,4,24,0,31,0,777,
2021-01-09 00:00:00,1,1053,1,44,0,31,4,972,
2022-02-21 00:00:00,36792,1351469,0,0,58,21636,0,0,
2021-12-22 00:00:00,4735,596167,0,0,44,19494,0,0,
2020-12-22 00:00:00,5,1008,4,38,0,31,9,934,
2020-07-02 00:00:00,0,289,0,4,0,0,4,282,
2020-07-22 00:00:00,5,320,5,22,0,0,0,296,
2020-07-24 00:00:00,1,324,1,26,0,0,0,296,
2020-10-17 00:00:00,1,821,1,8,0,31,0,777,
2021-08-17 00:00:00,3793,171971,315,80155,285,5308,0,7750,
2020-10-16 00:00:00,0,820,0,7,0,31,1,777,
2021-10-03 00:00:00,2507,416315,0,0,79,15325,0,7750,
2021-05-20 00:00:00,214,3899,94,1774,2,35,1,2058,
2021-04-05 00:00:00,4,2006,3,93,0,31,31,1876,
2022-04-16 00:00:00,12666,7073471,0,0,2,23218,0,0,
2021-03-04 00:00:00,6,1939,4,469,0,31,14,1433,
2021-07-28 00:00:00,4604,89316,87,65925,91,532,0,7750,
2021-01-04 00:00:00,2,1044,2,47,0,31,0,959,
2020-03-28 00:00:00,5,85,0,0,0,0,0,19,
2022-03-07 00:00:00,105203,2732577,0,0,46,22409,0,0,
2020-08-04 00:00:00,24,518,22,203,2,6,4,306,
2020-06-11 00:00:00,0,280,0,8,0,0,1,264,
2020-09-28 00:00:00,3,815,3,9,0,31,0,768,
2021-03-11 00:00:00,1,1962,1,372,0,31,39,1554,
2021-12-06 00:00:00,2815,538717,0,0,86,18588,0,0,
2022-01-08 00:00:00,7866,700094,0,0,28,20096,0,0,
2022-01-12 00:00:00,8325,732299,0,0,36,20211,0,0,
2022-02-04 00:00:00,8972,958578,0,0,22,20976,0,0,
2020-11-21 00:00:00,1,940,1,78,0,31,0,827,
2021-08-11 00:00:00,3552,147823,3277,82153,262,3683,0,7750,
2021-11-12 00:00:00,2021,474208,0,0,44,17288,0,0,
2021-05-19 00:00:00,66,3685,161,1680,0,33,0,2057,
2021-10-18 00:00:00,1131,438622,0,0,52,16421,0,7750,
2020-08-08 00:00:00,18,619,18,297,0,8,0,312,
2021-03-14 00:00:00,1,1970,1,341,0,31,0,1592,
2022-02-02 00:00:00,6791,943507,0,0,0,20850,0,0,
2021-10-23 00:00:00,889,444831,0,0,43,16629,0,7750,
2022-03-16 00:00:00,118727,4350578,0,0,23,22807,0,0,
2020-09-16 00:00:00,0,809,0,33,0,31,3,734,
2022-01-22 00:00:00,9827,822953,0,0,32,20494,0,0,
2020-09-06 00:00:00,0,809,0,109,0,31,10,664,
2020-10-18 00:00:00,5,826,5,13,0,31,0,777,
2021-07-15 00:00:00,673,25564,5168,24317,73,175,71,7688,
2021-02-14 00:00:00,33,1695,33,575,0,31,3,1085,
2022-03-31 00:00:00,53616,6485060,0,0,9,23105,0,0,
2021-06-08 00:00:00,0,8139,158,5220,0,51,0,2871,
2021-01-23 00:00:00,0,1075,2,44,0,31,0,997,
2021-09-29 00:00:00,4742,402841,0,0,113,14937,0,7750,
2021-08-22 00:00:00,4651,193304,3830,87651,601,6788,0,7750,
2022-03-21 00:00:00,89296,5358276,0,0,19,22947,0,0,
2021-08-03 00:00:00,4367,115947,1446,74136,336,1765,0,7750,
2021-05-21 00:00:00,124,4023,121,1882,2,37,0,2058,
2021-12-25 00:00:00,5118,610299,0,0,40,19617,0,0,
2021-05-10 00:00:00,123,2627,40,551,0,31,11,2021,
2021-11-09 00:00:00,1919,468506,0,0,39,17163,0,7750,
2021-03-18 00:00:00,2,1978,2,258,0,31,0,1682,
2022-03-11 00:00:00,113458,3340782,0,0,42,22614,0,0,
2022-04-27 00:00:00,5897,7233738,0,0,0,23232,0,0,
2021-11-23 00:00:00,2169,497722,0,0,62,17772,0,0,
2022-03-06 00:00:00,105733,2627372,0,0,44,22363,0,0,
2020-09-19 00:00:00,0,811,0,30,0,31,1,739,
2020-06-03 00:00:00,0,279,0,26,0,0,4,245,
2020-10-27 00:00:00,0,854,0,38,0,31,0,780,
2021-08-16 00:00:00,3524,168178,3207,79840,318,5023,0,7750,
2022-03-18 00:00:00,107681,4780374,0,0,27,22875,0,0,
2020-12-18 00:00:00,0,1001,0,43,0,31,2,922,
2022-03-17 00:00:00,116744,4643177,0,0,41,22848,0,0,
2021-11-14 00:00:00,1595,477624,0,0,24,17350,0,0,
2022-03-19 00:00:00,98665,5153154,0,0,31,22906,0,0,
2021-09-19 00:00:00,5521,358101,0,0,182,13459,0,7750,
2021-01-19 00:00:00,1,1070,1,41,0,31,0,993,
2021-07-10 00:00:00,1269,19315,821,12232,0,91,0,7155,
2020-10-13 00:00:00,0,818,0,7,0,31,1,775,
2021-02-15 00:00:00,41,1736,16,585,0,31,14,1099,
2021-12-20 00:00:00,3935,586981,0,0,51,19396,0,0,
2021-01-21 00:00:00,0,1074,0,41,0,31,3,997,
2020-12-20 00:00:00,1,1003,1,42,0,31,0,925,
2021-06-19 00:00:00,172,12224,150,7105,2,59,314,4738,
2021-11-20 00:00:00,1950,490735,0,0,46,17600,0,0,
2022-02-22 00:00:00,43975,1395358,0,0,38,21674,0,0,
2020-05-25 00:00:00,1,277,1,38,0,0,1,231,
2020-12-12 00:00:00,1,996,1,65,0,31,0,895,
2021-11-18 00:00:00,2589,486551,0,0,42,17499,0,0,
2021-03-01 00:00:00,9,1917,0,460,0,31,15,1419,
2020-11-25 00:00:00,4,951,4,79,0,31,0,837,
2022-02-15 00:00:00,23991,1145352,0,0,34,21379,0,0,
2021-07-14 00:00:00,972,24891,2193,19800,11,102,201,7617,
2020-04-13 00:00:00,11,238,109,109,0,0,2,121,
2020-07-17 00:00:00,0,303,0,12,0,0,3,288,
2021-07-07 00:00:00,1127,18046,209,8973,0,84,0,7155,
2022-01-25 00:00:00,10715,853609,0,0,41,20583,0,0,
2022-04-20 00:00:00,8970,7142187,0,0,1,23225,0,0,
2020-09-29 00:00:00,0,815,0,8,0,31,1,769,
2020-04-15 00:00:00,1,238,1,87,0,0,1,143,
2022-02-06 00:00:00,10231,977833,0,0,24,21061,0,0,
2022-03-29 00:00:00,58362,6363712,0,0,14,23088,0,0,
2021-07-06 00:00:00,0,16919,760,8944,3,84,0,7155,
2020-05-16 00:00:00,3,271,3,38,0,0,0,227,
2021-01-16 00:00:00,1,1067,1,51,0,31,0,980,
2021-04-04 00:00:00,3,2002,0,119,0,31,0,1845,
2021-08-26 00:00:00,4161,212396,3829,99489,243,7936,0,7750,
2020-05-01 00:00:00,0,243,0,49,0,0,0,194,
2021-03-23 00:00:00,1,1981,0,227,0,31,12,1718,
2022-01-14 00:00:00,8302,748948,0,0,16,20264,0,0,
2021-10-14 00:00:00,947,434234,0,0,61,16212,0,7750,
2022-04-30 00:00:00,4000,7248158,0,0,0,23233,0,0,
2021-11-27 00:00:00,3006,509172,0,0,60,17996,0,0,
2020-10-14 00:00:00,0,818,0,7,0,31,0,775,
2020-06-22 00:00:00,0,284,0,11,0,0,1,270,
2021-05-24 00:00:00,185,4481,210,2310,2,40,64,2140,
2021-05-29 00:00:00,446,5910,212,3595,0,43,0,2227,
2020-03-27 00:00:00,7,80,0,0,0,0,3,19,
2021-08-15 00:00:00,4689,164654,173,76634,282,4705,0,7750,
2020-08-29 00:00:00,1,803,0,216,2,28,6,554,
2020-11-26 00:00:00,10,961,10,81,0,31,8,845,
2022-04-05 00:00:00,37465,6778678,0,0,11,23158,0,0,
2021-10-13 00:00:00,1384,433287,0,0,73,16151,0,7750,
2021-08-09 00:00:00,4158,140152,4158,74807,270,3109,0,7750,
2021-10-24 00:00:00,1164,445992,0,0,30,16659,0,7750,
2020-12-13 00:00:00,2,998,0,64,0,31,3,898,
2020-07-14 00:00:00,0,303,0,15,0,0,0,285,
2020-12-15 00:00:00,0,1001,0,56,0,31,6,909,
2021-10-26 00:00:00,974,448089,0,0,27,16726,0,7750,
2020-05-12 00:00:00,0,244,0,19,0,0,3,219,
2020-12-02 00:00:00,2,977,2,69,0,31,4,871,
2021-11-06 00:00:00,1646,463076,0,0,32,17058,0,7750,
2020-06-18 00:00:00,0,282,0,6,0,0,0,268,
2020-04-18 00:00:00,0,241,0,60,0,0,3,171,
2020-07-23 00:00:00,3,323,3,25,0,0,0,296,
2021-03-30 00:00:00,0,1990,0,128,0,31,47,1824,
2020-11-18 00:00:00,10,934,10,89,0,31,0,810,
2021-08-25 00:00:00,5567,208238,3085,95660,270,7693,0,7750,
2021-02-06 00:00:00,3,1458,5,402,0,31,3,1024,
2020-11-06 00:00:00,0,878,2,64,0,31,0,780,
2022-04-04 00:00:00,32652,6741213,0,0,11,23147,0,0,
2021-05-23 00:00:00,131,4296,90,2105,1,38,0,2076,
2021-12-18 00:00:00,3833,578921,0,0,2,19290,0,0,
2020-06-24 00:00:00,2,286,2,12,0,0,1,271,
2021-10-19 00:00:00,1044,439666,0,0,47,16468,0,7750,
2022-01-05 00:00:00,7534,676751,0,0,35,20032,0,0,
2021-03-17 00:00:00,2,1976,0,256,0,31,27,1682,
2020-06-27 00:00:00,2,289,2,14,0,0,0,272,
2020-10-26 00:00:00,1,854,1,38,0,31,2,780,
2021-08-23 00:00:00,4493,197788,2207,89858,343,7131,0,7750,
