date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,1,800,0,246,1,26,4,524,
2020-11-13 00:00:00,3,914,2,85,0,31,0,798,
2021-09-18 00:00:00,4265,354390,0,0,167,13290,0,7755,
2020-04-20 00:00:00,0,241,0,51,0,0,10,181,
2020-08-30 00:00:00,0,803,0,198,0,28,18,572,
2021-06-20 00:00:00,445,12262,190,7305,0,59,0,4743,
2020-12-29 00:00:00,2,1025,2,39,0,31,1,950,
2020-05-17 00:00:00,2,273,2,40,0,0,0,227,
2022-03-01 00:00:00,77722,1983593,0,0,61,22176,0,0,
2021-05-05 00:00:00,20,2227,29,204,0,31,0,1978,
2022-02-25 00:00:00,62475,1621757,0,0,56,21923,0,0,
2021-07-25 00:00:00,4609,72370,5496,56446,0,312,0,7755,
2021-09-30 00:00:00,4448,409114,0,0,106,15059,0,7755,
2021-09-02 00:00:00,6187,254009,5978,117338,204,9876,0,7755,
2020-05-15 00:00:00,24,268,24,35,0,0,0,227,
2022-03-15 00:00:00,129859,4469240,0,0,34,22906,0,0,
2022-04-28 00:00:00,5611,7720902,0,0,0,23377,0,0,
2021-09-24 00:00:00,3812,386030,0,0,142,14325,0,7755,
2022-01-28 00:00:00,11009,899121,0,0,45,20759,0,0,
2022-03-03 00:00:00,91117,2258404,0,0,61,22296,0,0,
2020-10-21 00:00:00,3,836,4,24,0,31,0,777,
2021-01-09 00:00:00,1,1053,1,44,0,31,4,972,
2022-02-21 00:00:00,38211,1389024,0,0,58,21704,0,0,
2021-12-22 00:00:00,4856,603012,0,0,44,19527,0,0,
2020-12-22 00:00:00,5,1008,4,38,0,31,9,934,
2020-07-02 00:00:00,0,289,0,4,0,0,4,282,
2020-07-22 00:00:00,5,320,5,22,0,0,0,296,
2020-07-24 00:00:00,1,324,1,26,0,0,0,296,
2020-10-17 00:00:00,1,821,1,8,0,31,0,777,
2021-08-17 00:00:00,3809,172511,331,80435,285,5309,0,7755,
2020-10-16 00:00:00,0,820,0,7,0,31,1,777,
2021-10-03 00:00:00,2518,418175,0,0,79,15343,0,7755,
2021-05-20 00:00:00,214,3904,94,1779,2,35,1,2058,
2021-04-05 00:00:00,4,2006,3,93,0,31,31,1876,
2022-04-16 00:00:00,13519,7548790,0,0,2,23363,0,0,
2021-03-04 00:00:00,6,1939,4,469,0,31,14,1433,
2021-07-28 00:00:00,4604,89510,91,66038,91,533,0,7755,
2021-01-04 00:00:00,2,1044,2,47,0,31,0,959,
2020-03-28 00:00:00,5,85,0,0,0,0,0,19,
2022-03-07 00:00:00,115356,2833233,0,0,50,22520,0,0,
2020-08-04 00:00:00,24,518,22,203,2,6,4,306,
2020-06-11 00:00:00,0,280,0,8,0,0,1,264,
2020-09-28 00:00:00,3,815,3,9,0,31,0,768,
2021-03-11 00:00:00,1,1962,1,372,0,31,39,1554,
2021-12-06 00:00:00,2815,543577,0,0,86,18617,0,0,
2022-01-08 00:00:00,7995,708981,0,0,28,20132,0,0,
2022-01-12 00:00:00,8458,741765,0,0,36,20247,0,0,
2022-02-04 00:00:00,9241,973675,0,0,23,21020,0,0,
2020-11-21 00:00:00,1,940,1,78,0,31,0,827,
2021-08-11 00:00:00,3568,148256,3293,82326,262,3684,0,7755,
2021-11-12 00:00:00,2068,477105,0,0,45,17310,0,0,
2021-05-19 00:00:00,66,3690,161,1685,0,33,0,2057,
2021-10-18 00:00:00,1156,440666,0,0,52,16440,0,7755,
2020-08-08 00:00:00,18,619,18,297,0,8,0,312,
2021-03-14 00:00:00,1,1970,1,341,0,31,0,1592,
2022-02-02 00:00:00,6911,958154,0,0,0,20889,0,0,
2021-10-23 00:00:00,912,447023,0,0,43,16648,0,7755,
2022-03-16 00:00:00,129524,4655595,0,0,27,22933,0,0,
2020-09-16 00:00:00,0,809,0,33,0,31,3,734,
2022-01-22 00:00:00,10050,834408,0,0,32,20533,0,0,
2020-09-06 00:00:00,0,809,0,109,0,31,10,664,
2020-10-18 00:00:00,5,826,5,13,0,31,0,777,
2021-07-15 00:00:00,673,25701,5168,24446,73,176,71,7693,
2021-02-14 00:00:00,33,1695,33,575,0,31,3,1085,
2022-03-31 00:00:00,57015,6877021,0,0,9,23241,0,0,
2021-06-08 00:00:00,0,8144,158,5220,0,51,0,2876,
2021-01-23 00:00:00,0,1075,2,44,0,31,0,997,
2021-09-29 00:00:00,4742,404666,0,0,113,14953,0,7755,
2021-08-22 00:00:00,4719,194137,3873,88179,601,6789,0,7755,
2022-03-21 00:00:00,94699,5709609,0,0,19,23077,0,0,
2021-08-03 00:00:00,4379,116197,1453,74301,336,1766,0,7755,
2021-05-21 00:00:00,124,4028,121,1883,2,37,0,2058,
2021-12-25 00:00:00,5213,617501,0,0,40,19650,0,0,
2021-05-10 00:00:00,123,2632,40,556,0,31,11,2021,
2021-11-09 00:00:00,1969,471273,0,0,39,17183,0,7755,
2021-03-18 00:00:00,2,1978,2,258,0,31,0,1682,
2022-03-11 00:00:00,124515,3535121,0,0,42,22732,0,0,
2022-04-27 00:00:00,6248,7714547,0,0,0,23377,0,0,
2021-11-23 00:00:00,2261,501457,0,0,62,17798,0,0,
2022-03-06 00:00:00,113312,2717875,0,0,49,22470,0,0,
2020-09-19 00:00:00,0,811,0,30,0,31,1,739,
2020-06-03 00:00:00,0,279,0,26,0,0,4,245,
2020-10-27 00:00:00,0,854,0,38,0,31,0,780,
2021-08-16 00:00:00,3548,168702,3231,80104,318,5024,0,7755,
2022-03-18 00:00:00,117649,5105870,0,0,30,23005,0,0,
2020-12-18 00:00:00,0,1001,0,43,0,31,2,922,
2022-03-17 00:00:00,127255,4958705,0,0,42,22975,0,0,
2021-11-14 00:00:00,1639,480665,0,0,24,17372,0,0,
2022-03-19 00:00:00,109764,5489750,0,0,31,23036,0,0,
2021-09-19 00:00:00,5521,359911,0,0,182,13472,0,7755,
2021-01-19 00:00:00,1,1070,1,41,0,31,0,993,
2021-07-10 00:00:00,1270,19444,821,12355,0,92,0,7160,
2020-10-13 00:00:00,0,818,0,7,0,31,1,775,
2021-02-15 00:00:00,41,1736,16,585,0,31,14,1099,
2021-12-20 00:00:00,4051,593552,0,0,52,19429,0,0,
2021-01-21 00:00:00,0,1074,0,41,0,31,3,997,
2020-12-20 00:00:00,1,1003,1,42,0,31,0,925,
2021-06-19 00:00:00,187,12262,166,7126,2,59,314,4743,
2021-11-20 00:00:00,2016,494225,0,0,46,17625,0,0,
2022-02-22 00:00:00,45416,1434354,0,0,44,21748,0,0,
2020-05-25 00:00:00,1,277,1,38,0,0,1,231,
2020-12-12 00:00:00,1,996,1,65,0,31,0,895,
2021-11-18 00:00:00,2650,489875,0,0,45,17524,0,0,
2021-03-01 00:00:00,9,1917,0,460,0,31,15,1419,
2020-11-25 00:00:00,4,951,4,79,0,31,0,837,
2022-02-15 00:00:00,25104,1174781,0,0,37,21437,0,0,
2021-07-14 00:00:00,973,25028,2197,19929,11,103,201,7622,
2020-04-13 00:00:00,11,238,109,109,0,0,2,121,
2020-07-17 00:00:00,0,303,0,12,0,0,3,288,
2021-07-07 00:00:00,1128,18174,209,9095,0,85,0,7160,
2022-01-25 00:00:00,10978,866013,0,0,41,20622,0,0,
2022-04-20 00:00:00,9474,7619966,0,0,1,23370,0,0,
2020-09-29 00:00:00,0,815,0,8,0,31,1,769,
2020-04-15 00:00:00,1,238,1,87,0,0,1,143,
2022-02-06 00:00:00,10906,993931,0,0,24,21106,0,0,
2022-03-29 00:00:00,62179,6748537,0,0,15,23224,0,0,
2021-07-06 00:00:00,0,17046,763,9066,4,85,0,7160,
2020-05-16 00:00:00,3,271,3,38,0,0,0,227,
2021-01-16 00:00:00,1,1067,1,51,0,31,0,980,
2021-04-04 00:00:00,3,2002,0,119,0,31,0,1845,
2021-08-26 00:00:00,4204,213506,3856,100248,243,7937,0,7755,
2020-05-01 00:00:00,0,243,0,49,0,0,0,194,
2021-03-23 00:00:00,1,1981,0,227,0,31,12,1718,
2022-01-14 00:00:00,8496,758771,0,0,16,20301,0,0,
2021-10-14 00:00:00,954,436189,0,0,61,16231,0,7755,
2022-04-30 00:00:00,4245,7729766,0,0,0,23378,0,0,
2021-11-27 00:00:00,3130,513398,0,0,60,18023,0,0,
2020-10-14 00:00:00,0,818,0,7,0,31,0,775,
2020-06-22 00:00:00,0,284,0,11,0,0,1,270,
2021-05-24 00:00:00,185,4486,210,2311,2,40,65,2141,
2021-05-29 00:00:00,446,5915,212,3595,0,43,0,2228,
2020-03-27 00:00:00,7,80,0,0,0,0,3,19,
2021-08-15 00:00:00,4716,165154,200,76874,282,4706,0,7755,
2020-08-29 00:00:00,1,803,0,216,2,28,6,554,
2020-11-26 00:00:00,10,961,10,81,0,31,8,845,
2022-04-05 00:00:00,40390,7184600,0,0,14,23300,0,0,
2021-10-13 00:00:00,1396,435235,0,0,73,16170,0,7755,
2021-08-09 00:00:00,4170,140441,4170,74836,270,3110,0,7755,
2021-10-24 00:00:00,1191,448211,0,0,30,16678,0,7755,
2020-12-13 00:00:00,2,998,0,64,0,31,3,898,
2020-07-14 00:00:00,0,303,0,15,0,0,0,285,
2020-12-15 00:00:00,0,1001,0,56,0,31,6,909,
2021-10-26 00:00:00,1033,450382,0,0,28,16746,0,7755,
2020-05-12 00:00:00,0,244,0,19,0,0,3,219,
2020-12-02 00:00:00,2,977,2,69,0,31,4,871,
2021-11-06 00:00:00,1694,465685,0,0,32,17078,0,7755,
2020-06-18 00:00:00,0,282,0,6,0,0,0,268,
2020-04-18 00:00:00,0,241,0,60,0,0,3,171,
2020-07-23 00:00:00,3,323,3,25,0,0,0,296,
2021-03-30 00:00:00,0,1990,0,128,0,31,47,1824,
2020-11-18 00:00:00,10,934,10,89,0,31,0,810,
2021-08-25 00:00:00,5662,209305,3171,96392,270,7694,0,7755,
2021-02-06 00:00:00,3,1458,5,402,0,31,3,1024,
2020-11-06 00:00:00,0,878,2,64,0,31,0,780,
2022-04-04 00:00:00,34952,7144210,0,0,11,23286,0,0,
2021-05-23 00:00:00,131,4301,90,2106,1,38,0,2076,
2021-12-18 00:00:00,3932,585252,0,0,2,19322,0,0,
2020-06-24 00:00:00,2,286,2,12,0,0,1,271,
2021-10-19 00:00:00,1050,441716,0,0,47,16487,0,7755,
2022-01-05 00:00:00,7643,685232,0,0,35,20067,0,0,
2021-03-17 00:00:00,2,1976,0,256,0,31,27,1682,
2020-06-27 00:00:00,2,289,2,14,0,0,0,272,
2020-10-26 00:00:00,1,854,1,38,0,31,2,780,
2021-08-23 00:00:00,4604,198732,2309,90488,343,7132,0,7755,
