date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,1,804,0,246,1,26,4,528,
2020-11-13 00:00:00,3,918,2,85,0,31,0,802,
2021-09-18 00:00:00,4265,354853,0,0,167,13294,0,7775,
2020-04-20 00:00:00,0,245,0,52,0,0,12,184,
2020-08-30 00:00:00,0,807,0,198,0,28,18,576,
2021-06-20 00:00:00,448,12358,191,7388,0,59,0,4752,
2020-12-29 00:00:00,2,1029,2,39,0,31,1,954,
2020-05-17 00:00:00,2,277,2,40,0,0,0,231,
2022-03-01 00:00:00,78508,1998714,0,0,64,22189,0,0,
2021-05-05 00:00:00,20,2235,29,208,0,31,0,1982,
2022-02-25 00:00:00,63209,1633842,0,0,56,21931,0,0,
2021-07-25 00:00:00,4609,72512,5496,56506,0,313,0,7775,
2021-09-30 00:00:00,4449,409579,0,0,106,15064,0,7775,
2021-09-02 00:00:00,6187,254460,5978,117394,204,9879,0,7775,
2020-05-15 00:00:00,24,272,24,35,0,0,0,231,
2022-03-15 00:00:00,130845,4496451,0,0,34,22929,0,0,
2022-04-28 00:00:00,5713,7770227,0,0,0,23427,0,0,
2021-09-24 00:00:00,3812,386494,0,0,142,14330,0,7775,
2022-01-28 00:00:00,11009,901814,0,0,45,20765,0,0,
2022-03-03 00:00:00,91945,2275150,0,0,63,22311,0,0,
2020-10-21 00:00:00,3,840,4,24,0,31,0,781,
2021-01-09 00:00:00,1,1057,1,44,0,31,4,976,
2022-02-21 00:00:00,38900,1398275,0,0,58,21711,0,0,
2021-12-22 00:00:00,4856,604481,0,0,44,19532,0,0,
2020-12-22 00:00:00,5,1012,4,38,0,31,9,938,
2020-07-02 00:00:00,0,293,0,4,0,0,4,286,
2020-07-22 00:00:00,5,324,5,22,0,0,0,300,
2020-07-24 00:00:00,1,328,1,26,0,0,0,300,
2020-10-17 00:00:00,1,825,1,8,0,31,0,781,
2021-08-17 00:00:00,3828,172850,350,80556,285,5311,0,7775,
2020-10-16 00:00:00,0,824,0,7,0,31,1,781,
2021-10-03 00:00:00,2521,418646,0,0,79,15348,0,7775,
2021-05-20 00:00:00,215,3917,94,1788,2,35,1,2062,
2021-04-05 00:00:00,4,2010,3,93,0,31,31,1880,
2022-04-16 00:00:00,13760,7596589,0,0,2,23410,0,0,
2021-03-04 00:00:00,6,1943,4,469,0,31,14,1437,
2021-07-28 00:00:00,4606,89655,93,66101,91,534,0,7775,
2021-01-04 00:00:00,2,1048,2,47,0,31,0,963,
2020-03-28 00:00:00,5,86,0,0,0,0,0,19,
2022-03-07 00:00:00,116203,2853325,0,0,52,22538,0,0,
2020-08-04 00:00:00,24,522,22,203,2,6,4,310,
2020-06-11 00:00:00,0,284,0,8,0,0,1,268,
2020-09-28 00:00:00,3,819,3,9,0,31,0,772,
2021-03-11 00:00:00,1,1966,1,372,0,31,39,1558,
2021-12-06 00:00:00,2826,544817,0,0,86,18622,0,0,
2022-01-08 00:00:00,8016,710739,0,0,28,20137,0,0,
2022-01-12 00:00:00,8458,743694,0,0,36,20252,0,0,
2022-02-04 00:00:00,9241,976550,0,0,23,21026,0,0,
2020-11-21 00:00:00,1,944,1,78,0,31,0,831,
