date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,1,804,0,246,1,26,4,528,
2020-11-13 00:00:00,3,918,2,85,0,31,0,802,
2021-09-18 00:00:00,4310,356256,0,0,167,13295,0,7775,
2020-04-20 00:00:00,0,245,0,52,0,0,12,184,
2020-08-30 00:00:00,0,807,0,198,0,28,18,576,
2021-06-20 00:00:00,448,12358,191,7388,0,59,0,4752,
2020-12-29 00:00:00,2,1029,2,39,0,31,1,954,
2020-05-17 00:00:00,2,277,2,40,0,0,0,231,
2022-03-01 00:00:00,80167,2023292,0,0,65,22223,0,0,
2021-05-05 00:00:00,20,2235,29,208,0,31,0,1982,
2022-02-25 00:00:00,64427,1652409,0,0,58,21960,0,0,
2021-07-25 00:00:00,4609,72515,5496,56509,0,313,0,7775,
2021-09-30 00:00:00,4470,411188,0,0,107,15067,0,7775,
2021-09-02 00:00:00,6243,255121,6034,117965,204,9879,0,7775,
2020-05-15 00:00:00,24,272,24,35,0,0,0,231,
2022-03-15 00:00:00,133869,4556675,0,0,34,22987,0,0,
2022-04-28 00:00:00,5870,7892161,0,0,0,23501,0,0,
2021-09-24 00:00:00,3821,388007,0,0,142,14332,0,7775,
2022-01-28 00:00:00,11124,907908,0,0,45,20773,0,0,
2022-03-03 00:00:00,94280,2304333,0,0,63,22345,0,0,
2020-10-21 00:00:00,3,840,4,24,0,31,0,781,
2021-01-09 00:00:00,1,1057,1,44,0,31,4,976,
2022-02-21 00:00:00,39678,1413244,0,0,62,21735,0,0,
2021-12-22 00:00:00,4890,607824,0,0,44,19540,0,0,
2020-12-22 00:00:00,5,1012,4,38,0,31,9,938,
2020-07-02 00:00:00,0,293,0,4,0,0,4,286,
2020-07-22 00:00:00,5,324,5,22,0,0,0,300,
2020-07-24 00:00:00,1,328,1,26,0,0,0,300,
2020-10-17 00:00:00,1,825,1,8,0,31,0,781,
2021-08-17 00:00:00,3828,172933,350,80609,285,5311,0,7775,
2020-10-16 00:00:00,0,824,0,7,0,31,1,781,
2021-10-03 00:00:00,2540,420306,0,0,79,15353,0,7775,
2021-05-20 00:00:00,215,3917,94,1788,2,35,1,2062,
2021-04-05 00:00:00,4,2010,3,93,0,31,31,1880,
2022-04-16 00:00:00,14194,7715645,0,0,2,23483,0,0,
2021-03-04 00:00:00,6,1943,4,469,0,31,14,1437,
2021-07-28 00:00:00,4606,89658,93,66104,91,534,0,7775,
2021-01-04 00:00:00,2,1048,2,47,0,31,0,963,
2020-03-28 00:00:00,5,86,0,0,0,0,0,19,
2022-03-07 00:00:00,118364,2891446,0,0,59,22586,0,0,
2020-08-04 00:00:00,24,522,22,203,2,6,4,310,
2020-06-11 00:00:00,0,284,0,8,0,0,1,268,
2020-09-28 00:00:00,3,819,3,9,0,31,0,772,
2021-03-11 00:00:00,1,1966,1,372,0,31,39,1558,
2021-12-06 00:00:00,2851,547526,0,0,86,18629,0,0,
2022-01-08 00:00:00,8053,714771,0,0,28,20145,0,0,
2022-01-12 00:00:00,8558,748060,0,0,36,20260,0,0,
2022-02-04 00:00:00,9369,983389,0,0,23,21036,0,0,
2020-11-21 00:00:00,1,944,1,78,0,31,0,831,
