date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,1,811,0,252,1,27,4,528,
2020-11-13 00:00:00,3,925,2,85,0,32,0,807,
2021-09-18 00:00:00,4319,356430,0,0,167,13296,0,7787,
2020-04-20 00:00:00,0,245,0,52,0,0,12,184,
2020-08-30 00:00:00,0,814,0,204,0,29,18,576,
2021-06-20 00:00:00,448,12371,191,7388,0,60,0,4764,
2020-12-29 00:00:00,2,1036,2,39,0,32,1,960,
2020-05-17 00:00:00,2,277,2,40,0,0,0,231,
2022-03-01 00:00:00,80691,2038640,0,0,65,22240,0,0,
2021-05-05 00:00:00,20,2243,29,209,0,32,0,1988,
2022-02-25 00:00:00,64973,1665003,0,0,59,21975,0,0,
2021-07-25 00:00:00,4609,72533,5496,56514,0,314,0,7787,
2021-09-30 00:00:00,4472,411419,0,0,107,15068,0,7787,
2021-09-02 00:00:00,6243,255261,6034,118084,204,9880,0,7787,
2020-05-15 00:00:00,24,272,24,35,0,0,0,231,
2022-03-15 00:00:00,136115,4599678,0,0,36,23020,0,0,
2022-04-28 00:00:00,5953,7972972,0,0,0,23539,0,0,
2021-09-24 00:00:00,3825,388202,0,0,142,14333,0,7787,
2022-01-28 00:00:00,11236,912348,0,0,46,20780,0,0,
2022-03-03 00:00:00,95275,2321762,0,0,64,22363,0,0,
2020-10-21 00:00:00,3,847,4,24,0,32,0,786,
2021-01-09 00:00:00,1,1064,1,44,0,32,4,982,
2022-02-21 00:00:00,39991,1424053,0,0,62,21748,0,0,
2021-12-22 00:00:00,4943,609314,0,0,44,19544,0,0,
2020-12-22 00:00:00,5,1019,4,38,0,32,9,944,
2020-07-02 00:00:00,0,293,0,4,0,0,4,286,
2020-07-22 00:00:00,5,324,5,22,0,0,0,300,
2020-07-24 00:00:00,1,328,1,26,0,0,0,300,
2020-10-17 00:00:00,1,832,1,8,0,32,0,786,
2021-08-17 00:00:00,3833,172995,355,80658,285,5312,0,7787,
2020-10-16 00:00:00,0,831,0,7,0,32,1,786,
2021-10-03 00:00:00,2555,420581,0,0,79,15354,0,7787,
2021-05-20 00:00:00,215,3930,94,1794,2,36,1,2068,
2021-04-05 00:00:00,4,2017,3,93,0,32,31,1886,
2022-04-16 00:00:00,14407,7795149,0,0,2,23521,0,0,
2021-03-04 00:00:00,6,1950,4,469,0,32,14,1443,
2021-07-28 00:00:00,4607,89677,94,66110,91,535,0,7787,
2021-01-04 00:00:00,2,1055,2,47,0,32,0,969,
2020-03-28 00:00:00,5,86,0,0,0,0,0,19,
2022-03-07 00:00:00,119954,2913681,0,0,59,22606,0,0,
2020-08-04 00:00:00,24,522,22,203,2,6,4,310,
2020-06-11 00:00:00,0,284,0,8,0,0,1,268,
2020-09-28 00:00:00,3,826,3,9,0,32,0,775,
2021-03-11 00:00:00,1,1973,1,372,0,32,39,1564,
2021-12-06 00:00:00,2855,548632,0,0,86,18632,0,0,
2022-01-08 00:00:00,8167,717550,0,0,28,20149,0,0,
2022-01-12 00:00:00,8626,751123,0,0,36,20264,0,0,
2022-02-04 00:00:00,9447,988426,0,0,23,21044,0,0,
2020-11-21 00:00:00,1,951,1,78,0,32,0,837,
2021-08-11 00:00:00,3578,148628,3303,82569,262,3687,0,7787,
2021-11-12 00:00:00,2148,480442,0,0,45,17323,0,0,
2021-05-19 00:00:00,66,3715,162,1700,0,34,0,2067,
2021-10-18 00:00:00,1179,443369,0,0,52,16453,0,7787,
2020-08-08 00:00:00,18,625,18,299,0,8,0,316,
2021-03-14 00:00:00,1,1981,1,341,0,32,0,1602,
2022-02-02 00:00:00,7092,972581,0,0,0,20912,0,0,
2021-10-23 00:00:00,920,449828,0,0,43,16661,0,7787,
2022-03-16 00:00:00,136226,4792735,0,0,29,23049,0,0,
2020-09-16 00:00:00,0,820,0,35,0,32,3,740,
2022-01-22 00:00:00,10266,845919,0,0,32,20553,0,0,
2020-09-06 00:00:00,0,820,0,113,0,32,10,670,
2020-10-18 00:00:00,5,837,5,13,0,32,0,786,
2021-07-15 00:00:00,673,25856,5168,24533,73,178,71,7725,
2021-02-14 00:00:00,33,1706,33,575,0,32,3,1095,
2022-03-31 00:00:00,61493,7092607,0,0,10,23390,0,0,
2021-06-08 00:00:00,0,8180,159,5237,0,52,0,2894,
2021-01-23 00:00:00,0,1086,2,44,0,32,0,1007,
2021-09-29 00:00:00,4771,406947,0,0,113,14961,0,7787,
2021-08-22 00:00:00,4742,194722,3895,88502,602,6793,0,7787,
2022-03-21 00:00:00,100062,5877677,0,0,21,23202,0,0,
2021-08-03 00:00:00,4393,116420,1462,74411,336,1768,0,7787,
2021-05-21 00:00:00,124,4054,121,1898,2,38,0,2068,
2021-12-25 00:00:00,5393,624295,0,0,40,19667,0,0,
2021-05-10 00:00:00,124,2655,41,568,0,32,11,2031,
2021-11-09 00:00:00,1980,474420,0,0,39,17196,0,7787,
2021-03-18 00:00:00,2,1989,2,258,0,32,0,1692,
2022-03-11 00:00:00,131581,3640062,0,0,46,22835,0,0,
2022-04-27 00:00:00,6697,7966191,0,0,0,23539,0,0,
2021-11-23 00:00:00,2354,505458,0,0,62,17811,0,0,
2022-03-06 00:00:00,117184,2793725,0,0,52,22547,0,0,
2020-09-19 00:00:00,0,822,0,32,0,32,1,745,
2020-06-03 00:00:00,0,283,0,26,0,0,4,249,
2020-10-27 00:00:00,0,865,0,38,0,32,0,789,
2021-08-16 00:00:00,3567,169162,3248,80303,318,5027,0,7787,
2022-03-18 00:00:00,124468,5256738,0,0,33,23126,0,0,
2020-12-18 00:00:00,0,1012,0,43,0,32,2,932,
2022-03-17 00:00:00,134164,5102754,0,0,44,23093,0,0,
2021-11-14 00:00:00,1704,484115,0,0,24,17385,0,0,
2022-03-19 00:00:00,116309,5647163,0,0,32,23158,0,0,
2021-09-19 00:00:00,5542,361972,0,0,183,13479,0,7787,
2021-01-19 00:00:00,1,1081,1,41,0,32,0,1003,
2021-07-10 00:00:00,1273,19596,822,12443,0,94,0,7181,
2020-10-13 00:00:00,0,829,0,7,0,32,1,784,
2021-02-15 00:00:00,41,1747,16,585,0,32,14,1109,
2021-12-20 00:00:00,4120,599690,0,0,52,19446,0,0,
2021-01-21 00:00:00,0,1085,0,41,0,32,3,1007,
2020-12-20 00:00:00,1,1014,1,42,0,32,0,935,
2021-06-19 00:00:00,188,12371,169,7208,2,60,314,4764,
2021-11-20 00:00:00,2088,497990,0,0,46,17638,0,0,
2022-02-22 00:00:00,47167,1471138,0,0,44,21792,0,0,
2020-05-25 00:00:00,1,281,1,38,0,0,1,235,
2020-12-12 00:00:00,1,1007,1,65,0,32,0,905,
2021-11-18 00:00:00,2706,493522,0,0,45,17537,0,0,
2021-03-01 00:00:00,9,1928,0,460,0,32,15,1429,
2020-11-25 00:00:00,4,962,4,79,0,32,0,847,
2022-02-15 00:00:00,26314,1199631,0,0,37,21468,0,0,
2021-07-14 00:00:00,975,25183,2198,20020,11,105,204,7654,
2020-04-13 00:00:00,12,242,113,113,0,0,2,121,
2020-07-17 00:00:00,0,307,0,12,0,0,3,292,
2021-07-07 00:00:00,1130,18323,209,9186,0,87,0,7181,
2022-01-25 00:00:00,11223,878366,0,0,41,20642,0,0,
2022-04-20 00:00:00,10091,7868835,0,0,1,23528,0,0,
2020-09-29 00:00:00,0,826,0,8,0,32,2,777,
2020-04-15 00:00:00,1,242,1,91,0,0,1,143,
2022-02-06 00:00:00,11330,1009322,0,0,25,21131,0,0,
2022-03-29 00:00:00,66659,6954882,0,0,18,23372,0,0,
2021-07-06 00:00:00,1,17193,764,9179,5,87,0,7181,
2020-05-16 00:00:00,3,275,3,38,0,0,0,231,
2021-01-16 00:00:00,1,1078,1,51,0,32,0,990,
2021-04-04 00:00:00,3,2013,0,119,0,32,0,1855,
2021-08-26 00:00:00,4238,214172,3890,100606,243,7941,0,7787,
2020-05-01 00:00:00,0,247,0,50,0,0,0,197,
2021-03-23 00:00:00,1,1992,0,227,0,32,12,1728,
2022-01-14 00:00:00,8720,768583,0,0,16,20320,0,0,
2021-10-14 00:00:00,963,438818,0,0,61,16244,0,7787,
2022-04-30 00:00:00,4473,7982353,0,0,0,23540,0,0,
2021-11-27 00:00:00,3189,517762,0,0,60,18037,0,0,
2020-10-14 00:00:00,0,829,0,7,0,32,0,784,
2020-06-22 00:00:00,0,288,0,11,0,0,1,274,
2021-05-24 00:00:00,185,4512,210,2324,2,41,67,2153,
2021-05-29 00:00:00,446,5941,212,3605,0,44,0,2240,
2020-03-27 00:00:00,7,81,0,0,0,0,3,19,
2021-08-15 00:00:00,4740,165595,224,77067,282,4709,0,7787,
2020-08-29 00:00:00,1,814,0,222,2,29,6,558,
2020-11-26 00:00:00,10,972,10,81,0,32,8,855,
2022-04-05 00:00:00,42801,7414237,0,0,15,23453,0,0,
2021-10-13 00:00:00,1414,437855,0,0,74,16183,0,7787,
2021-08-09 00:00:00,4188,140787,4188,75053,270,3113,0,7787,
2021-10-24 00:00:00,1204,451029,0,0,30,16691,0,7787,
2020-12-13 00:00:00,2,1009,0,64,0,32,3,908,
2020-07-14 00:00:00,0,307,0,15,0,0,0,289,
2020-12-15 00:00:00,0,1012,0,56,0,32,6,919,
