date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,1,815,0,252,1,27,4,532,
2020-11-13 00:00:00,3,929,2,85,0,32,0,811,
2021-09-18 00:00:00,4320,357221,0,0,167,13307,0,7794,
2020-04-20 00:00:00,0,249,0,52,0,0,12,188,
2020-08-30 00:00:00,0,818,0,204,0,29,18,580,
2021-06-20 00:00:00,448,12378,191,7388,0,60,0,4771,
2020-12-29 00:00:00,2,1040,2,39,0,32,1,964,
2020-05-17 00:00:00,2,281,2,40,0,0,0,235,
2022-03-01 00:00:00,81010,2066314,0,0,65,22411,0,0,
2021-05-05 00:00:00,20,2247,29,209,0,32,0,1992,
2022-02-25 00:00:00,65173,1691693,0,0,59,22144,0,0,
2021-07-25 00:00:00,4611,72550,5498,56524,0,314,0,7794,
2021-09-30 00:00:00,4474,412242,0,0,107,15079,0,7794,
2021-09-02 00:00:00,6268,255945,6058,118561,205,9891,0,7794,
2020-05-15 00:00:00,24,276,24,35,0,0,0,235,
2022-03-15 00:00:00,136343,4631642,0,0,36,23192,0,0,
2022-04-28 00:00:00,5970,8019144,0,0,0,23712,0,0,
2021-09-24 00:00:00,3829,389020,0,0,142,14344,0,7794,
2022-01-28 00:00:00,11459,933280,0,0,47,20908,0,0,
2022-03-03 00:00:00,95626,2350118,0,0,64,22534,0,0,
2020-10-21 00:00:00,3,851,4,24,0,32,0,790,
2021-01-09 00:00:00,1,1068,1,44,0,32,4,986,
2022-02-21 00:00:00,40236,1449838,0,0,62,21916,0,0,
2021-12-22 00:00:00,5294,619121,0,0,44,19556,0,0,
2020-12-22 00:00:00,5,1023,4,38,0,32,9,948,
2020-07-02 00:00:00,0,297,0,4,0,0,4,290,
2020-07-22 00:00:00,5,328,5,22,0,0,0,304,
2020-07-24 00:00:00,1,332,1,26,0,0,0,304,
2020-10-17 00:00:00,1,836,1,8,0,32,0,790,
2021-08-17 00:00:00,3834,173333,356,80986,285,5313,0,7794,
2020-10-16 00:00:00,0,835,0,7,0,32,1,790,
2021-10-03 00:00:00,2556,421405,0,0,79,15365,0,7794,
2021-05-20 00:00:00,215,3936,94,1799,2,36,1,2072,
2021-04-05 00:00:00,4,2021,3,93,0,32,31,1890,
2022-04-16 00:00:00,14480,7840964,0,0,2,23694,0,0,
2021-03-04 00:00:00,6,1954,4,469,0,32,14,1447,
2021-07-28 00:00:00,4609,89703,96,66129,91,535,0,7794,
2021-01-04 00:00:00,2,1059,2,47,0,32,0,973,
2020-03-28 00:00:00,5,88,0,0,0,0,0,19,
2022-03-07 00:00:00,120276,2943436,0,0,59,22778,0,0,
2020-08-04 00:00:00,24,526,22,203,2,6,4,314,
2020-06-11 00:00:00,0,288,0,8,0,0,1,272,
2020-09-28 00:00:00,3,830,3,9,0,32,0,779,
2021-03-11 00:00:00,1,1977,1,372,0,32,39,1568,
2021-12-06 00:00:00,3160,553839,0,0,86,18644,0,0,
2022-01-08 00:00:00,8399,733177,0,0,32,20232,0,0,
2022-01-12 00:00:00,8896,767768,0,0,37,20355,0,0,
2022-02-04 00:00:00,9562,1010403,0,0,28,21187,0,0,
2020-11-21 00:00:00,1,955,1,78,0,32,0,841,
2021-08-11 00:00:00,3579,148789,3303,82569,262,3687,0,7794,
2021-11-12 00:00:00,2192,481945,0,0,45,17334,0,0,
2021-05-19 00:00:00,66,3721,162,1705,0,34,0,2071,
2021-10-18 00:00:00,1191,444270,0,0,52,16464,0,7794,
2020-08-08 00:00:00,18,629,18,299,0,8,0,320,
2021-03-14 00:00:00,1,1985,1,341,0,32,0,1606,
2022-02-02 00:00:00,7178,994344,0,0,0,21043,0,0,
2021-10-23 00:00:00,954,450802,0,0,43,16672,0,7794,
2022-03-16 00:00:00,136483,4824956,0,0,29,23221,0,0,
2020-09-16 00:00:00,0,824,0,35,0,32,3,744,
2022-01-22 00:00:00,10545,865306,0,0,40,20668,0,0,
2020-09-06 00:00:00,0,824,0,113,0,32,10,674,
2020-10-18 00:00:00,5,841,5,13,0,32,0,790,
2021-07-15 00:00:00,673,25864,5168,24538,73,178,71,7732,
2021-02-14 00:00:00,33,1710,33,575,0,32,3,1099,
2022-03-31 00:00:00,62082,7134313,0,0,10,23563,0,0,
2021-06-08 00:00:00,0,8187,159,5237,0,52,0,2901,
2021-01-23 00:00:00,0,1090,2,44,0,32,0,1011,
2021-09-29 00:00:00,4771,407768,0,0,113,14972,0,7794,
2021-08-22 00:00:00,4742,195144,3895,88854,603,6795,0,7794,
2022-03-21 00:00:00,100672,5912787,0,0,21,23374,0,0,
2021-08-03 00:00:00,4402,116496,1471,74480,336,1768,0,7794,
2021-05-21 00:00:00,124,4060,121,1903,2,38,0,2072,
2021-12-25 00:00:00,5788,635291,0,0,40,19679,0,0,
2021-05-10 00:00:00,124,2659,41,571,0,32,11,2035,
2021-11-09 00:00:00,2012,475832,0,0,39,17207,0,7794,
2021-03-18 00:00:00,2,1993,2,258,0,32,0,1696,
2022-03-11 00:00:00,131892,3671136,0,0,46,23007,0,0,
2022-04-27 00:00:00,6709,8012331,0,0,0,23712,0,0,
2021-11-23 00:00:00,2514,508035,0,0,62,17822,0,0,
2022-03-06 00:00:00,117512,2823158,0,0,53,22719,0,0,
2020-09-19 00:00:00,0,826,0,32,0,32,1,749,
2020-06-03 00:00:00,0,287,0,26,0,0,4,253,
2020-10-27 00:00:00,0,869,0,38,0,32,0,793,
2021-08-16 00:00:00,3627,169499,3307,80630,319,5028,0,7794,
2022-03-18 00:00:00,125015,5290011,0,0,33,23298,0,0,
2020-12-18 00:00:00,0,1016,0,43,0,32,2,936,
