date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,1,916,0,332,1,30,5,551,
2020-11-13 00:00:00,3,1033,2,87,0,35,0,910,
2021-09-18 00:00:00,4323,357999,0,0,167,13315,0,7917,
2020-04-20 00:00:00,0,252,0,52,0,0,12,191,
2020-08-30 00:00:00,0,919,0,275,0,32,18,607,
2021-06-20 00:00:00,449,12511,192,7404,0,63,0,4886,
2020-12-29 00:00:00,2,1147,2,41,0,35,1,1066,
2020-05-17 00:00:00,2,284,2,40,0,0,0,238,
2022-03-01 00:00:00,81402,2100230,0,0,65,22495,0,0,
2021-05-05 00:00:00,21,2366,30,220,0,35,0,2097,
2022-02-25 00:00:00,66501,1723489,0,0,60,22220,0,0,
2021-07-25 00:00:00,4622,72741,5509,56588,0,317,0,7917,
2021-09-30 00:00:00,4474,413049,0,0,107,15087,0,7917,
2021-09-02 00:00:00,6273,256568,6062,119065,205,9897,0,7917,
2020-05-15 00:00:00,24,279,24,35,0,0,0,238,
2022-03-15 00:00:00,136677,4670347,0,0,36,23307,0,0,
2022-04-28 00:00:00,5988,8068260,0,0,0,23862,0,0,
2021-09-24 00:00:00,3829,389821,0,0,142,14352,0,7917,
2022-01-28 00:00:00,12076,947216,0,0,47,20937,0,0,
2022-03-03 00:00:00,95972,2384776,0,0,64,22629,0,0,
2020-10-21 00:00:00,3,953,4,25,0,35,0,888,
2021-01-09 00:00:00,1,1175,1,45,0,35,4,1089,
2022-02-21 00:00:00,41078,1477034,0,0,66,21985,0,0,
2021-12-22 00:00:00,5379,624121,0,0,44,19573,0,0,
2020-12-22 00:00:00,5,1130,4,41,0,35,9,1049,
2020-07-02 00:00:00,0,302,0,6,0,0,4,293,
2020-07-22 00:00:00,5,333,5,22,0,0,0,309,
2020-07-24 00:00:00,1,337,1,26,0,0,0,309,
2020-10-17 00:00:00,1,938,1,9,0,35,0,888,
2021-08-17 00:00:00,3845,173744,367,81270,285,5318,0,7917,
2020-10-16 00:00:00,0,937,0,8,0,35,1,888,
2021-10-03 00:00:00,2556,422213,0,0,79,15377,0,7917,
2021-05-20 00:00:00,215,4057,94,1802,2,39,1,2177,
2021-04-05 00:00:00,6,2132,5,96,0,35,31,1995,
2022-04-16 00:00:00,14694,7888860,0,0,2,23838,0,0,
2021-03-04 00:00:00,6,2062,4,469,0,35,15,1552,
2021-07-28 00:00:00,4620,89916,109,66217,91,538,0,7917,
2021-01-04 00:00:00,2,1166,2,49,0,35,0,1075,
2020-03-28 00:00:00,5,91,0,0,0,0,1,20,
2022-03-07 00:00:00,120622,2979502,0,0,59,22882,0,0,
2020-08-04 00:00:00,29,579,27,249,2,8,4,319,
2020-06-11 00:00:00,0,293,0,10,0,0,1,275,
2020-09-28 00:00:00,3,931,3,11,0,35,0,875,
2021-03-11 00:00:00,1,2085,1,372,0,35,39,1673,
2021-12-06 00:00:00,3223,557307,0,0,86,18656,0,0,
2022-01-08 00:00:00,8557,740891,0,0,32,20253,0,0,
2022-01-12 00:00:00,9104,776151,0,0,37,20378,0,0,
2022-02-04 00:00:00,10156,1027476,0,0,29,21218,0,0,
