date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,1,923,0,335,1,30,5,555,
2020-11-13 00:00:00,3,1040,2,87,0,35,0,917,
2021-09-18 00:00:00,4391,360147,0,0,168,13327,0,7926,
2020-04-20 00:00:00,0,252,0,52,0,0,12,191,
2020-08-30 00:00:00,0,926,0,278,0,32,18,611,
2021-06-20 00:00:00,449,12520,192,7404,0,63,0,4894,
2020-12-29 00:00:00,2,1155,2,41,0,35,1,1073,
2020-05-17 00:00:00,2,284,2,40,0,0,0,238,
2022-03-01 00:00:00,82974,2178841,0,0,69,22814,0,0,
2021-05-05 00:00:00,21,2374,30,220,0,35,0,2105,
2022-02-25 00:00:00,67893,1796316,0,0,62,22516,0,0,
2021-07-25 00:00:00,4632,73108,5538,56931,0,317,0,7926,
2021-09-30 00:00:00,4493,415519,0,0,107,15102,0,7926,
2021-09-02 00:00:00,6312,258025,6081,119755,206,9905,0,7926,
2020-05-15 00:00:00,24,279,24,35,0,0,0,238,
2022-03-15 00:00:00,140218,4798655,0,0,42,23672,0,0,
2022-04-28 00:00:00,6080,8278296,0,0,0,24271,0,0,
2021-09-24 00:00:00,3854,392182,0,0,142,14365,0,7926,
2022-01-28 00:00:00,12911,995477,0,0,52,21096,0,0,
2022-03-03 00:00:00,98068,2467528,0,0,68,22959,0,0,
2020-10-21 00:00:00,3,960,4,25,0,35,0,895,
2021-01-09 00:00:00,1,1183,1,45,0,35,4,1096,
2022-02-21 00:00:00,42190,1544670,0,0,71,22262,0,0,
2021-12-22 00:00:00,5942,640375,0,0,47,19637,0,0,
2020-12-22 00:00:00,5,1138,4,41,0,35,9,1056,
2020-07-02 00:00:00,0,302,0,6,0,0,4,293,
2020-07-22 00:00:00,5,334,5,23,0,0,0,309,
2020-07-24 00:00:00,1,338,1,27,0,0,0,309,
2020-10-17 00:00:00,1,945,1,9,0,35,0,895,
2021-08-17 00:00:00,3862,174770,372,81885,286,5323,0,7926,
2020-10-16 00:00:00,0,944,0,8,0,35,1,895,
2021-10-03 00:00:00,2568,424710,0,0,79,15397,0,7926,
2021-05-20 00:00:00,215,4066,94,1803,2,39,1,2185,
