date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,1,923,0,335,1,30,5,555,
2020-11-13 00:00:00,3,1040,2,87,0,35,0,917,
2021-09-18 00:00:00,4391,360698,0,0,168,13329,0,7953,
2020-04-20 00:00:00,0,252,0,52,0,0,12,191,
2020-08-30 00:00:00,0,926,0,278,0,32,18,611,
2021-06-20 00:00:00,449,12549,192,7405,0,63,0,4921,
2020-12-29 00:00:00,2,1155,2,41,0,35,1,1073,
2020-05-17 00:00:00,2,284,2,40,0,0,0,238,
2022-03-01 00:00:00,84366,2197645,0,0,71,22865,0,0,
2021-05-05 00:00:00,21,2401,30,220,0,35,0,2128,
2022-02-25 00:00:00,68496,1812170,0,0,62,22563,0,0,
2021-07-25 00:00:00,4638,73159,5544,56951,0,317,0,7953,
2021-09-30 00:00:00,4493,416097,0,0,108,15105,0,7953,
2021-09-02 00:00:00,6312,258521,6081,120141,206,9905,0,7953,
2020-05-15 00:00:00,24,279,24,35,0,0,0,238,
2022-03-15 00:00:00,143090,4833204,0,0,44,23741,0,0,
2022-04-28 00:00:00,6080,8346728,0,0,0,24387,0,0,
2021-09-24 00:00:00,3854,392736,0,0,142,14367,0,7953,
2022-01-28 00:00:00,12974,1005397,0,0,53,21126,0,0,
2022-03-03 00:00:00,99070,2488427,0,0,69,23012,0,0,
2020-10-21 00:00:00,3,960,4,25,0,35,0,895,
2021-01-09 00:00:00,1,1183,1,45,0,35,4,1096,
2022-02-21 00:00:00,42190,1558567,0,0,71,22307,0,0,
2021-12-22 00:00:00,6122,646173,0,0,47,19651,0,0,
2020-12-22 00:00:00,5,1138,4,41,0,35,9,1056,
2020-07-02 00:00:00,0,302,0,6,0,0,4,293,
2020-07-22 00:00:00,5,334,5,23,0,0,0,309,
2020-07-24 00:00:00,1,338,1,27,0,0,0,309,
2020-10-17 00:00:00,1,945,1,9,0,35,0,895,
2021-08-17 00:00:00,3888,175196,398,82280,286,5323,0,7953,
2020-10-16 00:00:00,0,944,0,8,0,35,1,895,
2021-10-03 00:00:00,2569,425296,0,0,79,15400,0,7953,
2021-05-20 00:00:00,215,4093,94,1803,2,39,1,2208,
