date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,1,924,0,335,1,30,5,555,
2020-11-13 00:00:00,3,1043,2,87,0,35,0,919,
2021-09-18 00:00:00,4399,363662,0,0,168,13363,0,7982,
2020-04-20 00:00:00,0,252,0,52,0,0,12,191,
2020-08-30 00:00:00,0,927,0,278,0,32,18,611,
2021-06-20 00:00:00,449,12578,192,7405,0,63,0,4950,
2020-12-29 00:00:00,2,1163,2,45,0,35,1,1077,
2020-05-17 00:00:00,2,284,2,40,0,0,0,238,
2022-03-01 00:00:00,85041,2216944,0,0,71,22958,0,0,
2021-05-05 00:00:00,21,2429,30,222,0,35,0,2154,
2022-02-25 00:00:00,69273,1829301,0,0,63,22655,0,0,
2021-07-25 00:00:00,4747,74157,5544,57663,0,317,0,7982,
2021-09-30 00:00:00,4497,419172,0,0,108,15139,0,7982,
2021-09-02 00:00:00,6318,261210,6087,120586,206,9935,0,7982,
2020-05-15 00:00:00,24,279,24,35,0,0,0,238,
2022-03-15 00:00:00,144344,4867064,0,0,44,23855,0,0,
2022-04-28 00:00:00,6121,8389220,0,0,0,24524,0,0,
2021-09-24 00:00:00,3863,395774,0,0,142,14401,0,7982,
2022-01-28 00:00:00,13022,1015180,0,0,54,21191,0,0,
2022-03-03 00:00:00,99905,2509529,0,0,70,23109,0,0,
2020-10-21 00:00:00,3,963,4,25,0,35,0,897,
2021-01-09 00:00:00,1,1202,1,56,0,35,4,1104,
2022-02-21 00:00:00,42662,1573561,0,0,72,22391,0,0,
2021-12-22 00:00:00,6251,651541,0,0,47,19695,0,0,
2020-12-22 00:00:00,5,1146,4,45,0,35,11,1060,
2020-07-02 00:00:00,0,302,0,6,0,0,4,293,
2020-07-22 00:00:00,5,334,5,23,0,0,0,309,
2020-07-24 00:00:00,1,338,1,27,0,0,0,309,
2020-10-17 00:00:00,1,948,1,9,0,35,0,897,
2021-08-17 00:00:00,3959,177424,469,83304,286,5323,0,7982,
2020-10-16 00:00:00,0,947,0,8,0,35,1,897,
2021-10-03 00:00:00,2574,428384,0,0,79,15439,0,7982,
2021-05-20 00:00:00,215,4121,94,1803,2,39,1,2236,
2021-04-05 00:00:00,6,2193,5,96,0,35,31,2052,
2022-04-16 00:00:00,15517,8203962,0,0,3,24495,0,0,
2021-03-04 00:00:00,6,2123,4,489,0,35,16,1592,
2021-07-28 00:00:00,4691,91553,151,67461,91,538,0,7982,
2021-01-04 00:00:00,2,1189,2,56,0,35,0,1090,
2020-03-28 00:00:00,5,91,0,0,0,0,1,20,
2022-03-07 00:00:00,126641,3123489,0,0,62,23380,0,0,
2020-08-04 00:00:00,29,583,27,253,2,8,4,319,
2020-06-11 00:00:00,0,293,0,10,0,0,1,275,
2020-09-28 00:00:00,3,941,3,14,0,35,0,882,
2021-03-11 00:00:00,1,2146,1,384,0,35,40,1714,
2021-12-06 00:00:00,3837,573911,0,0,86,18748,0,0,
2022-01-08 00:00:00,9675,786464,0,0,37,20430,0,0,
2022-01-12 00:00:00,10141,825742,0,0,46,20578,0,0,
2022-02-04 00:00:00,10573,1099305,0,0,37,21508,0,0,
2020-11-21 00:00:00,1,1069,1,80,0,35,0,949,
2021-08-11 00:00:00,3673,152163,3377,84875,262,3694,0,7982,
2021-11-12 00:00:00,2365,492665,0,0,45,17420,0,0,
2021-05-19 00:00:00,66,3906,162,1709,0,37,0,2235,
2021-10-18 00:00:00,1321,452185,0,0,52,16545,0,7982,
2020-08-08 00:00:00,20,711,20,373,0,10,0,325,
2021-03-14 00:00:00,1,2154,1,353,0,35,0,1752,
2022-02-02 00:00:00,7991,1081700,0,0,0,21333,0,0,
2021-10-23 00:00:00,1063,459228,0,0,43,16754,0,7982,
2022-03-16 00:00:00,145049,5068944,0,0,34,23889,0,0,
2020-09-16 00:00:00,0,935,0,45,0,35,5,842,
2022-01-22 00:00:00,11784,938363,0,0,44,20925,0,0,
2020-09-06 00:00:00,0,933,0,160,0,35,10,731,
2020-10-18 00:00:00,5,953,5,14,0,35,0,897,
2021-07-15 00:00:00,691,26705,5225,25374,73,181,71,7920,
2021-02-14 00:00:00,33,1879,33,604,0,35,3,1235,
2022-03-31 00:00:00,65296,7457947,0,0,16,24322,0,0,
2021-06-08 00:00:00,0,8379,159,5246,0,55,0,3080,
2021-01-23 00:00:00,0,1231,2,58,0,35,0,1132,
2021-09-29 00:00:00,4791,414685,0,0,113,15031,0,7982,
2021-08-22 00:00:00,4829,199747,3982,91637,603,6805,0,7982,
2022-03-21 00:00:00,109080,6186595,0,0,33,24086,0,0,
2021-08-03 00:00:00,4558,118940,1640,76116,336,1772,0,7982,
2021-05-21 00:00:00,124,4245,121,1907,2,41,0,2236,
2021-12-25 00:00:00,6664,671084,0,0,42,19832,0,0,
2021-05-10 00:00:00,124,2844,41,586,0,35,12,2198,
2021-11-09 00:00:00,2213,486407,0,0,39,17292,0,7982,
2021-03-18 00:00:00,2,2162,2,262,0,35,0,1858,
2022-03-11 00:00:00,137696,3879256,0,0,56,23642,0,0,
2022-04-27 00:00:00,7081,8381913,0,0,0,24524,0,0,
2021-11-23 00:00:00,2887,532724,0,0,63,17914,0,0,
2022-03-06 00:00:00,121825,2996846,0,0,63,23318,0,0,
2020-09-19 00:00:00,0,937,0,39,0,35,1,847,
2020-06-03 00:00:00,0,290,0,26,0,0,4,256,
2020-10-27 00:00:00,0,982,0,40,0,35,0,900,
2021-08-16 00:00:00,3732,173465,3411,82880,320,5037,0,7982,
2022-03-18 00:00:00,131442,5550169,0,0,36,23973,0,0,
2020-12-18 00:00:00,0,1139,0,52,0,35,2,1046,
2022-03-17 00:00:00,144411,5389210,0,0,48,23937,0,0,
2021-11-14 00:00:00,1961,496912,0,0,24,17482,0,0,
2022-03-19 00:00:00,122932,5947217,0,0,49,24022,0,0,
2021-09-19 00:00:00,5622,369284,0,0,183,13546,0,7982,
2021-01-19 00:00:00,1,1224,1,55,0,35,0,1128,
2021-07-10 00:00:00,1311,20269,863,13054,0,97,0,7374,
2020-10-13 00:00:00,0,945,0,8,0,35,1,895,
2021-02-15 00:00:00,41,1920,16,614,0,35,14,1249,
2021-12-20 00:00:00,5265,639365,0,0,57,19591,0,0,
2021-01-21 00:00:00,2,1230,0,55,0,35,3,1132,
2020-12-20 00:00:00,1,1141,1,51,0,35,0,1049,
2021-06-19 00:00:00,188,12578,170,7224,2,63,314,4950,
2021-11-20 00:00:00,2450,512686,0,0,46,17737,0,0,
2022-02-22 00:00:00,50284,1623763,0,0,50,22441,0,0,
2020-05-25 00:00:00,1,288,1,38,0,0,1,242,
2020-12-12 00:00:00,2,1132,2,72,0,35,0,1019,
2021-11-18 00:00:00,3098,507556,0,0,45,17635,0,0,
2021-03-01 00:00:00,9,2101,0,482,0,35,16,1576,
2020-11-25 00:00:00,4,1081,4,81,0,35,0,959,
2022-02-15 00:00:00,28836,1332653,0,0,54,22050,0,0,
2021-07-14 00:00:00,982,26014,2236,20804,11,108,205,7849,
2020-04-13 00:00:00,12,249,113,113,0,0,2,128,
2020-07-17 00:00:00,0,317,0,13,0,0,3,301,
2021-07-07 00:00:00,1206,18958,234,9665,0,90,0,7374,
2022-01-25 00:00:00,12834,975612,0,0,47,21033,0,0,
2022-04-20 00:00:00,11159,8281398,0,0,3,24508,0,0,
2020-09-29 00:00:00,0,941,0,10,0,35,5,887,
2020-04-15 00:00:00,1,249,1,91,0,0,1,150,
2022-02-06 00:00:00,12955,1123349,0,0,30,21609,0,0,
2022-03-29 00:00:00,70795,7312894,0,0,24,24295,0,0,
2021-07-06 00:00:00,1,17752,812,9633,5,90,0,7374,
2020-05-16 00:00:00,3,282,3,38,0,0,0,238,
2021-01-16 00:00:00,1,1221,1,68,0,35,0,1112,
2021-04-04 00:00:00,3,2187,0,120,0,35,0,2021,
