date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,0,81,0,16,0,0,0,65,
2020-11-13 00:00:00,3,113,2,28,0,0,0,85,
2021-09-18 00:00:00,4237,331615,0,0,165,13099,0,704,
2020-04-20 00:00:00,0,55,0,3,0,0,2,52,
2020-08-30 00:00:00,0,81,0,15,0,0,0,66,
2021-06-20 00:00:00,111,2196,137,1620,0,1,0,345,
2020-12-29 00:00:00,2,150,2,3,0,0,1,147,
2020-05-17 00:00:00,0,56,0,3,0,0,0,54,
2022-03-01 00:00:00,4331,607482,0,0,1,20058,0,0,
2021-05-05 00:00:00,1,276,2,32,0,0,0,242,
2022-02-25 00:00:00,4125,590963,0,0,4,20047,0,0,
2021-07-25 00:00:00,4555,60181,5415,54476,0,232,0,704,
2021-09-30 00:00:00,4372,385825,0,0,106,14851,0,704,
2021-09-02 00:00:00,5964,232659,5766,109618,197,9724,0,704,
2020-05-15 00:00:00,0,56,0,3,0,0,0,54,
2022-03-15 00:00:00,4278,678901,0,0,2,20089,0,0,
2022-04-28 00:00:00,112,729109,0,0,0,20119,0,0,
2021-09-24 00:00:00,3786,363076,0,0,140,14124,0,704,
2022-01-28 00:00:00,788,543934,0,0,4,19921,0,0,
2022-03-03 00:00:00,5707,618446,0,0,3,20064,0,0,
2020-10-21 00:00:00,0,85,0,5,0,0,0,80,
2021-01-09 00:00:00,0,156,0,9,0,0,0,147,
2022-02-21 00:00:00,2504,576149,0,0,3,20034,0,0,
2021-12-22 00:00:00,1428,502507,0,0,39,19235,0,0,
2020-12-22 00:00:00,0,147,0,10,0,0,6,136,
2020-07-02 00:00:00,0,62,0,2,0,0,0,60,
2020-07-22 00:00:00,0,62,0,0,0,0,0,62,
2020-07-24 00:00:00,0,62,0,0,0,0,0,62,
2020-10-17 00:00:00,1,83,1,3,0,0,0,80,
2021-08-17 00:00:00,3565,155979,89,74416,285,5197,0,704,
2020-10-16 00:00:00,0,82,0,2,0,0,0,80,
2021-10-03 00:00:00,2461,394679,0,0,79,15148,0,704,
2021-05-20 00:00:00,4,290,2,20,0,0,1,264,
2021-04-05 00:00:00,1,232,0,14,0,0,2,217,
2022-04-16 00:00:00,646,726561,0,0,0,20119,0,0,
2021-03-04 00:00:00,0,218,0,9,0,0,2,209,
2021-07-28 00:00:00,4449,76945,0,63735,91,452,0,704,
2021-01-04 00:00:00,2,155,2,8,0,0,0,147,
2020-03-28 00:00:00,1,45,0,0,0,0,0,3,
2022-03-07 00:00:00,3067,636324,0,0,4,20073,0,0,
2020-08-04 00:00:00,0,71,0,8,0,0,0,62,
2020-06-11 00:00:00,0,60,0,3,0,0,0,57,
2020-09-28 00:00:00,0,81,0,0,0,0,0,80,
2021-03-11 00:00:00,0,222,0,10,0,0,0,212,
2021-12-06 00:00:00,1265,481247,0,0,86,18375,0,0,
2022-01-08 00:00:00,1184,525066,0,0,11,19714,0,0,
2022-01-12 00:00:00,1221,529699,0,0,16,19775,0,0,
2022-02-04 00:00:00,347,548039,0,0,8,19966,0,0,
2020-11-21 00:00:00,0,119,0,34,0,0,0,85,
2021-08-11 00:00:00,3416,132944,3155,77614,261,3582,0,704,
2021-11-12 00:00:00,1404,442447,0,0,42,17099,0,0,
2021-05-19 00:00:00,2,286,0,18,0,0,0,263,
2021-10-18 00:00:00,968,415861,0,0,51,16240,0,704,
2020-08-08 00:00:00,0,71,0,9,0,0,0,62,
2021-03-14 00:00:00,1,223,1,10,0,0,0,213,
2022-02-02 00:00:00,431,547400,0,0,0,19943,0,0,
2021-10-23 00:00:00,751,421328,0,0,42,16446,0,704,
2022-03-16 00:00:00,2052,680953,0,0,4,20093,0,0,
2020-09-16 00:00:00,0,81,0,5,0,0,0,75,
2022-01-22 00:00:00,959,538821,0,0,8,19887,0,0,
2020-09-06 00:00:00,0,81,0,8,0,0,0,72,
2020-10-18 00:00:00,0,83,0,3,0,0,0,80,
2021-07-15 00:00:00,625,14692,5103,23614,72,103,0,681,
2021-02-14 00:00:00,0,215,0,49,0,0,0,166,
2022-03-31 00:00:00,1289,711819,0,0,1,20114,0,0,
2021-06-08 00:00:00,0,769,39,505,0,1,0,279,
2021-01-23 00:00:00,0,166,2,16,0,0,0,152,
2021-09-29 00:00:00,4699,381453,0,0,113,14745,0,704,
2021-08-22 00:00:00,4413,176047,3594,80720,599,6670,0,704,
2022-03-21 00:00:00,2245,696264,0,0,2,20103,0,0,
2021-08-03 00:00:00,4171,102504,1235,70791,331,1674,0,704,
2021-05-21 00:00:00,0,290,0,18,0,0,0,264,
2021-12-25 00:00:00,1310,505559,0,0,35,19340,0,0,
2021-05-10 00:00:00,0,280,0,26,0,0,3,252,
2021-11-09 00:00:00,1280,438443,0,0,38,16976,0,704,
2021-03-18 00:00:00,0,223,0,9,0,0,0,214,
2022-03-11 00:00:00,6337,660723,0,0,2,20081,0,0,
2022-04-27 00:00:00,138,728997,0,0,0,20119,0,0,
2021-11-23 00:00:00,1206,456419,0,0,62,17575,0,0,
2022-03-06 00:00:00,8033,633256,0,0,2,20069,0,0,
2020-09-19 00:00:00,0,81,0,5,0,0,0,75,
2020-06-03 00:00:00,0,59,0,5,0,0,0,54,
2020-10-27 00:00:00,0,85,0,4,0,0,0,81,
2021-08-16 00:00:00,3341,152414,3026,74327,315,4912,0,704,
2022-03-18 00:00:00,3489,689656,0,0,1,20096,0,0,
2020-12-18 00:00:00,0,147,0,16,0,0,1,130,
2022-03-17 00:00:00,5213,686167,0,0,2,20095,0,0,
2021-11-14 00:00:00,985,444683,0,0,22,17159,0,0,
2022-03-19 00:00:00,2287,691944,0,0,3,20099,0,0,
2021-09-19 00:00:00,5496,337111,0,0,182,13281,0,704,
2021-01-19 00:00:00,0,161,0,10,0,0,0,151,
2021-07-10 00:00:00,1229,8708,799,10769,0,21,0,615,
2020-10-13 00:00:00,0,82,0,2,0,0,0,80,
2021-02-15 00:00:00,0,215,0,47,0,0,3,169,
2021-12-20 00:00:00,782,500031,0,0,50,19150,0,0,
2021-01-21 00:00:00,0,165,0,13,0,0,1,152,
2020-12-20 00:00:00,0,147,0,16,0,0,0,130,
2021-06-19 00:00:00,104,2196,131,1483,0,1,4,345,
2021-11-20 00:00:00,1060,452394,0,0,42,17404,0,0,
2022-02-22 00:00:00,3150,579303,0,0,3,20037,0,0,
2020-05-25 00:00:00,1,59,1,5,0,0,0,54,
2020-12-12 00:00:00,0,147,0,25,0,0,0,121,
2021-11-18 00:00:00,1614,449994,0,0,42,17307,0,0,
2021-03-01 00:00:00,0,218,0,12,0,0,3,207,
2020-11-25 00:00:00,2,124,2,34,0,0,0,90,
2022-02-15 00:00:00,1758,562328,0,0,3,20013,0,0,
2021-07-14 00:00:00,900,14067,2149,18511,10,31,40,681,
2020-04-13 00:00:00,1,55,16,16,0,0,0,39,
2020-07-17 00:00:00,0,62,0,0,0,0,0,62,
2021-07-07 00:00:00,1080,7479,198,7561,0,16,0,615,
2022-01-25 00:00:00,803,541397,0,0,8,19906,0,0,
2022-04-20 00:00:00,248,728276,0,0,0,20119,0,0,
2020-09-29 00:00:00,0,81,0,0,0,0,0,80,
2020-04-15 00:00:00,0,55,0,9,0,0,1,46,
2022-02-06 00:00:00,566,548992,0,0,5,19977,0,0,
2022-03-29 00:00:00,1256,709080,0,0,1,20112,0,0,
2021-07-06 00:00:00,0,6399,748,7363,2,16,0,615,
2020-05-16 00:00:00,0,56,0,3,0,0,0,54,
2021-01-16 00:00:00,0,161,0,13,0,0,0,149,
2021-04-04 00:00:00,0,231,0,15,0,0,0,215,
2021-08-26 00:00:00,3934,194165,3692,91664,242,7810,0,704,
2020-05-01 00:00:00,0,55,0,5,0,0,0,54,
2021-03-23 00:00:00,0,225,0,10,0,0,1,215,
2022-01-14 00:00:00,909,531813,0,0,15,19803,0,0,
2021-10-14 00:00:00,910,411913,0,0,61,16032,0,704,
2022-04-30 00:00:00,83,729332,0,0,0,20119,0,0,
2021-11-27 00:00:00,1795,463313,0,0,57,17795,0,0,
2020-10-14 00:00:00,0,82,0,2,0,0,0,80,
2020-06-22 00:00:00,0,61,0,2,0,0,1,59,
2021-05-24 00:00:00,1,291,1,17,0,0,0,269,
2021-05-29 00:00:00,54,382,37,114,0,0,0,269,
2020-03-27 00:00:00,4,44,0,0,0,0,0,3,
2021-08-15 00:00:00,4516,149073,0,71301,282,4597,0,704,
2020-08-29 00:00:00,0,81,0,15,0,0,0,66,
2020-11-26 00:00:00,10,134,10,44,0,0,0,90,
2022-04-05 00:00:00,1490,716879,0,0,0,20117,0,0,
2021-10-13 00:00:00,1162,411003,0,0,73,15971,0,704,
2021-08-09 00:00:00,3993,125571,3991,70311,269,3013,0,704,
2021-10-24 00:00:00,966,422294,0,0,30,16476,0,704,
2020-12-13 00:00:00,0,147,0,25,0,0,0,121,
2020-07-14 00:00:00,0,62,0,0,0,0,0,62,
2020-12-15 00:00:00,0,147,0,20,0,0,0,126,
2021-10-26 00:00:00,783,424046,0,0,27,16543,0,704,
2020-05-12 00:00:00,0,56,0,3,0,0,3,54,
2020-12-02 00:00:00,0,142,0,39,0,0,4,102,
2021-11-06 00:00:00,996,434821,0,0,32,16872,0,704,
2020-06-18 00:00:00,0,61,0,4,0,0,0,57,
2020-04-18 00:00:00,0,55,0,5,0,0,3,50,
2020-07-23 00:00:00,0,62,0,0,0,0,0,62,
2021-03-30 00:00:00,0,230,0,14,0,0,0,215,
2020-11-18 00:00:00,6,119,6,34,0,0,0,85,
2021-08-25 00:00:00,5295,190231,2719,87972,266,7568,0,704,
2021-02-06 00:00:00,1,174,1,16,0,0,0,158,
2020-11-06 00:00:00,0,85,0,4,0,0,0,81,
2022-04-04 00:00:00,825,715389,0,0,1,20117,0,0,
2021-05-23 00:00:00,0,290,0,16,0,0,0,269,
