date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,1,927,3,338,1,30,5,558,
2020-11-13 00:00:00,3,1046,2,87,0,35,0,922,
2021-09-18 00:00:00,4490,365068,0,0,168,13370,0,7986,
2020-04-20 00:00:00,0,252,0,52,0,0,12,191,
2020-08-30 00:00:00,0,930,0,281,0,32,18,614,
2021-06-20 00:00:00,449,12585,192,7407,0,63,0,4953,
2020-12-29 00:00:00,2,1166,2,45,0,35,1,1080,
2020-05-17 00:00:00,2,284,2,40,0,0,0,238,
2022-03-01 00:00:00,87157,2253157,0,0,71,23070,0,0,
2021-05-05 00:00:00,21,2432,30,222,0,35,0,2157,
2022-02-25 00:00:00,71185,1857214,0,0,65,22765,0,0,
2021-07-25 00:00:00,4761,74247,5574,57762,0,317,0,7986,
2021-09-30 00:00:00,4561,420910,0,0,108,15146,0,7986,
2021-09-02 00:00:00,6352,262245,6120,121426,207,9938,0,7986,
2020-05-15 00:00:00,24,279,24,35,0,0,0,238,
2022-03-15 00:00:00,148324,4946532,0,0,44,23988,0,0,
2022-04-28 00:00:00,6335,8558440,0,0,1,24722,0,0,
2021-09-24 00:00:00,3896,397361,0,0,142,14408,0,7986,
2022-01-28 00:00:00,13023,1030914,0,0,54,21277,0,0,
2022-03-03 00:00:00,102385,2550889,0,0,75,23227,0,0,
2020-10-21 00:00:00,3,966,4,25,0,35,0,900,
2021-01-09 00:00:00,1,1205,1,56,0,35,4,1107,
2022-02-21 00:00:00,43382,1595797,0,0,75,22491,0,0,
2021-12-22 00:00:00,6548,661795,0,0,48,19755,0,0,
2020-12-22 00:00:00,5,1149,4,45,0,35,11,1063,
2020-07-02 00:00:00,0,302,0,6,0,0,4,293,
2020-07-22 00:00:00,5,334,5,23,0,0,0,309,
2020-07-24 00:00:00,1,338,1,27,0,0,0,309,
2020-10-17 00:00:00,1,951,1,9,0,35,0,900,
2021-08-17 00:00:00,3983,177897,493,83837,286,5325,0,7986,
2020-10-16 00:00:00,0,950,0,8,0,35,1,900,
2021-10-03 00:00:00,2591,430198,0,0,79,15454,0,7986,
2021-05-20 00:00:00,215,4127,94,1806,2,39,1,2239,
2021-04-05 00:00:00,6,2196,5,96,0,35,31,2055,
2022-04-16 00:00:00,16082,8369287,0,0,5,24679,0,0,
2021-03-04 00:00:00,6,2126,4,489,0,35,16,1595,
2021-07-28 00:00:00,4704,91697,190,67637,91,538,0,7986,
2021-01-04 00:00:00,2,1192,2,56,0,35,0,1093,
2020-03-28 00:00:00,5,91,0,0,0,0,1,20,
2022-03-07 00:00:00,129430,3175794,0,0,62,23507,0,0,
2020-08-04 00:00:00,29,586,27,256,2,8,4,319,
2020-06-11 00:00:00,0,293,0,10,0,0,1,275,
2020-09-28 00:00:00,3,944,3,14,0,35,0,885,
2021-03-11 00:00:00,1,2149,1,384,0,35,40,1717,
2021-12-06 00:00:00,3837,581994,0,0,86,18791,0,0,
2022-01-08 00:00:00,10156,799242,0,0,38,20499,0,0,
2022-01-12 00:00:00,10142,838902,0,0,49,20652,0,0,
2022-02-04 00:00:00,10629,1115713,0,0,37,21596,0,0,
2020-11-21 00:00:00,1,1072,1,80,0,35,0,952,
2021-08-11 00:00:00,3673,152538,3377,85311,262,3695,0,7986,
2021-11-12 00:00:00,2365,498136,0,0,48,17454,0,0,
2021-05-19 00:00:00,66,3912,162,1712,0,37,0,2238,
2021-10-18 00:00:00,1367,454614,0,0,52,16565,0,7986,
2020-08-08 00:00:00,20,714,20,376,0,10,0,325,
2021-03-14 00:00:00,1,2157,1,353,0,35,0,1755,
2022-02-02 00:00:00,7991,1097798,0,0,0,21421,0,0,
2021-10-23 00:00:00,1063,462000,0,0,43,16776,0,7986,
2022-03-16 00:00:00,149521,5152884,0,0,35,24023,0,0,
2020-09-16 00:00:00,0,938,0,45,0,35,5,845,
2022-01-22 00:00:00,12116,953413,0,0,44,21006,0,0,
2020-09-06 00:00:00,0,936,0,163,0,35,10,734,
2020-10-18 00:00:00,5,956,5,14,0,35,0,900,
2021-07-15 00:00:00,691,26714,5226,25378,73,181,71,7924,
2021-02-14 00:00:00,33,1882,33,604,0,35,3,1238,
2022-03-31 00:00:00,68403,7598696,0,0,18,24483,0,0,
2021-06-08 00:00:00,0,8386,159,5248,0,55,0,3083,
2021-01-23 00:00:00,0,1234,2,58,0,35,0,1135,
2021-09-29 00:00:00,4806,416359,0,0,113,15038,0,7986,
2021-08-22 00:00:00,4829,200313,3982,92035,603,6807,0,7986,
2022-03-21 00:00:00,112672,6292240,0,0,33,24228,0,0,
2021-08-03 00:00:00,4587,119175,1658,76397,336,1772,0,7986,
2021-05-21 00:00:00,124,4251,121,1910,2,41,0,2239,
2021-12-25 00:00:00,6664,681692,0,0,44,19894,0,0,
2021-05-10 00:00:00,125,2849,41,588,0,35,12,2201,
2021-11-09 00:00:00,2410,491535,0,0,39,17320,0,7986,
2021-03-18 00:00:00,2,2165,2,262,0,35,0,1861,
2022-03-11 00:00:00,140914,3943530,0,0,56,23771,0,0,
2022-04-27 00:00:00,7408,8550919,0,0,1,24721,0,0,
2021-11-23 00:00:00,2962,539389,0,0,63,17950,0,0,
2022-03-06 00:00:00,124505,3046362,0,0,70,23445,0,0,
2020-09-19 00:00:00,0,940,0,39,0,35,1,850,
2020-06-03 00:00:00,0,290,0,26,0,0,4,256,
2020-10-27 00:00:00,0,985,0,40,0,35,0,903,
2021-08-16 00:00:00,3743,173914,3421,83389,321,5039,0,7986,
2022-03-18 00:00:00,135902,5643161,0,0,37,24108,0,0,
2020-12-18 00:00:00,0,1142,0,52,0,35,2,1049,
2022-03-17 00:00:00,149003,5477742,0,0,48,24071,0,0,
2021-11-14 00:00:00,2189,502737,0,0,25,17517,0,0,
2022-03-19 00:00:00,127398,6044675,0,0,53,24161,0,0,
2021-09-19 00:00:00,5622,370690,0,0,183,13553,0,7986,
2021-01-19 00:00:00,1,1227,1,55,0,35,0,1131,
2021-07-10 00:00:00,1311,20277,863,13057,0,97,0,7378,
2020-10-13 00:00:00,0,948,0,8,0,35,1,898,
2021-02-15 00:00:00,41,1923,16,614,0,35,14,1252,
2021-12-20 00:00:00,5265,649183,0,0,57,19647,0,0,
2021-01-21 00:00:00,2,1233,0,55,0,35,3,1135,
2020-12-20 00:00:00,1,1144,1,51,0,35,0,1052,
2021-06-19 00:00:00,188,12585,170,7226,2,63,314,4953,
2021-11-20 00:00:00,2655,519110,0,0,46,17773,0,0,
2022-02-22 00:00:00,51273,1646988,0,0,53,22544,0,0,
2020-05-25 00:00:00,1,288,1,38,0,0,1,242,
2020-12-12 00:00:00,2,1135,2,72,0,35,0,1022,
2021-11-18 00:00:00,3216,513775,0,0,45,17671,0,0,
2021-03-01 00:00:00,9,2104,0,482,0,35,16,1579,
2020-11-25 00:00:00,4,1084,4,81,0,35,0,962,
2022-02-15 00:00:00,29208,1351348,0,0,54,22144,0,0,
2021-07-14 00:00:00,982,26023,2236,20807,11,108,205,7853,
2020-04-13 00:00:00,12,249,113,113,0,0,2,128,
2020-07-17 00:00:00,0,317,0,13,0,0,3,301,
2021-07-07 00:00:00,1206,18966,235,9668,0,90,0,7378,
2022-01-25 00:00:00,13137,990965,0,0,49,21116,0,0,
2022-04-20 00:00:00,11574,8448421,0,0,4,24697,0,0,
2020-09-29 00:00:00,0,944,0,10,0,35,5,890,
2020-04-15 00:00:00,1,249,1,91,0,0,1,150,
2022-02-06 00:00:00,12955,1139757,0,0,30,21698,0,0,
2022-03-29 00:00:00,73509,7447155,0,0,24,24450,0,0,
2021-07-06 00:00:00,1,17760,812,9635,5,90,0,7378,
2020-05-16 00:00:00,3,282,3,38,0,0,0,238,
2021-01-16 00:00:00,1,1224,1,68,0,35,0,1115,
2021-04-04 00:00:00,3,2190,0,120,0,35,0,2024,
2021-08-26 00:00:00,4334,220253,3985,104516,244,7960,0,7986,
2020-05-01 00:00:00,0,254,0,50,0,0,0,204,
2021-03-23 00:00:00,1,2168,0,231,0,35,12,1897,
2022-01-14 00:00:00,10897,860678,0,0,23,20722,0,0,
2021-10-14 00:00:00,1048,449500,0,0,62,16351,0,7986,
2022-04-30 00:00:00,4703,8568492,0,0,0,24723,0,0,
2021-11-27 00:00:00,3754,544092,0,0,61,18182,0,0,
2020-10-14 00:00:00,0,948,0,8,0,35,0,898,
2020-06-22 00:00:00,0,297,0,13,0,0,1,281,
2021-05-24 00:00:00,185,4709,210,2336,2,44,68,2327,
2021-05-29 00:00:00,449,6141,214,3616,0,47,0,2414,
2020-03-27 00:00:00,7,86,0,0,0,0,3,19,
2021-08-15 00:00:00,4865,170171,348,79980,283,4718,0,7986,
2020-08-29 00:00:00,1,930,0,299,2,32,14,596,
2020-11-26 00:00:00,10,1094,10,83,0,35,8,970,
2022-04-05 00:00:00,47825,7947225,0,0,25,24571,0,0,
2021-10-13 00:00:00,1658,448462,0,0,74,16289,0,7986,
2021-08-09 00:00:00,4390,144443,4349,77741,272,3121,0,7986,
2021-10-24 00:00:00,1526,463511,0,0,30,16806,0,7986,
2020-12-13 00:00:00,2,1137,0,71,0,35,3,1025,
2020-07-14 00:00:00,0,317,0,17,0,0,1,297,
2020-12-15 00:00:00,1,1141,1,64,0,35,6,1036,
2021-10-26 00:00:00,1319,466132,0,0,28,16874,0,7986,
2020-05-12 00:00:00,0,255,0,19,0,0,3,230,
2020-12-02 00:00:00,2,1110,2,69,0,35,5,998,
2021-11-06 00:00:00,2009,484889,0,0,33,17213,0,7986,
2020-06-18 00:00:00,0,295,0,8,0,0,0,279,
2020-04-18 00:00:00,0,252,0,63,0,0,3,179,
2020-07-23 00:00:00,3,337,3,26,0,0,0,309,
2021-03-30 00:00:00,0,2178,0,133,0,35,47,2003,
2020-11-18 00:00:00,10,1066,10,91,0,35,0,935,
2021-08-25 00:00:00,5774,215922,3272,100531,271,7716,0,7986,
2021-02-06 00:00:00,3,1636,6,423,0,35,3,1177,
2020-11-06 00:00:00,0,1009,2,66,0,35,0,903,
2022-04-04 00:00:00,43112,7899400,0,0,16,24546,0,0,
2021-05-23 00:00:00,131,4524,90,2133,1,42,0,2259,
2021-12-18 00:00:00,5098,638108,0,0,4,19534,0,0,
2020-06-24 00:00:00,2,299,2,14,0,0,1,282,
2021-10-19 00:00:00,1133,455736,0,0,47,16612,0,7986,
2022-01-05 00:00:00,9710,770134,0,0,38,20411,0,0,
2021-03-17 00:00:00,2,2163,0,260,0,35,39,1861,
2020-06-27 00:00:00,2,302,2,16,0,0,0,283,
2020-10-26 00:00:00,1,985,1,40,0,35,2,903,
2021-08-23 00:00:00,4834,205138,2520,94537,343,7150,0,7986,
2020-08-18 00:00:00,11,884,2,408,2,26,59,447,
2021-07-29 00:00:00,4842,96539,4742,72379,189,727,0,7986,
2022-04-06 00:00:00,41018,7997543,0,0,12,24583,0,0,
2020-05-04 00:00:00,0,255,0,49,0,0,2,206,
2022-01-26 00:00:00,13423,1004449,0,0,52,21168,0,0,
2022-02-01 00:00:00,9909,1089802,0,0,0,21421,0,0,
2021-04-17 00:00:00,2,2279,1,122,0,35,0,2099,
2021-10-11 00:00:00,1805,445660,0,0,77,16147,0,7986,
2021-11-21 00:00:00,2897,522007,0,0,1,17774,0,0,
2020-09-02 00:00:00,5,936,2,228,0,34,11,671,
2021-03-22 00:00:00,1,2167,1,240,0,35,24,1885,
2020-11-11 00:00:00,26,1042,29,86,0,35,4,920,
2021-01-18 00:00:00,2,1226,1,54,0,35,16,1131,
2022-03-02 00:00:00,96427,2391141,0,0,82,23152,0,0,
2022-02-17 00:00:00,33650,1417329,0,0,59,22255,0,0,
2021-08-31 00:00:00,5940,250098,2852,113694,0,9064,0,7986,
2021-06-15 00:00:00,189,12584,269,6246,0,59,246,4953,
2020-12-04 00:00:00,0,1113,0,65,0,35,1,1006,
2020-06-08 00:00:00,0,293,0,15,0,0,9,270,
2021-08-30 00:00:00,6329,244158,1215,110859,249,9064,0,7986,
2020-07-25 00:00:00,3,341,3,30,0,0,0,309,
2021-09-10 00:00:00,7771,319004,2850,133655,202,11853,0,7986,
2020-04-27 00:00:00,0,254,3,47,0,0,0,203,
2020-12-30 00:00:00,2,1168,2,44,0,35,3,1083,
2020-06-02 00:00:00,0,290,0,30,0,0,4,252,
2021-06-05 00:00:00,243,7769,185,4848,2,53,68,2813,
2021-09-23 00:00:00,5157,393465,0,0,178,14266,0,7986,
2022-04-19 00:00:00,12189,8436847,0,0,13,24693,0,0,
2020-04-06 00:00:00,4,222,0,0,0,0,2,82,
2021-06-01 00:00:00,245,6842,181,4216,1,48,11,2551,
2020-09-30 00:00:00,0,944,0,8,0,35,3,893,
2020-11-12 00:00:00,1,1043,1,85,0,35,2,922,
2020-11-08 00:00:00,0,1010,0,0,0,35,0,903,
2022-04-15 00:00:00,17829,8348325,0,0,7,24674,0,0,
2022-03-28 00:00:00,71046,7350449,0,0,29,24426,0,0,
2020-09-08 00:00:00,0,936,0,113,0,35,13,784,
2021-08-29 00:00:00,5478,237829,5021,110777,261,8815,0,7986,
2022-01-20 00:00:00,12319,929203,0,0,28,20900,0,0,
2020-10-25 00:00:00,4,984,4,41,0,35,0,901,
2021-08-08 00:00:00,4315,140054,218,73392,422,2849,0,7986,
2021-01-28 00:00:00,9,1246,96,146,0,35,0,1146,
2020-09-21 00:00:00,0,940,0,35,0,35,4,854,
2021-12-19 00:00:00,5815,643937,0,0,56,19590,0,0,
2020-11-14 00:00:00,0,1046,1,82,0,35,2,924,
2021-06-06 00:00:00,199,7968,118,4933,0,53,56,2869,
2021-07-01 00:00:00,351,15626,285,8821,0,79,402,6612,
2021-04-19 00:00:00,5,2287,6,130,0,35,0,2099,
2021-12-13 00:00:00,4684,615632,0,0,72,19271,0,0,
2020-04-01 00:00:00,2,102,0,0,0,0,5,35,
2021-01-31 00:00:00,30,1482,16,274,0,35,1,1167,
2020-07-10 00:00:00,0,316,0,17,0,0,2,296,
2021-03-05 00:00:00,0,2126,0,481,0,35,0,1595,
2022-01-18 00:00:00,12049,905624,0,0,34,20849,0,0,
2021-04-27 00:00:00,3,2338,3,157,0,35,0,2125,
2020-07-11 00:00:00,1,317,1,18,0,0,0,296,
2022-02-16 00:00:00,32236,1383676,0,0,52,22196,0,0,
2021-11-10 00:00:00,2374,493852,0,0,45,17365,0,7986,
2021-05-15 00:00:00,49,3232,282,1168,1,36,10,2231,
2021-04-13 00:00:00,7,2244,5,120,0,35,0,2075,
2021-08-02 00:00:00,4648,114590,4095,74739,354,1436,0,7986,
2022-03-12 00:00:00,143540,4372565,0,0,45,23816,0,0,
2021-03-21 00:00:00,0,2166,0,0,0,35,0,1861,
2021-10-12 00:00:00,1175,446823,0,0,68,16215,0,7986,
2021-02-10 00:00:00,23,1746,41,544,0,35,6,1186,
2022-02-13 00:00:00,24588,1295006,0,0,43,22040,0,0,
2021-04-01 00:00:00,0,2181,0,136,0,35,0,2003,
2021-08-12 00:00:00,4195,156733,1926,87507,228,3923,0,7986,
2021-11-26 00:00:00,3783,550374,0,0,54,18121,0,0,
2021-11-13 00:00:00,2393,500550,0,0,38,17492,0,0,
2021-06-24 00:00:00,209,12995,261,7558,2,70,72,5159,
2020-12-31 00:00:00,4,1172,3,45,0,35,2,1085,
2021-10-07 00:00:00,1892,438419,0,0,92,15834,0,7986,
2021-03-31 00:00:00,3,2181,3,136,0,35,0,2003,
2021-10-08 00:00:00,2416,440822,0,0,78,15912,0,7986,
2020-05-29 00:00:00,0,289,0,33,0,0,0,248,
2022-01-02 00:00:00,9320,742099,0,0,66,20300,0,0,
2020-09-15 00:00:00,0,938,0,50,0,35,5,840,
2022-04-03 00:00:00,43724,7856286,0,0,15,24530,0,0,
2021-08-28 00:00:00,5973,232351,1734,105767,274,8554,0,7986,
2020-07-06 00:00:00,14,316,14,19,0,0,1,294,
2020-07-20 00:00:00,1,318,1,11,0,0,3,304,
2022-02-09 00:00:00,21917,1196926,0,0,50,21843,0,0,
2021-12-08 00:00:00,4226,592305,0,0,71,18924,0,0,
2020-08-19 00:00:00,4,888,4,406,0,25,8,455,
2020-06-26 00:00:00,1,300,1,14,0,0,1,283,
2020-03-21 00:00:00,1,54,0,0,0,0,0,16,
2022-02-28 00:00:00,86255,2150022,0,0,90,22999,0,0,
2020-10-09 00:00:00,0,946,0,6,0,35,1,897,
2021-12-03 00:00:00,4075,572043,0,0,65,18567,0,0,
2021-02-01 00:00:00,32,1513,31,302,0,35,3,1170,
2020-04-24 00:00:00,2,254,2,45,0,0,0,199,
2021-05-03 00:00:00,12,2399,10,182,0,35,9,2157,
2021-07-05 00:00:00,1231,17759,643,9580,1,85,201,7378,
2020-03-30 00:00:00,2,98,0,0,0,0,5,28,
2020-08-24 00:00:00,6,916,2,378,0,27,20,509,
2021-06-30 00:00:00,428,15275,469,8753,1,79,74,6211,
2021-04-15 00:00:00,14,2269,14,145,0,35,0,2075,
2020-11-07 00:00:00,1,1010,0,0,0,35,0,903,
2021-11-28 00:00:00,3512,547604,0,0,66,18248,0,0,
2022-01-21 00:00:00,12037,941254,0,0,62,20962,0,0,
2022-01-13 00:00:00,10846,849767,0,0,47,20699,0,0,
2020-10-22 00:00:00,4,970,4,29,0,35,0,900,
2021-01-11 00:00:00,1,1207,1,58,0,35,0,1107,
2020-12-09 00:00:00,4,1125,4,73,0,35,0,1010,
2020-08-05 00:00:00,40,626,40,293,0,8,3,322,
2021-01-10 00:00:00,1,1206,1,57,0,35,0,1107,
2021-02-22 00:00:00,9,2046,9,594,0,35,0,1411,
2021-12-21 00:00:00,6057,655241,0,0,60,19707,0,0,
2021-09-15 00:00:00,5474,348562,0,0,191,12868,0,7986,
2021-03-26 00:00:00,4,2175,4,216,0,35,0,1916,
2021-09-03 00:00:00,8795,271039,5111,126535,254,10192,0,7986,
