date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,2,943,4,353,1,30,5,559,
2020-11-13 00:00:00,3,1074,2,96,0,35,0,941,
2021-09-18 00:00:00,4518,372693,0,0,168,13457,0,8119,
2020-04-20 00:00:00,0,253,0,52,0,0,12,192,
2020-08-30 00:00:00,0,946,0,296,0,32,18,615,
2021-06-20 00:00:00,449,12732,192,7418,0,63,0,5086,
2020-12-29 00:00:00,2,1240,2,73,0,35,1,1127,
2020-05-17 00:00:00,2,285,2,40,0,0,0,239,
2022-03-01 00:00:00,89037,2331433,0,0,71,23380,0,0,
2021-05-05 00:00:00,21,2570,30,270,0,35,0,2238,
2022-02-25 00:00:00,72816,1930022,0,0,65,23074,0,0,
2021-07-25 00:00:00,4933,75431,5756,58895,0,317,0,8119,
2021-09-30 00:00:00,4591,428841,0,0,108,15236,0,8119,
2021-09-02 00:00:00,6410,269090,6177,124449,208,9997,0,8119,
2020-05-15 00:00:00,24,280,24,35,0,0,0,239,
2022-03-15 00:00:00,150049,5049550,0,0,45,24314,0,0,
2022-04-28 00:00:00,6363,8676063,0,0,1,25081,0,0,
2021-09-24 00:00:00,3906,405111,0,0,142,14497,0,8119,
2022-01-28 00:00:00,13152,1092487,0,0,54,21547,0,0,
2022-03-03 00:00:00,104362,2633218,0,0,75,23541,0,0,
2020-10-21 00:00:00,3,988,4,29,0,35,0,918,
2021-01-09 00:00:00,1,1282,1,81,0,35,4,1160,
2022-02-21 00:00:00,43978,1663236,0,0,76,22796,0,0,
2021-12-22 00:00:00,7346,687899,0,0,48,19898,0,0,
2020-12-22 00:00:00,5,1214,4,81,0,35,12,1093,
2020-07-02 00:00:00,0,303,0,6,0,0,4,294,
2020-07-22 00:00:00,5,335,5,23,0,0,0,310,
2020-07-24 00:00:00,1,339,1,27,0,0,0,310,
2020-10-17 00:00:00,2,971,2,12,0,35,0,917,
2021-08-17 00:00:00,4122,182777,631,88782,287,5357,0,8119,
2020-10-16 00:00:00,0,969,0,10,0,35,1,917,
2021-10-03 00:00:00,2641,438230,0,0,79,15544,0,8119,
2021-05-20 00:00:00,216,4270,94,1839,2,39,1,2338,
2021-04-05 00:00:00,6,2285,5,100,0,35,32,2130,
2022-04-16 00:00:00,16141,8486604,0,0,5,25038,0,0,
2021-03-04 00:00:00,6,2210,4,499,0,35,16,1669,
2021-07-28 00:00:00,4851,93066,269,68961,91,540,0,8119,
2021-01-04 00:00:00,2,1269,2,85,0,35,0,1142,
2020-03-28 00:00:00,5,92,0,0,0,0,1,21,
2022-03-07 00:00:00,130996,3265418,0,0,62,23826,0,0,
2020-08-04 00:00:00,29,588,27,257,2,8,4,320,
2020-06-11 00:00:00,0,294,0,10,0,0,1,276,
2020-09-28 00:00:00,3,963,3,18,0,35,0,900,
2021-03-11 00:00:00,1,2233,1,384,0,35,40,1791,
2021-12-06 00:00:00,4298,598174,0,0,87,18903,0,0,
2022-01-08 00:00:00,10954,838770,0,0,45,20703,0,0,
2022-01-12 00:00:00,10914,893736,0,0,54,20873,0,0,
2022-02-04 00:00:00,10663,1177722,0,0,41,21884,0,0,
2020-11-21 00:00:00,1,1118,1,106,0,35,0,972,
2021-08-11 00:00:00,3776,156271,3479,89116,262,3722,0,8119,
2021-11-12 00:00:00,2535,508126,0,0,48,17547,0,0,
2021-05-19 00:00:00,66,4054,162,1745,0,37,0,2337,
2021-10-18 00:00:00,1398,463251,0,0,52,16654,0,8119,
2020-08-08 00:00:00,21,720,21,381,0,10,0,326,
2021-03-14 00:00:00,1,2241,1,353,0,35,0,1829,
2022-02-02 00:00:00,8016,1159704,0,0,0,21696,0,0,
2021-10-23 00:00:00,1102,470836,0,0,43,16865,0,8119,
2022-03-16 00:00:00,150901,5257282,0,0,35,24349,0,0,
2020-09-16 00:00:00,0,955,0,57,0,35,5,849,
2022-01-22 00:00:00,12421,1013944,0,0,48,21264,0,0,
2020-09-06 00:00:00,0,952,0,178,0,35,10,735,
2020-10-18 00:00:00,7,978,7,19,0,35,0,917,
2021-07-15 00:00:00,709,27073,5287,25742,73,181,71,8057,
2021-02-14 00:00:00,33,1966,33,621,0,35,3,1305,
2022-03-31 00:00:00,68789,7713613,0,0,18,24833,0,0,
2021-06-08 00:00:00,0,8530,159,5257,0,55,0,3216,
2021-01-23 00:00:00,0,1311,2,75,0,35,0,1196,
2021-09-29 00:00:00,4838,424260,0,0,113,15128,0,8119,
2021-08-22 00:00:00,4989,205817,4142,94783,603,6842,0,8119,
2022-03-21 00:00:00,113288,6401566,0,0,36,24566,0,0,
2021-08-03 00:00:00,4776,121889,2011,79189,337,1794,0,8119,
2021-05-21 00:00:00,124,4394,121,1943,2,41,0,2338,
2021-12-25 00:00:00,7457,710171,0,0,47,20050,0,0,
2021-05-10 00:00:00,125,2989,41,626,0,35,16,2294,
2021-11-09 00:00:00,2509,501105,0,0,39,17412,0,8119,
2021-03-18 00:00:00,2,2254,2,267,0,35,0,1935,
2022-03-11 00:00:00,142607,4040917,0,0,56,24094,0,0,
2022-04-27 00:00:00,7443,8668514,0,0,1,25080,0,0,
2021-11-23 00:00:00,3134,551159,0,0,63,18044,0,0,
2022-03-06 00:00:00,125990,3134420,0,0,70,23764,0,0,
2020-09-19 00:00:00,0,959,0,53,0,35,1,854,
2020-06-03 00:00:00,0,291,0,26,0,0,4,257,
2020-10-27 00:00:00,0,1007,0,43,0,35,1,922,
2021-08-16 00:00:00,4005,178655,3682,88196,322,5070,0,8119,
2022-03-18 00:00:00,137094,5750133,0,0,39,24439,0,0,
2020-12-18 00:00:00,0,1206,0,88,0,35,2,1078,
2022-03-17 00:00:00,150385,5583522,0,0,51,24400,0,0,
2021-11-14 00:00:00,2398,513145,0,0,25,17610,0,0,
2022-03-19 00:00:00,128385,6152634,0,0,56,24495,0,0,
2021-09-19 00:00:00,5659,378352,0,0,184,13641,0,8119,
2021-01-19 00:00:00,1,1304,1,74,0,35,0,1190,
2021-07-10 00:00:00,1340,20502,876,13238,0,97,0,7511,
2020-10-13 00:00:00,0,967,0,10,0,35,1,915,
2021-02-15 00:00:00,41,2007,16,631,0,35,14,1319,
2021-12-20 00:00:00,5974,673691,0,0,61,19786,0,0,
2021-01-21 00:00:00,2,1310,0,72,0,35,3,1196,
2020-12-20 00:00:00,1,1208,1,87,0,35,0,1081,
2021-06-19 00:00:00,188,12732,170,7237,2,63,314,5086,
2021-11-20 00:00:00,2813,530370,0,0,46,17867,0,0,
2022-02-22 00:00:00,52486,1715640,0,0,55,22851,0,0,
2020-05-25 00:00:00,1,289,1,38,0,0,1,243,
2020-12-12 00:00:00,4,1199,4,108,0,35,0,1051,
2021-11-18 00:00:00,3351,524723,0,0,45,17765,0,0,
2021-03-01 00:00:00,9,2188,0,493,0,35,16,1652,
2020-11-25 00:00:00,4,1130,4,107,0,35,0,982,
2022-02-15 00:00:00,29603,1415484,0,0,63,22445,0,0,
2021-07-14 00:00:00,982,26364,2254,21110,11,108,205,7986,
2020-04-13 00:00:00,12,250,113,113,0,0,2,129,
2020-07-17 00:00:00,0,318,0,13,0,0,3,302,
2021-07-07 00:00:00,1224,19162,276,9761,0,90,0,7511,
2022-01-25 00:00:00,13337,1052134,0,0,49,21376,0,0,
2022-04-20 00:00:00,11621,8565878,0,0,4,25056,0,0,
2020-09-29 00:00:00,0,963,0,13,0,35,6,906,
2020-04-15 00:00:00,1,250,1,91,0,0,1,151,
2022-02-06 00:00:00,13014,1201874,0,0,30,21986,0,0,
2022-03-29 00:00:00,74134,7561220,0,0,24,24800,0,0,
2021-07-06 00:00:00,1,17938,812,9687,5,90,0,7511,
2020-05-16 00:00:00,3,283,3,38,0,0,0,239,
2021-01-16 00:00:00,1,1301,1,94,0,35,0,1171,
2021-04-04 00:00:00,3,2279,0,125,0,35,0,2098,
2021-08-26 00:00:00,4465,226487,4113,108265,247,7999,0,8119,
2020-05-01 00:00:00,0,255,0,50,0,0,0,205,
2021-03-23 00:00:00,1,2257,0,236,0,35,12,1971,
2022-01-14 00:00:00,11577,916869,0,0,25,20948,0,0,
2021-10-14 00:00:00,1083,457996,0,0,63,16440,0,8119,
2022-04-30 00:00:00,4709,8686133,0,0,0,25082,0,0,
2021-11-27 00:00:00,3993,556691,0,0,64,18281,0,0,
2020-10-14 00:00:00,0,967,0,10,0,35,0,915,
2020-06-22 00:00:00,0,298,0,13,0,0,1,282,
2021-05-24 00:00:00,185,4852,210,2352,2,44,71,2429,
2021-05-29 00:00:00,449,6284,214,3625,0,47,0,2520,
2020-03-27 00:00:00,7,87,0,0,0,0,3,20,
2021-08-15 00:00:00,5031,174650,513,84526,284,4748,0,8119,
2020-08-29 00:00:00,1,946,0,314,2,32,14,597,
2020-11-26 00:00:00,10,1140,10,105,0,35,12,994,
2022-04-05 00:00:00,48098,8063376,0,0,25,24924,0,0,
2021-10-13 00:00:00,1697,456923,0,0,74,16377,0,8119,
2021-08-09 00:00:00,4423,148073,4381,81445,273,3147,0,8119,
2021-10-24 00:00:00,1569,472390,0,0,30,16895,0,8119,
2020-12-13 00:00:00,2,1201,0,107,0,35,3,1054,
2020-07-14 00:00:00,0,318,0,17,0,0,1,298,
2020-12-15 00:00:00,1,1205,1,100,0,35,6,1065,
2021-10-26 00:00:00,1364,475100,0,0,28,16963,0,8119,
2020-05-12 00:00:00,0,256,0,19,0,0,3,231,
2020-12-02 00:00:00,3,1163,2,97,0,35,6,1024,
2021-11-06 00:00:00,2059,494220,0,0,33,17304,0,8119,
2020-06-18 00:00:00,0,296,0,8,0,0,0,280,
2020-04-18 00:00:00,0,253,0,63,0,0,3,180,
2020-07-23 00:00:00,3,338,3,26,0,0,0,310,
2021-03-30 00:00:00,0,2267,0,138,0,35,47,2077,
2020-11-18 00:00:00,12,1112,12,117,0,35,0,955,
2021-08-25 00:00:00,5924,222025,3849,104152,272,7752,0,8119,
2021-02-06 00:00:00,3,1720,6,441,0,35,3,1244,
2020-11-06 00:00:00,3,1037,2,75,0,35,0,922,
2022-04-04 00:00:00,43262,8015278,0,0,17,24899,0,0,
2021-05-23 00:00:00,131,4667,90,2149,1,42,0,2358,
2021-12-18 00:00:00,5699,661308,0,0,11,19666,0,0,
2020-06-24 00:00:00,2,300,2,14,0,0,1,283,
2021-10-19 00:00:00,1171,464411,0,0,47,16701,0,8119,
2022-01-05 00:00:00,10492,807272,0,0,40,20601,0,0,
2021-03-17 00:00:00,7,2252,7,267,0,35,39,1935,
2020-06-27 00:00:00,2,303,2,16,0,0,0,284,
2020-10-26 00:00:00,1,1007,1,44,0,35,2,921,
2021-08-23 00:00:00,5079,210887,2613,97378,343,7185,0,8119,
2020-08-18 00:00:00,12,898,3,421,2,26,59,448,
2021-07-29 00:00:00,4860,97926,4806,73767,203,743,0,8119,
2022-04-06 00:00:00,41202,8113878,0,0,14,24938,0,0,
2020-05-04 00:00:00,0,256,0,49,0,0,2,207,
2022-01-26 00:00:00,13568,1065763,0,0,59,21435,0,0,
2022-02-01 00:00:00,9951,1151669,0,0,0,21696,0,0,
2021-04-17 00:00:00,8,2386,7,142,0,35,0,2177,
2021-10-11 00:00:00,1831,454044,0,0,77,16235,0,8119,
2021-11-21 00:00:00,3067,533437,0,0,1,17868,0,0,
2020-09-02 00:00:00,5,952,2,243,0,34,11,672,
2021-03-22 00:00:00,1,2256,1,245,0,35,24,1959,
2020-11-11 00:00:00,26,1070,29,95,0,35,4,939,
2021-01-18 00:00:00,2,1303,1,73,0,35,19,1190,
2022-03-02 00:00:00,98503,2471493,0,0,86,23466,0,0,
2022-02-17 00:00:00,34134,1482361,0,0,61,22558,0,0,
2021-08-31 00:00:00,5940,256773,2918,116552,0,9118,0,8119,
2021-06-15 00:00:00,189,12731,269,6255,0,59,255,5086,
2020-12-04 00:00:00,0,1166,0,90,0,35,4,1035,
2020-06-08 00:00:00,0,294,0,15,0,0,9,271,
2021-08-30 00:00:00,6455,250833,1215,113651,251,9118,0,8119,
2020-07-25 00:00:00,3,342,3,30,0,0,0,310,
2021-09-10 00:00:00,7805,326316,2850,134867,203,11933,0,8119,
2020-04-27 00:00:00,0,255,3,47,0,0,0,204,
2020-12-30 00:00:00,2,1242,2,72,0,35,3,1130,
2020-06-02 00:00:00,0,291,0,30,0,0,4,253,
2021-06-05 00:00:00,244,7913,186,4858,2,53,68,2924,
2021-09-23 00:00:00,5177,401205,0,0,178,14355,0,8119,
2022-04-19 00:00:00,12226,8554257,0,0,13,25052,0,0,
2020-04-06 00:00:00,4,223,0,0,0,0,2,83,
2021-06-01 00:00:00,245,6985,181,4225,1,48,11,2660,
2020-09-30 00:00:00,0,963,0,11,0,35,3,909,
2020-11-12 00:00:00,1,1071,1,94,0,35,2,941,
2020-11-08 00:00:00,0,1038,0,0,0,35,0,922,
2022-04-15 00:00:00,17890,8465583,0,0,7,25033,0,0,
2022-03-28 00:00:00,71407,7463889,0,0,35,24776,0,0,
2020-09-08 00:00:00,0,952,0,126,0,35,15,787,
2021-08-29 00:00:00,5570,244378,5112,114445,262,8867,0,8119,
2022-01-20 00:00:00,12898,989078,0,0,30,21154,0,0,
2020-10-25 00:00:00,4,1006,4,45,0,35,0,919,
2021-08-08 00:00:00,4516,143651,419,77064,422,2874,0,8119,
2021-01-28 00:00:00,9,1323,96,157,0,35,0,1213,
2020-09-21 00:00:00,0,959,0,49,0,35,4,858,
2021-12-19 00:00:00,6414,667736,0,0,59,19725,0,0,
2020-11-14 00:00:00,0,1074,3,93,0,35,2,943,
2021-06-06 00:00:00,199,8112,118,4943,0,53,57,2981,
2021-07-01 00:00:00,351,15789,285,8845,0,79,402,6745,
2021-04-19 00:00:00,5,2395,6,151,0,35,0,2177,
2021-12-13 00:00:00,5278,635846,0,0,72,19388,0,0,
2020-04-01 00:00:00,2,103,0,0,0,0,5,36,
2021-01-31 00:00:00,37,1566,23,292,0,35,1,1234,
2020-07-10 00:00:00,0,317,0,17,0,0,2,297,
2021-03-05 00:00:00,0,2210,0,491,0,35,0,1669,
2022-01-18 00:00:00,12556,964235,0,0,38,21097,0,0,
2021-04-27 00:00:00,5,2458,5,189,0,35,0,2204,
2020-07-11 00:00:00,1,318,1,18,0,0,0,297,
2022-02-16 00:00:00,32648,1448224,0,0,52,22497,0,0,
2021-11-10 00:00:00,2496,503544,0,0,46,17458,0,8119,
2021-05-15 00:00:00,49,3373,282,1201,1,36,10,2330,
2021-04-13 00:00:00,7,2333,5,122,0,35,0,2153,
2021-08-02 00:00:00,4934,117115,4380,77178,354,1457,0,8119,
2022-03-12 00:00:00,145100,4471512,0,0,45,24139,0,0,
2021-03-21 00:00:00,0,2255,0,0,0,35,0,1935,
2021-10-12 00:00:00,1213,455245,0,0,68,16303,0,8119,
2021-02-10 00:00:00,23,1830,41,562,0,35,6,1253,
2022-02-13 00:00:00,24778,1358538,0,0,43,22331,0,0,
2021-04-01 00:00:00,0,2270,0,141,0,35,0,2077,
2021-08-12 00:00:00,4368,160639,2098,91484,228,3949,0,8119,
2021-11-26 00:00:00,3999,562734,0,0,54,18217,0,0,
2021-11-13 00:00:00,2602,510749,0,0,38,17585,0,0,
2021-06-24 00:00:00,214,13147,267,7572,2,70,72,5292,
2020-12-31 00:00:00,4,1246,3,73,0,35,2,1132,
2021-10-07 00:00:00,1943,446641,0,0,92,15924,0,8119,
2021-03-31 00:00:00,3,2270,3,141,0,35,0,2077,
2021-10-08 00:00:00,2471,449099,0,0,78,16000,0,8119,
2020-05-29 00:00:00,0,290,0,33,0,0,0,249,
2022-01-02 00:00:00,10100,776872,0,0,71,20484,0,0,
2020-09-15 00:00:00,0,955,0,62,0,35,5,844,
2022-04-03 00:00:00,43918,7972014,0,0,17,24882,0,0,
2021-08-28 00:00:00,6065,238808,1734,109344,276,8605,0,8119,
2020-07-06 00:00:00,14,317,14,19,0,0,1,295,
2020-07-20 00:00:00,1,319,1,11,0,0,3,305,
2022-02-09 00:00:00,22149,1259568,0,0,50,22133,0,0,
2021-12-08 00:00:00,4715,609460,0,0,73,19038,0,0,
2020-08-19 00:00:00,4,902,4,419,0,25,8,456,
2020-06-26 00:00:00,1,301,1,14,0,0,1,284,
2020-03-21 00:00:00,1,55,0,0,0,0,0,17,
2022-02-28 00:00:00,87372,2226418,0,0,91,23309,0,0,
2020-10-09 00:00:00,0,965,0,9,0,35,1,913,
2021-12-03 00:00:00,4525,586828,0,0,65,18674,0,0,
2021-02-01 00:00:00,32,1597,31,320,0,35,3,1237,
2020-04-24 00:00:00,2,255,2,45,0,0,0,200,
2021-05-03 00:00:00,17,2536,13,229,0,35,11,2238,
2021-07-05 00:00:00,1241,17937,653,9633,1,85,201,7511,
2020-03-30 00:00:00,2,99,0,0,0,0,5,29,
2020-08-24 00:00:00,6,931,2,392,0,27,20,510,
2021-06-30 00:00:00,428,15438,469,8777,1,79,74,6344,
2021-04-15 00:00:00,17,2364,17,153,0,35,0,2153,
2020-11-07 00:00:00,1,1038,0,0,0,35,0,922,
2021-11-28 00:00:00,3770,560461,0,0,67,18348,0,0,
2022-01-21 00:00:00,12383,1001476,0,0,62,21216,0,0,
2022-01-13 00:00:00,11523,905278,0,0,50,20923,0,0,
2020-10-22 00:00:00,4,992,4,33,0,35,0,918,
2021-01-11 00:00:00,1,1284,1,83,0,35,0,1160,
2020-12-09 00:00:00,4,1186,4,106,0,35,0,1039,
2020-08-05 00:00:00,40,628,40,294,0,8,3,323,
2021-01-10 00:00:00,1,1283,1,82,0,35,0,1160,
2021-02-22 00:00:00,9,2130,9,607,0,35,0,1482,
2021-12-21 00:00:00,6855,680547,0,0,64,19850,0,0,
2021-09-15 00:00:00,5507,356087,0,0,192,12953,0,8119,
2021-03-26 00:00:00,4,2264,4,221,0,35,0,1990,
2021-09-03 00:00:00,8856,277945,5171,129618,255,10252,0,8119,
2020-05-14 00:00:00,0,256,0,11,0,0,8,239,
2020-03-19 00:00:00,4,49,0,0,0,0,0,16,
2020-10-12 00:00:00,1,967,1,11,0,35,1,914,
2022-02-23 00:00:00,55961,1793379,0,0,70,22921,0,0,
2020-11-01 00:00:00,2,1012,0,0,0,35,0,922,
2020-09-22 00:00:00,0,959,0,43,0,35,6,864,
2021-11-08 00:00:00,2443,498635,0,0,37,17373,0,8119,
2020-10-07 00:00:00,0,965,0,10,0,35,0,912,
2021-02-27 00:00:00,6,2167,5,521,0,35,5,1605,
2021-05-11 00:00:00,74,3063,108,734,0,35,0,2294,
2022-01-24 00:00:00,12255,1038772,0,0,25,21328,0,0,
2021-06-03 00:00:00,234,7450,185,4606,0,49,0,2701,
2020-03-22 00:00:00,6,61,0,0,0,0,0,17,
2020-08-11 00:00:00,19,777,18,428,1,16,0,330,
2021-12-05 00:00:00,4432,595943,0,0,71,18816,0,0,
2021-10-29 00:00:00,1537,480295,0,0,34,17056,0,8119,
2021-12-31 00:00:00,7959,759334,0,0,48,20381,0,0,
2020-04-21 00:00:00,0,253,0,50,0,0,2,193,
2020-03-24 00:00:00,8,73,0,0,0,0,0,17,
2021-07-26 00:00:00,6280,81711,4254,63143,132,449,0,8119,
2021-02-13 00:00:00,53,1933,53,589,0,35,0,1302,
2021-10-16 00:00:00,1254,460580,0,0,59,16561,0,8119,
2021-08-04 00:00:00,3785,125673,3571,82760,220,2014,0,8119,
2020-08-09 00:00:00,30,750,29,410,1,11,0,326,
2020-12-26 00:00:00,0,1227,0,73,0,35,0,1114,
2022-01-09 00:00:00,10579,849369,0,0,29,20732,0,0,
2022-02-03 00:00:00,7742,1167057,0,0,147,21843,0,0,
2021-08-20 00:00:00,4091,196166,455,89061,318,6239,0,8119,
2022-04-09 00:00:00,29823,8257628,0,0,11,24979,0,0,
2022-04-29 00:00:00,5571,8681424,0,0,1,25082,0,0,
2020-09-13 00:00:00,0,955,2,73,0,35,8,831,
2021-10-22 00:00:00,1941,469748,0,0,33,16822,0,8119,
2022-03-22 00:00:00,110558,6630545,0,0,42,24608,0,0,
2022-03-04 00:00:00,110364,2791633,0,0,82,23623,0,0,
2020-10-29 00:00:00,0,1008,0,44,0,35,0,922,
2021-08-18 00:00:00,4434,187211,1914,90688,257,5614,0,8119,
2021-11-02 00:00:00,1439,486603,0,0,33,17166,0,8119,
2021-05-16 00:00:00,294,3667,92,1293,0,36,0,2330,
2021-04-25 00:00:00,10,2445,13,179,0,35,0,2204,
2022-04-11 00:00:00,21610,8299459,0,0,3,24988,0,0,
2022-02-08 00:00:00,20179,1237432,0,0,61,22100,0,0,
2021-07-17 00:00:00,1799,34838,1215,28164,0,190,0,8119,
2022-02-24 00:00:00,63902,1857192,0,0,88,23009,0,0,
2021-07-19 00:00:00,0,37254,4794,37860,0,213,0,8119,
2022-04-26 00:00:00,7862,8659222,0,0,9,25079,0,0,
2021-05-18 00:00:00,145,3988,157,1590,0,37,7,2337,
2021-01-08 00:00:00,2,1281,1,84,0,35,3,1156,
2020-04-09 00:00:00,11,240,0,0,0,0,15,120,
2021-07-30 00:00:00,4825,102751,380,66002,269,1012,0,8119,
2020-12-17 00:00:00,1,1206,1,90,0,35,11,1076,
2022-02-18 00:00:00,40007,1522371,0,0,58,22616,0,0,
2022-01-01 00:00:00,7422,766767,0,0,32,20413,0,0,
2021-03-07 00:00:00,2,2225,3,497,0,35,0,1669,
2021-07-03 00:00:00,422,16697,766,8652,0,82,244,7137,
2020-07-31 00:00:00,75,464,74,146,1,1,4,315,
2020-03-31 00:00:00,2,101,0,0,0,0,2,31,
2021-02-04 00:00:00,45,1701,63,419,0,35,4,1241,
2021-01-26 00:00:00,2,1314,0,61,0,35,5,1213,
2020-06-10 00:00:00,0,294,0,11,0,0,4,275,
2021-05-14 00:00:00,105,3324,105,925,0,35,0,2320,
2022-03-14 00:00:00,139220,4899299,0,0,63,24269,0,0,
2020-10-31 00:00:00,3,1011,3,47,0,35,0,922,
2020-04-25 00:00:00,0,255,3,44,0,0,4,204,
2020-07-12 00:00:00,0,318,0,18,0,0,0,297,
2020-09-10 00:00:00,0,953,0,102,0,35,3,807,
2022-03-10 00:00:00,136378,3878880,0,0,56,24038,0,0,
2021-12-15 00:00:00,5506,646895,0,0,74,19534,0,0,
2020-06-29 00:00:00,0,303,0,11,0,0,5,289,
2021-03-28 00:00:00,2,2266,2,182,0,35,0,2030,
2021-06-26 00:00:00,705,14181,674,7933,0,72,176,5653,
2022-03-09 00:00:00,143814,3684718,0,0,83,23982,0,0,
2021-10-28 00:00:00,1917,478777,0,0,26,17022,0,8119,
2021-10-09 00:00:00,1934,451018,0,0,75,16075,0,8119,
2021-09-08 00:00:00,7590,312657,3470,131160,269,11520,0,8119,
2020-11-05 00:00:00,1,1034,3,74,0,35,0,922,
2020-10-03 00:00:00,0,964,0,0,0,35,0,910,
2021-02-26 00:00:00,4,2161,0,520,0,35,34,1600,
2021-10-21 00:00:00,1563,467820,0,0,43,16789,0,8119,
2020-12-08 00:00:00,10,1182,10,102,0,35,0,1039,
2021-01-06 00:00:00,0,1275,0,81,0,35,11,1153,
2021-01-13 00:00:00,0,1286,2,83,0,35,6,1166,
2021-12-09 00:00:00,5349,614812,0,0,76,19114,0,0,
2021-12-14 00:00:00,5524,641384,0,0,72,19460,0,0,
2021-06-14 00:00:00,256,12731,112,6004,0,59,233,5086,
2021-05-12 00:00:00,83,3146,38,766,0,35,17,2311,
2021-01-07 00:00:00,4,1279,4,85,0,35,0,1153,
2022-01-07 00:00:00,10322,827788,0,0,38,20658,0,0,
2022-04-23 00:00:00,9263,8595636,0,0,4,25065,0,0,
2020-08-31 00:00:00,1,947,1,285,2,34,12,627,
2021-07-02 00:00:00,486,16275,471,9111,3,82,149,6894,
2021-11-19 00:00:00,2834,527557,0,0,56,17821,0,0,
2020-05-07 00:00:00,0,256,0,37,0,0,1,217,
2021-12-26 00:00:00,7627,717828,0,0,44,20094,0,0,
2021-05-01 00:00:00,14,2504,8,212,0,35,23,2227,
2021-01-22 00:00:00,1,1311,1,73,0,35,0,1196,
2021-12-12 00:00:00,5517,630416,0,0,74,19316,0,0,
2021-04-09 00:00:00,10,2315,10,116,0,35,0,2141,
2021-04-07 00:00:00,9,2296,9,97,0,35,6,2141,
2021-06-23 00:00:00,201,12933,483,7460,0,68,134,5220,
2021-11-05 00:00:00,1884,492179,0,0,35,17271,0,8119,
2021-11-30 00:00:00,4109,572620,0,0,65,18466,0,0,
2021-12-01 00:00:00,4636,577258,0,0,66,18532,0,0,
2021-11-04 00:00:00,1908,490321,0,0,30,17236,0,8119,
2020-09-24 00:00:00,0,960,0,0,0,35,0,892,
2020-04-03 00:00:00,4,216,0,0,0,0,3,77,
2020-08-14 00:00:00,24,839,12,454,1,21,14,361,
2021-12-16 00:00:00,5183,652081,0,0,65,19599,0,0,
2021-02-03 00:00:00,27,1656,0,0,0,35,0,1237,
2021-02-12 00:00:00,2,1880,2,536,0,35,1,1302,
2021-11-17 00:00:00,3123,521372,0,0,27,17720,0,0,
2021-08-27 00:00:00,6259,232744,1371,109275,330,8329,0,8119,
