date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,2,943,4,353,1,30,5,559,
2020-11-13 00:00:00,3,1074,2,96,0,35,0,941,
2021-09-18 00:00:00,4519,372962,0,0,168,13457,0,8119,
2020-04-20 00:00:00,0,253,0,52,0,0,12,192,
2020-08-30 00:00:00,0,946,0,296,0,32,18,615,
2021-06-20 00:00:00,449,12732,192,7418,0,63,0,5086,
2020-12-29 00:00:00,2,1240,2,73,0,35,1,1127,
2020-05-17 00:00:00,2,285,2,40,0,0,0,239,
2022-03-01 00:00:00,90129,2360134,0,0,73,23474,0,0,
2021-05-05 00:00:00,21,2570,30,270,0,35,0,2238,
2022-02-25 00:00:00,73601,1955492,0,0,66,23164,0,0,
2021-07-25 00:00:00,4934,75461,5759,58926,0,317,0,8119,
2021-09-30 00:00:00,4596,429124,0,0,108,15236,0,8119,
2021-09-02 00:00:00,6410,269334,6177,124578,208,9997,0,8119,
2020-05-15 00:00:00,24,280,24,35,0,0,0,239,
2022-03-15 00:00:00,152447,5097967,0,0,46,24421,0,0,
2022-04-28 00:00:00,6495,8766866,0,0,2,25222,0,0,
2021-09-24 00:00:00,3906,405387,0,0,142,14497,0,8119,
2022-01-28 00:00:00,13358,1107958,0,0,54,21601,0,0,
2022-03-03 00:00:00,105345,2663961,0,0,79,23640,0,0,
2020-10-21 00:00:00,3,988,4,29,0,35,0,918,
2021-01-09 00:00:00,1,1282,1,81,0,35,4,1160,
2022-02-21 00:00:00,44455,1685923,0,0,79,22880,0,0,
2021-12-22 00:00:00,7641,694652,0,0,48,19919,0,0,
2020-12-22 00:00:00,5,1214,4,81,0,35,12,1093,
2020-07-02 00:00:00,0,303,0,6,0,0,4,294,
2020-07-22 00:00:00,5,335,5,23,0,0,0,310,
2020-07-24 00:00:00,1,339,1,27,0,0,0,310,
2020-10-17 00:00:00,2,971,2,12,0,35,0,917,
2021-08-17 00:00:00,4125,182977,637,88965,287,5357,0,8119,
2020-10-16 00:00:00,0,969,0,10,0,35,1,917,
2021-10-03 00:00:00,2643,438515,0,0,79,15544,0,8119,
2021-05-20 00:00:00,216,4270,94,1839,2,39,1,2338,
2021-04-05 00:00:00,6,2285,5,100,0,35,32,2130,
2022-04-16 00:00:00,16421,8575657,0,0,5,25177,0,0,
2021-03-04 00:00:00,6,2210,4,499,0,35,16,1669,
2021-07-28 00:00:00,4851,93106,269,69000,91,540,0,8119,
2021-01-04 00:00:00,2,1269,2,85,0,35,0,1142,
2020-03-28 00:00:00,5,92,0,0,0,0,1,21,
2022-03-07 00:00:00,132121,3300359,0,0,64,23930,0,0,
2020-08-04 00:00:00,29,588,27,257,2,8,4,320,
2020-06-11 00:00:00,0,294,0,10,0,0,1,276,
2020-09-28 00:00:00,3,963,3,18,0,35,0,900,
2021-03-11 00:00:00,1,2233,1,384,0,35,40,1791,
2021-12-06 00:00:00,4382,601407,0,0,87,18912,0,0,
2022-01-08 00:00:00,11190,849889,0,0,45,20733,0,0,
2022-01-12 00:00:00,11162,905793,0,0,54,20905,0,0,
2022-02-04 00:00:00,10893,1194470,0,0,41,21946,0,0,
2020-11-21 00:00:00,1,1118,1,106,0,35,0,972,
2021-08-11 00:00:00,3776,156411,3479,89254,262,3722,0,8119,
2021-11-12 00:00:00,2589,508937,0,0,48,17551,0,0,
2021-05-19 00:00:00,66,4054,162,1745,0,37,0,2337,
2021-10-18 00:00:00,1398,463664,0,0,53,16655,0,8119,
2020-08-08 00:00:00,21,720,21,381,0,10,0,326,
2021-03-14 00:00:00,1,2241,1,353,0,35,0,1829,
2022-02-02 00:00:00,8109,1176014,0,0,0,21754,0,0,
2021-10-23 00:00:00,1102,471304,0,0,43,16866,0,8119,
2022-03-16 00:00:00,153499,5308297,0,0,36,24457,0,0,
2020-09-16 00:00:00,0,955,0,57,0,35,5,849,
2022-01-22 00:00:00,12663,1028108,0,0,50,21314,0,0,
2020-09-06 00:00:00,0,952,0,178,0,35,10,735,
2020-10-18 00:00:00,7,978,7,19,0,35,0,917,
2021-07-15 00:00:00,709,27083,5288,25756,73,181,71,8057,
2021-02-14 00:00:00,33,1966,33,621,0,35,3,1305,
2022-03-31 00:00:00,70053,7793332,0,0,20,24958,0,0,
2021-06-08 00:00:00,0,8530,159,5257,0,55,0,3216,
2021-01-23 00:00:00,0,1311,2,75,0,35,0,1196,
2021-09-29 00:00:00,4838,424538,0,0,113,15128,0,8119,
2021-08-22 00:00:00,4989,206037,4142,94968,603,6842,0,8119,
2022-03-21 00:00:00,115017,6464229,0,0,38,24681,0,0,
2021-08-03 00:00:00,4776,121941,2012,79241,337,1794,0,8119,
2021-05-21 00:00:00,124,4394,121,1943,2,41,0,2338,
2021-12-25 00:00:00,7678,717425,0,0,47,20074,0,0,
2021-05-10 00:00:00,125,2989,41,626,0,35,16,2294,
2021-11-09 00:00:00,2529,501808,0,0,40,17416,0,8119,
2021-03-18 00:00:00,2,2254,2,267,0,35,0,1935,
2022-03-11 00:00:00,144118,4081375,0,0,56,24200,0,0,
2022-04-27 00:00:00,7443,8759016,0,0,1,25220,0,0,
2021-11-23 00:00:00,3199,552748,0,0,64,18051,0,0,
2022-03-06 00:00:00,126915,3168236,0,0,72,23866,0,0,
2020-09-19 00:00:00,0,959,0,53,0,35,1,854,
2020-06-03 00:00:00,0,291,0,26,0,0,4,257,
2020-10-27 00:00:00,0,1007,0,43,0,35,1,922,
2021-08-16 00:00:00,4013,178852,3690,88373,322,5070,0,8119,
2022-03-18 00:00:00,139823,5806738,0,0,40,24549,0,0,
2020-12-18 00:00:00,0,1206,0,88,0,35,2,1078,
2022-03-17 00:00:00,153246,5637398,0,0,52,24509,0,0,
2021-11-14 00:00:00,2398,514017,0,0,25,17614,0,0,
2022-03-19 00:00:00,130776,6211630,0,0,58,24607,0,0,
2021-09-19 00:00:00,5659,378621,0,0,184,13641,0,8119,
2021-01-19 00:00:00,1,1304,1,74,0,35,0,1190,
2021-07-10 00:00:00,1341,20508,876,13248,0,97,0,7511,
2020-10-13 00:00:00,0,967,0,10,0,35,1,915,
2021-02-15 00:00:00,41,2007,16,631,0,35,14,1319,
2021-12-20 00:00:00,6148,679895,0,0,63,19805,0,0,
2021-01-21 00:00:00,2,1310,0,72,0,35,3,1196,
2020-12-20 00:00:00,1,1208,1,87,0,35,0,1081,
2021-06-19 00:00:00,188,12732,170,7237,2,63,314,5086,
2021-11-20 00:00:00,2919,531675,0,0,46,17872,0,0,
2022-02-22 00:00:00,53116,1738957,0,0,57,22937,0,0,
2020-05-25 00:00:00,1,289,1,38,0,0,1,243,
2020-12-12 00:00:00,4,1199,4,108,0,35,0,1051,
2021-11-18 00:00:00,3446,525842,0,0,45,17769,0,0,
2021-03-01 00:00:00,9,2188,0,493,0,35,16,1652,
2020-11-25 00:00:00,4,1130,4,107,0,35,0,982,
2022-02-15 00:00:00,29965,1435688,0,0,63,22523,0,0,
2021-07-14 00:00:00,982,26374,2255,21123,11,108,205,7986,
2020-04-13 00:00:00,12,250,113,113,0,0,2,129,
2020-07-17 00:00:00,0,318,0,13,0,0,3,302,
2021-07-07 00:00:00,1225,19167,276,9767,0,90,0,7511,
2022-01-25 00:00:00,13562,1066935,0,0,49,21429,0,0,
2022-04-20 00:00:00,11884,8655511,0,0,4,25195,0,0,
2020-09-29 00:00:00,0,963,0,13,0,35,6,906,
2020-04-15 00:00:00,1,250,1,91,0,0,1,151,
2022-02-06 00:00:00,13242,1219080,0,0,30,22052,0,0,
2022-03-29 00:00:00,75748,7638145,0,0,24,24922,0,0,
2021-07-06 00:00:00,1,17942,812,9693,5,90,0,7511,
2020-05-16 00:00:00,3,283,3,38,0,0,0,239,
2021-01-16 00:00:00,1,1301,1,94,0,35,0,1171,
2021-04-04 00:00:00,3,2279,0,125,0,35,0,2098,
2021-08-26 00:00:00,4466,226714,4114,108457,247,7999,0,8119,
2020-05-01 00:00:00,0,255,0,50,0,0,0,205,
2021-03-23 00:00:00,1,2257,0,236,0,35,12,1971,
2022-01-14 00:00:00,11577,929164,0,0,26,20984,0,0,
2021-10-14 00:00:00,1111,458386,0,0,63,16440,0,8119,
2022-04-30 00:00:00,4804,8777126,0,0,0,25223,0,0,
2021-11-27 00:00:00,4152,558810,0,0,64,18288,0,0,
2020-10-14 00:00:00,0,967,0,10,0,35,0,915,
2020-06-22 00:00:00,0,298,0,13,0,0,1,282,
2021-05-24 00:00:00,185,4852,210,2352,2,44,71,2429,
2021-05-29 00:00:00,449,6284,214,3625,0,47,0,2520,
2020-03-27 00:00:00,7,87,0,0,0,0,3,20,
2021-08-15 00:00:00,5042,174839,524,84695,284,4748,0,8119,
2020-08-29 00:00:00,1,946,0,314,2,32,14,597,
2020-11-26 00:00:00,10,1140,10,105,0,35,12,994,
2022-04-05 00:00:00,49028,8147496,0,0,26,25054,0,0,
2021-10-13 00:00:00,1705,457285,0,0,74,16377,0,8119,
2021-08-09 00:00:00,4453,148195,4411,81565,273,3147,0,8119,
2021-10-24 00:00:00,1577,472866,0,0,30,16896,0,8119,
2020-12-13 00:00:00,2,1201,0,107,0,35,3,1054,
2020-07-14 00:00:00,0,318,0,17,0,0,1,298,
2020-12-15 00:00:00,1,1205,1,100,0,35,6,1065,
2021-10-26 00:00:00,1370,475585,0,0,28,16964,0,8119,
2020-05-12 00:00:00,0,256,0,19,0,0,3,231,
2020-12-02 00:00:00,3,1163,2,97,0,35,6,1024,
2021-11-06 00:00:00,2086,494854,0,0,34,17307,0,8119,
2020-06-18 00:00:00,0,296,0,8,0,0,0,280,
2020-04-18 00:00:00,0,253,0,63,0,0,3,180,
2020-07-23 00:00:00,3,338,3,26,0,0,0,310,
2021-03-30 00:00:00,0,2267,0,138,0,35,47,2077,
2020-11-18 00:00:00,12,1112,12,117,0,35,0,955,
2021-08-25 00:00:00,5924,222251,3849,104343,272,7752,0,8119,
2021-02-06 00:00:00,3,1720,6,441,0,35,3,1244,
2020-11-06 00:00:00,3,1037,2,75,0,35,0,922,
2022-04-04 00:00:00,43941,8098468,0,0,17,25028,0,0,
2021-05-23 00:00:00,131,4667,90,2149,1,42,0,2358,
2021-12-18 00:00:00,5924,667093,0,0,11,19683,0,0,
2020-06-24 00:00:00,2,300,2,14,0,0,1,283,
2021-10-19 00:00:00,1205,464858,0,0,47,16702,0,8119,
2022-01-05 00:00:00,10720,817680,0,0,41,20630,0,0,
2021-03-17 00:00:00,7,2252,7,267,0,35,39,1935,
2020-06-27 00:00:00,2,303,2,16,0,0,0,284,
2020-10-26 00:00:00,1,1007,1,44,0,35,2,921,
2021-08-23 00:00:00,5080,211108,2614,97564,343,7185,0,8119,
2020-08-18 00:00:00,12,898,3,421,2,26,59,448,
2021-07-29 00:00:00,4862,97968,4808,73808,203,743,0,8119,
2022-04-06 00:00:00,41967,8198763,0,0,16,25070,0,0,
2020-05-04 00:00:00,0,256,0,49,0,0,2,207,
2022-01-26 00:00:00,13797,1080793,0,0,59,21488,0,0,
2022-02-01 00:00:00,10124,1167886,0,0,0,21754,0,0,
2021-04-17 00:00:00,8,2386,7,142,0,35,0,2177,
2021-10-11 00:00:00,1857,454391,0,0,77,16235,0,8119,
2021-11-21 00:00:00,3152,534827,0,0,1,17873,0,0,
2020-09-02 00:00:00,5,952,2,243,0,34,11,672,
2021-03-22 00:00:00,1,2256,1,245,0,35,24,1959,
2020-11-11 00:00:00,26,1070,29,95,0,35,4,939,
2021-01-18 00:00:00,2,1303,1,73,0,35,19,1190,
2022-03-02 00:00:00,99562,2501253,0,0,87,23561,0,0,
2022-02-17 00:00:00,34508,1503301,0,0,61,22636,0,0,
2021-08-31 00:00:00,5944,257017,2922,116681,0,9118,0,8119,
2021-06-15 00:00:00,189,12731,269,6255,0,59,255,5086,
2020-12-04 00:00:00,0,1166,0,90,0,35,4,1035,
2020-06-08 00:00:00,0,294,0,15,0,0,9,271,
2021-08-30 00:00:00,6458,251073,1218,113776,251,9118,0,8119,
2020-07-25 00:00:00,3,342,3,30,0,0,0,310,
2021-09-10 00:00:00,7810,326576,2850,134935,203,11933,0,8119,
2020-04-27 00:00:00,0,255,3,47,0,0,0,204,
2020-12-30 00:00:00,2,1242,2,72,0,35,3,1130,
2020-06-02 00:00:00,0,291,0,30,0,0,4,253,
2021-06-05 00:00:00,244,7913,186,4858,2,53,68,2924,
2021-09-23 00:00:00,5177,401481,0,0,178,14355,0,8119,
2022-04-19 00:00:00,12226,8643627,0,0,13,25191,0,0,
2020-04-06 00:00:00,4,223,0,0,0,0,2,83,
2021-06-01 00:00:00,245,6985,181,4225,1,48,11,2660,
2020-09-30 00:00:00,0,963,0,11,0,35,3,909,
2020-11-12 00:00:00,1,1071,1,94,0,35,2,941,
2020-11-08 00:00:00,0,1038,0,0,0,35,0,922,
2022-04-15 00:00:00,18192,8554356,0,0,8,25172,0,0,
2022-03-28 00:00:00,72456,7539200,0,0,35,24898,0,0,
2020-09-08 00:00:00,0,952,0,126,0,35,15,787,
2021-08-29 00:00:00,5576,244615,5112,114567,262,8867,0,8119,
2022-01-20 00:00:00,13129,1002769,0,0,31,21200,0,0,
2020-10-25 00:00:00,4,1006,4,45,0,35,0,919,
2021-08-08 00:00:00,4537,143743,440,77154,422,2874,0,8119,
2021-01-28 00:00:00,9,1323,96,157,0,35,0,1213,
2020-09-21 00:00:00,0,959,0,49,0,35,4,858,
2021-12-19 00:00:00,6659,673766,0,0,59,19742,0,0,
2020-11-14 00:00:00,0,1074,3,93,0,35,2,943,
2021-06-06 00:00:00,199,8112,118,4943,0,53,57,2981,
2021-07-01 00:00:00,351,15789,285,8845,0,79,402,6745,
2021-04-19 00:00:00,5,2395,6,151,0,35,0,2177,
2021-12-13 00:00:00,5443,640520,0,0,72,19405,0,0,
2020-04-01 00:00:00,2,103,0,0,0,0,5,36,
2021-01-31 00:00:00,37,1566,23,292,0,35,1,1234,
2020-07-10 00:00:00,0,317,0,17,0,0,2,297,
2021-03-05 00:00:00,0,2210,0,491,0,35,0,1669,
2022-01-18 00:00:00,12796,977450,0,0,41,21140,0,0,
2021-04-27 00:00:00,5,2458,5,189,0,35,0,2204,
2020-07-11 00:00:00,1,318,1,18,0,0,0,297,
2022-02-16 00:00:00,33010,1468790,0,0,52,22575,0,0,
2021-11-10 00:00:00,2496,504247,0,0,46,17462,0,8119,
2021-05-15 00:00:00,49,3373,282,1201,1,36,10,2330,
2021-04-13 00:00:00,7,2333,5,122,0,35,0,2153,
2021-08-02 00:00:00,4936,117167,4380,77229,354,1457,0,8119,
2022-03-12 00:00:00,146835,4513705,0,0,45,24245,0,0,
2021-03-21 00:00:00,0,2255,0,0,0,35,0,1935,
2021-10-12 00:00:00,1220,455599,0,0,68,16303,0,8119,
2021-02-10 00:00:00,23,1830,41,562,0,35,6,1253,
2022-02-13 00:00:00,25110,1378073,0,0,44,22409,0,0,
2021-04-01 00:00:00,0,2270,0,141,0,35,0,2077,
2021-08-12 00:00:00,4390,160801,2120,91644,228,3949,0,8119,
2021-11-26 00:00:00,4111,564694,0,0,54,18224,0,0,
2021-11-13 00:00:00,2663,511621,0,0,38,17589,0,0,
2021-06-24 00:00:00,214,13147,267,7572,2,70,72,5292,
2020-12-31 00:00:00,4,1246,3,73,0,35,2,1132,
2021-10-07 00:00:00,1943,446928,0,0,92,15924,0,8119,
2021-03-31 00:00:00,3,2270,3,141,0,35,0,2077,
2021-10-08 00:00:00,2500,449415,0,0,78,16000,0,8119,
2020-05-29 00:00:00,0,290,0,33,0,0,0,249,
2022-01-02 00:00:00,10340,786595,0,0,71,20510,0,0,
2020-09-15 00:00:00,0,955,0,62,0,35,5,844,
2022-04-03 00:00:00,44686,8054525,0,0,19,25011,0,0,
2021-08-28 00:00:00,6069,239039,1738,109540,276,8605,0,8119,
2020-07-06 00:00:00,14,317,14,19,0,0,1,295,
2020-07-20 00:00:00,1,319,1,11,0,0,3,305,
2022-02-09 00:00:00,22506,1277716,0,0,52,22205,0,0,
2021-12-08 00:00:00,4896,613181,0,0,76,19052,0,0,
2020-08-19 00:00:00,4,902,4,419,0,25,8,456,
2020-06-26 00:00:00,1,301,1,14,0,0,1,284,
2020-03-21 00:00:00,1,55,0,0,0,0,0,17,
2022-02-28 00:00:00,88080,2254027,0,0,91,23401,0,0,
2020-10-09 00:00:00,0,965,0,9,0,35,1,913,
2021-12-03 00:00:00,4623,589977,0,0,66,18683,0,0,
2021-02-01 00:00:00,32,1597,31,320,0,35,3,1237,
2020-04-24 00:00:00,2,255,2,45,0,0,0,200,
2021-05-03 00:00:00,17,2536,13,229,0,35,11,2238,
2021-07-05 00:00:00,1244,17941,653,9639,1,85,201,7511,
2020-03-30 00:00:00,2,99,0,0,0,0,5,29,
2020-08-24 00:00:00,6,931,2,392,0,27,20,510,
2021-06-30 00:00:00,428,15438,469,8777,1,79,74,6344,
2021-04-15 00:00:00,17,2364,17,153,0,35,0,2153,
2020-11-07 00:00:00,1,1038,0,0,0,35,0,922,
2021-11-28 00:00:00,3903,562713,0,0,67,18355,0,0,
2022-01-21 00:00:00,12614,1015398,0,0,64,21264,0,0,
2022-01-13 00:00:00,11761,917573,0,0,53,20958,0,0,
2020-10-22 00:00:00,4,992,4,33,0,35,0,918,
2021-01-11 00:00:00,1,1284,1,83,0,35,0,1160,
2020-12-09 00:00:00,4,1186,4,106,0,35,0,1039,
2020-08-05 00:00:00,40,628,40,294,0,8,3,323,
2021-01-10 00:00:00,1,1283,1,82,0,35,0,1160,
2021-02-22 00:00:00,9,2130,9,607,0,35,0,1482,
2021-12-21 00:00:00,7109,687005,0,0,66,19871,0,0,
2021-09-15 00:00:00,5508,356351,0,0,192,12953,0,8119,
2021-03-26 00:00:00,4,2264,4,221,0,35,0,1990,
2021-09-03 00:00:00,8856,278189,5171,129747,255,10252,0,8119,
2020-05-14 00:00:00,0,256,0,11,0,0,8,239,
2020-03-19 00:00:00,4,49,0,0,0,0,0,16,
2020-10-12 00:00:00,1,967,1,11,0,35,1,914,
2022-02-23 00:00:00,56597,1817332,0,0,72,23009,0,0,
2020-11-01 00:00:00,2,1012,0,0,0,35,0,922,
2020-09-22 00:00:00,0,959,0,43,0,35,6,864,
2021-11-08 00:00:00,2472,499318,0,0,37,17376,0,8119,
2020-10-07 00:00:00,0,965,0,10,0,35,0,912,
2021-02-27 00:00:00,6,2167,5,521,0,35,5,1605,
2021-05-11 00:00:00,74,3063,108,734,0,35,0,2294,
2022-01-24 00:00:00,12451,1053348,0,0,26,21381,0,0,
2021-06-03 00:00:00,234,7450,185,4606,0,49,0,2701,
2020-03-22 00:00:00,6,61,0,0,0,0,0,17,
2020-08-11 00:00:00,19,777,18,428,1,16,0,330,
2021-12-05 00:00:00,4516,599176,0,0,71,18825,0,0,
2021-10-29 00:00:00,1539,480802,0,0,35,17058,0,8119,
2021-12-31 00:00:00,8218,768552,0,0,49,20407,0,0,
2020-04-21 00:00:00,0,253,0,50,0,0,2,193,
2020-03-24 00:00:00,8,73,0,0,0,0,0,17,
2021-07-26 00:00:00,6289,81750,4261,63181,132,449,0,8119,
2021-02-13 00:00:00,53,1933,53,589,0,35,0,1302,
2021-10-16 00:00:00,1265,460989,0,0,59,16561,0,8119,
2021-08-04 00:00:00,3786,125726,3572,82813,220,2014,0,8119,
2020-08-09 00:00:00,30,750,29,410,1,11,0,326,
2020-12-26 00:00:00,0,1227,0,73,0,35,0,1114,
2022-01-09 00:00:00,10807,860716,0,0,30,20763,0,0,
2022-02-03 00:00:00,7950,1183575,0,0,151,21905,0,0,
2021-08-20 00:00:00,4095,196376,455,89236,318,6239,0,8119,
2022-04-09 00:00:00,30424,8343828,0,0,11,25113,0,0,
2022-04-29 00:00:00,5666,8772322,0,0,1,25223,0,0,
2020-09-13 00:00:00,0,955,2,73,0,35,8,831,
2021-10-22 00:00:00,1954,470216,0,0,33,16823,0,8119,
2022-03-22 00:00:00,112907,6695557,0,0,42,24723,0,0,
2022-03-04 00:00:00,111452,2823464,0,0,82,23722,0,0,
2020-10-29 00:00:00,0,1008,0,44,0,35,0,922,
2021-08-18 00:00:00,4440,187417,1920,90877,257,5614,0,8119,
2021-11-02 00:00:00,1459,487162,0,0,33,17168,0,8119,
2021-05-16 00:00:00,294,3667,92,1293,0,36,0,2330,
2021-04-25 00:00:00,10,2445,13,179,0,35,0,2204,
2022-04-11 00:00:00,22115,8386164,0,0,3,25122,0,0,
2022-02-08 00:00:00,20531,1255223,0,0,62,22170,0,0,
2021-07-17 00:00:00,1800,34853,1215,28181,0,190,0,8119,
2022-02-24 00:00:00,64634,1881877,0,0,89,23098,0,0,
2021-07-19 00:00:00,0,37270,4796,37880,0,213,0,8119,
2022-04-26 00:00:00,7862,8749724,0,0,9,25219,0,0,
2021-05-18 00:00:00,145,3988,157,1590,0,37,7,2337,
2021-01-08 00:00:00,2,1281,1,84,0,35,3,1156,
2020-04-09 00:00:00,11,240,0,0,0,0,15,120,
2021-07-30 00:00:00,4826,102794,381,66044,269,1012,0,8119,
2020-12-17 00:00:00,1,1206,1,90,0,35,11,1076,
2022-02-18 00:00:00,40372,1543676,0,0,58,22694,0,0,
2022-01-01 00:00:00,7687,776250,0,0,32,20439,0,0,
2021-03-07 00:00:00,2,2225,3,497,0,35,0,1669,
2021-07-03 00:00:00,422,16698,770,8657,0,82,244,7137,
2020-07-31 00:00:00,75,464,74,146,1,1,4,315,
2020-03-31 00:00:00,2,101,0,0,0,0,2,31,
2021-02-04 00:00:00,45,1701,63,419,0,35,4,1241,
2021-01-26 00:00:00,2,1314,0,61,0,35,5,1213,
2020-06-10 00:00:00,0,294,0,11,0,0,4,275,
2021-05-14 00:00:00,105,3324,105,925,0,35,0,2320,
2022-03-14 00:00:00,141169,4945318,0,0,63,24375,0,0,
2020-10-31 00:00:00,3,1011,3,47,0,35,0,922,
2020-04-25 00:00:00,0,255,3,44,0,0,4,204,
2020-07-12 00:00:00,0,318,0,18,0,0,0,297,
2020-09-10 00:00:00,0,953,0,102,0,35,3,807,
2022-03-10 00:00:00,137845,3917827,0,0,56,24144,0,0,
2021-12-15 00:00:00,5763,652019,0,0,74,19551,0,0,
2020-06-29 00:00:00,0,303,0,11,0,0,5,289,
2021-03-28 00:00:00,2,2266,2,182,0,35,0,2030,
2021-06-26 00:00:00,705,14181,674,7933,0,72,176,5653,
2022-03-09 00:00:00,145038,3722198,0,0,84,24088,0,0,
2021-10-28 00:00:00,1937,479282,0,0,26,17023,0,8119,
2021-10-09 00:00:00,1939,451339,0,0,75,16075,0,8119,
2021-09-08 00:00:00,7590,312912,3470,131226,269,11520,0,8119,
2020-11-05 00:00:00,1,1034,3,74,0,35,0,922,
2020-10-03 00:00:00,0,964,0,0,0,35,0,910,
2021-02-26 00:00:00,4,2161,0,520,0,35,34,1600,
2021-10-21 00:00:00,1571,468275,0,0,43,16790,0,8119,
2020-12-08 00:00:00,10,1182,10,102,0,35,0,1039,
2021-01-06 00:00:00,0,1275,0,81,0,35,11,1153,
2021-01-13 00:00:00,0,1286,2,83,0,35,6,1166,
2021-12-09 00:00:00,5559,618743,0,0,78,19130,0,0,
2021-12-14 00:00:00,5717,646251,0,0,72,19477,0,0,
2021-06-14 00:00:00,256,12731,112,6004,0,59,233,5086,
2021-05-12 00:00:00,83,3146,38,766,0,35,17,2311,
2021-01-07 00:00:00,4,1279,4,85,0,35,0,1153,
2022-01-07 00:00:00,10567,838671,0,0,39,20688,0,0,
2022-04-23 00:00:00,9458,8685852,0,0,4,25205,0,0,
2020-08-31 00:00:00,1,947,1,285,2,34,12,627,
2021-07-02 00:00:00,487,16276,472,9112,3,82,149,6894,
2021-11-19 00:00:00,2914,528756,0,0,57,17826,0,0,
2020-05-07 00:00:00,0,256,0,37,0,0,1,217,
2021-12-26 00:00:00,7880,725335,0,0,44,20118,0,0,
2021-05-01 00:00:00,14,2504,8,212,0,35,23,2227,
2021-01-22 00:00:00,1,1311,1,73,0,35,0,1196,
2021-12-12 00:00:00,5711,634925,0,0,75,19333,0,0,
2021-04-09 00:00:00,10,2315,10,116,0,35,0,2141,
2021-04-07 00:00:00,9,2296,9,97,0,35,6,2141,
2021-06-23 00:00:00,201,12933,483,7460,0,68,134,5220,
2021-11-05 00:00:00,1914,492786,0,0,35,17273,0,8119,
2021-11-30 00:00:00,4328,575252,0,0,65,18473,0,0,
2021-12-01 00:00:00,4858,580112,0,0,66,18539,0,0,
2021-11-04 00:00:00,1908,490898,0,0,30,17238,0,8119,
2020-09-24 00:00:00,0,960,0,0,0,35,0,892,
2020-04-03 00:00:00,4,216,0,0,0,0,3,77,
2020-08-14 00:00:00,24,839,12,454,1,21,14,361,
2021-12-16 00:00:00,5364,657386,0,0,65,19616,0,0,
2021-02-03 00:00:00,27,1656,0,0,0,35,0,1237,
2021-02-12 00:00:00,2,1880,2,536,0,35,1,1302,
2021-11-17 00:00:00,3123,522396,0,0,27,17724,0,0,
2021-08-27 00:00:00,6259,232971,1371,109467,330,8329,0,8119,
