date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,2,943,4,353,1,30,5,559,
2020-11-13 00:00:00,3,1075,2,96,0,35,0,941,
2021-09-18 00:00:00,4529,374063,0,0,168,13463,0,8119,
2020-04-20 00:00:00,0,253,0,52,0,0,12,192,
2020-08-30 00:00:00,0,946,0,296,0,32,18,615,
2021-06-20 00:00:00,449,12733,192,7418,0,63,0,5086,
2020-12-29 00:00:00,2,1241,2,73,0,35,1,1127,
2020-05-17 00:00:00,2,285,2,40,0,0,0,239,
2022-03-01 00:00:00,91420,2418941,0,0,73,23672,0,0,
2021-05-05 00:00:00,21,2571,30,270,0,35,0,2238,
2022-02-25 00:00:00,74681,2009566,0,0,68,23359,0,0,
2021-07-25 00:00:00,4960,75601,5781,59068,0,317,0,8119,
2021-09-30 00:00:00,4596,430482,0,0,108,15243,0,8119,
2021-09-02 00:00:00,6480,269874,6247,125079,208,10002,0,8119,
2020-05-15 00:00:00,24,280,24,35,0,0,0,239,
2022-03-15 00:00:00,154318,5186787,0,0,47,24630,0,0,
2022-04-28 00:00:00,6566,8883577,0,0,2,25446,0,0,
2021-09-24 00:00:00,3908,406555,0,0,142,14504,0,8119,
2022-01-28 00:00:00,13597,1153393,0,0,55,21758,0,0,
2022-03-03 00:00:00,107293,2726415,0,0,80,23841,0,0,
2020-10-21 00:00:00,3,989,4,29,0,35,0,918,
2021-01-09 00:00:00,1,1283,1,81,0,35,4,1160,
2022-02-21 00:00:00,44820,1737147,0,0,79,23068,0,0,
2021-12-22 00:00:00,7702,714714,0,0,49,19966,0,0,
2020-12-22 00:00:00,5,1215,4,81,0,35,12,1093,
2020-07-02 00:00:00,0,303,0,6,0,0,4,294,
2020-07-22 00:00:00,5,335,5,23,0,0,0,310,
2020-07-24 00:00:00,1,339,1,27,0,0,0,310,
2020-10-17 00:00:00,2,972,2,12,0,35,0,917,
2021-08-17 00:00:00,4128,183295,640,89273,287,5358,0,8119,
2020-10-16 00:00:00,0,970,0,10,0,35,1,917,
2021-10-03 00:00:00,2655,439898,0,0,79,15555,0,8119,
2021-05-20 00:00:00,216,4271,94,1839,2,39,1,2338,
2021-04-05 00:00:00,6,2286,5,100,0,35,32,2130,
2022-04-16 00:00:00,16777,8691537,0,0,5,25400,0,0,
2021-03-04 00:00:00,6,2211,4,499,0,35,16,1669,
2021-07-28 00:00:00,4854,93249,272,69145,91,540,0,8119,
2021-01-04 00:00:00,2,1270,2,85,0,35,0,1142,
2020-03-28 00:00:00,5,92,0,0,0,0,1,21,
2022-03-07 00:00:00,134045,3371055,0,0,64,24134,0,0,
2020-08-04 00:00:00,29,588,27,257,2,8,4,320,
2020-06-11 00:00:00,0,294,0,10,0,0,1,276,
2020-09-28 00:00:00,3,964,3,18,0,35,0,900,
2021-03-11 00:00:00,1,2234,1,384,0,35,40,1791,
2021-12-06 00:00:00,4929,611688,0,0,87,18936,0,0,
2022-01-08 00:00:00,11908,877596,0,0,45,20820,0,0,
2022-01-12 00:00:00,11803,943529,0,0,67,21016,0,0,
2022-02-04 00:00:00,11054,1241120,0,0,41,22117,0,0,
2020-11-21 00:00:00,1,1119,1,106,0,35,0,972,
2021-08-11 00:00:00,3795,156698,3488,89533,262,3722,0,8119,
2021-11-12 00:00:00,2688,511598,0,0,48,17567,0,0,
2021-05-19 00:00:00,66,4055,162,1745,0,37,0,2337,
2021-10-18 00:00:00,1407,465159,0,0,53,16668,0,8119,
2020-08-08 00:00:00,21,720,21,381,0,10,0,326,
2021-03-14 00:00:00,1,2242,1,353,0,35,0,1829,
2022-02-02 00:00:00,8203,1222364,0,0,0,21916,0,0,
2021-10-23 00:00:00,1124,472856,0,0,44,16881,0,8119,
2022-03-16 00:00:00,155935,5399553,0,0,36,24666,0,0,
2020-09-16 00:00:00,0,955,0,57,0,35,5,849,
2022-01-22 00:00:00,13161,1071618,0,0,53,21454,0,0,
2020-09-06 00:00:00,0,952,0,178,0,35,10,735,
2020-10-18 00:00:00,7,979,7,19,0,35,0,917,
2021-07-15 00:00:00,709,27107,5301,25800,73,181,71,8057,
2021-02-14 00:00:00,33,1967,33,621,0,35,3,1305,
2022-03-31 00:00:00,70819,7902636,0,0,20,25174,0,0,
2021-06-08 00:00:00,0,8531,159,5257,0,55,0,3216,
2021-01-23 00:00:00,0,1312,2,75,0,35,0,1196,
2021-09-29 00:00:00,4838,425896,0,0,113,15135,0,8119,
2021-08-22 00:00:00,4989,206382,4142,95265,603,6843,0,8119,
2022-03-21 00:00:00,116223,6564321,0,0,39,24894,0,0,
2021-08-03 00:00:00,4781,122178,2017,79480,337,1794,0,8119,
2021-05-21 00:00:00,124,4395,121,1943,2,41,0,2338,
2021-12-25 00:00:00,7705,737585,0,0,47,20126,0,0,
2021-05-10 00:00:00,125,2990,41,626,0,35,16,2294,
2021-11-09 00:00:00,2637,504131,0,0,40,17432,0,8119,
2021-03-18 00:00:00,2,2255,2,267,0,35,0,1935,
2022-03-11 00:00:00,146543,4161181,0,0,57,24408,0,0,
2022-04-27 00:00:00,7504,8875656,0,0,1,25444,0,0,
2021-11-23 00:00:00,3708,557963,0,0,64,18068,0,0,
2022-03-06 00:00:00,129117,3237008,0,0,72,24070,0,0,
2020-09-19 00:00:00,0,959,0,53,0,35,1,854,
2020-06-03 00:00:00,0,291,0,26,0,0,4,257,
2020-10-27 00:00:00,0,1008,0,43,0,35,1,922,
2021-08-16 00:00:00,4019,179167,3696,88678,322,5071,0,8119,
2022-03-18 00:00:00,141774,5901932,0,0,40,24758,0,0,
2020-12-18 00:00:00,0,1207,0,88,0,35,2,1078,
2022-03-17 00:00:00,155233,5730641,0,0,52,24718,0,0,
2021-11-14 00:00:00,2582,517060,0,0,25,17630,0,0,
2022-03-19 00:00:00,132656,6308704,0,0,59,24817,0,0,
2021-09-19 00:00:00,5674,379737,0,0,184,13647,0,8119,
2021-01-19 00:00:00,1,1305,1,74,0,35,0,1190,
2021-07-10 00:00:00,1342,20516,880,13267,0,97,0,7511,
2020-10-13 00:00:00,0,968,0,10,0,35,1,915,
2021-02-15 00:00:00,41,2008,16,631,0,35,14,1319,
2021-12-20 00:00:00,6226,699844,0,0,65,19850,0,0,
2021-01-21 00:00:00,2,1311,0,72,0,35,3,1196,
2020-12-20 00:00:00,1,1209,1,87,0,35,0,1081,
2021-06-19 00:00:00,188,12733,170,7237,2,63,314,5086,
2021-11-20 00:00:00,3175,535949,0,0,46,17889,0,0,
2022-02-22 00:00:00,53545,1790610,0,0,59,23127,0,0,
2020-05-25 00:00:00,1,289,1,38,0,0,1,243,
2020-12-12 00:00:00,4,1200,4,108,0,35,0,1051,
2021-11-18 00:00:00,3635,529677,0,0,45,17785,0,0,
2021-03-01 00:00:00,9,2189,0,493,0,35,16,1652,
2020-11-25 00:00:00,4,1131,4,107,0,35,0,982,
2022-02-15 00:00:00,30184,1484971,0,0,63,22705,0,0,
2021-07-14 00:00:00,983,26398,2256,21154,11,108,205,7986,
2020-04-13 00:00:00,12,250,113,113,0,0,2,129,
2020-07-17 00:00:00,0,318,0,13,0,0,3,302,
2021-07-07 00:00:00,1229,19174,276,9774,0,90,0,7511,
2022-01-25 00:00:00,13897,1111523,0,0,52,21579,0,0,
2022-04-20 00:00:00,12034,8771682,0,0,4,25419,0,0,
2020-09-29 00:00:00,0,964,0,13,0,35,6,906,
2020-04-15 00:00:00,1,250,1,91,0,0,1,151,
2022-02-06 00:00:00,13435,1266088,0,0,31,22225,0,0,
2022-03-29 00:00:00,76405,7745649,0,0,24,25138,0,0,
2021-07-06 00:00:00,1,17945,812,9700,5,90,0,7511,
2020-05-16 00:00:00,3,283,3,38,0,0,0,239,
2021-01-16 00:00:00,1,1302,1,94,0,35,0,1171,
2021-04-04 00:00:00,3,2280,0,125,0,35,0,2098,
2021-08-26 00:00:00,4479,227112,4127,108806,247,8001,0,8119,
2020-05-01 00:00:00,0,255,0,50,0,0,0,205,
2021-03-23 00:00:00,1,2258,0,236,0,35,12,1971,
2022-01-14 00:00:00,12220,968269,0,0,26,21095,0,0,
2021-10-14 00:00:00,1121,459849,0,0,63,16453,0,8119,
2022-04-30 00:00:00,4838,8893929,0,0,0,25447,0,0,
2021-11-27 00:00:00,4291,564922,0,0,66,18308,0,0,
2020-10-14 00:00:00,0,968,0,10,0,35,0,915,
2020-06-22 00:00:00,0,298,0,13,0,0,1,282,
2021-05-24 00:00:00,185,4853,210,2352,2,44,71,2429,
2021-05-29 00:00:00,449,6285,214,3625,0,47,0,2520,
2020-03-27 00:00:00,7,87,0,0,0,0,3,20,
2021-08-15 00:00:00,5046,175148,527,84994,285,4749,0,8119,
2020-08-29 00:00:00,1,946,0,314,2,32,14,597,
2020-11-26 00:00:00,10,1141,10,105,0,35,12,994,
2022-04-05 00:00:00,49479,8259777,0,0,26,25272,0,0,
2021-10-13 00:00:00,1708,458738,0,0,74,16390,0,8119,
2021-08-09 00:00:00,4458,148463,4416,81835,273,3147,0,8119,
2021-10-24 00:00:00,1589,474430,0,0,30,16911,0,8119,
2020-12-13 00:00:00,2,1202,0,107,0,35,3,1054,
2020-07-14 00:00:00,0,318,0,17,0,0,1,298,
2020-12-15 00:00:00,1,1206,1,100,0,35,6,1065,
2021-10-26 00:00:00,1393,477182,0,0,28,16979,0,8119,
2020-05-12 00:00:00,0,256,0,19,0,0,3,231,
2020-12-02 00:00:00,3,1164,2,97,0,35,6,1024,
2021-11-06 00:00:00,2086,496876,0,0,34,17322,0,8119,
2020-06-18 00:00:00,0,296,0,8,0,0,0,280,
2020-04-18 00:00:00,0,253,0,63,0,0,3,180,
2020-07-23 00:00:00,3,338,3,26,0,0,0,310,
2021-03-30 00:00:00,0,2268,0,138,0,35,47,2077,
2020-11-18 00:00:00,12,1113,12,117,0,35,0,955,
2021-08-25 00:00:00,5931,222636,3855,104679,273,7754,0,8119,
2021-02-06 00:00:00,3,1721,6,441,0,35,3,1244,
2020-11-06 00:00:00,3,1038,2,75,0,35,0,922,
2022-04-04 00:00:00,44398,8210298,0,0,17,25246,0,0,
2021-05-23 00:00:00,131,4668,90,2149,1,42,0,2358,
2021-12-18 00:00:00,6639,686405,0,0,11,19720,0,0,
2020-06-24 00:00:00,2,300,2,14,0,0,1,283,
2021-10-19 00:00:00,1208,466356,0,0,47,16715,0,8119,
2022-01-05 00:00:00,11402,843155,0,0,45,20711,0,0,
2021-03-17 00:00:00,7,2253,7,267,0,35,39,1935,
2020-06-27 00:00:00,2,303,2,16,0,0,0,284,
2020-10-26 00:00:00,1,1008,1,44,0,35,2,921,
2021-08-23 00:00:00,5093,211466,2627,97874,343,7186,0,8119,
2020-08-18 00:00:00,12,898,3,421,2,26,59,448,
2021-07-29 00:00:00,4897,98146,4843,73988,203,743,0,8119,
