date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,2,943,4,353,1,30,5,559,
2020-11-13 00:00:00,3,1081,2,101,0,35,0,942,
2021-09-18 00:00:00,7406,550054,0,0,207,15035,0,8164,
2020-04-20 00:00:00,0,253,0,52,0,0,12,192,
2020-08-30 00:00:00,0,947,0,297,0,32,18,615,
2021-06-20 00:00:00,481,12918,207,7507,0,63,0,5131,
2020-12-29 00:00:00,2,1257,2,77,0,35,1,1139,
2020-05-17 00:00:00,2,285,2,40,0,0,0,239,
2022-03-01 00:00:00,92266,2717346,0,0,73,27125,0,0,
2021-05-05 00:00:00,21,2615,30,270,0,35,0,2282,
2022-02-25 00:00:00,75020,2305237,0,0,68,26811,0,0,
2021-07-25 00:00:00,6209,83600,7437,67957,0,320,0,8164,
2021-09-30 00:00:00,6699,641437,0,0,138,17200,0,8164,
2021-09-02 00:00:00,10984,392606,10717,185563,242,10972,0,8164,
2020-05-15 00:00:00,24,280,24,35,0,0,0,239,
2022-03-15 00:00:00,157612,5530932,0,0,50,28100,0,0,
2022-04-28 00:00:00,6617,9204048,0,0,2,28959,0,0,
2021-09-24 00:00:00,6757,599689,0,0,172,16288,0,8164,
2022-01-28 00:00:00,13644,1446083,0,0,57,25183,0,0,
2022-03-03 00:00:00,109575,3028135,0,0,80,27296,0,0,
2020-10-21 00:00:00,3,995,4,34,0,35,0,919,
2021-01-09 00:00:00,1,1310,1,94,0,35,4,1174,
2022-02-21 00:00:00,45044,2031397,0,0,79,26517,0,0,
2021-12-22 00:00:00,7851,1004372,0,0,67,23077,0,0,
2020-12-22 00:00:00,6,1231,5,85,0,35,12,1105,
2020-07-02 00:00:00,0,303,0,6,0,0,4,294,
2020-07-22 00:00:00,5,335,5,23,0,0,0,310,
2020-07-24 00:00:00,1,339,1,27,0,0,0,310,
2020-10-17 00:00:00,2,978,2,17,0,35,0,918,
2021-08-17 00:00:00,7460,233117,3960,130213,299,5760,0,8164,
2020-10-16 00:00:00,0,976,0,15,0,35,1,918,
2021-10-03 00:00:00,3938,655440,0,0,99,17619,0,8164,
2021-05-20 00:00:00,216,4316,94,1840,2,39,1,2382,
2021-04-05 00:00:00,6,2328,5,103,0,35,32,2169,
2022-04-16 00:00:00,16876,9011200,0,0,5,28913,0,0,
2021-03-04 00:00:00,6,2247,4,503,0,35,19,1701,
2021-07-28 00:00:00,5485,102778,948,79202,91,543,0,8164,
2021-01-04 00:00:00,2,1296,2,99,0,35,0,1154,
2020-03-28 00:00:00,5,92,0,0,0,0,1,21,
2022-03-07 00:00:00,137689,3686670,0,0,65,27592,0,0,
2020-08-04 00:00:00,29,588,27,257,2,8,4,320,
2020-06-11 00:00:00,0,294,0,10,0,0,1,276,
2020-09-28 00:00:00,4,970,3,23,0,35,0,901,
2021-03-11 00:00:00,3,2274,1,389,0,35,42,1826,
2021-12-06 00:00:00,5155,896222,0,0,87,21737,0,0,
2022-01-08 00:00:00,11967,1169036,0,0,52,24153,0,0,
2022-01-12 00:00:00,11837,1235200,0,0,73,24379,0,0,
2022-02-04 00:00:00,11063,1533964,0,0,43,25560,0,0,
2020-11-21 00:00:00,1,1131,1,112,0,35,0,978,
2021-08-11 00:00:00,5692,190435,4735,118377,284,3964,0,8164,
2021-11-12 00:00:00,3342,798713,0,0,53,20100,0,0,
2021-05-19 00:00:00,66,4100,162,1746,0,37,0,2381,
2021-10-18 00:00:00,1846,690956,0,0,67,18964,0,8164,
2020-08-08 00:00:00,21,720,21,381,0,10,0,326,
2021-03-14 00:00:00,1,2283,1,359,0,35,0,1864,
2022-02-02 00:00:00,8222,1515182,0,0,0,25348,0,0,
2021-10-23 00:00:00,1641,701116,0,0,56,19227,0,8164,
2022-03-16 00:00:00,161220,5748983,0,0,38,28138,0,0,
2020-09-16 00:00:00,0,956,0,58,0,35,5,849,
2022-01-22 00:00:00,13213,1363961,0,0,54,24863,0,0,
2020-09-06 00:00:00,0,953,0,179,0,35,10,735,
2020-10-18 00:00:00,7,985,7,24,0,35,0,918,
2021-07-15 00:00:00,709,28433,5476,27845,73,181,71,8102,
2021-02-14 00:00:00,33,2002,33,629,0,35,3,1332,
2022-03-31 00:00:00,71646,8279313,0,0,20,28676,0,0,
2021-06-08 00:00:00,0,8584,159,5265,0,55,0,3261,
2021-01-23 00:00:00,0,1340,2,81,0,35,0,1218,
2021-09-29 00:00:00,7227,634748,0,0,146,17062,0,8164,
2021-08-22 00:00:00,8795,276624,6734,140127,665,7413,0,8164,
2022-03-21 00:00:00,118675,6926441,0,0,43,28373,0,0,
2021-08-03 00:00:00,6387,141580,3829,98677,337,1826,0,8164,
2021-05-21 00:00:00,124,4440,121,1944,2,41,0,2382,
2021-12-25 00:00:00,7813,1027563,0,0,65,23285,0,0,
2021-05-10 00:00:00,125,3034,41,626,0,35,16,2338,
2021-11-09 00:00:00,3256,789422,0,0,51,19945,0,8164,
2021-03-18 00:00:00,2,2296,2,271,0,35,0,1972,
2022-03-11 00:00:00,152117,4494796,0,0,58,27872,0,0,
2022-04-27 00:00:00,7532,9196076,0,0,1,28957,0,0,
2021-11-23 00:00:00,4406,880241,0,0,76,20695,0,0,
2022-03-06 00:00:00,132559,3548979,0,0,73,27527,0,0,
2020-09-19 00:00:00,0,960,0,54,0,35,1,854,
2020-06-03 00:00:00,0,291,0,26,0,0,4,257,
2020-10-27 00:00:00,0,1014,0,48,0,35,1,923,
2021-08-16 00:00:00,6541,225657,3895,126298,351,5461,0,8164,
2022-03-18 00:00:00,144834,6258686,0,0,40,28231,0,0,
2020-12-18 00:00:00,3,1222,3,91,0,35,2,1090,
2022-03-17 00:00:00,159497,6084335,0,0,31303,59441,0,0,
2021-11-14 00:00:00,3205,805429,0,0,30,20176,0,0,
2022-03-19 00:00:00,134395,6667197,0,0,59,28290,0,0,
2021-09-19 00:00:00,8006,558060,0,0,215,15250,0,8164,
2021-01-19 00:00:00,1,1333,1,82,0,35,0,1210,
2021-07-10 00:00:00,1415,21401,1020,14516,0,97,0,7556,
2020-10-13 00:00:00,0,974,0,15,0,35,1,916,
2021-02-15 00:00:00,41,2043,16,639,0,35,14,1346,
2021-12-20 00:00:00,6381,989219,0,0,81,22928,0,0,
2021-01-21 00:00:00,2,1339,0,78,0,35,5,1218,
2020-12-20 00:00:00,1,1224,1,90,0,35,0,1093,
2021-06-19 00:00:00,200,12918,200,7311,2,63,314,5131,
2021-11-20 00:00:00,3844,828158,0,0,46,20482,0,0,
2022-02-22 00:00:00,53677,2084992,0,0,59,26576,0,0,
2020-05-25 00:00:00,1,289,1,38,0,0,1,243,
2020-12-12 00:00:00,4,1212,4,108,0,35,0,1063,
2021-11-18 00:00:00,4321,820556,0,0,59,20373,0,0,
2021-03-01 00:00:00,9,2224,0,499,0,35,16,1681,
2020-11-25 00:00:00,4,1143,4,113,0,35,0,988,
2022-02-15 00:00:00,30242,1778283,0,0,63,26153,0,0,
2021-07-14 00:00:00,983,27724,2329,23024,11,108,205,8031,
2020-04-13 00:00:00,12,250,113,113,0,0,2,129,
2020-07-17 00:00:00,0,318,0,13,0,0,3,302,
2021-07-07 00:00:00,1360,19986,403,10760,0,90,0,7556,
2022-01-25 00:00:00,13958,1403998,0,0,56,24999,0,0,
2022-04-20 00:00:00,12170,9091815,0,0,4,28932,0,0,
2020-09-29 00:00:00,0,970,0,18,0,35,6,907,
2020-04-15 00:00:00,1,250,1,91,0,0,1,151,
2022-02-06 00:00:00,13438,1558946,0,0,31,25669,0,0,
2022-03-29 00:00:00,77426,8120289,0,0,28,28638,0,0,
2021-07-06 00:00:00,1,18626,904,10559,5,90,0,7556,
2020-05-16 00:00:00,3,283,3,38,0,0,0,239,
2021-01-16 00:00:00,1,1330,1,103,0,35,0,1189,
2021-04-04 00:00:00,3,2322,0,128,0,35,0,2137,
2021-08-26 00:00:00,9347,313162,8949,152841,293,8717,0,8164,
2020-05-01 00:00:00,0,255,0,50,0,0,0,205,
2021-03-23 00:00:00,1,2299,0,239,0,35,12,2009,
2022-01-14 00:00:00,12333,1260077,0,0,35,24478,0,0,
2021-10-14 00:00:00,1604,683752,0,0,73,18693,0,8164,
2022-04-30 00:00:00,4856,9214438,0,0,0,28960,0,0,
2021-11-27 00:00:00,5007,845125,0,0,78,20978,0,0,
2020-10-14 00:00:00,0,974,0,15,0,35,0,916,
2020-06-22 00:00:00,0,298,0,13,0,0,1,282,
2021-05-24 00:00:00,185,4898,210,2353,2,44,71,2473,
2021-05-29 00:00:00,449,6330,214,3625,0,47,0,2565,
2020-03-27 00:00:00,7,87,0,0,0,0,3,20,
2021-08-15 00:00:00,7404,219116,2865,122415,305,5110,0,8164,
2020-08-29 00:00:00,2,947,1,315,2,32,14,597,
2020-11-26 00:00:00,10,1153,10,111,0,35,12,1000,
2022-04-05 00:00:00,49993,8639466,0,0,27,28779,0,0,
2021-10-13 00:00:00,2209,682158,0,0,92,18620,0,8164,
2021-08-09 00:00:00,7345,178978,7303,109307,273,3323,0,8164,
2021-10-24 00:00:00,2113,703214,0,0,42,19269,0,8164,
2020-12-13 00:00:00,2,1214,0,107,0,35,3,1066,
2020-07-14 00:00:00,0,318,0,17,0,0,1,298,
2020-12-15 00:00:00,1,1218,1,100,0,35,6,1077,
2021-10-26 00:00:00,1921,707011,0,0,42,19362,0,8164,
2020-05-12 00:00:00,0,256,0,19,0,0,3,231,
2020-12-02 00:00:00,3,1176,2,103,0,35,6,1030,
2021-11-06 00:00:00,3007,734899,0,0,39,19811,0,8164,
2020-06-18 00:00:00,0,296,0,8,0,0,0,280,
2020-04-18 00:00:00,0,253,0,63,0,0,3,180,
2020-07-23 00:00:00,3,338,3,26,0,0,0,310,
2021-03-30 00:00:00,0,2310,0,141,0,35,47,2116,
2020-11-18 00:00:00,12,1125,12,123,0,35,0,961,
2021-08-25 00:00:00,10060,303818,3855,143892,304,8424,0,8164,
2021-02-06 00:00:00,4,1756,7,450,0,35,3,1270,
2020-11-06 00:00:00,3,1044,2,80,0,35,0,923,
2022-04-04 00:00:00,44577,8589473,0,0,17,28752,0,0,
2021-05-23 00:00:00,131,4713,90,2150,1,42,0,2402,
2021-12-18 00:00:00,6806,975380,0,0,26,22762,0,0,
2020-06-24 00:00:00,2,300,2,14,0,0,1,283,
2021-10-19 00:00:00,1708,692653,0,0,58,19022,0,8164,
2022-01-05 00:00:00,11468,1134393,0,0,60,24017,0,0,
2021-03-17 00:00:00,7,2294,7,271,0,35,39,1972,
2020-06-27 00:00:00,2,303,2,16,0,0,0,284,
2020-10-26 00:00:00,1,1014,1,49,0,35,2,922,
2021-08-23 00:00:00,8276,284891,5776,145885,377,7790,0,8164,
2020-08-18 00:00:00,12,898,3,421,2,26,59,448,
2021-07-29 00:00:00,6041,108819,6863,86065,205,748,0,8164,
2022-04-06 00:00:00,42906,8691672,0,0,18,28797,0,0,
2020-05-04 00:00:00,0,256,0,49,0,0,2,207,
2022-01-26 00:00:00,14188,1418247,0,0,63,25062,0,0,
2022-02-01 00:00:00,10307,1506941,0,0,0,25348,0,0,
2021-04-17 00:00:00,8,2431,7,145,0,35,0,2218,
