date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,2,945,4,353,1,30,5,561,
2020-11-13 00:00:00,3,1084,2,102,0,35,0,944,
2021-09-18 00:00:00,7420,550866,0,0,207,15043,0,8176,
2020-04-20 00:00:00,0,255,0,52,0,0,12,194,
2020-08-30 00:00:00,0,949,0,297,0,32,18,617,
2021-06-20 00:00:00,481,12930,207,7507,0,63,0,5143,
2020-12-29 00:00:00,2,1260,2,77,0,35,1,1142,
2020-05-17 00:00:00,2,287,2,40,0,0,0,241,
2022-03-01 00:00:00,92298,2724511,0,0,73,27184,0,0,
2021-05-05 00:00:00,21,2627,30,270,0,35,0,2290,
2022-02-25 00:00:00,75044,2312310,0,0,68,26870,0,0,
2021-07-25 00:00:00,6216,83746,7443,68090,0,320,0,8176,
2021-09-30 00:00:00,6714,642403,0,0,138,17208,0,8176,
2021-09-02 00:00:00,10986,393339,10719,185712,242,10979,0,8176,
2020-05-15 00:00:00,24,282,24,35,0,0,0,241,
2022-03-15 00:00:00,157653,5538560,0,0,50,28160,0,0,
2022-04-28 00:00:00,6617,9212680,0,0,2,29019,0,0,
2021-09-24 00:00:00,6773,600576,0,0,172,16296,0,8176,
2022-01-28 00:00:00,13676,1452866,0,0,57,25241,0,0,
2022-03-03 00:00:00,109611,3035363,0,0,80,27355,0,0,
2020-10-21 00:00:00,3,997,4,34,0,35,0,921,
2021-01-09 00:00:00,1,1313,1,94,0,35,4,1177,
2022-02-21 00:00:00,45056,2038396,0,0,79,26576,0,0,
2021-12-22 00:00:00,7906,1009638,0,0,67,23127,0,0,
2020-12-22 00:00:00,6,1234,5,86,0,35,12,1107,
2020-07-02 00:00:00,0,305,0,6,0,0,4,296,
2020-07-22 00:00:00,5,337,5,23,0,0,0,312,
2020-07-24 00:00:00,1,341,1,27,0,0,0,312,
2020-10-17 00:00:00,2,980,2,17,0,35,0,920,
2021-08-17 00:00:00,7471,233764,3971,130702,299,5763,0,8176,
2020-10-16 00:00:00,0,978,0,15,0,35,1,920,
2021-10-03 00:00:00,3950,656449,0,0,99,17628,0,8176,
2021-05-20 00:00:00,216,4328,94,1840,2,39,1,2390,
2021-04-05 00:00:00,6,2340,5,112,0,35,32,2172,
2022-04-16 00:00:00,16879,9019829,0,0,5,28973,0,0,
2021-03-04 00:00:00,6,2250,4,503,0,35,19,1704,
2021-07-28 00:00:00,5510,102969,973,79380,91,544,0,8176,
2021-01-04 00:00:00,2,1299,2,99,0,35,0,1157,
2020-03-28 00:00:00,5,94,0,0,0,0,1,21,
2022-03-07 00:00:00,137706,3694018,0,0,65,27652,0,0,
2020-08-04 00:00:00,29,590,27,257,2,8,4,322,
2020-06-11 00:00:00,0,296,0,10,0,0,1,278,
2020-09-28 00:00:00,4,972,3,23,0,35,0,903,
2021-03-11 00:00:00,4,2285,2,397,0,35,42,1829,
2021-12-06 00:00:00,5230,900408,0,0,87,21783,0,0,
2022-01-08 00:00:00,12013,1175111,0,0,52,24207,0,0,
2022-01-12 00:00:00,11877,1241454,0,0,73,24434,0,0,
2022-02-04 00:00:00,11073,1540814,0,0,43,25618,0,0,
2020-11-21 00:00:00,1,1134,1,113,0,35,0,980,
2021-08-11 00:00:00,5711,190969,4754,118896,284,3967,0,8176,
2021-11-12 00:00:00,3389,801719,0,0,53,20136,0,0,
2021-05-19 00:00:00,66,4112,162,1746,0,37,0,2389,
2021-10-18 00:00:00,1852,692112,0,0,67,18988,0,8176,
2020-08-08 00:00:00,21,722,21,381,0,10,0,328,
2021-03-14 00:00:00,1,2294,1,367,0,35,0,1867,
2022-02-02 00:00:00,8222,1522022,0,0,0,25406,0,0,
2021-10-23 00:00:00,1648,702302,0,0,58,19255,0,8176,
2022-03-16 00:00:00,161280,5756671,0,0,38,28198,0,0,
2020-09-16 00:00:00,0,958,0,58,0,35,5,851,
2022-01-22 00:00:00,13249,1370570,0,0,55,24920,0,0,
2020-09-06 00:00:00,0,955,0,179,0,35,10,737,
2020-10-18 00:00:00,7,987,7,24,0,35,0,920,
2021-07-15 00:00:00,716,28455,5486,27872,73,181,71,8114,
2021-02-14 00:00:00,33,2005,33,629,0,35,3,1335,
2022-03-31 00:00:00,71666,8287670,0,0,20,28736,0,0,
2021-06-08 00:00:00,0,8596,159,5265,0,55,0,3273,
2021-01-23 00:00:00,0,1343,2,81,0,35,0,1221,
2021-09-29 00:00:00,7241,635699,0,0,146,17070,0,8176,
2021-08-22 00:00:00,8800,277299,6739,140644,665,7416,0,8176,
2022-03-21 00:00:00,118749,6934433,0,0,43,28433,0,0,
2021-08-03 00:00:00,6416,141841,3858,98924,338,1828,0,8176,
2021-05-21 00:00:00,124,4452,121,1944,2,41,0,2390,
2021-12-25 00:00:00,7846,1032974,0,0,65,23337,0,0,
2021-05-10 00:00:00,125,3046,41,626,0,35,16,2346,
2021-11-09 00:00:00,3305,792296,0,0,51,19981,0,8176,
2021-03-18 00:00:00,3,2308,3,280,0,35,0,1975,
2022-03-11 00:00:00,152158,4502268,0,0,58,27932,0,0,
2022-04-27 00:00:00,7532,9204708,0,0,1,29017,0,0,
2021-11-23 00:00:00,4463,883720,0,0,77,20739,0,0,
2022-03-06 00:00:00,132585,3556310,0,0,74,27587,0,0,
2020-09-19 00:00:00,0,962,0,54,0,35,1,856,
2020-06-03 00:00:00,0,293,0,26,0,0,4,259,
2020-10-27 00:00:00,0,1016,0,48,0,35,1,925,
2021-08-16 00:00:00,6568,226293,3922,126776,351,5464,0,8176,
2022-03-18 00:00:00,144896,6266476,0,0,40,28291,0,0,
2020-12-18 00:00:00,3,1225,3,92,0,35,2,1092,
2022-03-17 00:00:00,159537,6092063,0,0,31303,59501,0,0,
2021-11-14 00:00:00,3242,808511,0,0,32,20214,0,0,
2022-03-19 00:00:00,134458,6675050,0,0,59,28350,0,0,
2021-09-19 00:00:00,8021,558887,0,0,215,15258,0,8176,
2021-01-19 00:00:00,1,1336,1,82,0,35,0,1213,
2021-07-10 00:00:00,1415,21414,1021,14518,0,97,0,7568,
