date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,2,949,4,353,1,30,5,565,
2020-11-13 00:00:00,3,1091,2,102,0,35,0,951,
2021-09-18 00:00:00,7486,558170,0,0,209,15164,0,8227,
2020-04-20 00:00:00,0,258,0,53,0,0,12,196,
2020-08-30 00:00:00,0,953,0,297,0,32,18,621,
2021-06-20 00:00:00,486,13013,211,7551,0,64,0,5181,
2020-12-29 00:00:00,2,1267,2,77,0,35,1,1149,
2020-05-17 00:00:00,2,291,2,41,0,0,0,244,
2022-03-01 00:00:00,92805,2816364,0,0,73,28070,0,0,
2021-05-05 00:00:00,22,2665,31,273,0,35,0,2322,
2022-02-25 00:00:00,75218,2402927,0,0,68,27754,0,0,
2021-07-25 00:00:00,6529,84730,7443,68855,0,321,0,8227,
2021-09-30 00:00:00,6753,650313,0,0,139,17343,0,8227,
2021-09-02 00:00:00,11051,398626,10781,187177,242,10991,0,8227,
2020-05-15 00:00:00,24,285,24,35,0,0,0,244,
2022-03-15 00:00:00,159727,5645002,0,0,51,29052,0,0,
2022-04-28 00:00:00,6652,9350039,0,0,2,29930,0,0,
2021-09-24 00:00:00,6826,608211,0,0,172,16420,0,8227,
2022-01-28 00:00:00,13802,1541494,0,0,60,26099,0,0,
2022-03-03 00:00:00,110302,3128379,0,0,80,28241,0,0,
2020-10-21 00:00:00,3,1004,4,34,0,35,0,928,
2021-01-09 00:00:00,1,1320,1,94,0,35,4,1184,
2022-02-21 00:00:00,45119,2128391,0,0,79,27460,0,0,
2021-12-22 00:00:00,8829,1077107,0,0,80,23682,0,0,
2020-12-22 00:00:00,6,1241,5,86,0,35,12,1114,
2020-07-02 00:00:00,0,309,0,6,0,0,4,300,
2020-07-22 00:00:00,5,341,5,23,0,0,0,316,
2020-07-24 00:00:00,1,345,1,27,0,0,0,316,
2020-10-17 00:00:00,2,987,2,17,0,35,0,927,
2021-08-17 00:00:00,7559,237572,4069,134442,299,5771,0,8227,
2020-10-16 00:00:00,0,985,0,15,0,35,1,927,
2021-10-03 00:00:00,4004,664483,0,0,100,17761,0,8227,
2021-05-20 00:00:00,216,4366,94,1841,2,39,1,2424,
2021-04-05 00:00:00,6,2370,5,128,0,35,32,2186,
2022-04-16 00:00:00,17121,9156185,0,0,5,29883,0,0,
2021-03-04 00:00:00,6,2266,4,511,0,35,19,1712,
2021-07-28 00:00:00,5630,104217,1128,80585,91,545,0,8227,
2021-01-04 00:00:00,2,1306,2,99,0,35,0,1164,
