date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,2,958,4,353,1,30,5,574,
2020-11-13 00:00:00,3,1100,2,102,0,35,0,960,
2021-09-18 00:00:00,7507,561159,0,0,210,15207,0,8238,
2020-04-20 00:00:00,0,267,0,53,0,0,12,205,
2020-08-30 00:00:00,0,962,0,297,0,32,18,630,
2021-06-20 00:00:00,486,13024,211,7552,0,64,0,5191,
2020-12-29 00:00:00,2,1277,2,78,0,35,1,1158,
2020-05-17 00:00:00,2,300,2,41,0,0,0,253,
2022-03-01 00:00:00,93180,2848955,0,0,76,28502,0,0,
2021-05-05 00:00:00,22,2675,31,273,0,35,0,2332,
2022-02-25 00:00:00,75472,2434527,0,0,69,28180,0,0,
2021-07-25 00:00:00,6607,85057,7544,69194,0,321,0,8238,
2021-09-30 00:00:00,6791,653557,0,0,139,17401,0,8238,
2021-09-02 00:00:00,11085,401014,10824,188204,243,11012,0,8238,
2020-05-15 00:00:00,24,294,24,35,0,0,0,253,
2022-03-15 00:00:00,160551,5686343,0,0,53,29501,0,0,
2022-04-28 00:00:00,6670,9402333,0,0,2,30405,0,0,
2021-09-24 00:00:00,6850,611290,0,0,172,16476,0,8238,
2022-01-28 00:00:00,13865,1570681,0,0,68,26483,0,0,
2022-03-03 00:00:00,110788,3161851,0,0,82,28675,0,0,
2020-10-21 00:00:00,3,1013,4,34,0,35,0,937,
2021-01-09 00:00:00,1,1330,1,94,0,35,4,1194,
2022-02-21 00:00:00,45217,2159083,0,0,80,27884,0,0,
2021-12-22 00:00:00,9088,1101058,0,0,86,23934,0,0,
2020-12-22 00:00:00,6,1251,5,87,0,35,12,1123,
2020-07-02 00:00:00,0,318,0,6,0,0,4,309,
2020-07-22 00:00:00,5,350,5,23,0,0,0,325,
2020-07-24 00:00:00,1,354,1,27,0,0,0,325,
2020-10-17 00:00:00,2,996,2,17,0,35,0,936,
2021-08-17 00:00:00,7614,239126,4123,135753,300,5783,0,8238,
2020-10-16 00:00:00,0,994,0,15,0,35,1,936,
2021-10-03 00:00:00,4077,667908,0,0,101,17821,0,8238,
2021-05-20 00:00:00,216,4377,94,1842,2,39,1,2434,
2021-04-05 00:00:00,6,2380,5,128,0,35,32,2196,
2022-04-16 00:00:00,17189,9208168,0,0,5,30357,0,0,
2021-03-04 00:00:00,6,2276,4,511,0,35,19,1722,
2021-07-28 00:00:00,5662,104669,1160,81026,91,545,0,8238,
2021-01-04 00:00:00,2,1316,2,100,0,35,0,1173,
2020-03-28 00:00:00,5,105,0,0,0,0,1,21,
2022-03-07 00:00:00,138913,3825067,0,0,67,28982,0,0,
2020-08-04 00:00:00,29,603,27,257,2,8,4,335,
2020-06-11 00:00:00,0,309,0,10,0,0,1,291,
2020-09-28 00:00:00,4,988,3,23,0,35,0,919,
2021-03-11 00:00:00,4,2312,2,405,0,35,43,1848,
2021-12-06 00:00:00,6574,954580,0,0,106,22276,0,0,
2022-01-08 00:00:00,12757,1284712,0,0,65,25280,0,0,
2022-01-12 00:00:00,12484,1353435,0,0,78,25546,0,0,
2022-02-04 00:00:00,11154,1659527,0,0,46,26883,0,0,
2020-11-21 00:00:00,1,1150,1,113,0,35,0,996,
2021-08-11 00:00:00,6042,195572,5085,123369,284,3978,0,8238,
2021-11-12 00:00:00,4193,824973,0,0,56,20385,0,0,
2021-05-19 00:00:00,66,4161,162,1748,0,37,0,2433,
2021-10-18 00:00:00,1898,705783,0,0,68,19196,0,8238,
2020-08-08 00:00:00,21,735,21,381,0,10,0,341,
2021-03-14 00:00:00,1,2321,1,375,0,35,0,1886,
2022-02-02 00:00:00,8294,1640551,0,0,0,26660,0,0,
2021-10-23 00:00:00,1819,716850,0,0,58,19466,0,8238,
2022-03-16 00:00:00,163666,5906841,0,0,39,29540,0,0,
2020-09-16 00:00:00,0,974,0,61,0,35,5,864,
2022-01-22 00:00:00,13526,1487111,0,0,61,26112,0,0,
2020-09-06 00:00:00,0,968,0,179,0,35,10,750,
2020-10-18 00:00:00,7,1003,7,24,0,35,0,936,
2021-07-15 00:00:00,716,28669,5503,28051,73,182,71,8176,
2021-02-14 00:00:00,33,2026,33,633,0,35,3,1352,
2022-03-31 00:00:00,73245,8466022,0,0,25,30112,0,0,
2021-06-08 00:00:00,0,8662,159,5283,0,55,0,3321,
2021-01-23 00:00:00,0,1364,2,85,0,35,0,1238,
2021-09-29 00:00:00,7293,646776,0,0,146,17262,0,8238,
2021-08-22 00:00:00,8930,283338,6875,144313,665,7440,0,8238,
2022-03-21 00:00:00,120393,7095486,0,0,46,29789,0,0,
2021-08-03 00:00:00,6786,144546,4251,101769,339,1830,0,8238,
2021-05-21 00:00:00,124,4501,121,1946,2,41,0,2434,
2021-12-25 00:00:00,9034,1127952,0,0,80,24194,0,0,
2021-05-10 00:00:00,125,3095,41,629,0,35,16,2389,
2021-11-09 00:00:00,3825,813131,0,0,56,20219,0,8238,
2021-03-18 00:00:00,3,2335,3,285,0,35,0,1997,
2022-03-11 00:00:00,154299,4641257,0,0,58,29265,0,0,
2022-04-27 00:00:00,7612,9394289,0,0,1,30405,0,0,
2021-11-23 00:00:00,5556,917616,0,0,83,21054,0,0,
2022-03-06 00:00:00,133622,3686134,0,0,77,28915,0,0,
2020-09-19 00:00:00,0,978,0,57,0,35,1,869,
2020-06-03 00:00:00,0,306,0,26,0,0,4,272,
2020-10-27 00:00:00,0,1032,0,48,0,35,1,941,
2021-08-16 00:00:00,6653,231512,4005,131675,353,5483,0,8238,
2022-03-18 00:00:00,147506,6422032,0,0,41,29638,0,0,
2020-12-18 00:00:00,3,1241,3,92,0,35,2,1108,
2022-03-17 00:00:00,162306,6245003,0,0,31307,60847,0,0,
2021-11-14 00:00:00,3943,833124,0,0,38,20482,0,0,
2022-03-19 00:00:00,136522,6832675,0,0,64,29702,0,0,
2021-09-19 00:00:00,8081,569240,0,0,218,15425,0,8238,
2021-01-19 00:00:00,1,1357,1,86,0,35,0,1230,
2021-07-10 00:00:00,1415,21596,1024,14651,0,98,0,7621,
2020-10-13 00:00:00,0,992,0,15,0,35,1,934,
2021-02-15 00:00:00,41,2067,16,643,0,35,14,1366,
2021-12-20 00:00:00,7600,1083404,0,0,89,23726,0,0,
2021-01-21 00:00:00,2,1363,0,82,0,35,5,1238,
2020-12-20 00:00:00,2,1244,2,92,0,35,0,1111,
2021-06-19 00:00:00,200,13024,201,7352,2,64,314,5191,
2021-11-20 00:00:00,4797,862449,0,0,55,20823,0,0,
2022-02-22 00:00:00,53959,2212960,0,0,60,27944,0,0,
2020-05-25 00:00:00,1,304,1,39,0,0,1,257,
2020-12-12 00:00:00,4,1231,4,109,0,35,0,1081,
2021-11-18 00:00:00,5331,852886,0,0,65,20701,0,0,
2021-03-01 00:00:00,9,2253,0,508,0,35,16,1701,
2020-11-25 00:00:00,4,1162,4,114,0,35,0,1006,
2022-02-15 00:00:00,30399,1905008,0,0,68,27505,0,0,
2021-07-14 00:00:00,990,27953,2345,23203,11,109,214,8105,
2020-04-13 00:00:00,12,264,114,114,0,0,2,142,
2020-07-17 00:00:00,0,333,0,13,0,0,3,317,
2021-07-07 00:00:00,1363,20181,411,10884,0,91,0,7621,
