date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,2,961,4,353,1,30,5,577,
2020-11-13 00:00:00,3,1104,2,102,0,35,0,964,
2021-09-18 00:00:00,8446,600213,0,0,210,15548,0,8270,
2020-04-20 00:00:00,0,268,0,54,0,0,12,205,
2020-08-30 00:00:00,0,965,0,297,0,32,18,633,
2021-06-20 00:00:00,486,13058,211,7555,0,64,0,5222,
2020-12-29 00:00:00,2,1284,2,79,0,35,1,1164,
2020-05-17 00:00:00,2,301,2,41,0,0,0,254,
2022-03-01 00:00:00,93343,2950392,0,0,77,30283,0,0,
2021-05-05 00:00:00,23,2699,32,275,0,35,0,2354,
2022-02-25 00:00:00,75581,2535488,0,0,70,29954,0,0,
2021-07-25 00:00:00,6860,87371,7544,70002,0,323,0,8270,
2021-09-30 00:00:00,7417,702186,0,0,145,17800,0,8270,
2021-09-02 00:00:00,11891,426345,10824,203124,251,11227,0,8270,
2020-05-15 00:00:00,24,295,24,35,0,0,0,254,
2022-03-15 00:00:00,160617,5790429,0,0,54,31319,0,0,
2022-04-28 00:00:00,6672,9508922,0,0,3,32302,0,0,
2021-09-24 00:00:00,7653,655249,0,0,187,16840,0,8270,
2022-01-28 00:00:00,13886,1670551,0,0,75,28173,0,0,
2022-03-03 00:00:00,111025,3263714,0,0,87,30467,0,0,
2020-10-21 00:00:00,3,1017,4,35,0,35,0,940,
2021-01-09 00:00:00,1,1337,1,94,0,35,4,1201,
2022-02-21 00:00:00,45225,2259658,0,0,82,29654,0,0,
2021-12-22 00:00:00,9353,1196857,0,0,86,25112,0,0,
2020-12-22 00:00:00,6,1258,5,89,0,35,12,1128,
2020-07-02 00:00:00,0,319,0,6,0,0,4,310,
2020-07-22 00:00:00,5,351,5,23,0,0,0,326,
2020-07-24 00:00:00,1,355,1,27,0,0,0,326,
2020-10-17 00:00:00,2,1000,2,18,0,35,0,939,
2021-08-17 00:00:00,7912,253729,4415,149430,306,5888,0,8270,
2020-10-16 00:00:00,0,998,0,16,0,35,1,939,
2021-10-03 00:00:00,4901,718605,0,0,105,18288,0,8270,
2021-05-20 00:00:00,216,4406,94,1849,2,39,1,2456,
2021-04-05 00:00:00,6,2402,5,128,0,35,32,2218,
2022-04-16 00:00:00,17200,9314694,0,0,6,32244,0,0,
2021-03-04 00:00:00,6,2284,4,511,0,35,20,1730,
2021-07-28 00:00:00,5933,107752,1455,82636,92,549,0,8270,
2021-01-04 00:00:00,2,1323,2,100,0,35,0,1180,
2020-03-28 00:00:00,5,105,0,0,0,0,1,21,
2022-03-07 00:00:00,138956,3927560,0,0,68,30779,0,0,
2020-08-04 00:00:00,30,606,28,259,2,8,4,336,
