date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,2,961,4,353,1,30,5,577,
2020-11-13 00:00:00,3,1104,2,102,0,35,0,964,
2021-09-18 00:00:00,8682,630337,0,0,210,15916,0,8281,
2020-04-20 00:00:00,0,268,0,54,0,0,12,205,
2020-08-30 00:00:00,0,965,0,297,0,32,18,633,
2021-06-20 00:00:00,489,13091,211,7577,0,64,0,5232,
2020-12-29 00:00:00,2,1284,2,79,0,35,1,1164,
2020-05-17 00:00:00,2,301,2,41,0,0,0,254,
2022-03-01 00:00:00,93431,2992889,0,0,78,31370,0,0,
2021-05-05 00:00:00,24,2708,33,278,0,35,0,2360,
2022-02-25 00:00:00,75647,2577708,0,0,71,31040,0,0,
2021-07-25 00:00:00,6860,91117,7544,73555,0,338,0,8281,
2021-09-30 00:00:00,7542,734626,0,0,145,18210,0,8281,
2021-09-02 00:00:00,12474,449568,10824,211865,251,11515,0,8281,
2020-05-15 00:00:00,24,295,24,35,0,0,0,254,
2022-03-15 00:00:00,160786,5835151,0,0,54,32407,0,0,
2022-04-28 00:00:00,6676,9557833,0,0,3,33390,0,0,
2021-09-24 00:00:00,7847,686719,0,0,194,17239,0,8281,
2022-01-28 00:00:00,13926,1712163,0,0,76,29240,0,0,
2022-03-03 00:00:00,111190,3306526,0,0,87,31554,0,0,
2020-10-21 00:00:00,3,1017,4,35,0,35,0,940,
2021-01-09 00:00:00,1,1338,1,95,0,35,4,1201,
2022-02-21 00:00:00,45238,2301695,0,0,82,30738,0,0,
2021-12-22 00:00:00,9424,1236741,0,0,90,25954,0,0,
2020-12-22 00:00:00,6,1258,5,89,0,35,12,1128,
2020-07-02 00:00:00,0,319,0,6,0,0,4,310,
2020-07-22 00:00:00,5,351,5,23,0,0,0,326,
2020-07-24 00:00:00,1,355,1,27,0,0,0,326,
2020-10-17 00:00:00,2,1000,2,18,0,35,0,939,
2021-08-17 00:00:00,8493,269308,4987,164638,315,6067,0,8281,
2020-10-16 00:00:00,0,998,0,16,0,35,1,939,
2021-10-03 00:00:00,4986,751344,0,0,105,18714,0,8281,
2021-05-20 00:00:00,216,4416,94,1853,2,39,1,2462,
2021-04-05 00:00:00,6,2407,5,128,0,35,32,2223,
2022-04-16 00:00:00,17250,9363319,0,0,6,33332,0,0,
2021-03-04 00:00:00,6,2288,4,513,0,35,20,1732,
2021-07-28 00:00:00,5933,111683,1625,86434,101,580,0,8281,
2021-01-04 00:00:00,2,1324,2,101,0,35,0,1180,
2020-03-28 00:00:00,5,105,0,0,0,0,1,21,
2022-03-07 00:00:00,139052,3970902,0,0,68,31866,0,0,
2020-08-04 00:00:00,30,606,28,259,2,8,4,336,
