date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,2,967,4,353,1,30,5,583,
2020-11-13 00:00:00,3,1126,2,106,0,35,0,982,
2021-09-18 00:00:00,8712,638381,0,0,212,16058,0,8309,
2020-04-20 00:00:00,0,272,0,54,0,0,12,209,
2020-08-30 00:00:00,0,971,0,297,0,32,18,639,
2021-06-20 00:00:00,489,13121,211,7579,0,64,0,5260,
2020-12-29 00:00:00,3,1309,3,81,0,35,1,1186,
2020-05-17 00:00:00,2,306,2,42,0,0,0,258,
2022-03-01 00:00:00,93463,3040992,0,0,78,32353,0,0,
2021-05-05 00:00:00,24,2736,33,278,0,35,0,2387,
2022-02-25 00:00:00,75661,2625711,0,0,72,32019,0,0,
2021-07-25 00:00:00,6950,93071,7644,75426,0,367,0,8309,
2021-09-30 00:00:00,7551,742846,0,0,146,18357,0,8309,
2021-09-02 00:00:00,12576,456201,10920,214289,257,11663,0,8309,
2020-05-15 00:00:00,24,299,24,35,0,0,0,258,
2022-03-15 00:00:00,160854,5883990,0,0,54,33402,0,0,
2022-04-28 00:00:00,6699,9608357,0,0,3,34397,0,0,
2021-09-24 00:00:00,7887,694892,0,0,194,17381,0,8309,
2022-01-28 00:00:00,13981,1759501,0,0,81,30151,0,0,
2022-03-03 00:00:00,111237,3354696,0,0,88,32541,0,0,
2020-10-21 00:00:00,3,1037,4,49,0,35,0,946,
2021-01-09 00:00:00,1,1363,1,96,0,35,4,1224,
2022-02-21 00:00:00,45287,2349597,0,0,84,31712,0,0,
2021-12-22 00:00:00,10208,1274773,0,0,102,26425,0,0,
2020-12-22 00:00:00,6,1282,5,91,0,35,12,1149,
2020-07-02 00:00:00,0,325,0,7,0,0,4,315,
2020-07-22 00:00:00,5,357,5,23,0,0,0,332,
2020-07-24 00:00:00,1,361,1,27,0,0,0,332,
2020-10-17 00:00:00,2,1020,2,32,0,35,0,945,
2021-08-17 00:00:00,8664,274137,5154,167689,318,6171,0,8309,
2020-10-16 00:00:00,0,1018,0,30,0,35,1,945,
2021-10-03 00:00:00,5021,759618,0,0,106,18928,0,8309,
