date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,2,967,4,353,1,30,5,583,
2020-11-13 00:00:00,3,1126,2,106,0,35,0,982,
2021-09-18 00:00:00,8845,641621,0,0,212,16065,0,8318,
2020-04-20 00:00:00,0,272,0,54,0,0,12,209,
2020-08-30 00:00:00,0,971,0,297,0,32,18,639,
2021-06-20 00:00:00,493,13148,214,7593,0,64,0,5269,
2020-12-29 00:00:00,3,1309,3,81,0,35,1,1186,
2020-05-17 00:00:00,2,306,2,42,0,0,0,258,
2022-03-01 00:00:00,93484,3077076,0,0,78,33621,0,0,
2021-05-05 00:00:00,24,2741,33,283,0,35,0,2387,
2022-02-25 00:00:00,75690,2661707,0,0,72,33284,0,0,
2021-07-25 00:00:00,6952,93278,7675,75646,0,368,0,8318,
2021-09-30 00:00:00,7723,747775,0,0,153,18398,0,8318,
2021-09-02 00:00:00,12627,458312,10970,215316,258,11667,0,8318,
2020-05-15 00:00:00,24,299,24,35,0,0,0,258,
2022-03-15 00:00:00,160974,5921130,0,0,54,34685,0,0,
2022-04-28 00:00:00,6704,9649561,0,0,3,35717,0,0,
2021-09-24 00:00:00,7977,699025,0,0,196,17396,0,8318,
2022-01-28 00:00:00,14006,1795112,0,0,81,31378,0,0,
2022-03-03 00:00:00,111292,3390865,0,0,88,33813,0,0,
2020-10-21 00:00:00,3,1037,4,49,0,35,0,946,
2021-01-09 00:00:00,1,1363,1,96,0,35,4,1224,
2022-02-21 00:00:00,45291,2385529,0,0,89,32976,0,0,
2021-12-22 00:00:00,10499,1305046,0,0,130,27216,0,0,
2020-12-22 00:00:00,6,1282,5,91,0,35,12,1149,
2020-07-02 00:00:00,0,325,0,7,0,0,4,315,
2020-07-22 00:00:00,5,357,5,23,0,0,0,332,
2020-07-24 00:00:00,1,361,1,27,0,0,0,332,
2020-10-17 00:00:00,2,1020,2,32,0,35,0,945,
2021-08-17 00:00:00,8697,275078,5187,168636,318,6172,0,8318,
2020-10-16 00:00:00,0,1018,0,30,0,35,1,945,
2021-10-03 00:00:00,5168,764949,0,0,106,18994,0,8318,
