date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,2,1004,4,363,1,30,5,610,
2020-11-13 00:00:00,3,1194,2,117,0,35,8,1038,
2021-09-18 00:00:00,8855,645767,0,0,212,16104,0,8445,
2020-04-20 00:00:00,0,272,0,54,0,0,12,209,
2020-08-30 00:00:00,0,1008,0,306,0,32,18,667,
2021-06-20 00:00:00,493,13286,214,7593,0,64,0,5384,
2020-12-29 00:00:00,3,1378,3,85,0,35,1,1251,
2020-05-17 00:00:00,2,306,2,42,0,0,0,258,
2022-03-01 00:00:00,94340,3117246,0,0,80,34090,0,0,
2021-05-05 00:00:00,24,2847,33,283,0,35,0,2469,
2022-02-25 00:00:00,76536,2698895,0,0,72,33748,0,0,
2021-07-25 00:00:00,7078,93946,7801,76276,0,368,0,8445,
2021-09-30 00:00:00,7729,752073,0,0,153,18445,0,8445,
2021-09-02 00:00:00,12684,461988,10970,215316,259,11698,0,8445,
2020-05-15 00:00:00,24,299,24,35,0,0,0,258,
2022-03-15 00:00:00,162022,5975694,0,0,54,35164,0,0,
2022-04-28 00:00:00,6751,9755837,0,0,3,36207,0,0,
2021-09-24 00:00:00,7990,703299,0,0,196,17441,0,8445,
2022-01-28 00:00:00,14065,1826052,0,0,97,31766,0,0,
2022-03-03 00:00:00,112613,3433479,0,0,88,34285,0,0,
2020-10-21 00:00:00,3,1085,4,50,0,35,0,993,
2021-01-09 00:00:00,1,1433,1,101,0,35,4,1289,
2022-02-21 00:00:00,45667,2420280,0,0,90,33438,0,0,
2021-12-22 00:00:00,10796,1329897,0,0,136,27333,0,0,
2020-12-22 00:00:00,6,1351,5,95,0,35,12,1214,
2020-07-02 00:00:00,0,334,0,15,0,0,4,316,
2020-07-22 00:00:00,5,376,5,33,0,0,0,341,
2020-07-24 00:00:00,1,387,1,44,0,0,0,341,
2020-10-17 00:00:00,2,1068,2,33,0,35,0,992,
2021-08-17 00:00:00,8777,277860,5187,168636,318,6196,0,8445,
2020-10-16 00:00:00,0,1066,0,31,0,35,1,992,
2021-10-03 00:00:00,5181,769276,0,0,106,19043,0,8445,
2021-05-20 00:00:00,217,4567,94,1859,2,39,2,2584,
2021-04-05 00:00:00,6,2515,5,129,0,35,32,2328,
2022-04-16 00:00:00,17426,9559548,0,0,6,36143,0,0,
2021-03-04 00:00:00,6,2394,4,516,0,35,20,1835,
2021-07-28 00:00:00,6257,114884,1852,90067,104,622,0,8445,
2021-01-04 00:00:00,3,1419,3,108,0,35,0,1267,
2020-03-28 00:00:00,5,109,0,0,0,0,1,21,
2022-03-07 00:00:00,139901,4101830,0,0,70,34605,0,0,
2020-08-04 00:00:00,30,644,28,282,2,8,4,351,
2020-06-11 00:00:00,0,316,0,11,0,0,1,297,
2020-09-28 00:00:00,4,1044,3,35,0,35,0,963,
2021-03-11 00:00:00,4,2431,2,409,0,35,43,1962,
2021-12-06 00:00:00,8594,1153373,0,0,164,24660,0,0,
2022-01-08 00:00:00,13419,1531551,0,0,147,29820,0,0,
2022-01-12 00:00:00,13258,1602802,0,0,108,30333,0,0,
2022-02-04 00:00:00,11215,1915657,0,0,58,32277,0,0,
2020-11-21 00:00:00,1,1244,1,123,0,35,0,1079,
2021-08-11 00:00:00,8398,225131,7420,150918,316,4296,0,8445,
2021-11-12 00:00:00,6337,973010,0,0,65,21957,0,0,
2021-05-19 00:00:00,66,4350,162,1765,0,37,0,2582,
2021-10-18 00:00:00,2537,820079,0,0,70,20528,0,8445,
2020-08-08 00:00:00,21,781,21,400,0,10,0,368,
2021-03-14 00:00:00,1,2452,1,391,0,35,0,2000,
2022-02-02 00:00:00,8328,1896567,0,0,0,32000,0,0,
2021-10-23 00:00:00,2786,834787,0,0,67,20851,0,8445,
2022-03-16 00:00:00,165335,6197862,0,0,47,35211,0,0,
2020-09-16 00:00:00,0,1030,0,79,0,35,5,902,
2022-01-22 00:00:00,13845,1741029,0,0,86,31229,0,0,
2020-09-06 00:00:00,0,1019,0,192,0,35,10,788,
2020-10-18 00:00:00,7,1075,7,40,0,35,0,992,
2021-07-15 00:00:00,853,30389,5803,30225,75,206,71,8382,
2021-02-14 00:00:00,33,2142,33,650,0,35,3,1451,
2022-03-31 00:00:00,74418,8776991,0,0,26,35859,0,0,
2021-06-08 00:00:00,0,8882,160,5308,0,55,0,3502,
2021-01-23 00:00:00,0,1468,2,90,0,35,0,1336,
2021-09-29 00:00:00,8390,744354,0,0,157,18292,0,8445,
2021-08-22 00:00:00,10361,328654,7436,172043,706,7940,0,8445,
2022-03-21 00:00:00,121543,7394298,0,0,56,35490,0,0,
2021-08-03 00:00:00,7964,161851,5185,118878,364,1987,0,8445,
2021-05-21 00:00:00,124,4691,121,1960,2,41,0,2584,
2021-12-25 00:00:00,10733,1362103,0,0,159,27841,0,0,
2021-05-10 00:00:00,126,3273,41,644,0,35,16,2527,
2021-11-09 00:00:00,5931,955037,0,0,71,21753,0,8445,
2021-03-18 00:00:00,3,2467,3,301,0,35,0,2112,
2022-03-11 00:00:00,155916,4924348,0,0,64,34909,0,0,
2022-04-27 00:00:00,7673,9747626,0,0,1,36206,0,0,
