date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,2,1004,4,363,1,30,5,610,
2020-11-13 00:00:00,3,1195,2,118,0,35,8,1038,
2021-09-18 00:00:00,9052,658188,0,0,212,16423,0,8451,
2020-04-20 00:00:00,0,272,0,54,0,0,12,209,
2020-08-30 00:00:00,0,1008,0,306,0,32,18,667,
2021-06-20 00:00:00,493,13343,214,7642,0,64,0,5390,
2020-12-29 00:00:00,3,1379,3,86,0,35,1,1252,
2020-05-17 00:00:00,2,306,2,42,0,0,0,258,
2022-03-01 00:00:00,94348,3152761,0,0,80,35379,0,0,
2021-05-05 00:00:00,24,2852,33,284,0,35,0,2473,
2022-02-25 00:00:00,76538,2734376,0,0,72,35037,0,0,
2021-07-25 00:00:00,7296,95556,8220,78246,0,369,0,8451,
2021-09-30 00:00:00,7778,765748,0,0,215,18846,0,8451,
2021-09-02 00:00:00,12974,472124,11253,220692,266,11949,0,8451,
2020-05-15 00:00:00,24,299,24,35,0,0,0,258,
2022-03-15 00:00:00,162038,6011471,0,0,54,36454,0,0,
2022-04-28 00:00:00,6751,9792049,0,0,3,37497,0,0,
2021-09-24 00:00:00,8102,716617,0,0,196,17768,0,8451,
2022-01-28 00:00:00,14082,1861360,0,0,102,33023,0,0,
2022-03-03 00:00:00,112642,3469031,0,0,88,35575,0,0,
2020-10-21 00:00:00,3,1086,4,51,0,35,0,993,
2021-01-09 00:00:00,1,1435,1,103,0,35,4,1290,
2022-02-21 00:00:00,45673,2455740,0,0,90,34726,0,0,
2021-12-22 00:00:00,10995,1361760,0,0,152,28151,0,0,
2020-12-22 00:00:00,6,1352,5,96,0,35,12,1215,
2020-07-02 00:00:00,0,334,0,15,0,0,4,316,
2020-07-22 00:00:00,5,376,5,33,0,0,0,341,
2020-07-24 00:00:00,1,387,1,44,0,0,0,341,
2020-10-17 00:00:00,2,1068,2,33,0,35,0,992,
2021-08-17 00:00:00,9188,282768,5591,170823,325,6347,0,8451,
2020-10-16 00:00:00,0,1066,0,31,0,35,1,992,
2021-10-03 00:00:00,5194,783071,0,0,110,19395,0,8451,
2021-05-20 00:00:00,217,4574,94,1861,2,39,2,2588,
2021-04-05 00:00:00,6,2520,5,130,0,35,32,2332,
2022-04-16 00:00:00,17430,9595752,0,0,6,37433,0,0,
2021-03-04 00:00:00,6,2398,4,517,0,35,23,1839,
2021-07-28 00:00:00,6287,116788,1852,92130,104,623,0,8451,
2021-01-04 00:00:00,3,1421,3,110,0,35,0,1268,
2020-03-28 00:00:00,5,109,0,0,0,0,1,21,
2022-03-07 00:00:00,139925,4137446,0,0,70,35895,0,0,
2020-08-04 00:00:00,30,644,28,282,2,8,4,351,
2020-06-11 00:00:00,0,316,0,11,0,0,1,297,
2020-09-28 00:00:00,4,1044,3,35,0,35,0,963,
2021-03-11 00:00:00,4,2436,2,410,0,35,43,1966,
2021-12-06 00:00:00,8879,1179459,0,0,175,25251,0,0,
2022-01-08 00:00:00,13456,1566092,0,0,165,30869,0,0,
2022-01-12 00:00:00,13285,1637566,0,0,121,31429,0,0,
2022-02-04 00:00:00,11217,1951012,0,0,60,33557,0,0,
2020-11-21 00:00:00,1,1245,1,124,0,35,0,1079,
2021-08-11 00:00:00,8575,228594,7595,153453,318,4394,0,8451,
2021-11-12 00:00:00,6971,992735,0,0,70,22381,0,0,
2021-05-19 00:00:00,66,4357,162,1767,0,37,0,2586,
2021-10-18 00:00:00,2631,834859,0,0,71,20904,0,8451,
2020-08-08 00:00:00,21,781,21,400,0,10,0,368,
2021-03-14 00:00:00,1,2457,1,392,0,35,0,2004,
2022-02-02 00:00:00,8328,1931918,0,0,0,33274,0,0,
2021-10-23 00:00:00,2942,850010,0,0,69,21236,0,8451,
2022-03-16 00:00:00,165353,6233657,0,0,47,36501,0,0,
2020-09-16 00:00:00,0,1030,0,79,0,35,5,902,
2022-01-22 00:00:00,13883,1776241,0,0,98,32444,0,0,
2020-09-06 00:00:00,0,1019,0,192,0,35,10,788,
2020-10-18 00:00:00,7,1076,8,41,0,35,0,992,
2021-07-15 00:00:00,853,30764,5803,30806,75,207,71,8388,
2021-02-14 00:00:00,33,2146,33,654,0,35,3,1452,
2022-03-31 00:00:00,74423,8813109,0,0,26,37149,0,0,
2021-06-08 00:00:00,0,8895,160,5315,0,55,0,3508,
2021-01-23 00:00:00,0,1470,2,92,0,35,0,1337,
2021-09-29 00:00:00,8458,757980,0,0,158,18631,0,8451,
2021-08-22 00:00:00,11021,335938,8123,175624,728,8122,0,8451,
2022-03-21 00:00:00,121548,7430211,0,0,56,36780,0,0,
2021-08-03 00:00:00,7964,164199,5185,121338,364,2035,0,8451,
2021-05-21 00:00:00,124,4698,121,1962,2,41,0,2588,
2021-12-25 00:00:00,11059,1394720,0,0,177,28709,0,0,
2021-05-10 00:00:00,126,3280,41,647,0,35,16,2531,
2021-11-09 00:00:00,6138,973315,0,0,73,22165,0,8451,
2021-03-18 00:00:00,3,2472,3,302,0,35,0,2116,
2022-03-11 00:00:00,155927,4960037,0,0,64,36199,0,0,
2022-04-27 00:00:00,7673,9783838,0,0,1,37496,0,0,
2021-11-23 00:00:00,8010,1111413,0,0,141,23372,0,0,
2022-03-06 00:00:00,134820,3997501,0,0,82,35825,0,0,
2020-09-19 00:00:00,0,1034,0,75,0,35,1,907,
2020-06-03 00:00:00,0,312,0,26,0,0,4,278,
