date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,2,1005,4,364,1,30,5,610,
2020-11-13 00:00:00,3,1196,2,118,0,35,8,1039,
2021-09-18 00:00:00,9220,662413,0,0,219,16459,0,8490,
2020-04-20 00:00:00,0,272,0,54,0,0,12,209,
2020-08-30 00:00:00,0,1009,0,307,0,32,18,667,
2021-06-20 00:00:00,495,13411,216,7673,0,64,0,5429,
2020-12-29 00:00:00,3,1380,3,86,0,35,1,1253,
2020-05-17 00:00:00,2,306,2,42,0,0,0,258,
2022-03-01 00:00:00,94395,3187303,0,0,82,36283,0,0,
2021-05-05 00:00:00,24,2891,33,304,0,35,0,2474,
2022-02-25 00:00:00,76605,2768652,0,0,74,35932,0,0,
2021-07-25 00:00:00,7321,95806,8253,78455,0,369,0,8490,
2021-09-30 00:00:00,7857,820369,0,0,218,18902,0,8490,
2021-09-02 00:00:00,13097,473815,11285,221300,267,11961,0,8490,
2020-05-15 00:00:00,24,299,24,35,0,0,0,258,
2022-03-15 00:00:00,162175,6047643,0,0,56,37390,0,0,
2022-04-28 00:00:00,6760,9831783,0,0,4,38523,0,0,
2021-09-24 00:00:00,8305,721805,0,0,197,17812,0,8490,
2022-01-28 00:00:00,14160,1894275,0,0,102,33798,0,0,
2022-03-03 00:00:00,112743,3503715,0,0,91,36484,0,0,
2020-10-21 00:00:00,3,1087,4,51,0,35,0,994,
2021-01-09 00:00:00,1,1436,1,103,0,35,4,1291,
2022-02-21 00:00:00,45749,2489847,0,0,94,35608,0,0,
2021-12-22 00:00:00,11270,1389532,0,0,162,28585,0,0,
2020-12-22 00:00:00,6,1353,5,96,0,35,12,1216,
2020-07-02 00:00:00,0,334,0,15,0,0,4,316,
2020-07-22 00:00:00,5,376,5,33,0,0,0,341,
2020-07-24 00:00:00,1,388,1,45,0,0,0,341,
2020-10-17 00:00:00,2,1069,2,33,0,35,0,993,
2021-08-17 00:00:00,9219,283413,5622,171466,325,6351,0,8490,
2020-10-16 00:00:00,0,1067,0,31,0,35,1,993,
2021-10-03 00:00:00,5269,837692,0,0,112,19464,0,8490,
2021-05-20 00:00:00,217,4613,94,1899,2,39,2,2589,
2021-04-05 00:00:00,6,2540,5,149,0,35,32,2333,
2022-04-16 00:00:00,17465,9635334,0,0,6,38448,0,0,
2021-03-04 00:00:00,6,2407,4,526,0,35,23,1840,
2021-07-28 00:00:00,6287,117051,1852,92271,106,626,0,8490,
2021-01-04 00:00:00,3,1422,3,110,0,35,0,1269,
2020-03-28 00:00:00,5,109,0,0,0,0,1,21,
2022-03-07 00:00:00,140051,4172666,0,0,76,36814,0,0,
2020-08-04 00:00:00,30,645,28,283,2,8,4,351,
2020-06-11 00:00:00,0,316,0,11,0,0,1,297,
2020-09-28 00:00:00,4,1045,3,35,0,35,0,964,
2021-03-11 00:00:00,4,2452,2,425,0,35,43,1967,
2021-12-06 00:00:00,9243,1202147,0,0,183,25551,0,0,
2022-01-08 00:00:00,13628,1597383,0,0,176,31476,0,0,
2022-01-12 00:00:00,13410,1669305,0,0,132,32081,0,0,
2022-02-04 00:00:00,11221,1984317,0,0,65,34368,0,0,
2020-11-21 00:00:00,1,1246,1,124,0,35,0,1080,
2021-08-11 00:00:00,8587,229094,7607,153952,318,4397,0,8490,
2021-11-12 00:00:00,7374,1006711,0,0,74,22504,0,0,
2021-05-19 00:00:00,66,4396,162,1805,0,37,0,2587,
2021-10-18 00:00:00,2730,889480,0,0,71,20983,0,8490,
2020-08-08 00:00:00,21,782,21,401,0,10,0,368,
2021-03-14 00:00:00,1,2473,1,407,0,35,0,2005,
2022-02-02 00:00:00,8345,1965196,0,0,0,34073,0,0,
2021-10-23 00:00:00,3039,904631,0,0,69,21320,0,8490,
2022-03-16 00:00:00,165426,6269902,0,0,50,37440,0,0,
2020-09-16 00:00:00,0,1031,0,79,0,35,5,903,
2022-01-22 00:00:00,13998,1808847,0,0,104,33190,0,0,
2020-09-06 00:00:00,0,1020,0,193,0,35,10,788,
2020-10-18 00:00:00,7,1077,8,41,0,35,0,993,
2021-07-15 00:00:00,853,30868,5803,30863,75,207,71,8427,
2021-02-14 00:00:00,33,2147,33,654,0,35,3,1453,
2022-03-31 00:00:00,74584,8851395,0,0,26,38129,0,0,
2021-06-08 00:00:00,0,8958,160,5339,0,55,0,3547,
2021-01-23 00:00:00,0,1471,2,92,0,35,0,1338,
2021-09-29 00:00:00,8458,812601,0,0,160,18684,0,8490,
