date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,2,1009,4,365,1,30,5,613,
2020-11-13 00:00:00,3,1206,2,120,0,35,8,1047,
2021-09-18 00:00:00,9264,669396,0,0,219,16587,0,8545,
2020-04-20 00:00:00,0,275,0,54,0,0,12,212,
2020-08-30 00:00:00,0,1013,0,308,0,32,18,670,
2021-06-20 00:00:00,495,13465,216,7673,0,64,0,5483,
2020-12-29 00:00:00,3,1391,3,86,0,35,1,1264,
2020-05-17 00:00:00,2,309,2,42,0,0,0,261,
2022-03-01 00:00:00,94742,3276568,0,0,82,37598,0,0,
2021-05-05 00:00:00,24,2942,33,343,0,35,0,2486,
2022-02-25 00:00:00,76826,2856774,0,0,75,37244,0,0,
2021-07-25 00:00:00,7422,96631,8378,79298,0,369,0,8545,
2021-09-30 00:00:00,7901,827991,0,0,219,19042,0,8545,
2021-09-02 00:00:00,13147,479750,11334,223855,268,12067,0,8545,
2020-05-15 00:00:00,24,302,24,35,0,0,0,261,
2022-03-15 00:00:00,163442,6184581,0,0,59,38728,0,0,
2022-04-28 00:00:00,6817,10004530,0,0,6,39953,0,0,
2021-09-24 00:00:00,8365,729103,0,0,201,17946,0,8545,
2022-01-28 00:00:00,14300,1975881,0,0,113,35005,0,0,
2022-03-03 00:00:00,113707,3594521,0,0,93,37801,0,0,
2020-10-21 00:00:00,3,1095,4,53,0,35,0,1000,
2021-01-09 00:00:00,1,1448,1,104,0,35,4,1302,
2022-02-21 00:00:00,45804,2577381,0,0,94,36915,0,0,
2021-12-22 00:00:00,12493,1448739,0,0,175,29204,0,0,
2020-12-22 00:00:00,6,1364,5,96,0,35,12,1227,
2020-07-02 00:00:00,0,337,0,15,0,0,4,319,
2020-07-22 00:00:00,5,379,5,33,0,0,0,344,
2020-07-24 00:00:00,1,391,1,45,0,0,0,344,
2020-10-17 00:00:00,2,1077,2,35,0,35,0,999,
2021-08-17 00:00:00,9401,287709,5799,174089,330,6430,0,8545,
2020-10-16 00:00:00,0,1075,0,33,0,35,1,999,
2021-10-03 00:00:00,5307,845408,0,0,113,19615,0,8545,
2021-05-20 00:00:00,217,4667,94,1905,2,39,2,2615,
2021-04-05 00:00:00,6,2564,5,161,0,35,32,2345,
2022-04-16 00:00:00,17562,9807115,0,0,8,39866,0,0,
2021-03-04 00:00:00,6,2419,4,526,0,35,23,1852,
2021-07-28 00:00:00,6442,118235,1976,93460,106,626,0,8545,
2021-01-04 00:00:00,3,1433,3,110,0,35,0,1280,
2020-03-28 00:00:00,5,112,0,0,0,0,1,21,
2022-03-07 00:00:00,141089,4267463,0,0,77,38135,0,0,
2020-08-04 00:00:00,30,648,28,283,2,8,4,354,
2020-06-11 00:00:00,0,319,0,11,0,0,1,300,
2020-09-28 00:00:00,4,1051,3,37,0,35,0,968,
2021-03-11 00:00:00,4,2464,2,425,0,35,43,1979,
2021-12-06 00:00:00,11062,1236884,0,0,202,25938,0,0,
2022-01-08 00:00:00,14121,1668473,0,0,190,32408,0,0,
2022-01-12 00:00:00,14070,1742830,0,0,150,33085,0,0,
2022-02-04 00:00:00,11282,2070605,0,0,70,35616,0,0,
2020-11-21 00:00:00,1,1256,1,126,0,35,0,1088,
2021-08-11 00:00:00,8690,232384,7686,157107,342,4458,0,8545,
2021-11-12 00:00:00,7636,1018964,0,0,75,22698,0,0,
2021-05-19 00:00:00,66,4450,162,1811,0,37,0,2613,
2021-10-18 00:00:00,2766,897900,0,0,71,21146,0,8545,
2020-08-08 00:00:00,21,785,21,401,0,10,0,371,
2021-03-14 00:00:00,1,2485,1,407,0,35,0,2017,
2022-02-02 00:00:00,8466,2051354,0,0,0,35298,0,0,
2021-10-23 00:00:00,3092,913263,0,0,70,21484,0,8545,
2022-03-16 00:00:00,168242,6409656,0,0,52,38780,0,0,
2020-09-16 00:00:00,0,1037,0,82,0,35,5,906,
2022-01-22 00:00:00,14595,1888896,0,0,114,34337,0,0,
2020-09-06 00:00:00,0,1024,0,194,0,35,10,791,
2020-10-18 00:00:00,7,1085,8,43,0,35,0,999,
2021-07-15 00:00:00,853,30951,5859,31007,75,207,71,8481,
2021-02-14 00:00:00,33,2159,33,655,0,35,3,1464,
2022-03-31 00:00:00,75561,9017148,0,0,31,39510,0,0,
2021-06-08 00:00:00,0,9012,160,5339,0,55,0,3601,
2021-01-23 00:00:00,0,1483,2,93,0,35,0,1349,
2021-09-29 00:00:00,8503,820179,0,0,160,18823,0,8545,
2021-08-22 00:00:00,11133,341879,8181,179882,735,8225,0,8545,
2022-03-21 00:00:00,123248,7618791,0,0,58,39083,0,0,
2021-08-03 00:00:00,8198,166761,5355,123866,373,2055,0,8545,
2021-05-21 00:00:00,124,4791,121,1968,2,41,0,2615,
2021-12-25 00:00:00,12246,1485771,0,0,202,29847,0,0,
2021-05-10 00:00:00,126,3373,41,708,0,35,16,2544,
2021-11-09 00:00:00,6642,1039582,0,0,81,22468,0,8545,
2021-03-18 00:00:00,3,2501,3,318,0,35,0,2129,
2022-03-11 00:00:00,158297,5096815,0,0,68,38451,0,0,
2022-04-27 00:00:00,7708,9996077,0,0,1,39949,0,0,
2021-11-23 00:00:00,8950,1145322,0,0,157,23793,0,0,
2022-03-06 00:00:00,136128,4126353,0,0,82,38058,0,0,
2020-09-19 00:00:00,0,1041,0,78,0,35,1,911,
2020-06-03 00:00:00,0,315,0,26,0,0,4,281,
2020-10-27 00:00:00,3,1123,3,68,0,35,1,1013,
2021-08-16 00:00:00,8355,278308,5712,168335,367,6100,0,8545,
2022-03-18 00:00:00,152122,6934359,0,0,53,38903,0,0,
2020-12-18 00:00:00,3,1354,3,101,0,35,3,1212,
2022-03-17 00:00:00,167200,6752713,0,0,31320,70100,0,0,
2021-11-14 00:00:00,6785,1032544,0,0,61,22840,0,0,
2022-03-19 00:00:00,140923,7349403,0,0,71,38974,0,0,
2021-09-19 00:00:00,9971,679367,0,0,233,16820,0,8545,
2021-01-19 00:00:00,1,1475,1,94,0,35,0,1340,
2021-07-10 00:00:00,1608,22962,1211,16107,1,105,0,7923,
2020-10-13 00:00:00,1,1064,1,27,0,35,1,994,
2021-02-15 00:00:00,41,2200,16,665,0,35,14,1478,
2021-12-20 00:00:00,11666,1423860,0,0,192,28814,0,0,
2021-01-21 00:00:00,2,1481,0,89,0,35,5,1349,
2020-12-20 00:00:00,2,1357,2,101,0,35,0,1215,
2021-06-19 00:00:00,208,13465,212,7468,2,64,316,5483,
2021-11-20 00:00:00,7565,1080783,0,0,96,23392,0,0,
2022-02-22 00:00:00,54647,2631950,0,0,67,36982,0,0,
2020-05-25 00:00:00,1,313,1,40,0,0,1,265,
2020-12-12 00:00:00,4,1342,4,117,0,35,0,1184,
2021-11-18 00:00:00,8664,1065447,0,0,126,23198,0,0,
2021-03-01 00:00:00,13,2392,5,527,0,35,16,1823,
2020-11-25 00:00:00,5,1269,5,128,0,35,0,1099,
2022-02-15 00:00:00,31105,2320047,0,0,80,36469,0,0,
2021-07-14 00:00:00,1071,30098,2770,25803,27,132,217,8410,
2020-04-13 00:00:00,12,272,116,116,0,0,2,148,
2020-07-17 00:00:00,1,361,0,22,0,0,4,336,
2021-07-07 00:00:00,1588,21360,434,11814,1,98,0,7923,
2022-01-25 00:00:00,14870,1931546,0,0,106,34667,0,0,
2022-04-20 00:00:00,12741,9889790,0,0,6,39906,0,0,
2020-09-29 00:00:00,0,1051,0,30,0,35,8,976,
