date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,2,1009,4,365,1,30,5,613,
2020-11-13 00:00:00,3,1206,2,120,0,35,8,1047,
2021-09-18 00:00:00,9264,671549,0,0,219,16630,0,8558,
2020-04-20 00:00:00,0,275,0,54,0,0,12,212,
2020-08-30 00:00:00,0,1013,0,308,0,32,18,670,
2021-06-20 00:00:00,495,13484,216,7680,0,64,0,5492,
2020-12-29 00:00:00,3,1398,3,92,0,35,1,1265,
2020-05-17 00:00:00,2,309,2,42,0,0,0,261,
2022-03-01 00:00:00,94904,3331784,0,0,82,38383,0,0,
2021-05-05 00:00:00,24,2949,33,343,0,35,0,2493,
2022-02-25 00:00:00,76910,2911514,0,0,75,38026,0,0,
2021-07-25 00:00:00,7472,97217,8477,79966,0,370,0,8558,
2021-09-30 00:00:00,7907,830197,0,0,219,19085,0,8558,
2021-09-02 00:00:00,13152,481813,11339,225313,268,12104,0,8558,
2020-05-15 00:00:00,24,302,24,35,0,0,0,261,
2022-03-15 00:00:00,164755,6249839,0,0,59,39522,0,0,
2022-04-28 00:00:00,6891,10105406,0,0,7,40781,0,0,
2021-09-24 00:00:00,8376,731279,0,0,201,17989,0,8558,
2022-01-28 00:00:00,14401,2029079,0,0,123,35691,0,0,
2022-03-03 00:00:00,114000,3650306,0,0,93,38588,0,0,
2020-10-21 00:00:00,3,1095,4,53,0,35,0,1000,
2021-01-09 00:00:00,1,1455,1,109,0,35,4,1304,
2022-02-21 00:00:00,45816,2631845,0,0,98,37694,0,0,
2021-12-22 00:00:00,13339,1473003,0,0,183,29439,0,0,
2020-12-22 00:00:00,6,1366,5,98,0,35,12,1227,
2020-07-02 00:00:00,0,337,0,15,0,0,4,319,
2020-07-22 00:00:00,5,379,5,33,0,0,0,344,
2020-07-24 00:00:00,1,391,1,45,0,0,0,344,
2020-10-17 00:00:00,2,1077,2,35,0,35,0,999,
2021-08-17 00:00:00,9477,289490,5874,175278,331,6454,0,8558,
2020-10-16 00:00:00,0,1075,0,33,0,35,1,999,
2021-10-03 00:00:00,5311,847626,0,0,113,19659,0,8558,
2021-05-20 00:00:00,217,4681,94,1912,2,39,2,2622,
2021-04-05 00:00:00,6,2571,5,161,0,35,32,2352,
2022-04-16 00:00:00,17721,9906880,0,0,9,40690,0,0,
2021-03-04 00:00:00,6,2426,4,526,0,35,23,1859,
2021-07-28 00:00:00,6442,118943,2007,94209,106,627,0,8558,
2021-01-04 00:00:00,3,1440,3,115,0,35,0,1282,
2020-03-28 00:00:00,5,112,0,0,0,0,1,21,
2022-03-07 00:00:00,141306,4324625,0,0,77,38923,0,0,
2020-08-04 00:00:00,30,648,28,283,2,8,4,354,
2020-06-11 00:00:00,0,319,0,11,0,0,1,300,
2020-09-28 00:00:00,4,1051,3,37,0,35,0,968,
2021-03-11 00:00:00,4,2471,2,425,0,35,43,1986,
2021-12-06 00:00:00,11597,1251615,0,0,202,26048,0,0,
2022-01-08 00:00:00,14591,1716101,0,0,205,32878,0,0,
2022-01-12 00:00:00,14465,1792166,0,0,157,33603,0,0,
2022-02-04 00:00:00,11325,2124155,0,0,75,36343,0,0,
2020-11-21 00:00:00,1,1256,1,126,0,35,0,1088,
2021-08-11 00:00:00,8753,233830,7749,158253,342,4477,0,8558,
2021-11-12 00:00:00,7920,1023111,0,0,75,22748,0,0,
2021-05-19 00:00:00,66,4464,162,1818,0,37,0,2620,
2021-10-18 00:00:00,2780,900310,0,0,71,21191,0,8558,
2020-08-08 00:00:00,21,785,21,401,0,10,0,371,
2021-03-14 00:00:00,1,2492,1,407,0,35,0,2024,
2022-02-02 00:00:00,8512,2104836,0,0,0,35999,0,0,
2021-10-23 00:00:00,3107,915746,0,0,70,21529,0,8558,
2022-03-16 00:00:00,170012,6476684,0,0,54,39576,0,0,
2020-09-16 00:00:00,0,1037,0,82,0,35,5,906,
2022-01-22 00:00:00,14815,1941287,0,0,126,34966,0,0,
2020-09-06 00:00:00,0,1024,0,194,0,35,10,791,
2020-10-18 00:00:00,7,1085,8,43,0,35,0,999,
2021-07-15 00:00:00,853,31097,5912,31257,75,207,71,8494,
2021-02-14 00:00:00,33,2166,33,655,0,35,3,1471,
2022-03-31 00:00:00,77203,9107773,0,0,33,40324,0,0,
2021-06-08 00:00:00,0,9028,160,5348,0,55,0,3608,
2021-01-23 00:00:00,0,1490,2,96,0,35,0,1353,
2021-09-29 00:00:00,8510,822379,0,0,160,18866,0,8558,
2021-08-22 00:00:00,11182,343853,8229,181259,736,8254,0,8558,
2022-03-21 00:00:00,124686,7694294,0,0,58,39882,0,0,
2021-08-03 00:00:00,8270,167735,5413,124915,377,2065,0,8558,
2021-05-21 00:00:00,125,4806,122,1976,2,41,0,2622,
2021-12-25 00:00:00,13121,1512633,0,0,212,30117,0,0,
2021-05-10 00:00:00,126,3385,41,713,0,35,16,2551,
2021-11-09 00:00:00,6796,1043129,0,0,82,22516,0,8558,
2021-03-18 00:00:00,3,2508,3,318,0,35,0,2136,
2022-03-11 00:00:00,159395,5157316,0,0,69,39241,0,0,
2022-04-27 00:00:00,7794,10096793,0,0,1,40776,0,0,
2021-11-23 00:00:00,9455,1152953,0,0,160,23860,0,0,
2022-03-06 00:00:00,136531,4183298,0,0,83,38846,0,0,
2020-09-19 00:00:00,0,1041,0,78,0,35,1,911,
2020-06-03 00:00:00,0,315,0,26,0,0,4,281,
2020-10-27 00:00:00,3,1123,3,68,0,35,1,1013,
2021-08-16 00:00:00,8486,280013,5843,169449,367,6123,0,8558,
2022-03-18 00:00:00,153903,7005120,0,0,53,39699,0,0,
2020-12-18 00:00:00,3,1356,3,103,0,35,3,1212,
2022-03-17 00:00:00,169152,6821693,0,0,31320,70896,0,0,
2021-11-14 00:00:00,7073,1037271,0,0,62,22892,0,0,
2022-03-19 00:00:00,142467,7421708,0,0,73,39772,0,0,
2021-09-19 00:00:00,9973,681522,0,0,233,16863,0,8558,
2021-01-19 00:00:00,1,1482,1,97,0,35,0,1344,
2021-07-10 00:00:00,1608,22996,1237,16193,1,105,0,7936,
2020-10-13 00:00:00,1,1064,1,27,0,35,1,994,
2021-02-15 00:00:00,41,2207,16,665,0,35,14,1485,
2021-12-20 00:00:00,12262,1446679,0,0,202,29032,0,0,
2021-01-21 00:00:00,2,1488,0,92,0,35,5,1353,
2020-12-20 00:00:00,2,1359,2,103,0,35,0,1215,
2021-06-19 00:00:00,208,13484,212,7475,2,64,316,5492,
2021-11-20 00:00:00,7862,1087291,0,0,99,23452,0,0,
2022-02-22 00:00:00,54687,2686454,0,0,69,37763,0,0,
2020-05-25 00:00:00,1,313,1,40,0,0,1,265,
2020-12-12 00:00:00,4,1344,4,119,0,35,0,1184,
2021-11-18 00:00:00,8978,1071358,0,0,129,23255,0,0,
2021-03-01 00:00:00,13,2399,5,527,0,35,16,1830,
2020-11-25 00:00:00,5,1271,5,130,0,35,0,1099,
2022-02-15 00:00:00,31158,2374278,0,0,83,37239,0,0,
2021-07-14 00:00:00,1071,30244,2770,26000,27,132,217,8423,
2020-04-13 00:00:00,12,272,116,116,0,0,2,148,
2020-07-17 00:00:00,1,361,0,22,0,0,4,336,
2021-07-07 00:00:00,1593,21394,458,11857,1,98,0,7936,
2022-01-25 00:00:00,15021,1984378,0,0,115,35323,0,0,
2022-04-20 00:00:00,12853,9989983,0,0,7,40732,0,0,
2020-09-29 00:00:00,0,1051,0,30,0,35,8,976,
