date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,2,1013,4,365,1,30,5,617,
2020-11-13 00:00:00,3,1211,2,120,0,35,8,1052,
2021-09-18 00:00:00,9269,673039,0,0,219,16646,0,8566,
2020-04-20 00:00:00,0,278,0,54,0,0,12,214,
2020-08-30 00:00:00,0,1017,0,308,0,32,18,674,
2021-06-20 00:00:00,495,13495,216,7682,0,64,0,5500,
2020-12-29 00:00:00,3,1405,3,94,0,35,1,1270,
2020-05-17 00:00:00,2,312,2,42,0,0,0,263,
2022-03-01 00:00:00,95102,3371175,0,0,83,38447,0,0,
2021-05-05 00:00:00,24,2957,33,343,0,35,0,2501,
2022-02-25 00:00:00,76949,2950429,0,0,75,38083,0,0,
2021-07-25 00:00:00,7499,97372,8503,80127,0,370,0,8566,
2021-09-30 00:00:00,7908,831696,0,0,219,19102,0,8566,
2021-09-02 00:00:00,13159,483142,11343,226478,271,12117,0,8566,
2020-05-15 00:00:00,24,305,24,35,0,0,0,263,
2022-03-15 00:00:00,165738,6306860,0,0,60,39594,0,0,
2022-04-28 00:00:00,6893,10180022,0,0,7,40892,0,0,
2021-09-24 00:00:00,8377,732778,0,0,202,18006,0,8566,
2022-01-28 00:00:00,14451,2066983,0,0,128,35729,0,0,
2022-03-03 00:00:00,114083,3690014,0,0,94,38653,0,0,
2020-10-21 00:00:00,3,1100,4,53,0,35,0,1005,
2021-01-09 00:00:00,1,1463,1,112,0,35,4,1309,
2022-02-21 00:00:00,45854,2670560,0,0,100,37749,0,0,
2021-12-22 00:00:00,13854,1489571,0,0,188,29535,0,0,
2020-12-22 00:00:00,6,1371,5,98,0,35,12,1232,
2020-07-02 00:00:00,0,340,0,15,0,0,4,321,
2020-07-22 00:00:00,5,382,5,33,0,0,0,346,
2020-07-24 00:00:00,1,394,1,45,0,0,0,346,
2020-10-17 00:00:00,2,1082,2,35,0,35,0,1004,
2021-08-17 00:00:00,9556,290460,5953,176077,331,6461,0,8566,
2020-10-16 00:00:00,0,1080,0,33,0,35,1,1004,
2021-10-03 00:00:00,5313,849125,0,0,113,19680,0,8566,
2021-05-20 00:00:00,217,4689,94,1912,2,39,2,2630,
2021-04-05 00:00:00,6,2579,5,161,0,35,32,2360,
2022-04-16 00:00:00,17745,9981394,0,0,9,40797,0,0,
2021-03-04 00:00:00,6,2434,4,526,0,35,23,1867,
2021-07-28 00:00:00,6534,119206,2061,94478,106,628,0,8566,
2021-01-04 00:00:00,3,1447,3,117,0,35,0,1287,
2020-03-28 00:00:00,5,115,0,0,0,0,1,21,
2022-03-07 00:00:00,141417,4374669,0,0,77,38990,0,0,
2020-08-04 00:00:00,30,652,28,285,2,8,4,356,
2020-06-11 00:00:00,0,322,0,11,0,0,1,302,
2020-09-28 00:00:00,4,1056,3,37,0,35,0,973,
2021-03-11 00:00:00,4,2479,2,425,0,35,43,1994,
2021-12-06 00:00:00,11809,1260960,0,0,202,26094,0,0,
2022-01-08 00:00:00,15166,1748313,0,0,210,33038,0,0,
2022-01-12 00:00:00,14864,1825492,0,0,166,33788,0,0,
2022-02-04 00:00:00,11343,2162278,0,0,76,36386,0,0,
2020-11-21 00:00:00,1,1261,1,126,0,35,0,1093,
2021-08-11 00:00:00,8753,234403,7749,158828,342,4481,0,8566,
2021-11-12 00:00:00,8005,1026979,0,0,76,22774,0,0,
2021-05-19 00:00:00,66,4472,162,1818,0,37,0,2628,
2021-10-18 00:00:00,2813,902179,0,0,71,21212,0,8566,
2020-08-08 00:00:00,21,789,21,403,0,10,0,373,
2021-03-14 00:00:00,1,2500,1,407,0,35,0,2032,
2022-02-02 00:00:00,8538,2142916,0,0,0,36041,0,0,
2021-10-23 00:00:00,3165,917889,0,0,71,21551,0,8566,
2022-03-16 00:00:00,171198,6534891,0,0,54,39648,0,0,
2020-09-16 00:00:00,0,1042,0,82,0,35,5,911,
2022-01-22 00:00:00,14980,1978647,0,0,132,34985,0,0,
2020-09-06 00:00:00,0,1029,0,194,0,35,10,796,
2020-10-18 00:00:00,7,1090,8,43,0,35,0,1004,
2021-07-15 00:00:00,853,31145,5915,31317,75,207,71,8502,
2021-02-14 00:00:00,33,2174,33,655,0,35,3,1479,
2022-03-31 00:00:00,77742,9179918,0,0,33,40418,0,0,
2021-06-08 00:00:00,0,9038,160,5350,0,55,0,3616,
2021-01-23 00:00:00,0,1498,2,99,0,35,0,1358,
2021-09-29 00:00:00,8513,823878,0,0,160,18883,0,8566,
2021-08-22 00:00:00,11221,344984,8268,182218,736,8262,0,8566,
2022-03-21 00:00:00,125498,7758355,0,0,61,39962,0,0,
2021-08-03 00:00:00,8303,168147,5446,125332,377,2068,0,8566,
2021-05-21 00:00:00,125,4814,122,1976,2,41,0,2630,
