date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,2,1013,4,365,1,30,5,617,
2020-11-13 00:00:00,3,1211,2,120,0,35,8,1052,
2021-09-18 00:00:00,9269,674073,0,0,219,16666,0,8566,
2020-04-20 00:00:00,0,278,0,54,0,0,12,214,
2020-08-30 00:00:00,0,1017,0,308,0,32,18,674,
2021-06-20 00:00:00,495,13514,216,7684,0,64,0,5500,
2020-12-29 00:00:00,3,1405,3,94,0,35,1,1270,
2020-05-17 00:00:00,2,312,2,42,0,0,0,263,
2022-03-01 00:00:00,95134,3403503,0,0,83,39044,0,0,
2021-05-05 00:00:00,26,2961,35,347,0,35,0,2501,
2022-02-25 00:00:00,76959,2982682,0,0,75,38679,0,0,
2021-07-25 00:00:00,7508,97475,8512,80220,0,370,0,8566,
2021-09-30 00:00:00,7908,832889,0,0,219,19123,0,8566,
2021-09-02 00:00:00,13172,484082,11343,226836,271,12135,0,8566,
2020-05-15 00:00:00,24,305,24,35,0,0,0,263,
2022-03-15 00:00:00,165803,6339757,0,0,60,40196,0,0,
2022-04-28 00:00:00,6893,10214359,0,0,8,41525,0,0,
2021-09-24 00:00:00,8377,733817,0,0,202,18026,0,8566,
2022-01-28 00:00:00,14480,2099207,0,0,134,36284,0,0,
2022-03-03 00:00:00,114118,3722405,0,0,94,39251,0,0,
2020-10-21 00:00:00,3,1100,4,53,0,35,0,1005,
2021-01-09 00:00:00,1,1463,1,112,0,35,4,1309,
2022-02-21 00:00:00,45865,2702759,0,0,102,38341,0,0,
2021-12-22 00:00:00,14237,1517322,0,0,199,29794,0,0,
2020-12-22 00:00:00,6,1371,5,98,0,35,12,1232,
2020-07-02 00:00:00,0,340,0,15,0,0,4,321,
2020-07-22 00:00:00,5,382,5,33,0,0,0,346,
2020-07-24 00:00:00,1,394,1,45,0,0,0,346,
2020-10-17 00:00:00,2,1082,2,35,0,35,0,1004,
2021-08-17 00:00:00,9600,291131,5997,176646,331,6469,0,8566,
2020-10-16 00:00:00,0,1080,0,33,0,35,1,1004,
2021-10-03 00:00:00,5313,850318,0,0,113,19702,0,8566,
2021-05-20 00:00:00,221,4706,98,1929,2,39,2,2630,
2021-04-05 00:00:00,6,2579,5,161,0,35,32,2360,
2022-04-16 00:00:00,17745,10015633,0,0,10,41428,0,0,
2021-03-04 00:00:00,6,2434,4,526,0,35,23,1867,
2021-07-28 00:00:00,6546,119343,2061,94605,106,628,0,8566,
2021-01-04 00:00:00,3,1447,3,117,0,35,0,1287,
2020-03-28 00:00:00,5,115,0,0,0,0,1,21,
2022-03-07 00:00:00,141472,4407202,0,0,78,39589,0,0,
2020-08-04 00:00:00,30,652,28,285,2,8,4,356,
2020-06-11 00:00:00,0,322,0,11,0,0,1,302,
2020-09-28 00:00:00,4,1056,3,37,0,35,0,973,
2021-03-11 00:00:00,4,2479,2,425,0,35,43,1994,
2021-12-06 00:00:00,12602,1279973,0,0,207,26222,0,0,
2022-01-08 00:00:00,15300,1779419,0,0,221,33443,0,0,
2022-01-12 00:00:00,14953,1857018,0,0,166,34237,0,0,
2022-02-04 00:00:00,11343,2194540,0,0,77,36956,0,0,
2020-11-21 00:00:00,1,1261,1,126,0,35,0,1093,
2021-08-11 00:00:00,8753,234853,7749,159260,342,4485,0,8566,
2021-11-12 00:00:00,8303,1034212,0,0,76,22831,0,0,
2021-05-19 00:00:00,66,4485,162,1831,0,37,0,2628,
2021-10-18 00:00:00,2987,905533,0,0,72,21240,0,8566,
2020-08-08 00:00:00,21,789,21,403,0,10,0,373,
2021-03-14 00:00:00,1,2500,1,407,0,35,0,2032,
2022-02-02 00:00:00,8538,2175178,0,0,0,36606,0,0,
2021-10-23 00:00:00,3165,921800,0,0,74,21586,0,8566,
2022-03-16 00:00:00,171291,6567881,0,0,54,40250,0,0,
2020-09-16 00:00:00,0,1042,0,82,0,35,5,911,
2022-01-22 00:00:00,15020,2010726,0,0,140,35510,0,0,
2020-09-06 00:00:00,0,1029,0,194,0,35,10,796,
2020-10-18 00:00:00,7,1090,8,43,0,35,0,1004,
2021-07-15 00:00:00,853,31171,5919,31352,75,207,71,8502,
2021-02-14 00:00:00,33,2174,33,655,0,35,3,1479,
2022-03-31 00:00:00,77794,9213781,0,0,35,41035,0,0,
2021-06-08 00:00:00,0,9057,160,5352,0,55,0,3616,
2021-01-23 00:00:00,0,1498,2,99,0,35,0,1358,
2021-09-29 00:00:00,8625,825071,0,0,160,18904,0,8566,
2021-08-22 00:00:00,11359,345793,8268,182783,737,8274,0,8566,
2022-03-21 00:00:00,125550,7791596,0,0,62,40568,0,0,
2021-08-03 00:00:00,8336,168370,5446,125545,377,2068,0,8566,
2021-05-21 00:00:00,125,4831,122,1993,2,41,0,2630,
