date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,1,474,0,202,1,26,4,244,
2020-11-13 00:00:00,3,512,2,32,0,31,0,446,
2021-09-18 00:00:00,4237,336995,0,0,165,13190,0,1324,
2020-04-20 00:00:00,0,62,0,4,0,0,2,58,
2020-08-30 00:00:00,0,476,0,154,0,28,18,291,
2021-06-20 00:00:00,136,2896,159,1665,0,33,0,953,
2020-12-29 00:00:00,2,565,2,14,0,31,1,517,
2020-05-17 00:00:00,0,63,0,3,0,0,0,61,
2022-03-01 00:00:00,8162,702622,0,0,7,20371,0,0,
2021-05-05 00:00:00,3,770,4,81,0,31,0,653,
2022-02-25 00:00:00,6575,663641,0,0,11,20332,0,0,
2021-07-25 00:00:00,4571,61331,5458,54975,0,266,0,1324,
2021-09-30 00:00:00,4374,391267,0,0,106,14953,0,1324,
2021-09-02 00:00:00,6006,237590,5804,113145,201,9794,0,1324,
2020-05-15 00:00:00,0,63,0,3,0,0,0,61,
2022-03-15 00:00:00,9580,824392,0,0,4,20474,0,0,
2022-04-28 00:00:00,310,947186,0,0,0,20536,0,0,
2021-09-24 00:00:00,3790,368493,0,0,141,14220,0,1324,
2022-01-28 00:00:00,1799,586072,0,0,9,20088,0,0,
2022-03-03 00:00:00,9350,720866,0,0,12,20391,0,0,
2020-10-21 00:00:00,0,481,0,5,0,31,0,441,
2021-01-09 00:00:00,0,571,0,11,0,31,2,526,
2022-02-21 00:00:00,3562,640734,0,0,7,20295,0,0,
2021-12-22 00:00:00,1699,518926,0,0,39,19348,0,0,
2020-12-22 00:00:00,0,561,0,20,0,31,6,506,
2020-07-02 00:00:00,0,69,0,2,0,0,0,67,
2020-07-22 00:00:00,0,69,0,0,0,0,0,69,
2020-07-24 00:00:00,0,69,0,0,0,0,0,69,
2020-10-17 00:00:00,1,479,1,3,0,31,0,441,
2021-08-17 00:00:00,3689,158763,213,76480,285,5245,0,1324,
2020-10-16 00:00:00,0,478,0,2,0,31,0,441,
2021-10-03 00:00:00,2462,400125,0,0,79,15251,0,1324,
2021-05-20 00:00:00,6,936,3,193,0,31,1,698,
2021-04-05 00:00:00,3,664,2,20,0,31,2,609,
2022-04-16 00:00:00,1162,941402,0,0,0,20536,0,0,
2021-03-04 00:00:00,0,645,0,11,0,31,2,600,
2021-07-28 00:00:00,4502,78235,53,64327,91,486,0,1324,
2021-01-04 00:00:00,2,570,2,14,0,31,0,522,
2020-03-28 00:00:00,1,51,0,0,0,0,0,6,
2022-03-07 00:00:00,7060,754782,0,0,8,20427,0,0,
2020-08-04 00:00:00,23,234,21,158,2,6,0,69,
2020-06-11 00:00:00,0,67,0,3,0,0,0,64,
2020-09-28 00:00:00,0,477,0,0,0,31,0,441,
2021-03-11 00:00:00,0,649,0,12,0,31,0,603,
2021-12-06 00:00:00,1503,493131,0,0,86,18486,0,0,
2022-01-08 00:00:00,1658,547654,0,0,12,19834,0,0,
2022-01-12 00:00:00,1995,555357,0,0,17,19902,0,0,
2022-02-04 00:00:00,1974,596512,0,0,10,20149,0,0,
2020-11-21 00:00:00,0,519,0,38,0,31,0,447,
2021-08-11 00:00:00,3472,135202,3210,79157,262,3625,0,1324,
2021-11-12 00:00:00,1500,450247,0,0,43,17205,0,0,
2021-05-19 00:00:00,2,930,0,190,0,31,0,697,
2021-10-18 00:00:00,969,421533,0,0,52,16345,0,1324,
2020-08-08 00:00:00,15,321,15,244,0,8,0,69,
2021-03-14 00:00:00,1,650,1,12,0,31,0,604,
2022-02-02 00:00:00,1276,594168,0,0,0,20120,0,0,
2021-10-23 00:00:00,759,427079,0,0,42,16551,0,1324,
2022-03-16 00:00:00,5501,829893,0,0,7,20481,0,0,
2020-09-16 00:00:00,0,477,0,16,0,31,3,420,
2022-01-22 00:00:00,2020,574564,0,0,9,20029,0,0,
2020-09-06 00:00:00,0,477,0,78,0,31,10,364,
2020-10-18 00:00:00,0,479,0,3,0,31,0,441,
