date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,2,1040,4,367,1,30,5,642,
2020-11-13 00:00:00,3,1259,2,120,0,35,8,1100,
2021-09-18 00:00:00,9277,674465,0,0,219,16666,0,8619,
2020-04-20 00:00:00,0,281,0,54,0,0,12,217,
2020-08-30 00:00:00,0,1044,0,310,0,32,18,699,
2021-06-20 00:00:00,495,13567,216,7684,0,64,0,5553,
2020-12-29 00:00:00,3,1456,3,97,0,35,1,1318,
2020-05-17 00:00:00,2,333,2,60,0,0,0,266,
2022-03-01 00:00:00,95352,3440823,0,0,84,39436,0,0,
2021-05-05 00:00:00,26,3013,35,347,0,35,0,2553,
2022-02-25 00:00:00,77094,3019329,0,0,77,39065,0,0,
2021-07-25 00:00:00,7511,97549,8515,80242,0,370,0,8619,
2021-09-30 00:00:00,7911,833327,0,0,219,19125,0,8619,
2021-09-02 00:00:00,13180,484295,11351,226948,271,12135,0,8619,
2020-05-15 00:00:00,25,326,25,53,0,0,0,266,
2022-03-15 00:00:00,166047,6381149,0,0,64,40605,0,0,
2022-04-28 00:00:00,6893,10260758,0,0,8,41993,0,0,
2021-09-24 00:00:00,8378,734240,0,0,203,18028,0,8619,
2022-01-28 00:00:00,14524,2134343,0,0,138,36645,0,0,
2022-03-03 00:00:00,114378,3760268,0,0,94,39644,0,0,
2020-10-21 00:00:00,3,1148,4,60,0,35,0,1046,
2021-01-09 00:00:00,1,1515,1,113,0,35,4,1360,
2022-02-21 00:00:00,45898,2739042,0,0,102,38722,0,0,
2021-12-22 00:00:00,14915,1542036,0,0,204,30017,0,0,
2020-12-22 00:00:00,6,1422,5,101,0,35,12,1280,
2020-07-02 00:00:00,0,361,0,15,0,0,4,342,
2020-07-22 00:00:00,5,405,5,35,0,0,0,367,
2020-07-24 00:00:00,1,417,1,47,0,0,0,367,
2020-10-17 00:00:00,2,1130,2,56,0,35,0,1031,
2021-08-17 00:00:00,9603,291266,6000,176728,331,6469,0,8619,
2020-10-16 00:00:00,0,1128,0,54,0,35,1,1031,
2021-10-03 00:00:00,5317,850776,0,0,114,19705,0,8619,
2021-05-20 00:00:00,221,4758,98,1929,2,39,2,2682,
2021-04-05 00:00:00,6,2631,5,161,0,35,32,2412,
2022-04-16 00:00:00,17787,10061887,0,0,10,41894,0,0,
2021-03-04 00:00:00,6,2486,4,526,0,35,23,1919,
2021-07-28 00:00:00,6546,119420,2063,94632,106,628,0,8619,
2021-01-04 00:00:00,3,1499,3,118,0,35,0,1338,
2020-03-28 00:00:00,5,117,0,0,0,0,1,21,
2022-03-07 00:00:00,141786,4446130,0,0,78,39983,0,0,
2020-08-04 00:00:00,30,676,28,286,2,8,4,379,
2020-06-11 00:00:00,0,343,0,11,0,0,1,323,
2020-09-28 00:00:00,4,1083,3,37,0,35,0,1000,
2021-03-11 00:00:00,4,2531,2,425,0,35,43,2046,
2021-12-06 00:00:00,13083,1296602,0,0,210,26372,0,0,
2022-01-08 00:00:00,15550,1811795,0,0,223,33738,0,0,
2022-01-12 00:00:00,15163,1890240,0,0,171,34550,0,0,
2022-02-04 00:00:00,11346,2229948,0,0,77,37321,0,0,
2020-11-21 00:00:00,1,1309,1,126,0,35,0,1141,
2021-08-11 00:00:00,8755,234972,7751,159326,342,4485,0,8619,
2021-11-12 00:00:00,8555,1040669,0,0,80,22893,0,0,
2021-05-19 00:00:00,66,4537,162,1831,0,37,0,2680,
2021-10-18 00:00:00,3035,906402,0,0,72,21246,0,8619,
2020-08-08 00:00:00,21,813,21,404,0,10,0,396,
2021-03-14 00:00:00,1,2552,1,407,0,35,0,2084,
2022-02-02 00:00:00,8587,2210520,0,0,0,36971,0,0,
2021-10-23 00:00:00,3295,923124,0,0,75,21594,0,8619,
2022-03-16 00:00:00,171542,6609524,0,0,57,40662,0,0,
2020-09-16 00:00:00,0,1069,0,82,0,35,5,938,
2022-01-22 00:00:00,15128,2045420,0,0,144,35854,0,0,
2020-09-06 00:00:00,0,1056,0,196,0,35,10,821,
2020-10-18 00:00:00,7,1138,8,64,0,35,0,1031,
2021-07-15 00:00:00,853,31234,5919,31363,75,207,71,8555,
2021-02-14 00:00:00,33,2226,33,655,0,35,3,1531,
2022-03-31 00:00:00,77960,9258819,0,0,37,41482,0,0,
2021-06-08 00:00:00,0,9110,160,5353,0,55,0,3668,
2021-01-23 00:00:00,0,1550,2,99,0,35,0,1410,
2021-09-29 00:00:00,8647,825506,0,0,160,18906,0,8619,
2021-08-22 00:00:00,11359,345935,8268,182863,737,8274,0,8619,
2022-03-21 00:00:00,125799,7834639,0,0,67,40993,0,0,
2021-08-03 00:00:00,8342,168460,5453,125586,377,2068,0,8619,
2021-05-21 00:00:00,125,4883,122,1993,2,41,0,2682,
2021-12-25 00:00:00,14576,1586031,0,0,230,30742,0,0,
2021-05-10 00:00:00,126,3449,41,717,0,35,16,2611,
2021-11-09 00:00:00,7780,1059034,0,0,87,22650,0,8619,
2021-03-18 00:00:00,3,2568,3,318,0,35,0,2196,
2022-03-11 00:00:00,160813,5283027,0,0,69,40307,0,0,
2022-04-27 00:00:00,7800,10252132,0,0,1,41987,0,0,
2021-11-23 00:00:00,10619,1180337,0,0,164,24067,0,0,
2022-03-06 00:00:00,137222,4295323,0,0,85,39905,0,0,
2020-09-19 00:00:00,0,1073,0,78,0,35,1,943,
2020-06-03 00:00:00,0,339,0,26,0,0,4,304,
2020-10-27 00:00:00,3,1176,3,71,0,35,1,1062,
2021-08-16 00:00:00,8634,281663,5990,170773,368,6138,0,8619,
2022-03-18 00:00:00,155868,7141142,0,0,54,40791,0,0,
2020-12-18 00:00:00,3,1412,3,106,0,35,3,1265,
2022-03-17 00:00:00,170369,6955750,0,0,31325,71987,0,0,
2021-11-14 00:00:00,7779,1056139,0,0,64,23045,0,0,
2022-03-19 00:00:00,144006,7559271,0,0,76,40867,0,0,
2021-09-19 00:00:00,9984,684449,0,0,233,16899,0,8619,
2021-01-19 00:00:00,1,1542,1,100,0,35,0,1401,
2021-07-10 00:00:00,1620,23115,1249,16253,1,105,0,7997,
2020-10-13 00:00:00,3,1117,3,48,0,35,1,1026,
2021-02-15 00:00:00,41,2267,16,665,0,35,14,1545,
2021-12-20 00:00:00,13591,1512795,0,0,215,29569,0,0,
2021-01-21 00:00:00,2,1548,0,95,0,35,5,1410,
2020-12-20 00:00:00,2,1415,2,106,0,35,0,1268,
2021-06-19 00:00:00,208,13567,212,7479,2,64,317,5553,
2021-11-20 00:00:00,8879,1111508,0,0,105,23640,0,0,
2022-02-22 00:00:00,54783,2793747,0,0,71,38793,0,0,
2020-05-25 00:00:00,1,337,1,54,0,0,5,274,
2020-12-12 00:00:00,4,1397,4,119,0,35,0,1237,
2021-11-18 00:00:00,9829,1093563,0,0,139,23433,0,0,
2021-03-01 00:00:00,13,2459,5,527,0,35,16,1890,
2020-11-25 00:00:00,5,1324,5,130,0,35,0,1152,
2022-02-15 00:00:00,31266,2481128,0,0,84,38250,0,0,
2021-07-14 00:00:00,1071,30381,2784,26099,27,132,217,8484,
2020-04-13 00:00:00,12,278,120,120,0,0,3,149,
2020-07-17 00:00:00,1,387,0,24,0,0,4,359,
2021-07-07 00:00:00,1606,21501,459,11889,1,98,0,7997,
2022-01-25 00:00:00,15302,2089229,0,0,118,36240,0,0,
2022-04-20 00:00:00,12905,10145190,0,0,7,41939,0,0,
2020-09-29 00:00:00,17,1100,17,47,0,35,8,1008,
2020-04-15 00:00:00,1,278,1,98,0,0,1,171,
2022-02-06 00:00:00,13832,2255679,0,0,61,37493,0,0,
2022-03-29 00:00:00,84120,9087067,0,0,54,41406,0,0,
2021-07-06 00:00:00,15,19895,1036,11633,7,97,0,7997,
2020-05-16 00:00:00,5,331,5,58,0,0,0,266,
2021-01-16 00:00:00,1,1539,1,122,0,35,0,1379,
2021-04-04 00:00:00,5,2625,2,186,0,35,0,2380,
2021-08-26 00:00:00,11566,390735,10829,199380,318,9664,0,8619,
2020-05-01 00:00:00,0,283,0,51,0,0,0,232,
2021-03-23 00:00:00,1,2574,0,279,0,35,13,2243,
2022-01-14 00:00:00,15160,1921194,0,0,171,34851,0,0,
2021-10-14 00:00:00,4097,894078,0,0,81,20932,0,8619,
2022-04-30 00:00:00,5022,10271518,0,0,3,41997,0,0,
2021-11-27 00:00:00,12245,1180619,0,0,147,24635,0,0,
2020-10-14 00:00:00,9,1126,9,54,0,35,3,1029,
2020-06-22 00:00:00,0,355,0,21,0,0,1,330,
2021-05-24 00:00:00,185,5342,210,2403,2,44,73,2784,
2021-05-29 00:00:00,459,6790,217,3675,0,47,0,2887,
2020-03-27 00:00:00,8,112,0,0,0,0,3,20,
2021-08-15 00:00:00,9545,273029,4970,164795,336,5770,0,8619,
2020-08-29 00:00:00,2,1044,1,328,2,32,14,681,
2020-11-26 00:00:00,10,1334,10,127,0,35,13,1165,
2022-04-05 00:00:00,53188,9637499,0,0,39,41662,0,0,
2021-10-13 00:00:00,3377,890071,0,0,106,20851,0,8619,
2021-08-09 00:00:00,9307,217867,9160,147150,360,3755,0,8619,
2021-10-24 00:00:00,3801,926827,0,0,53,21647,0,8619,
2020-12-13 00:00:00,2,1399,0,118,0,35,3,1240,
2020-07-14 00:00:00,0,378,0,20,0,0,2,354,
2020-12-15 00:00:00,3,1407,3,115,0,35,6,1251,
2021-10-26 00:00:00,3526,933634,0,0,63,21775,0,8619,
2020-05-12 00:00:00,0,301,0,36,0,0,3,258,
2020-12-02 00:00:00,7,1361,6,119,0,35,6,1200,
2021-11-06 00:00:00,7166,992453,0,0,56,22437,0,8619,
2020-06-18 00:00:00,7,353,7,17,0,0,0,327,
2020-04-18 00:00:00,0,281,0,67,0,0,3,203,
2020-07-23 00:00:00,11,416,11,46,0,0,0,367,
2021-03-30 00:00:00,0,2592,0,181,0,35,51,2356,
2020-11-18 00:00:00,12,1303,12,138,0,35,0,1123,
2021-08-25 00:00:00,12059,379172,5360,188551,335,9346,0,8619,
2021-02-06 00:00:00,5,1979,8,477,0,35,3,1467,
2020-11-06 00:00:00,5,1215,3,104,0,35,0,1069,
2022-04-04 00:00:00,47239,9584311,0,0,40,41623,0,0,
2021-05-23 00:00:00,131,5157,90,2200,1,42,0,2711,
2021-12-18 00:00:00,14128,1484518,0,0,182,29140,0,0,
2020-06-24 00:00:00,3,358,3,23,0,0,1,331,
2021-10-19 00:00:00,2968,909267,0,0,74,21320,0,8619,
2022-01-05 00:00:00,16081,1756096,0,0,221,33140,0,0,
2021-03-17 00:00:00,7,2565,7,317,0,35,40,2196,
2020-06-27 00:00:00,2,361,2,25,0,0,0,332,
2020-10-26 00:00:00,1,1173,1,69,0,35,4,1061,
2021-08-23 00:00:00,10389,356315,7355,190030,389,8663,0,8619,
2020-08-18 00:00:00,13,993,4,437,2,26,59,527,
2021-07-29 00:00:00,7535,126955,8497,103129,233,861,0,8619,
2022-04-06 00:00:00,46745,9693544,0,0,30,41692,0,0,
2020-05-04 00:00:00,0,284,0,50,0,0,2,234,
2022-01-26 00:00:00,15398,2104696,0,0,148,36388,0,0,
2022-02-01 00:00:00,10783,2201912,0,0,0,36971,0,0,
2021-04-17 00:00:00,9,2772,7,209,0,35,0,2471,
2021-10-11 00:00:00,3525,883966,0,0,115,20653,0,8619,
2021-11-21 00:00:00,9310,1120818,0,0,75,23715,0,0,
2020-09-02 00:00:00,6,1053,2,259,0,34,12,757,
2021-03-22 00:00:00,3,2573,2,289,0,35,34,2230,
2020-11-11 00:00:00,26,1255,29,127,0,35,4,1090,
2021-01-18 00:00:00,2,1541,1,99,0,35,22,1401,
2022-03-02 00:00:00,106125,3588520,0,0,114,39550,0,0,
2022-02-17 00:00:00,35628,2550828,0,0,88,38402,0,0,
2021-08-31 00:00:00,12526,459689,9327,212543,0,11061,0,8619,
2021-06-15 00:00:00,192,13564,284,6413,0,59,300,5553,
2020-12-04 00:00:00,0,1364,0,103,0,35,11,1219,
2020-06-08 00:00:00,1,343,1,16,0,0,9,318,
2021-08-30 00:00:00,14214,447163,4231,203499,315,11061,0,8619,
2020-07-25 00:00:00,4,421,4,34,0,0,0,367,
2021-09-10 00:00:00,13243,588118,4157,222849,270,14690,0,8619,
2020-04-27 00:00:00,0,283,3,48,0,0,0,231,
2020-12-30 00:00:00,2,1458,2,95,0,35,4,1322,
2020-06-02 00:00:00,0,339,0,30,0,0,5,300,
