date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,2,1041,4,367,1,30,5,643,
2020-11-13 00:00:00,3,1260,2,120,0,35,8,1101,
2021-09-18 00:00:00,9280,674812,0,0,219,16670,0,8679,
2020-04-20 00:00:00,0,281,0,54,0,0,12,217,
2020-08-30 00:00:00,0,1045,0,310,0,32,18,700,
2021-06-20 00:00:00,495,13637,216,7729,0,64,0,5584,
2020-12-29 00:00:00,3,1457,3,97,0,35,1,1319,
2020-05-17 00:00:00,2,333,2,60,0,0,0,266,
2022-03-01 00:00:00,97883,3517316,0,0,85,39741,0,0,
2021-05-05 00:00:00,26,3024,35,351,0,35,0,2560,
2022-02-25 00:00:00,78543,3088178,0,0,77,39368,0,0,
2021-07-25 00:00:00,7511,97640,8515,80264,0,370,0,8679,
2021-09-30 00:00:00,7911,833764,0,0,219,19130,0,8679,
2021-09-02 00:00:00,13191,484520,11362,227070,271,12136,0,8679,
2020-05-15 00:00:00,25,326,25,53,0,0,0,266,
2022-03-15 00:00:00,173819,6526905,0,0,67,40936,0,0,
2022-04-28 00:00:00,6991,10494185,0,0,8,42370,0,0,
2021-09-24 00:00:00,8384,734644,0,0,203,18032,0,8679,
2022-01-28 00:00:00,14751,2192178,0,0,139,36929,0,0,
2022-03-03 00:00:00,117929,3843064,0,0,94,39949,0,0,
2020-10-21 00:00:00,3,1149,4,60,0,35,0,1047,
2021-01-09 00:00:00,1,1516,1,113,0,35,4,1361,
2022-02-21 00:00:00,46540,2803494,0,0,102,39020,0,0,
2021-12-22 00:00:00,16108,1570730,0,0,209,30124,0,0,
2020-12-22 00:00:00,6,1423,5,101,0,35,12,1281,
2020-07-02 00:00:00,0,361,0,15,0,0,4,342,
2020-07-22 00:00:00,5,406,5,36,0,0,0,367,
2020-07-24 00:00:00,1,418,1,48,0,0,0,367,
2020-10-17 00:00:00,2,1131,2,56,0,35,0,1032,
