date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,2,1041,4,367,1,30,5,643,
2020-11-13 00:00:00,3,1260,2,120,0,35,8,1101,
2021-09-18 00:00:00,9350,675404,0,0,219,16670,0,8679,
2020-04-20 00:00:00,0,281,0,54,0,0,12,217,
2020-08-30 00:00:00,0,1045,0,310,0,32,18,700,
2021-06-20 00:00:00,495,13637,216,7729,0,64,0,5584,
2020-12-29 00:00:00,3,1457,3,97,0,35,1,1319,
2020-05-17 00:00:00,2,333,2,60,0,0,0,266,
2022-03-01 00:00:00,98738,3532950,0,0,86,39779,0,0,
2021-05-05 00:00:00,26,3024,35,351,0,35,0,2560,
2022-02-25 00:00:00,78763,3101409,0,0,77,39404,0,0,
2021-07-25 00:00:00,7515,97676,8524,80307,0,370,0,8679,
2021-09-30 00:00:00,7921,834491,0,0,219,19131,0,8679,
2021-09-02 00:00:00,13195,484812,11366,227246,271,12136,0,8679,
2020-05-15 00:00:00,25,326,25,53,0,0,0,266,
2022-03-15 00:00:00,175446,6559699,0,0,67,40979,0,0,
2022-04-28 00:00:00,7114,10566713,0,0,8,42417,0,0,
2021-09-24 00:00:00,8388,735341,0,0,203,18033,0,8679,
2022-01-28 00:00:00,14854,2200277,0,0,139,36951,0,0,
2022-03-03 00:00:00,118765,3860925,0,0,95,39988,0,0,
2020-10-21 00:00:00,3,1149,4,60,0,35,0,1047,
2021-01-09 00:00:00,1,1516,1,113,0,35,4,1361,
2022-02-21 00:00:00,46858,2815756,0,0,104,39054,0,0,
2021-12-22 00:00:00,16179,1574950,0,0,209,30136,0,0,
2020-12-22 00:00:00,6,1423,5,101,0,35,12,1281,
2020-07-02 00:00:00,0,361,0,15,0,0,4,342,
2020-07-22 00:00:00,5,406,5,36,0,0,0,367,
2020-07-24 00:00:00,1,418,1,48,0,0,0,367,
2020-10-17 00:00:00,2,1131,2,56,0,35,0,1032,
