date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,1,476,0,202,1,26,4,245,
2020-11-13 00:00:00,3,514,2,32,0,31,0,447,
2021-09-18 00:00:00,4237,336997,0,0,165,13190,0,1325,
2020-04-20 00:00:00,0,64,0,4,0,0,2,59,
2020-08-30 00:00:00,0,478,0,154,0,28,18,292,
2021-06-20 00:00:00,136,2898,159,1665,0,33,0,954,
2020-12-29 00:00:00,2,567,2,14,0,31,1,518,
2020-05-17 00:00:00,0,65,0,3,0,0,0,62,
2022-03-01 00:00:00,10925,724758,0,0,9,20389,0,0,
2021-05-05 00:00:00,3,772,4,81,0,31,0,654,
2022-02-25 00:00:00,8112,677422,0,0,13,20347,0,0,
2021-07-25 00:00:00,4571,61333,5458,54976,0,266,0,1325,
2021-09-30 00:00:00,4374,391269,0,0,106,14953,0,1325,
2021-09-02 00:00:00,6006,237592,5804,113145,201,9794,0,1325,
2020-05-15 00:00:00,0,65,0,3,0,0,0,62,
2022-03-15 00:00:00,15229,904860,0,0,4,20499,0,0,
2022-04-28 00:00:00,513,1114626,0,0,0,20593,0,0,
2021-09-24 00:00:00,3790,368495,0,0,141,14220,0,1325,
2022-01-28 00:00:00,1875,588839,0,0,9,20090,0,0,
2022-03-03 00:00:00,11188,747429,0,0,14,20411,0,0,
2020-10-21 00:00:00,0,483,0,5,0,31,0,442,
2021-01-09 00:00:00,0,573,0,11,0,31,2,527,
2022-02-21 00:00:00,4250,649501,0,0,8,20306,0,0,
2021-12-22 00:00:00,1708,519252,0,0,39,19349,0,0,
2020-12-22 00:00:00,0,563,0,20,0,31,6,507,
2020-07-02 00:00:00,0,71,0,2,0,0,0,68,
2020-07-22 00:00:00,0,71,0,0,0,0,0,70,
2020-07-24 00:00:00,0,71,0,0,0,0,0,70,
2020-10-17 00:00:00,1,481,1,3,0,31,0,442,
2021-08-17 00:00:00,3689,158765,213,76481,285,5245,0,1325,
2020-10-16 00:00:00,0,480,0,2,0,31,0,442,
2021-10-03 00:00:00,2462,400127,0,0,79,15251,0,1325,
2021-05-20 00:00:00,6,938,3,193,0,31,1,699,
2021-04-05 00:00:00,3,666,2,20,0,31,2,610,
2022-04-16 00:00:00,1643,1105184,0,0,0,20592,0,0,
2021-03-04 00:00:00,0,647,0,11,0,31,2,601,
2021-07-28 00:00:00,4502,78237,53,64328,91,486,0,1325,
2021-01-04 00:00:00,2,572,2,14,0,31,0,523,
2020-03-28 00:00:00,1,52,0,0,0,0,0,6,
2022-03-07 00:00:00,11033,797861,0,0,9,20450,0,0,
2020-08-04 00:00:00,23,236,21,158,2,6,0,70,
2020-06-11 00:00:00,0,69,0,3,0,0,0,65,
2020-09-28 00:00:00,0,479,0,0,0,31,0,442,
2021-03-11 00:00:00,0,651,0,12,0,31,0,604,
2021-12-06 00:00:00,1510,493365,0,0,86,18487,0,0,
2022-01-08 00:00:00,1718,548817,0,0,12,19835,0,0,
2022-01-12 00:00:00,2061,556800,0,0,17,19903,0,0,
2022-02-04 00:00:00,2009,599642,0,0,10,20153,0,0,
2020-11-21 00:00:00,0,521,0,38,0,31,0,448,
2021-08-11 00:00:00,3472,135204,3210,79158,262,3625,0,1325,
2021-11-12 00:00:00,1500,450287,0,0,43,17205,0,0,
2021-05-19 00:00:00,2,932,0,190,0,31,0,698,
2021-10-18 00:00:00,969,421541,0,0,52,16345,0,1325,
2020-08-08 00:00:00,15,323,15,244,0,8,0,70,
2021-03-14 00:00:00,1,652,1,12,0,31,0,605,
2022-02-02 00:00:00,1312,597228,0,0,0,20122,0,0,
2021-10-23 00:00:00,759,427088,0,0,42,16551,0,1325,
2022-03-16 00:00:00,10731,915592,0,0,7,20506,0,0,
2020-09-16 00:00:00,0,479,0,16,0,31,3,421,
2022-01-22 00:00:00,2102,576763,0,0,9,20031,0,0,
2020-09-06 00:00:00,0,479,0,78,0,31,10,365,
2020-10-18 00:00:00,0,481,0,3,0,31,0,442,
2021-07-15 00:00:00,625,15454,5136,23776,72,136,0,1302,
2021-02-14 00:00:00,0,644,0,61,0,31,0,548,
2022-03-31 00:00:00,7096,1051610,0,0,5,20572,0,0,
2021-06-08 00:00:00,0,1431,39,564,0,33,0,830,
2021-01-23 00:00:00,0,588,2,21,0,31,0,534,
2021-09-29 00:00:00,4700,386895,0,0,113,14847,0,1325,
2021-08-22 00:00:00,4596,179678,3777,83773,599,6719,0,1325,
2022-03-21 00:00:00,8788,968863,0,0,4,20535,0,0,
2021-08-03 00:00:00,4237,104118,1327,71787,334,1714,0,1325,
2021-05-21 00:00:00,2,940,0,184,1,32,0,699,
2021-12-25 00:00:00,1659,523255,0,0,35,19455,0,0,
2021-05-10 00:00:00,19,832,0,115,0,31,9,678,
2021-11-09 00:00:00,1441,445953,0,0,38,17081,0,1325,
2021-03-18 00:00:00,0,652,0,11,0,31,0,606,
2022-03-11 00:00:00,12825,853731,0,0,4,20479,0,0,
2022-04-27 00:00:00,692,1113799,0,0,0,20593,0,0,
2021-11-23 00:00:00,1357,465966,0,0,62,17682,0,0,
2022-03-06 00:00:00,16041,786827,0,0,10,20441,0,0,
2020-09-19 00:00:00,0,479,0,12,0,31,1,425,
2020-06-03 00:00:00,0,68,0,5,0,0,0,62,
2020-10-27 00:00:00,0,483,0,4,0,31,0,443,
2021-08-16 00:00:00,3437,155076,3122,76268,315,4960,0,1325,
2022-03-18 00:00:00,11827,940798,0,0,6,20516,0,0,
2020-12-18 00:00:00,0,562,0,27,0,31,1,499,
2022-03-17 00:00:00,13378,928971,0,0,4,20510,0,0,
2021-11-14 00:00:00,1062,452687,0,0,23,17266,0,0,
2022-03-19 00:00:00,10289,951088,0,0,12,20528,0,0,
2021-09-19 00:00:00,5498,342495,0,0,182,13372,0,1325,
2021-01-19 00:00:00,1,583,1,15,0,31,0,533,
2021-07-10 00:00:00,1230,9464,799,10864,0,54,0,1233,
2020-10-13 00:00:00,0,480,0,2,0,31,0,442,
2021-02-15 00:00:00,0,644,0,57,0,31,6,554,
2021-12-20 00:00:00,1013,516226,0,0,51,19264,0,0,
2021-01-21 00:00:00,0,587,0,18,0,31,1,534,
2020-12-20 00:00:00,1,563,1,26,0,31,0,501,
2021-06-19 00:00:00,105,2898,136,1506,0,33,6,954,
2021-11-20 00:00:00,1198,461427,0,0,42,17511,0,0,
2022-02-22 00:00:00,5314,654729,0,0,6,20312,0,0,
2020-05-25 00:00:00,1,68,1,5,0,0,0,62,
2020-12-12 00:00:00,1,560,1,38,0,31,0,486,
2021-11-18 00:00:00,1894,458776,0,0,42,17414,0,0,
2021-03-01 00:00:00,0,647,0,14,0,31,3,599,
2020-11-25 00:00:00,4,528,4,40,0,31,0,453,
2022-02-15 00:00:00,2997,626859,0,0,9,20238,0,0,
2021-07-14 00:00:00,900,14829,2159,18640,10,64,41,1302,
2020-04-13 00:00:00,1,63,18,18,0,0,0,45,
2020-07-17 00:00:00,0,71,0,0,0,0,0,70,
2021-07-07 00:00:00,1080,8234,198,7656,0,48,0,1233,
2022-01-25 00:00:00,1967,582804,0,0,12,20061,0,0,
2022-04-20 00:00:00,927,1109717,0,0,0,20592,0,0,
2020-09-29 00:00:00,0,479,0,0,0,31,0,442,
2020-04-15 00:00:00,0,63,0,10,0,0,1,52,
2022-02-06 00:00:00,1640,602579,0,0,10,20173,0,0,
2022-03-29 00:00:00,7760,1037229,0,0,3,20565,0,0,
2021-07-06 00:00:00,0,7154,748,7458,2,48,0,1233,
2020-05-16 00:00:00,0,65,0,3,0,0,0,62,
2021-01-16 00:00:00,0,581,0,16,0,31,0,531,
2021-04-04 00:00:00,0,663,0,19,0,31,0,608,
2021-08-26 00:00:00,4078,198407,3751,95256,242,7865,0,1325,
2020-05-01 00:00:00,0,64,0,5,0,0,0,62,
2021-03-23 00:00:00,0,654,0,12,0,31,1,607,
2022-01-14 00:00:00,1896,560815,0,0,15,19934,0,0,
2021-10-14 00:00:00,911,417547,0,0,61,16136,0,1325,
2022-04-30 00:00:00,306,1115432,0,0,0,20593,0,0,
2021-11-27 00:00:00,2036,473668,0,0,58,17904,0,0,
2020-10-14 00:00:00,0,480,0,2,0,31,0,442,
2020-06-22 00:00:00,0,70,0,2,0,0,1,67,
2021-05-24 00:00:00,2,944,2,183,0,32,3,711,
2021-05-29 00:00:00,54,1038,37,251,0,32,0,727,
2020-03-27 00:00:00,4,51,0,0,0,0,3,6,
2021-08-15 00:00:00,4599,151639,83,73146,282,4645,0,1325,
2020-08-29 00:00:00,1,478,0,172,2,28,6,274,
2020-11-26 00:00:00,10,538,10,50,0,31,0,453,
2022-04-05 00:00:00,5995,1076159,0,0,0,20579,0,0,
2021-10-13 00:00:00,1315,416636,0,0,73,16075,0,1325,
2021-08-09 00:00:00,4053,127701,4051,71727,269,3054,0,1325,
2021-10-24 00:00:00,1045,428133,0,0,30,16581,0,1325,
2020-12-13 00:00:00,2,562,0,38,0,31,2,488,
2020-07-14 00:00:00,0,71,0,0,0,0,0,70,
2020-12-15 00:00:00,0,562,0,33,0,31,0,493,
2021-10-26 00:00:00,815,429941,0,0,27,16648,0,1325,
2020-05-12 00:00:00,0,65,0,3,0,0,3,62,
2020-12-02 00:00:00,1,548,1,45,0,31,4,467,
2021-11-06 00:00:00,1170,441879,0,0,32,16977,0,1325,
2020-06-18 00:00:00,0,70,0,4,0,0,0,65,
2020-04-18 00:00:00,0,64,0,6,0,0,3,57,
2020-07-23 00:00:00,0,71,0,0,0,0,0,70,
2021-03-30 00:00:00,0,659,0,15,0,31,1,608,
2020-11-18 00:00:00,6,521,6,39,0,31,0,447,
2021-08-25 00:00:00,5457,194329,2978,91505,269,7623,0,1325,
2021-02-06 00:00:00,1,603,1,28,0,31,0,540,
2020-11-06 00:00:00,0,484,0,6,0,31,0,443,
2022-04-04 00:00:00,3294,1070164,0,0,1,20579,0,0,
2021-05-23 00:00:00,1,942,0,181,0,32,0,708,
2021-12-18 00:00:00,1485,513564,0,0,0,19161,0,0,
2020-06-24 00:00:00,0,70,0,2,0,0,0,67,
2021-10-19 00:00:00,910,422451,0,0,47,16392,0,1325,
2022-01-05 00:00:00,1746,543098,0,0,20,19784,0,0,
2021-03-17 00:00:00,0,652,0,11,0,31,0,606,
2020-06-27 00:00:00,0,71,0,3,0,0,0,67,
2020-10-26 00:00:00,0,483,0,4,0,31,0,443,
2021-08-23 00:00:00,4403,184081,2129,85902,343,7062,0,1325,
2020-08-18 00:00:00,4,442,0,267,2,22,28,152,
2021-07-29 00:00:00,4648,82885,4484,68812,189,675,0,1325,
2022-04-06 00:00:00,4565,1080724,0,0,1,20580,0,0,
2020-05-04 00:00:00,0,65,0,6,0,0,0,62,
2022-01-26 00:00:00,2017,584859,0,0,10,20071,0,0,
2022-02-01 00:00:00,1576,595916,0,0,0,20122,0,0,
2021-04-17 00:00:00,1,717,1,59,0,31,0,619,
2021-10-11 00:00:00,1527,414296,0,0,75,15938,0,1325,
2021-11-21 00:00:00,1434,462861,0,0,0,17511,0,0,
2020-09-02 00:00:00,1,479,0,119,0,30,9,326,
2021-03-22 00:00:00,1,654,1,13,0,31,0,606,
2020-11-11 00:00:00,26,511,27,30,0,31,0,447,
2021-01-18 00:00:00,1,582,1,14,0,31,2,533,
2022-03-02 00:00:00,11482,736240,0,0,8,20397,0,0,
2022-02-17 00:00:00,3346,633566,0,0,12,20257,0,0,
2021-08-31 00:00:00,5570,226163,2515,105951,0,8931,0,1325,
2021-06-15 00:00:00,52,2898,89,1002,0,33,24,954,
2020-12-04 00:00:00,0,550,0,41,0,31,0,473,
2020-06-08 00:00:00,0,69,0,5,0,0,1,63,
2021-08-30 00:00:00,5943,220593,1026,103450,246,8931,0,1325,
2020-07-25 00:00:00,1,72,1,1,0,0,0,70,
2021-09-10 00:00:00,7569,292133,2791,126855,198,11688,0,1325,
2020-04-27 00:00:00,0,64,2,4,0,0,0,61,
2020-12-30 00:00:00,1,568,1,12,0,31,3,521,
2020-06-02 00:00:00,0,68,0,5,0,0,0,62,
2021-06-05 00:00:00,31,1295,31,452,0,33,9,798,
2021-09-23 00:00:00,5055,364705,0,0,175,14079,0,1325,
2022-04-19 00:00:00,1582,1108790,0,0,0,20592,0,0,
2020-04-06 00:00:00,0,60,0,0,0,0,1,27,
2021-06-01 00:00:00,70,1170,19,350,0,32,4,758,
2020-09-30 00:00:00,0,479,0,0,0,31,0,442,
2020-11-12 00:00:00,0,511,0,30,0,31,0,447,
2020-11-08 00:00:00,0,484,0,0,0,31,0,443,
2022-04-15 00:00:00,1802,1103541,0,0,1,20592,0,0,
2022-03-28 00:00:00,6972,1029536,0,0,1,20562,0,0,
2020-09-08 00:00:00,0,479,0,58,0,31,6,385,
2021-08-29 00:00:00,5065,214650,4803,102426,259,8685,0,1325,
2022-01-20 00:00:00,2125,572464,0,0,15,20007,0,0,
2020-10-25 00:00:00,0,483,0,4,0,31,0,443,
2021-08-08 00:00:00,4028,123648,68,67676,420,2785,0,1325,
2021-01-28 00:00:00,7,597,8,28,0,31,0,537,
2020-09-21 00:00:00,0,479,0,10,0,31,2,427,
2021-12-19 00:00:00,1649,515213,0,0,52,19213,0,0,
2020-11-14 00:00:00,0,514,0,32,0,31,0,447,
2021-06-06 00:00:00,31,1326,33,472,0,33,7,805,
2021-07-01 00:00:00,311,5251,246,4237,0,43,68,1109,
2021-04-19 00:00:00,4,721,4,63,0,31,0,619,
2021-12-13 00:00:00,1306,505714,0,0,66,18929,0,0,
2020-04-01 00:00:00,0,56,0,0,0,0,4,18,
2021-01-31 00:00:00,0,600,0,29,0,31,0,538,
2020-07-10 00:00:00,0,71,0,0,0,0,1,70,
2021-03-05 00:00:00,0,647,0,11,0,31,0,601,
2022-01-18 00:00:00,2487,568970,0,0,14,19984,0,0,
2021-04-27 00:00:00,0,745,0,77,0,31,0,629,
2020-07-11 00:00:00,0,71,0,0,0,0,0,70,
2022-02-16 00:00:00,3359,630218,0,0,7,20245,0,0,
2021-11-10 00:00:00,1539,447492,0,0,43,17124,0,1325,
2021-05-15 00:00:00,1,900,7,178,0,31,4,691,
2021-04-13 00:00:00,7,693,5,39,0,31,0,614,
2021-08-02 00:00:00,4340,99881,3811,70460,354,1380,0,1325,
2022-03-12 00:00:00,14533,868265,0,0,4,20483,0,0,
2021-03-21 00:00:00,0,653,0,0,0,31,0,606,
2021-10-12 00:00:00,1025,415321,0,0,64,16002,0,1325,
2021-02-10 00:00:00,2,638,0,59,0,31,5,547,
2022-02-13 00:00:00,2836,620925,0,0,13,20216,0,0,
2021-04-01 00:00:00,0,662,0,18,0,31,0,608,
2021-08-12 00:00:00,3928,139132,1647,80805,227,3852,0,1325,
2021-11-26 00:00:00,2055,471632,0,0,51,17846,0,0,
2021-11-13 00:00:00,1338,451625,0,0,38,17243,0,0,
2021-06-24 00:00:00,171,3223,240,2356,0,35,0,954,
2020-12-31 00:00:00,2,570,2,13,0,31,1,522,
2021-10-07 00:00:00,1731,407803,0,0,92,15629,0,1325,
2021-03-31 00:00:00,3,662,3,18,0,31,0,608,
2021-10-08 00:00:00,2215,410018,0,0,78,15707,0,1325,
2020-05-29 00:00:00,0,68,0,5,0,0,0,62,
2022-01-02 00:00:00,2595,536716,0,0,53,19718,0,0,
2020-09-15 00:00:00,0,479,0,19,0,31,4,418,
2022-04-03 00:00:00,3342,1066870,0,0,1,20578,0,0,
2021-08-28 00:00:00,5590,209585,1429,97623,272,8426,0,1325,
2020-07-06 00:00:00,0,71,0,1,0,0,1,69,
2020-07-20 00:00:00,0,71,0,0,0,0,0,70,
2022-02-09 00:00:00,2776,609303,0,0,6,20182,0,0,
2021-12-08 00:00:00,2022,497124,0,0,67,18608,0,0,
2020-08-19 00:00:00,2,444,0,264,0,21,5,157,
2020-06-26 00:00:00,1,71,1,3,0,0,0,67,
2020-03-21 00:00:00,1,25,0,0,0,0,0,3,
2022-02-28 00:00:00,10078,698451,0,0,15,20380,0,0,
2020-10-09 00:00:00,0,479,0,0,0,31,0,442,
2021-12-03 00:00:00,1753,488387,0,0,62,18271,0,0,
2021-02-01 00:00:00,1,601,0,26,0,31,2,540,
2020-04-24 00:00:00,0,64,0,2,0,0,0,61,
2021-05-03 00:00:00,2,762,0,71,0,31,5,654,
2021-07-05 00:00:00,1110,7154,609,6710,1,46,81,1233,
2020-03-30 00:00:00,2,54,0,0,0,0,4,13,
2020-08-24 00:00:00,4,468,0,241,0,23,14,202,
2021-06-30 00:00:00,295,4940,395,3991,1,43,10,1041,
2021-04-15 00:00:00,12,711,12,57,0,31,0,614,
2020-11-07 00:00:00,0,484,0,0,0,31,0,443,
2021-11-28 00:00:00,1733,475401,0,0,62,17966,0,0,
2022-01-21 00:00:00,2173,574644,0,0,15,20022,0,0,
2022-01-13 00:00:00,2111,558913,0,0,16,19919,0,0,
2020-10-22 00:00:00,0,483,0,5,0,31,0,442,
2021-01-11 00:00:00,1,574,1,12,0,31,0,527,
2020-12-09 00:00:00,1,557,1,44,0,31,0,477,
2020-08-05 00:00:00,33,269,33,191,0,6,0,70,
2021-01-10 00:00:00,0,573,0,11,0,31,0,527,
2021-02-22 00:00:00,3,647,3,51,0,31,0,561,
2021-12-21 00:00:00,1318,517544,0,0,46,19310,0,0,
2021-09-15 00:00:00,5310,321043,0,0,189,12697,0,1325,
2021-03-26 00:00:00,3,658,3,15,0,31,0,607,
2021-09-03 00:00:00,8591,246183,4921,118066,250,10044,0,1325,
2020-05-14 00:00:00,0,65,0,3,0,0,0,62,
2020-03-19 00:00:00,3,19,0,0,0,0,0,3,
2020-10-12 00:00:00,1,480,1,2,0,31,0,442,
2022-02-23 00:00:00,6486,661215,0,0,10,20322,0,0,
2020-11-01 00:00:00,2,484,0,0,0,31,0,443,
2020-09-22 00:00:00,0,479,0,10,0,31,0,427,
2021-11-08 00:00:00,1488,444512,0,0,35,17043,0,1325,
2020-10-07 00:00:00,0,479,0,0,0,31,0,442,
2021-02-27 00:00:00,0,647,0,18,0,31,4,595,
2021-05-11 00:00:00,3,835,11,126,0,31,0,678,
2022-01-24 00:00:00,1990,580824,0,0,6,20049,0,0,
2021-06-03 00:00:00,33,1237,33,403,0,33,0,773,
2020-03-22 00:00:00,6,31,0,0,0,0,0,3,
2020-08-11 00:00:00,13,361,13,275,0,11,0,74,
2021-12-05 00:00:00,1827,492184,0,0,66,18401,0,0,
2021-10-29 00:00:00,1041,433402,0,0,32,16737,0,1325,
2021-12-31 00:00:00,1428,533073,0,0,27,19637,0,0,
2020-04-21 00:00:00,0,64,0,3,0,0,1,60,
2020-03-24 00:00:00,7,42,0,0,0,0,0,3,
2021-07-26 00:00:00,6058,67391,4031,59007,129,395,0,1325,
2021-02-13 00:00:00,6,644,6,62,0,31,0,548,
2021-10-16 00:00:00,824,419504,0,0,58,16255,0,1325,
2021-08-04 00:00:00,3394,107512,3159,74946,218,1932,0,1325,
2020-08-09 00:00:00,18,341,17,261,1,9,0,70,
2020-12-26 00:00:00,0,564,0,13,0,31,0,515,
2022-01-09 00:00:00,2302,551120,0,0,16,19851,0,0,
2022-02-03 00:00:00,396,597631,0,0,21,20143,0,0,
2021-08-20 00:00:00,3549,170780,167,78539,312,6120,0,1325,
2022-04-09 00:00:00,2800,1090879,0,0,1,20586,0,0,
2022-04-29 00:00:00,500,1115126,0,0,0,20593,0,0,
2020-09-13 00:00:00,0,479,0,28,0,31,5,409,
2021-10-22 00:00:00,1223,426329,0,0,33,16509,0,1325,
2022-03-22 00:00:00,9730,978594,0,0,6,20541,0,0,
2022-03-04 00:00:00,11785,759214,0,0,11,20422,0,0,
2020-10-29 00:00:00,0,483,0,4,0,31,0,443,
2021-08-18 00:00:00,4011,162776,1516,77997,256,5501,0,1325,
2021-11-02 00:00:00,789,437416,0,0,31,16844,0,1325,
2021-05-16 00:00:00,20,920,12,190,0,31,0,691,
2021-04-25 00:00:00,3,742,4,75,0,31,0,629,
2022-04-11 00:00:00,2343,1094537,0,0,1,20587,0,0,
2022-02-08 00:00:00,2111,606540,0,0,10,20193,0,0,
2021-07-17 00:00:00,1769,22845,1061,25994,0,142,0,1325,
2022-02-24 00:00:00,8183,669308,0,0,12,20334,0,0,
2021-07-19 00:00:00,0,25165,4556,35287,0,163,0,1325,
2022-04-26 00:00:00,673,1113545,0,0,0,20593,0,0,
2021-05-18 00:00:00,4,930,3,195,0,31,7,698,
2021-01-08 00:00:00,0,573,0,13,0,31,1,525,
2020-04-09 00:00:00,0,61,0,0,0,0,6,42,
2021-07-30 00:00:00,4347,87232,62,60958,262,937,0,1325,
