date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,1,478,0,202,1,26,4,247,
2020-11-13 00:00:00,3,516,2,32,0,31,0,449,
2021-09-18 00:00:00,4238,337097,0,0,165,13190,0,1327,
2020-04-20 00:00:00,0,66,0,4,0,0,2,61,
2020-08-30 00:00:00,0,480,0,154,0,28,18,294,
2021-06-20 00:00:00,136,2902,159,1667,0,33,0,956,
2020-12-29 00:00:00,2,569,2,14,0,31,1,520,
2020-05-17 00:00:00,0,67,0,3,0,0,0,64,
2022-03-01 00:00:00,14323,756639,0,0,9,20407,0,0,
2021-05-05 00:00:00,3,774,4,81,0,31,0,656,
2022-02-25 00:00:00,9637,698471,0,0,13,20361,0,0,
2021-07-25 00:00:00,4571,61344,5458,54986,0,266,0,1327,
2021-09-30 00:00:00,4374,391369,0,0,106,14953,0,1327,
2021-09-02 00:00:00,6006,237690,5805,113199,201,9794,0,1327,
2020-05-15 00:00:00,0,67,0,3,0,0,0,64,
2022-03-15 00:00:00,19467,993567,0,0,4,20527,0,0,
2022-04-28 00:00:00,801,1295427,0,0,0,20631,0,0,
2021-09-24 00:00:00,3790,368595,0,0,141,14220,0,1327,
2022-01-28 00:00:00,2044,591918,0,0,9,20092,0,0,
2022-03-03 00:00:00,13602,784480,0,0,15,20431,0,0,
2020-10-21 00:00:00,0,485,0,5,0,31,0,444,
2021-01-09 00:00:00,0,575,0,11,0,31,2,529,
2022-02-21 00:00:00,5431,663908,0,0,9,20318,0,0,
2021-12-22 00:00:00,1718,519607,0,0,39,19349,0,0,
2020-12-22 00:00:00,0,565,0,20,0,31,6,509,
2020-07-02 00:00:00,0,73,0,2,0,0,0,70,
2020-07-22 00:00:00,0,73,0,0,0,0,0,72,
2020-07-24 00:00:00,0,73,0,0,0,0,0,72,
2020-10-17 00:00:00,1,483,1,3,0,31,0,444,
2021-08-17 00:00:00,3693,158850,217,76564,285,5245,0,1327,
2020-10-16 00:00:00,0,482,0,2,0,31,0,444,
2021-10-03 00:00:00,2462,400227,0,0,79,15251,0,1327,
2021-05-20 00:00:00,6,940,3,193,0,31,1,701,
2021-04-05 00:00:00,3,668,2,20,0,31,2,612,
2022-04-16 00:00:00,2122,1281668,0,0,0,20629,0,0,
2021-03-04 00:00:00,0,649,0,11,0,31,2,603,
2021-07-28 00:00:00,4502,78248,53,64338,91,486,0,1327,
2021-01-04 00:00:00,2,574,2,14,0,31,0,525,
2020-03-28 00:00:00,1,54,0,0,0,0,0,6,
2022-03-07 00:00:00,13002,842765,0,0,9,20474,0,0,
2020-08-04 00:00:00,23,238,21,158,2,6,0,72,
2020-06-11 00:00:00,0,71,0,3,0,0,0,67,
2020-09-28 00:00:00,0,481,0,0,0,31,0,444,
2021-03-11 00:00:00,0,653,0,12,0,31,0,606,
2021-12-06 00:00:00,1519,493588,0,0,86,18487,0,0,
2022-01-08 00:00:00,1792,549785,0,0,12,19835,0,0,
2022-01-12 00:00:00,2141,558036,0,0,17,19903,0,0,
2022-02-04 00:00:00,2141,603484,0,0,10,20158,0,0,
2020-11-21 00:00:00,0,523,0,38,0,31,0,450,
2021-08-11 00:00:00,3472,135261,3210,79214,262,3625,0,1327,
2021-11-12 00:00:00,1500,450432,0,0,43,17205,0,0,
2021-05-19 00:00:00,2,934,0,190,0,31,0,700,
2021-10-18 00:00:00,969,421658,0,0,52,16345,0,1327,
2020-08-08 00:00:00,15,325,15,244,0,8,0,72,
