date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,1,478,0,202,1,26,4,247,
2020-11-13 00:00:00,3,516,2,32,0,31,0,449,
2021-09-18 00:00:00,4238,337106,0,0,165,13190,0,1328,
2020-04-20 00:00:00,0,66,0,4,0,0,2,61,
2020-08-30 00:00:00,0,480,0,154,0,28,18,294,
2021-06-20 00:00:00,136,2903,159,1667,0,33,0,957,
2020-12-29 00:00:00,2,569,2,14,0,31,1,520,
2020-05-17 00:00:00,0,67,0,3,0,0,0,64,
2022-03-01 00:00:00,16386,783190,0,0,9,20415,0,0,
2021-05-05 00:00:00,3,774,4,81,0,31,0,656,
2022-02-25 00:00:00,12434,715585,0,0,13,20368,0,0,
2021-07-25 00:00:00,4571,61345,5458,54986,0,266,0,1328,
2021-09-30 00:00:00,4374,391378,0,0,106,14953,0,1328,
2021-09-02 00:00:00,6006,237695,5805,113199,201,9794,0,1328,
2020-05-15 00:00:00,0,67,0,3,0,0,0,64,
2022-03-15 00:00:00,23454,1066033,0,0,5,20539,0,0,
2022-04-28 00:00:00,1047,1435153,0,0,0,20645,0,0,
2021-09-24 00:00:00,3790,368604,0,0,141,14220,0,1328,
2022-01-28 00:00:00,2099,595189,0,0,10,20093,0,0,
2022-03-03 00:00:00,15871,815537,0,0,15,20439,0,0,
2020-10-21 00:00:00,0,485,0,5,0,31,0,444,
2021-01-09 00:00:00,0,575,0,11,0,31,2,529,
2022-02-21 00:00:00,6264,674985,0,0,9,20323,0,0,
2021-12-22 00:00:00,1739,520497,0,0,39,19349,0,0,
2020-12-22 00:00:00,0,565,0,20,0,31,6,509,
2020-07-02 00:00:00,0,73,0,2,0,0,0,70,
2020-07-22 00:00:00,0,73,0,0,0,0,0,72,
2020-07-24 00:00:00,0,73,0,0,0,0,0,72,
2020-10-17 00:00:00,1,483,1,3,0,31,0,444,
2021-08-17 00:00:00,3693,158852,217,76565,285,5245,0,1328,
2020-10-16 00:00:00,0,482,0,2,0,31,0,444,
2021-10-03 00:00:00,2462,400236,0,0,79,15251,0,1328,
2021-05-20 00:00:00,6,941,3,194,0,31,1,701,
2021-04-05 00:00:00,3,668,2,20,0,31,2,612,
2022-04-16 00:00:00,2753,1416980,0,0,0,20643,0,0,
2021-03-04 00:00:00,0,649,0,11,0,31,2,603,
2021-07-28 00:00:00,4502,78250,53,64339,91,486,0,1328,
2021-01-04 00:00:00,2,574,2,14,0,31,0,525,
2020-03-28 00:00:00,1,54,0,0,0,0,0,6,
2022-03-07 00:00:00,15991,884881,0,0,9,20482,0,0,
2020-08-04 00:00:00,23,238,21,158,2,6,0,72,
2020-06-11 00:00:00,0,71,0,3,0,0,0,67,
2020-09-28 00:00:00,0,481,0,0,0,31,0,444,
2021-03-11 00:00:00,0,653,0,12,0,31,0,606,
2021-12-06 00:00:00,1535,494272,0,0,86,18487,0,0,
2022-01-08 00:00:00,1830,551112,0,0,12,19835,0,0,
2022-01-12 00:00:00,2240,559622,0,0,17,19903,0,0,
2022-02-04 00:00:00,2204,607293,0,0,10,20159,0,0,
2020-11-21 00:00:00,0,523,0,38,0,31,0,450,
2021-08-11 00:00:00,3472,135263,3210,79215,262,3625,0,1328,
2021-11-12 00:00:00,1502,450478,0,0,43,17205,0,0,
2021-05-19 00:00:00,2,935,0,191,0,31,0,700,
2021-10-18 00:00:00,975,421675,0,0,52,16345,0,1328,
2020-08-08 00:00:00,15,325,15,244,0,8,0,72,
