date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,1,681,0,220,1,26,4,431,
2020-11-13 00:00:00,3,754,2,54,0,31,0,665,
2021-09-18 00:00:00,4257,350281,0,0,166,13271,0,6656,
2020-04-20 00:00:00,0,218,0,48,0,0,2,162,
2020-08-30 00:00:00,0,683,0,172,0,28,18,478,
2021-06-20 00:00:00,430,11069,183,7178,0,59,0,3694,
2020-12-29 00:00:00,2,833,2,30,0,31,1,767,
2020-05-17 00:00:00,0,220,0,10,0,0,0,204,
2022-03-01 00:00:00,56742,1593308,0,0,40,21723,0,0,
2021-05-05 00:00:00,18,1248,27,164,0,31,0,1046,
2022-02-25 00:00:00,45181,1312626,0,0,40,21544,0,0,
2021-07-25 00:00:00,4603,70717,5489,56021,0,311,0,6656,
2021-09-30 00:00:00,4389,404652,0,0,106,15036,0,6656,
2021-09-02 00:00:00,6066,250312,5861,115685,202,9868,0,6656,
2020-05-15 00:00:00,1,220,1,10,0,0,0,204,
2022-03-15 00:00:00,92321,3334148,0,0,29,22221,0,0,
2022-04-28 00:00:00,4182,5471054,0,0,0,22578,0,0,
2021-09-24 00:00:00,3795,381840,0,0,141,14303,0,6656,
2022-01-28 00:00:00,8081,805539,0,0,34,20640,0,0,
2022-03-03 00:00:00,65501,1741311,0,0,43,21808,0,0,
2020-10-21 00:00:00,2,704,3,14,0,31,0,655,
2021-01-09 00:00:00,0,851,0,32,0,31,4,782,
2022-02-21 00:00:00,26308,1142260,0,0,48,21396,0,0,
2021-12-22 00:00:00,4029,576755,0,0,44,19473,0,0,
2020-12-22 00:00:00,3,819,2,28,0,31,7,754,
2020-07-02 00:00:00,0,229,0,4,0,0,2,223,
2020-07-22 00:00:00,0,230,0,1,0,0,0,227,
2020-07-24 00:00:00,1,231,1,2,0,0,0,227,
2020-10-17 00:00:00,1,695,1,4,0,31,0,655,
2021-08-17 00:00:00,3780,170128,302,79476,285,5307,0,6656,
2020-10-16 00:00:00,0,694,0,3,0,31,0,655,
2021-10-03 00:00:00,2468,413546,0,0,79,15318,0,6656,
2021-05-20 00:00:00,205,2824,91,1650,2,35,1,1119,
2021-04-05 00:00:00,4,1070,3,49,0,31,2,984,
2022-04-16 00:00:00,10291,5353757,0,0,2,22567,0,0,
2021-03-04 00:00:00,0,1033,0,59,0,31,7,937,
2021-07-28 00:00:00,4593,87841,77,65595,91,532,0,6656,
2021-01-04 00:00:00,2,846,2,36,0,31,0,773,
2020-03-28 00:00:00,1,77,0,0,0,0,0,17,
2022-03-07 00:00:00,81529,2165517,0,0,28,21954,0,0,
2020-08-04 00:00:00,24,419,22,181,2,6,0,229,
2020-06-11 00:00:00,0,224,0,3,0,0,0,214,
2020-09-28 00:00:00,3,692,3,5,0,31,0,650,
2021-03-11 00:00:00,1,1041,1,47,0,31,5,957,
2021-12-06 00:00:00,2465,526964,0,0,86,18572,0,0,
2022-01-08 00:00:00,6258,662005,0,0,28,20071,0,0,
2022-01-12 00:00:00,6756,688204,0,0,36,20187,0,0,
2022-02-04 00:00:00,6717,862677,0,0,13,20864,0,0,
2020-11-21 00:00:00,1,764,1,50,0,31,0,679,
2021-08-11 00:00:00,3532,146085,3270,81689,262,3683,0,6656,
2021-11-12 00:00:00,1842,468644,0,0,43,17277,0,0,
2021-05-19 00:00:00,62,2619,149,1559,0,33,0,1118,
2021-10-18 00:00:00,1043,435251,0,0,52,16414,0,6656,
2020-08-08 00:00:00,18,519,18,280,0,8,0,229,
2021-03-14 00:00:00,1,1043,1,46,0,31,0,960,
2022-02-02 00:00:00,5329,851596,0,0,0,20757,0,0,
2021-10-23 00:00:00,855,441189,0,0,42,16621,0,6656,
2022-03-16 00:00:00,93973,3428122,0,0,21,22242,0,0,
2020-09-16 00:00:00,0,687,0,27,0,31,3,618,
2022-01-22 00:00:00,7385,758622,0,0,29,20448,0,0,
2020-09-06 00:00:00,0,687,0,91,0,31,10,560,
2020-10-18 00:00:00,5,700,5,9,0,31,0,655,
2021-07-15 00:00:00,662,24239,5137,24075,73,175,71,6594,
2021-02-14 00:00:00,2,1023,2,160,0,31,0,828,
2022-03-31 00:00:00,42331,4937660,0,0,8,22471,0,0,
2021-06-08 00:00:00,0,7000,158,5098,0,51,0,1860,
