date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,0,78,0,13,0,0,0,65,
2020-11-13 00:00:00,3,110,2,28,0,0,0,82,
2021-09-18 00:00:00,4237,331552,0,0,165,13099,0,692,
2020-04-20 00:00:00,0,55,0,3,0,0,2,52,
2020-08-30 00:00:00,0,78,0,12,0,0,0,66,
2021-06-20 00:00:00,111,2184,137,1619,0,1,0,333,
2020-12-29 00:00:00,2,147,2,3,0,0,1,144,
2020-05-17 00:00:00,0,56,0,3,0,0,0,54,
2022-03-01 00:00:00,2022,537774,0,0,1,19938,0,0,
2021-05-05 00:00:00,1,267,2,32,0,0,0,235,
2022-02-25 00:00:00,2206,529919,0,0,1,19933,0,0,
2021-07-25 00:00:00,4555,60144,5415,54451,0,232,0,692,
2021-09-30 00:00:00,4372,385762,0,0,106,14851,0,692,
2021-09-02 00:00:00,5964,232600,5766,109614,197,9724,0,692,
2020-05-15 00:00:00,0,56,0,3,0,0,0,54,
2022-03-15 00:00:00,2246,574858,0,0,2,19956,0,0,
2022-04-28 00:00:00,82,609925,0,0,0,19984,0,0,
2021-09-24 00:00:00,3786,363013,0,0,140,14124,0,692,
2022-01-28 00:00:00,153,514989,0,0,4,19878,0,0,
2022-03-03 00:00:00,3126,543647,0,0,2,19940,0,0,
2020-10-21 00:00:00,0,82,0,5,0,0,0,77,
2021-01-09 00:00:00,0,153,0,9,0,0,0,144,
2022-02-21 00:00:00,797,522438,0,0,1,19930,0,0,
2021-12-22 00:00:00,979,497797,0,0,39,19229,0,0,
2020-12-22 00:00:00,0,144,0,10,0,0,6,133,
2020-07-02 00:00:00,0,62,0,2,0,0,0,60,
2020-07-22 00:00:00,0,62,0,0,0,0,0,62,
2020-07-24 00:00:00,0,62,0,0,0,0,0,62,
2020-10-17 00:00:00,1,80,1,3,0,0,0,77,
2021-08-17 00:00:00,3565,155941,89,74391,285,5197,0,692,
2020-10-16 00:00:00,0,79,0,2,0,0,0,77,
2021-10-03 00:00:00,2461,394616,0,0,79,15148,0,692,
2021-05-20 00:00:00,4,279,2,18,0,0,1,257,
2021-04-05 00:00:00,1,223,0,10,0,0,2,213,
2022-04-16 00:00:00,603,607882,0,0,0,19984,0,0,
2021-03-04 00:00:00,0,211,0,6,0,0,2,205,
2021-07-28 00:00:00,4449,76908,0,63710,91,452,0,692,
2021-01-04 00:00:00,2,152,2,8,0,0,0,144,
2020-03-28 00:00:00,1,45,0,0,0,0,0,3,
2022-03-07 00:00:00,2120,554720,0,0,2,19945,0,0,
2020-08-04 00:00:00,0,71,0,8,0,0,0,62,
2020-06-11 00:00:00,0,60,0,3,0,0,0,57,
2020-09-28 00:00:00,0,78,0,0,0,0,0,77,
2021-03-11 00:00:00,0,215,0,7,0,0,0,208,
2021-12-06 00:00:00,1174,480104,0,0,86,18375,0,0,
2022-01-08 00:00:00,436,508706,0,0,11,19704,0,0,
2022-01-12 00:00:00,696,510871,0,0,14,19761,0,0,
2022-02-04 00:00:00,66,516017,0,0,3,19901,0,0,
2020-11-21 00:00:00,0,116,0,34,0,0,0,82,
2021-08-11 00:00:00,3416,132906,3155,77588,261,3582,0,692,
2021-11-12 00:00:00,1388,442306,0,0,42,17099,0,0,
2021-05-19 00:00:00,2,275,0,16,0,0,0,256,
2021-10-18 00:00:00,968,415795,0,0,51,16240,0,692,
2020-08-08 00:00:00,0,71,0,9,0,0,0,62,
2021-03-14 00:00:00,1,216,1,7,0,0,0,209,
