date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,1,473,0,202,1,26,4,243,
2020-11-13 00:00:00,3,511,2,32,0,31,0,445,
2021-09-18 00:00:00,4237,336971,0,0,165,13190,0,1321,
2020-04-20 00:00:00,0,61,0,3,0,0,2,58,
2020-08-30 00:00:00,0,475,0,154,0,28,18,290,
2021-06-20 00:00:00,136,2892,159,1665,0,33,0,950,
2020-12-29 00:00:00,2,564,2,14,0,31,1,516,
2020-05-17 00:00:00,0,62,0,3,0,0,0,60,
2022-03-01 00:00:00,5718,660853,0,0,6,20326,0,0,
2021-05-05 00:00:00,3,768,4,81,0,31,0,652,
2022-02-25 00:00:00,5082,645076,0,0,11,20292,0,0,
2021-07-25 00:00:00,4571,61319,5458,54968,0,266,0,1321,
2021-09-30 00:00:00,4374,391243,0,0,106,14953,0,1321,
2021-09-02 00:00:00,6006,237566,5804,113140,201,9794,0,1321,
2020-05-15 00:00:00,0,62,0,3,0,0,0,60,
2022-03-15 00:00:00,5555,755343,0,0,4,20408,0,0,
2022-04-28 00:00:00,192,826184,0,0,0,20456,0,0,
2021-09-24 00:00:00,3790,368469,0,0,141,14220,0,1321,
2022-01-28 00:00:00,1674,574376,0,0,7,20061,0,0,
2022-03-03 00:00:00,7172,674740,0,0,7,20341,0,0,
2020-10-21 00:00:00,0,480,0,5,0,31,0,440,
2021-01-09 00:00:00,0,570,0,11,0,31,2,525,
2022-02-21 00:00:00,3411,626460,0,0,6,20257,0,0,
2021-12-22 00:00:00,1599,512796,0,0,39,19342,0,0,
2020-12-22 00:00:00,0,560,0,20,0,31,6,505,
2020-07-02 00:00:00,0,68,0,2,0,0,0,66,
2020-07-22 00:00:00,0,68,0,0,0,0,0,68,
2020-07-24 00:00:00,0,68,0,0,0,0,0,68,
2020-10-17 00:00:00,1,478,1,3,0,31,0,440,
2021-08-17 00:00:00,3689,158739,213,76461,285,5245,0,1321,
2020-10-16 00:00:00,0,477,0,2,0,31,0,440,
2021-10-03 00:00:00,2462,400101,0,0,79,15251,0,1321,
2021-05-20 00:00:00,6,933,3,192,0,31,1,697,
2021-04-05 00:00:00,3,662,2,19,0,31,2,608,
2022-04-16 00:00:00,871,822229,0,0,0,20456,0,0,
2021-03-04 00:00:00,0,643,0,10,0,31,2,599,
2021-07-28 00:00:00,4499,78220,50,64317,91,486,0,1321,
2021-01-04 00:00:00,2,569,2,14,0,31,0,521,
2020-03-28 00:00:00,1,51,0,0,0,0,0,6,
2022-03-07 00:00:00,4950,700129,0,0,8,20372,0,0,
2020-08-04 00:00:00,23,233,21,158,2,6,0,68,
2020-06-11 00:00:00,0,66,0,3,0,0,0,63,
2020-09-28 00:00:00,0,476,0,0,0,31,0,440,
2021-03-11 00:00:00,0,647,0,11,0,31,0,602,
2021-12-06 00:00:00,1343,488253,0,0,86,18480,0,0,
2022-01-08 00:00:00,1658,538901,0,0,12,19827,0,0,
2022-01-12 00:00:00,1813,545555,0,0,16,19890,0,0,
2022-02-04 00:00:00,1891,584210,0,0,10,20119,0,0,
2020-11-21 00:00:00,0,518,0,38,0,31,0,446,
2021-08-11 00:00:00,3472,135178,3210,79138,262,3625,0,1321,
2021-11-12 00:00:00,1438,448126,0,0,42,17204,0,0,
2021-05-19 00:00:00,2,927,0,189,0,31,0,696,
2021-10-18 00:00:00,968,421295,0,0,52,16345,0,1321,
2020-08-08 00:00:00,15,320,15,244,0,8,0,68,
2021-03-14 00:00:00,1,648,1,11,0,31,0,603,
2022-02-02 00:00:00,1209,582027,0,0,0,20091,0,0,
2021-10-23 00:00:00,753,426774,0,0,42,16551,0,1321,
2022-03-16 00:00:00,3349,758692,0,0,7,20415,0,0,
2020-09-16 00:00:00,0,476,0,16,0,31,3,419,
2022-01-22 00:00:00,1932,563552,0,0,9,20008,0,0,
2020-09-06 00:00:00,0,476,0,78,0,31,10,363,
2020-10-18 00:00:00,0,478,0,3,0,31,0,440,
2021-07-15 00:00:00,625,15448,5136,23776,72,136,0,1298,
2021-02-14 00:00:00,0,640,0,60,0,31,0,546,
2022-03-31 00:00:00,2025,801227,0,0,1,20449,0,0,
2021-06-08 00:00:00,0,1425,39,564,0,33,0,826,
2021-01-23 00:00:00,0,585,2,21,0,31,0,532,
2021-09-29 00:00:00,4700,386869,0,0,113,14847,0,1321,
2021-08-22 00:00:00,4596,179652,3777,83753,599,6719,0,1321,
2022-03-21 00:00:00,3033,778400,0,0,3,20431,0,0,
2021-08-03 00:00:00,4237,104095,1327,71770,334,1714,0,1321,
2021-05-21 00:00:00,2,935,0,183,1,32,0,697,
2021-12-25 00:00:00,1521,516394,0,0,35,19448,0,0,
2021-05-10 00:00:00,19,828,0,115,0,31,9,676,
2021-11-09 00:00:00,1312,444049,0,0,38,17081,0,1321,
2021-03-18 00:00:00,0,648,0,10,0,31,0,604,
2022-03-11 00:00:00,8020,731798,0,0,2,20391,0,0,
2022-04-27 00:00:00,245,825882,0,0,0,20456,0,0,
2021-11-23 00:00:00,1271,462476,0,0,62,17680,0,0,
2022-03-06 00:00:00,10005,695178,0,0,8,20364,0,0,
2020-09-19 00:00:00,0,476,0,12,0,31,1,423,
2020-06-03 00:00:00,0,65,0,5,0,0,0,60,
2020-10-27 00:00:00,0,480,0,4,0,31,0,441,
2021-08-16 00:00:00,3437,155050,3122,76248,315,4960,0,1321,
2022-03-18 00:00:00,4445,769437,0,0,3,20421,0,0,
2020-12-18 00:00:00,0,559,0,27,0,31,1,497,
2022-03-17 00:00:00,6299,764992,0,0,3,20418,0,0,
2021-11-14 00:00:00,1003,450406,0,0,22,17264,0,0,
2022-03-19 00:00:00,3089,772527,0,0,5,20426,0,0,
2021-09-19 00:00:00,5498,342469,0,0,182,13372,0,1321,
2021-01-19 00:00:00,1,580,1,15,0,31,0,531,
2021-07-10 00:00:00,1230,9458,799,10864,0,54,0,1229,
2020-10-13 00:00:00,0,477,0,2,0,31,0,440,
2021-02-15 00:00:00,0,640,0,56,0,31,6,552,
2021-12-20 00:00:00,924,509980,0,0,51,19257,0,0,
2021-01-21 00:00:00,0,584,0,18,0,31,1,532,
2020-12-20 00:00:00,1,560,1,26,0,31,0,499,
2021-06-19 00:00:00,105,2892,136,1506,0,33,6,950,
2021-11-20 00:00:00,1104,458317,0,0,42,17509,0,0,
2022-02-22 00:00:00,4096,630560,0,0,6,20263,0,0,
2020-05-25 00:00:00,1,65,1,5,0,0,0,60,
2020-12-12 00:00:00,1,557,1,38,0,31,0,484,
2021-11-18 00:00:00,1640,455847,0,0,42,17412,0,0,
2021-03-01 00:00:00,0,643,0,13,0,31,3,597,
2020-11-25 00:00:00,4,525,4,40,0,31,0,451,
2022-02-15 00:00:00,2490,608091,0,0,8,20196,0,0,
2021-07-14 00:00:00,900,14823,2159,18640,10,64,41,1298,
2020-04-13 00:00:00,1,61,17,17,0,0,0,45,
2020-07-17 00:00:00,0,68,0,0,0,0,0,68,
2021-07-07 00:00:00,1080,8228,198,7656,0,48,0,1229,
2022-01-25 00:00:00,1792,569059,0,0,12,20036,0,0,
2022-04-20 00:00:00,377,824532,0,0,0,20456,0,0,
2020-09-29 00:00:00,0,476,0,0,0,31,0,440,
2020-04-15 00:00:00,0,61,0,9,0,0,1,52,
2022-02-06 00:00:00,1493,586874,0,0,9,20138,0,0,
2022-03-29 00:00:00,2008,796969,0,0,1,20446,0,0,
2021-07-06 00:00:00,0,7148,748,7458,2,48,0,1229,
2020-05-16 00:00:00,0,62,0,3,0,0,0,60,
2021-01-16 00:00:00,0,578,0,16,0,31,0,529,
2021-04-04 00:00:00,0,659,0,18,0,31,0,606,
2021-08-26 00:00:00,4078,198381,3751,95236,242,7865,0,1321,
2020-05-01 00:00:00,0,61,0,5,0,0,0,60,
2021-03-23 00:00:00,0,650,0,11,0,31,1,605,
2022-01-14 00:00:00,1674,549092,0,0,15,19919,0,0,
2021-10-14 00:00:00,911,417347,0,0,61,16136,0,1321,
2022-04-30 00:00:00,113,826536,0,0,0,20456,0,0,
2021-11-27 00:00:00,1861,469654,0,0,57,17900,0,0,
2020-10-14 00:00:00,0,477,0,2,0,31,0,440,
2020-06-22 00:00:00,0,67,0,2,0,0,1,65,
2021-05-24 00:00:00,2,939,2,182,0,32,3,709,
2021-05-29 00:00:00,54,1033,37,250,0,32,0,725,
2020-03-27 00:00:00,4,50,0,0,0,0,3,6,
2021-08-15 00:00:00,4599,151613,83,73126,282,4645,0,1321,
2020-08-29 00:00:00,1,475,0,172,2,28,6,272,
2020-11-26 00:00:00,10,535,10,50,0,31,0,451,
2022-04-05 00:00:00,2076,809083,0,0,0,20453,0,0,
2021-10-13 00:00:00,1162,416436,0,0,73,16075,0,1321,
2021-08-09 00:00:00,4053,127675,4051,71707,269,3054,0,1321,
2021-10-24 00:00:00,975,427749,0,0,30,16581,0,1321,
2020-12-13 00:00:00,2,559,0,38,0,31,2,486,
2020-07-14 00:00:00,0,68,0,0,0,0,0,68,
2020-12-15 00:00:00,0,559,0,33,0,31,0,491,
2021-10-26 00:00:00,785,429504,0,0,27,16648,0,1321,
2020-05-12 00:00:00,0,62,0,3,0,0,3,60,
2020-12-02 00:00:00,1,545,1,45,0,31,4,465,
2021-11-06 00:00:00,1017,440356,0,0,32,16977,0,1321,
2020-06-18 00:00:00,0,67,0,4,0,0,0,63,
2020-04-18 00:00:00,0,61,0,5,0,0,3,56,
2020-07-23 00:00:00,0,68,0,0,0,0,0,68,
2021-03-30 00:00:00,0,655,0,14,0,31,1,606,
2020-11-18 00:00:00,6,518,6,39,0,31,0,445,
2021-08-25 00:00:00,5457,194303,2978,91485,269,7623,0,1321,
2021-02-06 00:00:00,1,599,1,27,0,31,0,538,
2020-11-06 00:00:00,0,481,0,6,0,31,0,441,
2022-04-04 00:00:00,1357,807007,0,0,1,20453,0,0,
2021-05-23 00:00:00,1,937,0,180,0,32,0,706,
2021-12-18 00:00:00,1420,507482,0,0,0,19154,0,0,
2020-06-24 00:00:00,0,67,0,2,0,0,0,65,
2021-10-19 00:00:00,909,422204,0,0,47,16392,0,1321,
2022-01-05 00:00:00,1485,533955,0,0,20,19776,0,0,
2021-03-17 00:00:00,0,648,0,10,0,31,0,604,
2020-06-27 00:00:00,0,68,0,3,0,0,0,65,
2020-10-26 00:00:00,0,480,0,4,0,31,0,441,
2021-08-23 00:00:00,4403,184055,2129,85882,343,7062,0,1321,
2020-08-18 00:00:00,4,439,0,267,2,22,28,150,
2021-07-29 00:00:00,4646,82866,4482,68799,189,675,0,1321,
2022-04-06 00:00:00,1885,810968,0,0,1,20454,0,0,
2020-05-04 00:00:00,0,62,0,6,0,0,0,60,
2022-01-26 00:00:00,1814,570911,0,0,8,20044,0,0,
2022-02-01 00:00:00,1434,580818,0,0,0,20091,0,0,
2021-04-17 00:00:00,1,713,1,59,0,31,0,617,
