date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
2020-08-27 00:00:00,2,1008,4,365,1,30,5,612,
2020-11-13 00:00:00,3,1205,2,120,0,35,8,1046,
2021-09-18 00:00:00,9263,667506,0,0,219,16539,0,8525,
2020-04-20 00:00:00,0,274,0,54,0,0,12,211,
2020-08-30 00:00:00,0,1012,0,308,0,32,18,669,
2021-06-20 00:00:00,495,13445,216,7673,0,64,0,5463,
2020-12-29 00:00:00,3,1390,3,86,0,35,1,1263,
2020-05-17 00:00:00,2,308,2,42,0,0,0,260,
2022-03-01 00:00:00,94549,3232437,0,0,82,37197,0,0,
2021-05-05 00:00:00,24,2922,33,325,0,35,0,2484,
2022-02-25 00:00:00,76679,2813496,0,0,75,36844,0,0,
2021-07-25 00:00:00,7377,96169,8314,78804,0,369,0,8525,
2021-09-30 00:00:00,7898,826054,0,0,219,18993,0,8525,
2021-09-02 00:00:00,13139,477966,11327,222711,267,12023,0,8525,
2020-05-15 00:00:00,24,301,24,35,0,0,0,260,
2022-03-15 00:00:00,162370,6121902,0,0,56,38313,0,0,
2022-04-28 00:00:00,6762,9908152,0,0,4,39473,0,0,
2021-09-24 00:00:00,8362,727199,0,0,200,17897,0,8525,
2022-01-28 00:00:00,14190,1938516,0,0,109,34657,0,0,
2022-03-03 00:00:00,112890,3549152,0,0,93,37400,0,0,
2020-10-21 00:00:00,3,1094,4,53,0,35,0,999,
2021-01-09 00:00:00,1,1446,1,103,0,35,4,1301,
2022-02-21 00:00:00,45763,2534479,0,0,94,36517,0,0,
2021-12-22 00:00:00,12027,1425249,0,0,173,29073,0,0,
2020-12-22 00:00:00,6,1363,5,96,0,35,12,1226,
2020-07-02 00:00:00,0,336,0,15,0,0,4,318,
2020-07-22 00:00:00,5,378,5,33,0,0,0,343,
2020-07-24 00:00:00,1,390,1,45,0,0,0,343,
2020-10-17 00:00:00,2,1076,2,35,0,35,0,998,
2021-08-17 00:00:00,9391,286357,5790,173363,329,6401,0,8525,
2020-10-16 00:00:00,0,1074,0,33,0,35,1,998,
2021-10-03 00:00:00,5302,843463,0,0,113,19564,0,8525,
2021-05-20 00:00:00,217,4647,94,1905,2,39,2,2613,
2021-04-05 00:00:00,6,2550,5,149,0,35,32,2343,
2022-04-16 00:00:00,17470,9711632,0,0,7,39393,0,0,
2021-03-04 00:00:00,6,2417,4,526,0,35,23,1850,
2021-07-28 00:00:00,6358,117592,1924,92804,106,626,0,8525,
2021-01-04 00:00:00,3,1432,3,110,0,35,0,1279,
2020-03-28 00:00:00,5,111,0,0,0,0,1,21,
2022-03-07 00:00:00,140177,4218616,0,0,77,37732,0,0,
2020-08-04 00:00:00,30,647,28,283,2,8,4,353,
2020-06-11 00:00:00,0,318,0,11,0,0,1,299,
2020-09-28 00:00:00,4,1050,3,37,0,35,0,967,
2021-03-11 00:00:00,4,2462,2,425,0,35,43,1977,
2021-12-06 00:00:00,10432,1226183,0,0,202,25863,0,0,
2022-01-08 00:00:00,13836,1639956,0,0,184,32167,0,0,
2022-01-12 00:00:00,13571,1712492,0,0,139,32812,0,0,
2022-02-04 00:00:00,11225,2028646,0,0,67,35245,0,0,
2020-11-21 00:00:00,1,1255,1,126,0,35,0,1087,
2021-08-11 00:00:00,8690,231176,7686,155941,342,4439,0,8525,
2021-11-12 00:00:00,7552,1015790,0,0,75,22644,0,0,
2021-05-19 00:00:00,66,4430,162,1811,0,37,0,2611,
2021-10-18 00:00:00,2757,895759,0,0,71,21094,0,8525,
2020-08-08 00:00:00,21,784,21,401,0,10,0,370,
2021-03-14 00:00:00,1,2483,1,407,0,35,0,2015,
2022-02-02 00:00:00,8353,2009514,0,0,0,34944,0,0,
2021-10-23 00:00:00,3082,911061,0,0,70,21432,0,8525,
2022-03-16 00:00:00,165556,6344291,0,0,52,38365,0,0,
2020-09-16 00:00:00,0,1036,0,82,0,35,5,905,
2022-01-22 00:00:00,14040,1852881,0,0,111,34007,0,0,
2020-09-06 00:00:00,0,1023,0,194,0,35,10,790,
2020-10-18 00:00:00,7,1084,8,43,0,35,0,998,
2021-07-15 00:00:00,853,30910,5814,30894,75,207,71,8461,
2021-02-14 00:00:00,33,2157,33,654,0,35,3,1463,
2022-03-31 00:00:00,74685,8927261,0,0,26,39064,0,0,
2021-06-08 00:00:00,0,8992,160,5339,0,55,0,3581,
2021-01-23 00:00:00,0,1481,2,92,0,35,0,1348,
2021-09-29 00:00:00,8500,818245,0,0,160,18774,0,8525,
2021-08-22 00:00:00,11133,340354,8181,178990,733,8189,0,8525,
2022-03-21 00:00:00,121797,7542017,0,0,58,38663,0,0,
2021-08-03 00:00:00,8100,165841,5323,122964,367,2041,0,8525,
2021-05-21 00:00:00,124,4771,121,1968,2,41,0,2613,
2021-12-25 00:00:00,12043,1461379,0,0,202,29700,0,0,
2021-05-10 00:00:00,126,3353,41,691,0,35,16,2542,
2021-11-09 00:00:00,6592,1036643,0,0,81,22415,0,8525,
2021-03-18 00:00:00,3,2499,3,318,0,35,0,2127,
2022-03-11 00:00:00,156207,5042341,0,0,67,38046,0,0,
2022-04-27 00:00:00,7691,9899915,0,0,1,39471,0,0,
2021-11-23 00:00:00,8714,1140224,0,0,155,23733,0,0,
2022-03-06 00:00:00,135057,4078419,0,0,82,37655,0,0,
2020-09-19 00:00:00,0,1040,0,78,0,35,1,910,
2020-06-03 00:00:00,0,314,0,26,0,0,4,280,
2020-10-27 00:00:00,3,1122,3,68,0,35,1,1012,
2021-08-16 00:00:00,8355,276966,5712,167618,367,6072,0,8525,
2022-03-18 00:00:00,149550,6863688,0,0,49,38484,0,0,
2020-12-18 00:00:00,3,1353,3,101,0,35,3,1211,
2022-03-17 00:00:00,164466,6684614,0,0,31320,69685,0,0,
2021-11-14 00:00:00,6687,1029173,0,0,61,22786,0,0,
2022-03-19 00:00:00,138498,7276307,0,0,71,38555,0,0,
2021-09-19 00:00:00,9965,677471,0,0,233,16772,0,8525,
2021-01-19 00:00:00,1,1473,1,93,0,35,0,1339,
2021-07-10 00:00:00,1608,22942,1211,16103,1,105,0,7903,
2020-10-13 00:00:00,1,1063,1,27,0,35,1,993,
2021-02-15 00:00:00,41,2198,16,664,0,35,14,1477,
2021-12-20 00:00:00,10681,1401442,0,0,182,28693,0,0,
2021-01-21 00:00:00,2,1479,0,88,0,35,5,1348,
2020-12-20 00:00:00,2,1356,2,101,0,35,0,1214,
2021-06-19 00:00:00,208,13445,212,7468,2,64,316,5463,
2021-11-20 00:00:00,7434,1076480,0,0,96,23335,0,0,
2022-02-22 00:00:00,54583,2588983,0,0,66,36583,0,0,
2020-05-25 00:00:00,1,312,1,40,0,0,1,264,
2020-12-12 00:00:00,4,1341,4,117,0,35,0,1183,
2021-11-18 00:00:00,8480,1061437,0,0,124,23141,0,0,
2021-03-01 00:00:00,13,2390,5,527,0,35,16,1821,
2020-11-25 00:00:00,5,1268,5,128,0,35,0,1098,
2022-02-15 00:00:00,31062,2277470,0,0,80,36072,0,0,
2021-07-14 00:00:00,1060,30057,2767,25735,27,132,217,8390,
2020-04-13 00:00:00,12,271,116,116,0,0,2,147,
2020-07-17 00:00:00,1,360,0,22,0,0,4,335,
2021-07-07 00:00:00,1588,21340,434,11813,1,98,0,7903,
2022-01-25 00:00:00,14518,1894697,0,0,105,34330,0,0,
2022-04-20 00:00:00,12633,9793974,0,0,6,39429,0,0,
2020-09-29 00:00:00,0,1050,0,30,0,35,8,975,
2020-04-15 00:00:00,1,271,1,94,0,0,1,169,
2022-02-06 00:00:00,13689,2054030,0,0,45,35391,0,0,
2022-03-29 00:00:00,81069,8762054,0,0,43,39011,0,0,
2021-07-06 00:00:00,15,19752,1032,11582,7,97,0,7903,
2020-05-16 00:00:00,5,306,5,40,0,0,0,260,
2021-01-16 00:00:00,1,1470,1,114,0,35,0,1318,
2021-04-04 00:00:00,5,2544,2,174,0,35,0,2311,
2021-08-26 00:00:00,11466,384822,10742,195192,311,9568,0,8525,
2020-05-01 00:00:00,0,276,0,51,0,0,0,226,
2021-03-23 00:00:00,1,2505,0,279,0,35,13,2174,
2022-01-14 00:00:00,13716,1740404,0,0,143,33049,0,0,
2021-10-14 00:00:00,2987,884557,0,0,79,20786,0,8525,
2022-04-30 00:00:00,4966,9918804,0,0,3,39477,0,0,
2021-11-27 00:00:00,10090,1131733,0,0,135,24252,0,0,
2020-10-14 00:00:00,9,1072,9,33,0,35,3,996,
2020-06-22 00:00:00,0,330,0,21,0,0,1,306,
2021-05-24 00:00:00,185,5230,210,2378,2,44,73,2715,
2021-05-29 00:00:00,458,6675,217,3646,0,47,0,2818,
2020-03-27 00:00:00,8,106,0,0,0,0,3,20,
2021-08-15 00:00:00,9403,268611,4831,161918,331,5705,0,8525,
2020-08-29 00:00:00,2,1012,1,326,2,32,14,651,
2020-11-26 00:00:00,10,1278,10,125,0,35,13,1111,
2022-04-05 00:00:00,51905,9296852,0,0,31,39200,0,0,
2021-10-13 00:00:00,3260,881660,0,0,106,20707,0,8525,
2021-08-09 00:00:00,9234,214371,9099,143768,358,3713,0,8525,
2021-10-24 00:00:00,3387,914350,0,0,52,21484,0,8525,
2020-12-13 00:00:00,2,1343,0,116,0,35,3,1186,
2020-07-14 00:00:00,0,351,0,18,0,0,2,330,
2020-12-15 00:00:00,1,1349,1,111,0,35,6,1197,
2021-10-26 00:00:00,3275,920562,0,0,60,21607,0,8525,
2020-05-12 00:00:00,0,277,0,19,0,0,3,252,
2020-12-02 00:00:00,7,1305,6,117,0,35,6,1146,
2021-11-06 00:00:00,6444,972551,0,0,53,22218,0,8525,
2020-06-18 00:00:00,7,328,7,17,0,0,0,303,
2020-04-18 00:00:00,0,274,0,65,0,0,3,199,
2020-07-23 00:00:00,11,389,11,44,0,0,0,343,
2021-03-30 00:00:00,0,2523,0,181,0,35,51,2287,
2020-11-18 00:00:00,12,1249,12,138,0,35,0,1069,
2021-08-25 00:00:00,12019,373359,5320,184450,334,9257,0,8525,
2021-02-06 00:00:00,5,1910,8,475,0,35,3,1400,
2020-11-06 00:00:00,5,1161,3,104,0,35,0,1016,
2022-04-04 00:00:00,45967,9244947,0,0,30,39169,0,0,
2021-05-23 00:00:00,131,5045,90,2175,1,42,0,2642,
2021-12-18 00:00:00,11331,1378961,0,0,159,28326,0,0,
2020-06-24 00:00:00,3,333,3,23,0,0,1,307,
2021-10-19 00:00:00,2655,898311,0,0,74,21168,0,8525,
2022-01-05 00:00:00,13847,1599251,0,0,188,31689,0,0,
2021-03-17 00:00:00,7,2496,7,317,0,35,40,2127,
2020-06-27 00:00:00,2,336,2,25,0,0,0,308,
2020-10-26 00:00:00,1,1119,1,66,0,35,4,1011,
2021-08-23 00:00:00,10275,350620,7241,186043,389,8578,0,8525,
2020-08-18 00:00:00,13,963,4,436,2,26,59,498,
2021-07-29 00:00:00,7482,125074,8393,101197,223,849,0,8525,
2022-04-06 00:00:00,44808,9350960,0,0,25,39225,0,0,
2020-05-04 00:00:00,0,277,0,50,0,0,2,228,
2022-01-26 00:00:00,14822,1909588,0,0,119,34449,0,0,
2022-02-01 00:00:00,10595,2001141,0,0,0,34944,0,0,
2021-04-17 00:00:00,9,2685,7,191,0,35,0,2402,
2021-10-11 00:00:00,3411,875770,0,0,115,20509,0,8525,
2021-11-21 00:00:00,7764,1084244,0,0,65,23400,0,0,
2020-09-02 00:00:00,5,1020,2,257,0,34,11,726,
2021-03-22 00:00:00,3,2504,2,289,0,35,34,2161,
2020-11-11 00:00:00,26,1201,29,127,0,35,4,1036,
2021-01-18 00:00:00,2,1472,1,92,0,35,21,1339,
2022-03-02 00:00:00,104885,3378892,0,0,110,37307,0,0,
2022-02-17 00:00:00,35361,2346929,0,0,85,36217,0,0,
2021-08-31 00:00:00,12487,453467,9288,208082,0,10955,0,8525,
2021-06-15 00:00:00,192,13442,284,6401,0,59,285,5463,
2020-12-04 00:00:00,0,1308,0,101,0,35,11,1165,
2020-06-08 00:00:00,1,318,1,16,0,0,9,294,
2021-08-30 00:00:00,14138,440980,4158,199077,312,10955,0,8525,
2020-07-25 00:00:00,3,393,3,31,0,0,0,343,
2021-09-10 00:00:00,13200,581371,4131,221353,270,14568,0,8525,
2020-04-27 00:00:00,0,276,3,48,0,0,0,225,
2020-12-30 00:00:00,2,1392,2,84,0,35,4,1267,
2020-06-02 00:00:00,0,314,0,30,0,0,4,276,
2021-06-05 00:00:00,254,8358,192,4927,2,53,68,3228,
2021-09-23 00:00:00,9415,718837,0,0,236,17697,0,8525,
2022-04-19 00:00:00,12850,9781341,0,0,22,39423,0,0,
2020-04-06 00:00:00,4,242,0,0,0,0,5,95,
2021-06-01 00:00:00,250,7389,185,4253,1,48,13,2962,
2020-09-30 00:00:00,0,1050,0,28,0,35,3,978,
2020-11-12 00:00:00,1,1202,1,126,0,35,2,1038,
2020-11-08 00:00:00,0,1157,0,0,0,35,0,1012,
2022-04-15 00:00:00,19176,9689282,0,0,15,39386,0,0,
2022-03-28 00:00:00,76637,8657788,0,0,46,38968,0,0,
2020-09-08 00:00:00,5,1028,5,146,0,35,15,843,
2021-08-29 00:00:00,12719,426842,11521,200183,340,10643,0,8525,
2022-01-20 00:00:00,14607,1824762,0,0,108,33761,0,0,
2020-10-25 00:00:00,8,1118,11,74,0,35,3,1007,
2021-08-08 00:00:00,9417,205138,2611,134669,462,3355,0,8525,
2021-01-28 00:00:00,9,1493,96,173,0,35,0,1366,
2020-09-21 00:00:00,0,1040,0,73,0,35,5,915,
2021-12-19 00:00:00,11803,1390780,0,0,185,28511,0,0,
2020-11-14 00:00:00,0,1205,9,123,0,35,2,1048,
2021-06-06 00:00:00,206,8564,125,5019,0,53,58,3286,
2021-07-01 00:00:00,447,17121,452,9852,0,81,404,7134,
2021-04-19 00:00:00,6,2695,7,198,0,35,0,2402,
2021-12-13 00:00:00,11277,1306613,0,0,215,27288,0,0,
2020-04-01 00:00:00,2,122,0,0,0,0,7,38,
2021-01-31 00:00:00,50,1750,36,319,0,35,1,1390,
2020-07-10 00:00:00,0,350,0,19,0,0,3,328,
2021-03-05 00:00:00,6,2423,6,524,0,35,0,1850,
2022-01-18 00:00:00,14582,1796384,0,0,137,33549,0,0,
2021-04-27 00:00:00,5,2761,5,225,0,35,0,2440,
2020-07-11 00:00:00,1,351,1,20,0,0,0,328,
2022-02-16 00:00:00,33994,2311558,0,0,60,36132,0,0,
2021-11-10 00:00:00,6711,1042970,0,0,76,22491,0,8525,
2021-05-15 00:00:00,50,3747,282,1263,1,36,11,2592,
2021-04-13 00:00:00,8,2623,6,187,0,35,0,2372,
2021-08-02 00:00:00,7327,157743,6192,117641,387,1674,0,8525,
2022-03-12 00:00:00,156476,5484324,0,0,55,38101,0,0,
2021-03-21 00:00:00,0,2480,0,0,0,35,0,2119,
2021-10-12 00:00:00,2813,878495,0,0,92,20601,0,8525,
2021-02-10 00:00:00,23,2021,41,595,0,35,6,1411,
2022-02-13 00:00:00,25607,2217688,0,0,71,35918,0,0,
2021-04-01 00:00:00,1,2530,1,188,0,35,0,2287,
2021-08-12 00:00:00,9498,240674,7112,163185,321,4759,0,8525,
2021-11-26 00:00:00,9981,1168975,0,0,122,24117,0,0,
2021-11-13 00:00:00,7059,1022670,0,0,81,22725,0,0,
2021-06-24 00:00:00,254,13927,336,7994,2,72,73,5674,
2020-12-31 00:00:00,9,1401,8,90,0,35,2,1269,
2021-10-07 00:00:00,4004,860689,0,0,118,20060,0,8525,
2021-03-31 00:00:00,6,2529,6,187,0,35,0,2287,
2021-10-08 00:00:00,4628,865215,0,0,120,20178,0,8525,
2020-05-29 00:00:00,0,313,0,34,0,0,1,271,
2022-01-02 00:00:00,13498,1559825,0,0,205,31198,0,0,
2020-09-15 00:00:00,0,1036,0,87,0,35,5,900,
2022-04-03 00:00:00,47629,9198978,0,0,28,39139,0,0,
2021-08-28 00:00:00,11974,414123,2306,188985,351,10303,0,8525,
2020-07-06 00:00:00,14,350,14,28,0,0,1,319,
2020-07-20 00:00:00,2,362,2,21,0,0,3,338,
2022-02-09 00:00:00,23218,2114613,0,0,80,35627,0,0,
2021-12-08 00:00:00,10807,1250293,0,0,206,26273,0,0,
