,day,daily-case,daily-death,daily-vaccin
0,2021-01-01,9,0,0.0
1,2021-01-02,8,0,0.0
2,2021-01-03,13,0,0.0
3,2021-01-04,3,0,0.0
4,2021-01-05,7,0,0.0
5,2021-01-06,1,0,0.0
6,2021-01-07,4,0,0.0
7,2021-01-08,3,0,0.0
8,2021-01-09,1,0,0.0
9,2021-01-10,1,0,0.0
10,2021-01-11,1,0,0.0
11,2021-01-12,5,0,0.0
12,2021-01-13,1,0,0.0
13,2021-01-14,11,0,0.0
14,2021-01-15,5,0,0.0
15,2021-01-16,1,0,0.0
16,2021-01-17,0,0,0.0
17,2021-01-18,2,0,0.0
18,2021-01-19,1,0,0.0
19,2021-01-20,4,0,0.0
20,2021-01-21,2,0,0.0
21,2021-01-22,2,0,0.0
22,2021-01-23,0,0,0.0
23,2021-01-24,0,0,0.0
24,2021-01-25,1,0,0.0
25,2021-01-26,2,0,0.0
26,2021-01-27,0,0,0.0
27,2021-01-28,140,0,0.0
28,2021-01-29,93,0,0.0
29,2021-01-30,92,0,0.0
30,2021-01-31,70,0,0.0
31,2021-02-01,45,0,0.0
32,2021-02-02,43,0,0.0
33,2021-02-03,38,0,0.0
34,2021-02-04,66,0,0.0
35,2021-02-05,22,0,0.0
36,2021-02-06,5,0,0.0
37,2021-02-07,24,0,0.0
38,2021-02-08,69,0,0.0
39,2021-02-09,16,0,0.0
40,2021-02-10,35,0,0.0
41,2021-02-11,69,0,0.0
42,2021-02-12,2,0,0.0
43,2021-02-13,74,0,0.0
44,2021-02-14,45,0,0.0
45,2021-02-15,59,0,0.0
46,2021-02-16,60,0,0.0
47,2021-02-17,20,0,0.0
48,2021-02-18,20,0,0.0
49,2021-02-19,17,0,0.0
50,2021-02-20,6,0,0.0
51,2021-02-21,17,0,0.0
52,2021-02-22,9,0,0.0
53,2021-02-23,9,0,0.0
54,2021-02-24,12,0,0.0
55,2021-02-25,8,0,0.0
56,2021-02-26,6,0,0.0
57,2021-02-27,6,0,0.0
58,2021-02-28,18,0,0.0
59,2021-03-01,0,0,0.0
60,2021-03-02,30,0,0.0
61,2021-03-03,11,0,0.0
62,2021-03-04,6,0,0.0
63,2021-03-05,6,0,0.0
64,2021-03-06,7,0,0.0
65,2021-03-07,12,0,0.0
66,2021-03-08,13,0,54.0
67,2021-03-09,2,0,75.0
68,2021-03-10,3,0,136.0
69,2021-03-11,4,0,226.0
70,2021-03-12,19,0,750.0
71,2021-03-13,3,0,1434.0
72,2021-03-14,1,0,1658.0
73,2021-03-15,3,0,2213.0
74,2021-03-16,3,0,2882.0
75,2021-03-17,7,0,3300.0
76,2021-03-18,3,0,3709.0
77,2021-03-19,1,0,3675.0
78,2021-03-20,1,0,3189.0
79,2021-03-21,0,0,3184.0
80,2021-03-22,3,0,2888.0
81,2021-03-23,0,0,2459.0
82,2021-03-24,1,0,2252.0
83,2021-03-25,3,0,2097.0
84,2021-03-26,7,0,1861.0
85,2021-03-27,0,0,1702.0
86,2021-03-28,5,0,1607.0
87,2021-03-29,3,0,1476.0
88,2021-03-30,0,0,1478.0
89,2021-03-31,9,0,1418.0
90,2021-04-01,16,0,1284.0
91,2021-04-02,3,0,1156.0
92,2021-04-03,6,0,1151.0
93,2021-04-04,5,0,1039.0
94,2021-04-05,6,0,922.0
95,2021-04-06,12,0,814.0
96,2021-04-07,12,0,773.0
97,2021-04-08,9,0,735.0
98,2021-04-09,17,0,849.0
99,2021-04-10,9,0,845.0
100,2021-04-11,1,0,858.0
101,2021-04-12,13,0,912.0
102,2021-04-13,9,0,884.0
103,2021-04-14,22,0,982.0
104,2021-04-15,31,0,1057.0
105,2021-04-16,16,0,1190.0
106,2021-04-17,9,0,1363.0
107,2021-04-18,3,0,2966.0
108,2021-04-19,7,0,3087.0
109,2021-04-20,9,0,6684.0
110,2021-04-21,6,0,6696.0
111,2021-04-22,11,0,9265.0
112,2021-04-23,16,0,15667.0
113,2021-04-24,3,0,18740.0
114,2021-04-25,11,0,18636.0
115,2021-04-26,9,0,25554.0
116,2021-04-27,5,0,30266.0
117,2021-04-28,8,0,45249.0
118,2021-04-29,65,0,53975.0
119,2021-04-30,20,0,49032.0
120,2021-05-01,16,0,51087.0
121,2021-05-02,24,0,54895.0
122,2021-05-03,22,0,53069.0
123,2021-05-04,17,0,49964.0
124,2021-05-05,32,0,40031.0
125,2021-05-06,102,0,33820.0
126,2021-05-07,67,0,37319.0
127,2021-05-08,143,0,37319.0
128,2021-05-09,160,0,37319.0
129,2021-05-10,205,0,37319.0
130,2021-05-11,117,0,35529.0
131,2021-05-12,128,0,33739.0
132,2021-05-13,129,0,30858.0
133,2021-05-14,167,1,27029.0
134,2021-05-15,264,0,22745.0
135,2021-05-16,300,1,17729.0
136,2021-05-17,288,0,14695.0
137,2021-05-18,239,0,13450.0
138,2021-05-19,276,2,10490.0
139,2021-05-20,189,2,8621.0
140,2021-05-21,210,0,7699.0
141,2021-05-22,228,1,7232.0
142,2021-05-23,209,2,7175.0
143,2021-05-24,296,0,5135.0
144,2021-05-25,575,1,3096.0
145,2021-05-26,491,1,2772.0
146,2021-05-27,361,1,4112.0
147,2021-05-28,392,0,5452.0
148,2021-05-29,446,0,6792.0
149,2021-05-30,388,0,8456.0
150,2021-05-31,337,1,10119.0
151,2021-06-01,388,1,10434.0
152,2021-06-02,374,0,10749.0
153,2021-06-03,386,2,15392.0
154,2021-06-04,354,2,22264.0
155,2021-06-05,392,0,24014.0
156,2021-06-06,324,0,22844.0
157,2021-06-07,368,2,34000.0
158,2021-06-08,270,0,35536.0
159,2021-06-09,638,0,39968.0
160,2021-06-10,347,2,36499.0
161,2021-06-11,309,1,32588.0
162,2021-06-12,406,1,30131.0
163,2021-06-13,462,0,35681.0
164,2021-06-14,427,2,30365.0
165,2021-06-15,632,0,41888.0
166,2021-06-16,662,0,54773.0
167,2021-06-17,806,1,82787.0
168,2021-06-18,411,2,112498.0
169,2021-06-19,757,2,129308.0
170,2021-06-20,488,3,132046.0
171,2021-06-21,427,0,134750.0
172,2021-06-22,377,1,131583.0
173,2021-06-23,348,2,121863.0
174,2021-06-24,445,2,132741.0
175,2021-06-25,1356,0,122053.0
176,2021-06-26,270,2,134265.0
177,2021-06-27,574,0,137709.0
178,2021-06-28,628,4,143029.0
179,2021-06-29,580,1,146402.0
180,2021-06-30,702,0,164378.0
181,2021-07-01,1119,3,127646.0
182,2021-07-02,851,0,107867.0
183,2021-07-03,1444,2,81168.0
184,2021-07-04,1395,4,72035.0
185,2021-07-05,1723,7,58000.0
186,2021-07-06,1614,5,47719.0
187,2021-07-07,1575,3,26282.0
188,2021-07-08,2060,5,24290.0
189,2021-07-09,2546,2,24020.0
190,2021-07-10,2900,7,24768.0
191,2021-07-11,3059,6,22961.0
192,2021-07-12,3731,7,22967.0
193,2021-07-13,3605,6,21581.0
194,2021-07-14,4596,69,26544.0
195,2021-07-15,5352,18,28832.0
196,2021-07-16,5225,0,31873.0
197,2021-07-17,5818,29,31496.0
198,2021-07-18,9284,80,33189.0
199,2021-07-19,6572,0,34518.0
200,2021-07-20,7513,36,36824.0
201,2021-07-21,8395,26,31596.0
202,2021-07-22,9698,32,32291.0
203,2021-07-23,11448,34,34980.0
204,2021-07-24,14500,31,39213.0
205,2021-07-25,11802,31,47084.0
206,2021-07-26,12348,0,63020.0
207,2021-07-27,12398,106,96620.0
208,2021-07-28,10273,233,136271.0
209,2021-07-29,11891,299,159748.0
210,2021-07-30,13548,145,207517.0
211,2021-07-31,13511,192,238304.0
212,2021-08-01,13506,197,257390.0
213,2021-08-02,11678,377,316079.0
214,2021-08-03,13202,257,325519.0
215,2021-08-04,11940,394,318783.0
216,2021-08-05,11347,297,361603.0
217,2021-08-06,13038,234,370984.0
218,2021-08-07,11490,147,384678.0
219,2021-08-08,15182,361,427229.0
220,2021-08-09,14631,389,432627.0
221,2021-08-10,13145,343,578579.0
222,2021-08-11,13731,327,649358.0
223,2021-08-12,15146,276,742194.0
224,2021-08-13,14378,350,749236.0
225,2021-08-14,15223,338,791057.0
226,2021-08-15,15011,368,751556.0
227,2021-08-16,13554,332,754854.0
228,2021-08-17,15048,299,596715.0
229,2021-08-18,13559,381,546245.0
230,2021-08-19,16690,391,435675.0
231,2021-08-20,20012,369,388821.0
232,2021-08-21,17951,370,375983.0
233,2021-08-22,17753,390,385409.0
234,2021-08-23,16105,349,339399.0
235,2021-08-24,16933,336,368086.0
236,2021-08-25,18948,319,371381.0
237,2021-08-26,25197,387,362401.0
238,2021-08-27,20243,353,379494.0
239,2021-08-28,18959,345,337885.0
240,2021-08-29,20048,316,335142.0
241,2021-08-30,22280,365,331339.0
242,2021-08-31,19750,440,302130.0
243,2021-09-01,17913,272,288589.0
244,2021-09-02,20674,309,284068.0
245,2021-09-03,23374,348,270737.0
246,2021-09-04,14913,282,287727.0
247,2021-09-05,20578,312,328795.0
248,2021-09-06,19555,317,386989.0
249,2021-09-07,22257,425,481077.0
250,2021-09-08,19864,346,605551.0
251,2021-09-09,19453,276,727887.0
252,2021-09-10,20867,274,866044.0
253,2021-09-11,18695,262,966887.0
254,2021-09-12,18845,382,1038312.0
